Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20250116,25007,0,6,5,3,0,5,15,0,95,34,20,29,13,32,1,6,4,3,6,3,7,11,7
20250119,25008,3,5,4,0,1,15,4,0,114,42,24,39,11,33,5,2,1,8,8,1,1,11,11
20250119,100_1,3,4,0,0,1,15,3,0,77,28,23,25,15,26,3,3,9,3,4,1,3,6,2
20250119,100_2,3,4,0,0,1,14,4,0,78,29,23,25,15,26,2,3,9,4,4,1,3,7,2
20250119,100_3,5,2,0,0,1,14,3,0,94,34,25,31,18,31,2,3,9,6,3,1,1,9,4
20250119,100_4,5,3,0,0,1,13,3,0,100,36,25,33,19,33,1,4,9,6,3,1,1,9,5
20250119,100_5,5,3,0,0,1,13,3,0,100,35,25,33,16,32,2,4,7,5,4,1,1,9,8
20250119,200_1,3,2,0,1,1,12,5,0,93,29,25,30,19,32,3,6,8,3,3,1,3,5,2
20250119,200_2,3,3,1,1,1,12,6,0,98,32,27,32,20,34,2,6,8,4,3,1,3,6,3
20250119,200_3,4,3,0,0,1,12,6,0,86,30,24,29,15,26,4,3,5,5,4,1,2,4,5
20250119,200_4,4,3,0,0,1,13,5,0,92,30,25,32,17,29,4,3,6,6,3,1,2,4,6
20250119,200_5,4,4,1,0,1,14,4,0,90,29,26,31,19,29,4,4,7,6,2,1,2,5,8
20250119,300_1,3,5,2,0,1,12,6,0,86,31,25,24,15,29,2,5,7,1,8,1,4,9,5
20250119,300_2,4,5,1,0,1,12,5,0,86,32,28,24,16,28,1,6,7,2,9,1,4,8,4
20250119,300_3,2,6,2,0,1,11,7,0,84,30,23,25,15,27,1,5,6,4,5,1,3,8,5
20250119,300_4,3,5,2,0,0,10,8,0,94,33,25,28,16,31,2,6,6,4,5,1,3,10,5
20250119,300_5,4,5,1,0,1,12,5,0,97,33,25,30,16,33,3,6,6,3,5,0,2,7,5
