Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230622,23071,6,14,12,2,0,12,30,8,31,21,36,12,34,7,3,4,5,2,5,12,3
20230625,23072,11,7,5,1,4,37,9,0,35,31,31,19,34,4,4,14,1,8,3,6,4
20230625,400_1,4,13,7,4,0,19,22,6,30,20,38,9,38,9,3,3,3,1,4,8,7
20230625,400_2,5,14,9,4,0,19,23,6,31,20,40,10,38,9,2,3,4,1,4,8,6
20230625,400_3,5,13,9,4,0,19,22,6,31,20,41,9,39,9,2,3,4,0,4,7,6
20230625,400_4,6,12,6,3,0,18,24,7,30,20,38,9,36,9,2,4,4,1,4,6,7
20230625,400_5,5,13,7,4,0,19,23,7,29,20,38,10,36,9,2,3,4,1,4,8,7
20230625,600_1,5,13,9,3,0,24,19,4,30,20,38,12,37,8,4,3,4,0,4,8,5
20230625,600_2,5,14,9,3,0,22,21,5,30,20,38,12,34,8,2,3,5,0,4,8,5
20230625,600_3,5,14,9,3,0,21,21,5,30,20,38,12,35,7,3,4,5,0,4,8,5
20230625,600_4,5,13,7,2,0,23,19,6,29,19,37,11,35,7,2,4,4,0,4,8,4
20230625,600_5,5,13,7,2,0,24,20,5,29,19,37,12,34,8,2,4,5,0,4,7,4
20230625,1000_1,5,12,10,2,2,28,16,1,29,21,35,9,35,9,2,3,3,2,4,8,7
20230625,1000_2,5,12,10,2,2,30,15,1,30,19,36,9,35,8,2,2,4,1,3,8,7
20230625,1000_3,5,12,10,2,2,29,16,2,29,19,36,9,35,8,2,2,4,1,3,8,6
20230625,1000_4,6,11,8,2,2,27,18,1,28,20,35,9,35,9,3,2,3,1,3,7,6
20230625,1000_5,7,10,9,2,3,28,16,1,29,22,36,10,35,8,3,2,4,2,4,8,7
