row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,7,13,19,22,27,29,117,36,22,40,14,41,6,6,3,5,2,13
1_2,6,9,12,15,18,28,88,34,22,27,9,27,3,3,3,3,10,6
1_3,4,8,14,18,23,28,95,32,24,31,15,32,4,6,4,5,5,8
1_4,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,7
1_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
1_6,5,6,8,15,27,28,89,33,23,33,21,23,1,2,7,12,1,10
1_7,4,6,9,18,27,28,92,32,24,33,21,27,2,3,9,9,1,6
1_8,6,11,14,17,25,30,103,36,24,36,14,31,5,3,3,8,5,5
1_9,4,7,12,17,26,29,95,33,25,33,19,29,3,5,5,9,3,7
1_10,4,6,12,19,26,30,97,34,26,32,20,31,2,6,7,7,4,4
2_1,7,16,20,25,30,31,129,38,24,46,14,45,9,4,5,5,1,12
2_2,5,7,10,12,18,26,78,31,21,25,11,22,2,3,2,6,8,8
2_3,5,10,16,19,24,29,103,34,24,34,14,35,5,6,3,5,5,9
2_4,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,8
2_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,7
2_6,3,12,15,18,21,29,98,32,26,33,9,33,9,3,3,3,8,11
2_7,6,11,15,17,22,30,101,36,24,33,11,32,5,4,2,5,8,7
2_8,10,15,21,22,28,32,128,42,22,43,13,43,5,6,1,6,4,8
2_9,7,12,17,20,25,32,113,39,25,37,13,37,5,5,3,5,7,7
2_10,7,11,18,22,26,32,116,39,25,37,15,40,4,7,4,4,6,9
3_1,7,16,19,22,26,31,121,38,24,42,10,41,9,3,3,4,5,14
3_2,7,10,14,17,22,32,102,39,25,32,12,31,3,4,3,5,10,11
3_3,5,9,15,19,24,29,101,34,24,33,15,34,4,6,4,5,5,9
3_4,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,7
3_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,7
3_6,7,13,15,22,26,30,113,37,23,39,13,37,6,2,7,4,4,5
3_7,6,14,16,21,26,31,114,37,25,40,12,37,8,2,5,5,5,8
3_8,9,16,18,21,26,32,122,41,23,42,10,39,7,2,3,5,6,5
3_9,8,15,17,22,27,32,121,40,24,42,12,39,7,2,5,5,5,10
3_10,7,13,19,24,26,31,120,38,24,39,13,43,6,6,5,2,5,6
4_1,8,14,17,22,25,34,120,42,26,39,11,39,6,3,5,3,9,12
4_2,5,9,12,14,20,29,89,34,24,29,11,26,4,3,2,6,9,7
4_3,4,9,15,18,23,29,98,33,25,32,14,33,5,6,3,5,6,9
4_4,4,9,14,19,23,29,98,33,25,32,14,33,5,5,5,4,6,8
4_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
4_6,6,9,9,15,22,30,91,36,24,31,13,24,3,0,6,7,8,12
4_7,4,9,11,15,22,28,89,32,24,31,13,26,5,2,4,7,6,10
4_8,5,6,10,18,24,30,93,35,25,30,18,28,1,4,8,6,6,9
4_9,4,8,11,18,24,30,95,34,26,32,16,29,4,3,7,6,6,8
4_10,7,12,13,21,25,30,108,37,23,37,13,34,5,1,8,4,5,7
5_1,5,12,17,22,28,31,115,36,26,40,16,39,7,5,5,6,3,9
5_2,5,8,13,17,21,29,93,34,24,29,13,30,3,5,4,4,8,8
5_3,5,9,15,19,24,29,101,34,24,33,15,34,4,6,4,5,5,10
5_4,4,9,14,19,23,29,98,33,25,32,14,33,5,5,5,4,6,8
5_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
5_6,8,11,13,15,23,29,99,37,21,34,12,28,3,2,2,8,6,2
5_7,10,12,15,18,27,30,112,40,20,39,15,33,2,3,3,9,3,6
5_8,9,13,17,19,29,33,120,42,24,42,16,36,4,4,2,10,4,7
5_9,9,13,18,19,27,32,118,41,23,40,14,37,4,5,1,8,5,7
5_10,8,12,19,20,24,30,113,38,22,36,12,39,4,7,1,4,6,7
6_1,7,10,19,21,26,29,112,36,22,36,16,40,3,9,2,5,3,10
6_2,7,10,14,18,23,28,100,35,21,33,13,32,3,4,4,5,5,6
6_3,5,10,15,18,23,28,99,33,23,33,13,33,5,5,3,5,5,8
6_4,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,8
6_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
6_6,4,8,11,16,25,31,95,35,27,33,17,27,4,3,5,9,6,3
6_7,5,8,13,15,24,31,96,36,26,32,16,28,3,5,2,9,7,5
6_8,6,10,15,18,25,31,105,37,25,35,15,33,4,5,3,7,6,7
6_9,5,9,15,18,26,32,105,37,27,35,17,33,4,6,3,8,6,8
6_10,5,10,17,22,26,30,110,35,25,36,16,39,5,7,5,4,4,7
7_1,7,12,15,19,26,31,110,38,24,38,14,34,5,3,4,7,5,15
7_2,5,7,11,14,18,27,82,32,22,25,11,25,2,4,3,4,9,8
7_3,5,9,15,19,23,28,99,33,23,32,14,34,4,6,4,4,5,9
7_4,4,9,15,19,24,28,99,32,24,33,15,34,5,6,4,5,4,8
7_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
7_6,11,14,18,19,27,33,122,44,22,41,13,37,3,4,1,8,6,5
7_7,9,12,17,20,27,32,117,41,23,39,15,37,3,5,3,7,5,6
7_8,10,12,20,20,26,31,119,41,21,38,14,40,2,8,0,6,5,6
7_9,8,12,18,19,26,31,114,39,23,38,14,37,4,6,1,7,5,7
7_10,7,12,17,20,25,30,111,37,23,37,13,37,5,5,3,5,5,6
8_1,4,7,9,16,21,31,88,35,27,28,14,25,3,2,7,5,10,14
8_2,6,7,12,14,20,29,88,35,23,27,13,26,1,5,2,6,9,7
8_3,4,9,15,19,22,28,97,32,24,31,13,34,5,6,4,3,6,9
8_4,4,9,14,19,23,29,98,33,25,32,14,33,5,5,5,4,6,8
8_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
8_6,5,11,14,20,24,28,102,33,23,35,13,34,6,3,6,4,4,1
8_7,5,11,16,21,26,30,109,35,25,37,15,37,6,5,5,5,4,0
8_8,6,11,16,21,29,32,115,38,26,40,18,37,5,5,5,8,3,5
8_9,6,11,16,20,28,31,112,37,25,39,17,36,5,5,4,8,3,4
8_10,6,10,16,20,25,29,106,35,23,35,15,36,4,6,4,5,4,7
9_1,6,11,19,19,24,26,105,32,20,35,13,38,5,8,0,5,2,14
9_2,3,6,9,13,19,25,75,28,22,25,13,22,3,3,4,6,6,11
9_3,5,9,15,19,23,28,99,33,23,32,14,34,4,6,4,4,5,10
9_4,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,8
9_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
9_6,9,10,16,21,28,32,116,41,23,38,18,37,1,6,5,7,4,4
9_7,8,9,16,21,27,31,112,39,23,36,18,37,1,7,5,6,4,7
9_8,12,15,19,23,30,32,131,44,20,45,15,42,3,4,4,7,2,6
9_9,10,12,17,22,30,32,123,42,22,42,18,39,2,5,5,8,2,6
9_10,8,9,16,23,28,31,115,39,23,37,19,39,1,7,7,5,3,8
10_1,7,13,18,21,27,32,118,39,25,40,14,39,6,5,3,6,5,13
10_2,5,6,9,14,20,29,83,34,24,26,14,23,1,3,5,6,9,7
10_3,5,9,15,19,24,29,101,34,24,33,15,34,4,6,4,5,5,9
10_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,8
10_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
10_6,5,10,17,20,24,28,104,33,23,34,14,37,5,7,3,4,4,4
10_7,3,10,15,20,26,30,104,33,27,36,16,35,7,5,5,6,4,3
10_8,6,10,16,19,23,29,103,35,23,33,13,35,4,6,3,4,6,7
10_9,5,11,18,19,22,28,103,33,23,33,11,37,6,7,1,3,6,8
10_10,6,10,17,19,22,28,102,34,22,32,12,36,4,7,2,3,6,7
11_1,7,12,21,24,26,33,123,40,26,38,14,45,5,9,3,2,7,14
11_2,3,6,10,13,18,27,77,30,24,24,12,23,3,4,3,5,9,8
11_3,5,8,14,17,23,29,96,34,24,31,15,31,3,6,3,6,6,9
11_4,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,8
11_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
11_6,7,10,11,17,22,27,94,34,20,32,12,28,3,1,6,5,5,9
11_7,3,10,15,19,24,28,99,31,25,34,14,34,7,5,4,5,4,9
11_8,6,14,19,24,27,30,120,36,24,41,13,43,8,5,5,3,3,8
11_9,4,12,18,22,26,29,111,33,25,38,14,40,8,6,4,4,3,8
11_10,6,10,13,21,25,29,104,35,23,35,15,34,4,3,8,4,4,6
12_1,6,14,21,24,26,31,122,37,25,40,12,45,8,7,3,2,5,9
12_2,6,8,13,17,23,30,97,36,24,31,15,30,2,5,4,6,7,9
12_3,5,10,15,18,23,29,100,34,24,33,13,33,5,5,3,5,6,9
12_4,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,7
12_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
12_6,5,8,14,18,23,31,99,36,26,31,15,32,3,6,4,5,8,4
12_7,5,6,14,17,25,32,99,37,27,31,19,31,1,8,3,8,7,6
12_8,6,7,14,18,26,32,103,38,26,33,19,32,1,7,4,8,6,8
12_9,5,5,14,18,24,30,96,35,25,29,19,32,0,9,4,6,6,5
12_10,4,8,14,20,24,28,98,32,24,32,16,34,4,6,6,4,4,6
13_1,11,17,19,22,22,29,120,40,18,39,5,41,6,2,3,0,7,10
13_2,8,11,13,16,19,28,95,36,20,30,8,29,3,2,3,3,9,11
13_3,5,9,15,19,23,29,100,34,24,32,14,34,4,6,4,4,6,9
13_4,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,7
13_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,7
13_6,4,9,10,13,21,27,84,31,23,30,12,23,5,1,3,8,6,8
13_7,4,10,11,14,22,27,88,31,23,32,12,25,6,1,3,8,5,8
13_8,7,11,13,17,25,28,101,35,21,36,14,30,4,2,4,8,3,7
13_9,5,11,14,18,24,27,99,32,22,35,13,32,6,3,4,6,3,8
13_10,5,9,14,20,25,28,101,33,23,34,16,34,4,5,6,5,3,7
14_1,6,15,22,25,26,30,124,36,24,41,11,47,9,7,3,1,4,13
14_2,6,8,11,13,18,27,83,33,21,26,10,24,2,3,2,5,9,8
14_3,4,8,14,17,22,28,93,32,24,30,14,31,4,6,3,5,6,8
14_4,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,8
14_5,4,9,15,19,24,28,99,32,24,33,15,34,5,6,4,5,4,8
14_6,6,9,16,21,25,32,109,38,26,34,16,37,3,7,5,4,7,6
14_7,7,9,17,22,26,31,112,38,24,35,17,39,2,8,5,4,5,7
14_8,6,11,19,22,26,32,116,38,26,37,15,41,5,8,3,4,6,6
14_9,6,10,18,22,26,32,114,38,26,36,16,40,4,8,4,4,6,8
14_10,7,11,17,22,25,30,112,37,23,36,14,39,4,6,5,3,5,7
15_1,5,16,20,24,27,31,123,36,26,43,11,44,11,4,4,3,4,13
15_2,7,9,11,16,20,30,93,37,23,29,11,27,2,2,5,4,10,8
15_3,5,9,14,18,24,28,98,33,23,33,15,32,4,5,4,6,4,8
15_4,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,7
15_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
15_6,11,11,16,16,22,28,104,39,17,33,11,32,0,5,0,6,6,3
15_7,9,10,14,17,23,29,102,38,20,33,13,31,1,4,3,6,6,5
15_8,9,11,15,20,28,30,113,39,21,39,17,35,2,4,5,8,2,8
15_9,6,11,16,19,25,29,106,35,23,36,14,35,5,5,3,6,4,9
15_10,6,10,19,22,27,31,115,37,25,37,17,41,4,9,3,5,4,6
16_1,8,15,23,27,28,31,132,39,23,43,13,50,7,8,4,1,3,11
16_2,7,9,11,16,22,30,95,37,23,31,13,27,2,2,5,6,8,11
16_3,6,9,15,19,24,29,102,35,23,33,15,34,3,6,4,5,5,8
16_4,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,7
16_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
16_6,8,15,19,22,28,32,124,40,24,43,13,41,7,4,3,6,4,3
16_7,8,12,18,22,28,31,119,39,23,40,16,40,4,6,4,6,3,4
16_8,9,11,17,23,28,32,120,41,23,39,17,40,2,6,6,5,4,4
16_9,7,11,19,22,28,30,117,37,23,39,17,41,4,8,3,6,2,5
16_10,5,10,17,24,28,30,114,35,25,38,18,41,5,7,7,4,2,7
17_1,10,15,17,21,25,33,121,43,23,40,10,38,5,2,4,4,8,12
17_2,5,9,13,17,20,29,93,34,24,29,11,30,4,4,4,3,9,10
17_3,4,8,14,19,23,29,97,33,25,31,15,33,4,6,5,4,6,9
17_4,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,8
17_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
17_6,6,9,10,18,25,28,96,34,22,34,16,28,3,1,8,7,3,2
17_7,6,11,13,19,25,28,102,34,22,36,14,32,5,2,6,6,3,7
17_8,5,9,12,20,24,28,98,33,23,33,15,32,4,3,8,4,4,6
17_9,4,9,11,18,23,28,93,32,24,32,14,29,5,2,7,5,5,6
17_10,7,11,13,21,25,29,106,36,22,36,14,34,4,2,8,4,4,5
18_1,7,13,19,22,27,31,119,38,24,40,14,41,6,6,3,5,4,9
18_2,7,9,11,16,21,27,91,34,20,30,12,27,2,2,5,5,6,7
18_3,5,9,14,18,24,29,99,34,24,33,15,32,4,5,4,6,5,9
18_4,4,9,14,19,23,29,98,33,25,32,14,33,5,5,5,4,6,8
18_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
18_6,6,10,16,20,27,31,110,37,25,37,17,36,4,6,4,7,4,5
18_7,5,6,14,21,28,30,104,35,25,34,22,35,1,8,7,7,2,8
18_8,9,13,17,21,28,32,120,41,23,41,15,38,4,4,4,7,4,9
18_9,8,11,18,22,27,31,117,39,23,38,16,40,3,7,4,5,4,10
18_10,4,8,16,20,24,30,102,34,26,32,16,36,4,8,4,4,6,8
19_1,6,14,20,24,27,31,122,37,25,41,13,44,8,6,4,3,4,13
19_2,5,8,12,17,22,31,95,36,26,30,14,29,3,4,5,5,9,7
19_3,4,9,15,19,23,28,98,32,24,32,14,34,5,6,4,4,5,9
19_4,4,9,14,18,23,29,97,33,25,32,14,32,5,5,4,5,6,8
