key,gap,pro1,pro2,pro3,range1,range2
11_8___1__,0,-1.5,0.9,3.2,3,6
15_9___1__,0,-1.1,1.0,3.0,3,6
2_9___1__,0,-1.1,0.9,3.1,3,7
5_8___1__,0,0.8,2.9,4.9,3,9
8_8___1__,0,-1.0,1.1,3.0,3,6
10_8___1__,0,-0.4,1.3,2.9,3,6
11_9___1__,0,-0.7,1.8,4.6,3,4
15_8___1__,0,-1.8,1.0,3.6,3,9
15_10___1__,0,-1.7,0.5,2.9,3,6
17_7___1__,0,-0.8,0.8,2.6,3,6
17_8___1__,0,-1.3,0.8,2.8,3,5
19_8___1__,0,-1.6,1.2,3.6,3,4
3_1___1__,0,-1.7,0.7,3.2,3,7
3_8___1__,0,-1.3,0.9,3.0,3,9
8_7___1__,0,0.3,2.4,4.5,3,5
8_9___1__,0,-1.7,0.3,2.2,3,6
8_10___1__,0,-0.7,1.4,3.5,3,6
12_1___1__,0,-1.8,0.6,3.1,3,6
14_8___1__,0,-1.2,1.0,3.3,3,6
16_8___1__,0,-0.5,1.5,3.5,3,9
18_7___1__,0,-0.1,2.0,4.0,3,5
2_1___1__,0,-0.8,1.3,3.2,3,7
12_7___1__,0,-0.5,1.5,3.6,3,5
1_7___1__,0,-0.0,2.3,4.7,3,4
18_6___1__,0,-0.3,2.0,4.2,3,6
2_2___1__,0,-0.4,1.5,3.2,3,5
6_1___1__,0,-0.2,2.1,4.5,3,7
6_7___1__,0,-0.8,1.2,3.2,3,5
7_2___1__,0,-0.4,1.7,3.7,3,5
7_3___1__,0,-0.8,2.3,5.7,3,5
7_7___1__,0,-0.7,1.5,4.0,3,9
7_10___1__,0,-1.2,1.1,3.4,3,7
8_1___1__,0,-0.5,1.6,3.8,3,4
9_7___1__,0,-0.4,2.1,4.3,3,8
10_1___1__,0,-0.7,2.1,4.9,3,7
10_7___1__,0,-0.1,1.7,3.5,3,3
11_2___1__,0,0.1,1.9,3.8,3,3
11_3___1__,0,-0.3,2.1,4.7,3,5
11_10___1__,0,0.1,2.6,5.1,3,6
20_1___1__,0,-0.3,1.9,4.3,3,6
8_7___2__,1,-0.5,1.4,3.1,8,11
11_10___2__,0,-0.7,1.6,4.0,8,10
14_7___2__,5,-1.3,0.9,3.1,8,9
14_10___2__,1,-1.5,1.4,4.4,8,11
15_9___2__,0,0.3,2.1,3.9,8,11
17_10___2__,1,-1.2,0.9,3.1,8,11
5_6___2__,4,-0.7,1.5,3.5,8,11
5_9___2__,0,-0.9,1.4,3.8,8,13
5_10___2__,0,-1.5,1.4,4.2,8,12
12_8___2__,0,-1.7,0.8,3.3,7,8
14_2___2__,1,-1.6,2.0,5.9,8,8
15_3___2__,0,-1.9,0.8,3.6,8,9
17_9___2__,1,-0.8,1.1,3.1,8,9
18_9___2__,1,-0.1,2.0,4.2,8,11
2_10___2__,1,-0.6,1.6,3.9,8,11
