Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230824,23098,0,13,15,8,2,24,21,3,29,25,31,11,25,8,1,3,7,6,4,16,11
20230827,23099,5,16,8,2,0,16,32,2,42,24,38,16,33,2,3,5,8,6,4,12,5
20230827,400_1,2,11,13,6,2,18,23,5,31,26,34,13,30,8,2,4,5,5,3,14,12
20230827,400_2,2,10,13,6,2,21,23,2,31,25,34,11,32,8,2,4,3,5,3,13,12
20230827,400_3,1,10,11,6,2,23,25,0,30,23,31,10,30,7,1,5,2,6,2,13,12
20230827,400_4,1,10,11,6,2,22,25,0,31,23,32,10,30,7,1,5,2,6,2,13,12
20230827,400_5,1,10,13,6,2,21,25,0,32,23,34,10,33,7,2,5,2,6,3,13,12
20230827,600_1,0,11,14,6,1,23,23,1,28,25,30,10,26,8,1,3,5,6,3,16,9
20230827,600_2,1,11,14,6,0,26,22,0,28,24,31,10,27,8,1,3,4,5,3,15,8
20230827,600_3,2,10,11,5,1,27,23,-2,28,23,31,8,26,8,0,2,4,6,3,12,8
20230827,600_4,1,10,12,5,1,26,23,-2,28,23,31,7,27,9,0,2,4,5,3,12,7
20230827,600_5,1,11,13,6,0,24,25,-1,28,23,31,8,27,8,0,2,4,6,3,13,7
20230827,1000_1,1,12,14,7,1,23,21,3,29,25,31,10,27,8,1,3,5,6,3,15,10
20230827,1000_2,1,11,13,7,1,24,21,1,30,24,31,10,28,7,1,4,4,6,3,15,9
20230827,1000_3,2,10,10,7,2,25,21,0,31,22,32,11,31,6,1,6,3,5,3,11,10
20230827,1000_4,2,11,11,7,2,25,21,0,32,23,32,10,30,6,1,5,3,6,3,13,9
20230827,1000_5,1,12,12,7,2,23,23,0,31,22,32,9,29,7,0,4,4,6,3,14,8
