key,gap,pro1,pro2,pro3,range1,range2
7_6___1__,0,-0.6,1.1,2.9,1,3
10_9___1__,2,-0.8,1.0,2.9,1,5
12_7___1__,0,0.0,2.0,3.9,1,2
16_6___1__,0,-0.5,1.3,3.0,1,3
20_8___1__,4,-1.1,1.1,3.0,1,7
4_1___1__,0,-0.7,1.7,4.1,1,5
7_7___1__,5,-0.7,1.4,3.4,1,9
12_6___1__,4,0.2,2.0,3.9,1,1
16_7___1__,4,-0.5,1.2,3.0,1,6
18_6___1__,5,-0.7,1.0,2.8,1,3
19_8___1__,4,-1.7,0.4,2.5,1,3
20_6___1__,5,-0.7,1.0,2.6,1,3
20_9___1__,4,-0.3,1.5,3.4,1,7
2_9___1__,2,-0.4,1.3,3.0,1,4
3_6___1__,0,0.0,2.0,4.0,1,6
3_7___1__,2,-1.0,1.0,2.9,1,3
3_9___1__,2,-0.1,1.9,3.7,1,3
4_6___1__,0,-0.4,1.6,3.5,1,3
6_7___1__,4,-0.7,1.1,3.0,1,3
6_9___1__,4,-1.7,0.4,2.4,1,3
13_1___1__,4,-0.3,1.8,4.0,1,2
1_10___1__,8,-0.5,1.6,3.5,1,4
2_3___1__,8,0.2,2.5,5.0,1,4
5_1___1__,4,-0.1,1.9,4.0,1,3
5_3___1__,8,-1.0,1.7,4.6,1,4
6_2___1__,4,-0.4,1.6,3.9,1,4
8_1___1__,6,-0.4,2.0,4.0,1,4
13_3___1__,4,-0.5,1.9,4.4,1,3
16_1___1__,6,0.1,2.4,4.5,1,2
17_6___1__,6,-0.6,1.6,3.5,1,4
18_2___1__,4,-0.2,2.2,4.5,1,2
2_2___1__,4,-0.9,1.1,3.1,1,2
2_6___1__,0,0.5,2.4,4.3,1,2
3_1___1__,4,-1.2,1.4,4.0,1,3
5_7___1__,4,-1.5,0.8,2.9,1,3
6_1___1__,8,0.5,2.6,4.7,1,5
6_8___1__,4,0.5,2.3,4.2,1,4
7_10___1__,6,-0.8,1.6,3.7,1,5
8_3___1__,6,-1.1,1.8,4.5,1,4
9_1___1__,6,-0.6,2.0,4.3,1,5
7_1___2__,2,-1.8,0.9,3.9,3,5
14_6___2__,0,-1.2,1.0,3.2,3,9
3_6___2__,0,-1.4,1.3,3.9,3,12
4_10___2__,2,-1.7,0.3,2.4,3,7
7_6___2__,0,-1.2,1.0,3.4,3,6
8_7___2__,1,-1.1,0.8,2.8,3,10
12_1___2__,0,-2.4,1.1,4.7,3,5
12_6___2__,0,-1.4,0.5,2.8,3,12
13_1___2__,0,-1.5,1.6,4.7,3,4
2_6___2__,0,-0.8,1.0,2.7,3,7
3_1___2__,2,-1.1,2.0,5.1,3,8
7_10___2__,4,-0.7,1.2,3.4,3,10
8_2___2__,1,-0.6,2.1,4.9,3,8
8_9___2__,0,-1.9,0.3,2.6,3,10
9_1___2__,2,-2.3,1.1,4.4,3,7
11_1___2__,1,-0.0,2.6,5.5,3,7
11_7___2__,0,-0.4,2.1,4.6,3,7
12_7___2__,0,-1.2,1.0,3.2,3,12
14_2___2__,2,-2.0,1.5,5.1,3,7
16_2___2__,2,-2.0,1.2,4.2,3,7
1_6___2__,4,-2.2,1.6,4.9,3,9
7_3___2__,4,-1.1,2.0,5.1,3,8
14_3___2__,2,-0.9,2.3,5.6,3,8
20_6___2__,0,-0.1,2.0,4.0,3,7
1_3___2__,2,-0.4,2.5,5.5,3,9
1_7___2__,3,-0.1,2.5,5.0,3,7
1_10___2__,4,-0.4,2.3,5.2,3,12
4_3___2__,4,0.1,3.6,7.0,3,10
5_3___2__,2,-0.2,2.9,6.1,3,12
6_10___2__,4,-1.2,1.5,3.9,3,12
8_3___2__,6,-0.3,3.4,7.1,3,9
9_3___2__,2,0.4,3.3,5.9,3,10
19_3___2__,2,0.8,3.9,7.0,3,10
20_7___2__,0,-0.2,2.1,4.4,3,9
1_8___2__,4,-0.8,1.6,4.1,3,8
1_9___2__,4,0.4,2.6,4.6,3,6
2_2___2__,2,-0.8,2.4,5.4,3,5
2_3___2__,2,-0.3,2.5,5.5,3,10
2_7___2__,3,0.3,2.1,4.0,3,10
2_8___2__,2,-0.4,1.5,3.3,3,9
13_6___3__,1,-0.6,1.4,3.2,4,10
15_6___3__,1,-1.0,1.2,3.4,4,10
4_7___3__,1,-1.1,0.7,2.5,4,9
12_6___3__,1,-1.0,1.0,3.1,4,13
14_6___3__,1,-0.1,1.3,2.6,4,11
3_1___3__,1,-0.8,1.4,3.6,4,9
8_9___3__,1,-1.0,1.0,3.0,4,10
13_7___3__,1,-1.0,0.7,2.6,4,15
13_8___3__,1,-1.1,1.0,2.8,4,15
14_7___3__,1,-0.4,1.0,2.6,4,9
14_8___3__,1,0.2,1.7,3.4,4,12
20_8___3__,1,-1.5,0.7,2.9,4,13
1_10___3__,1,-0.0,1.9,3.8,4,13
2_1___3__,1,-1.3,1.2,3.5,4,11
3_2___3__,1,-2.4,0.3,2.9,4,9
3_8___3__,1,-1.1,0.6,2.4,4,9
4_6___3__,2,-1.1,1.0,3.1,4,14
6_7___3__,1,-1.1,0.6,2.2,4,11
7_6___3__,1,-0.5,1.3,3.1,4,14
8_6___3__,2,-0.5,1.4,3.3,4,10
2_9___3__,1,-0.8,0.9,2.7,4,14
5_8___3__,1,-0.8,1.7,4.0,4,14
5_9___3__,1,-0.4,1.6,3.9,4,14
12_1___3__,1,-1.4,0.8,2.9,4,7
