row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
1_1,4,6,13,16,20,29,88,33,25,26,14,29,2,7,3,4,9,
1_2,5,10,16,20,24,30,105,35,25,34,14,36,5,6,4,4,6,
1_3,4,9,17,21,26,29,106,33,25,35,17,38,5,8,4,5,3,
1_4,3,7,13,18,24,28,93,31,25,31,17,31,4,6,5,6,4,
1_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
1_6,3,7,16,18,23,31,98,34,28,30,16,34,4,9,2,5,8,
1_7,5,9,18,22,26,31,111,36,26,35,17,40,4,9,4,4,5,
1_8,4,8,20,21,25,30,108,34,26,33,17,41,4,12,1,4,5,
1_9,3,7,16,18,22,28,94,31,25,29,15,34,4,9,2,4,6,
1_10,3,8,20,23,27,29,110,32,26,35,19,43,5,12,3,4,2,
2_1,1,3,11,16,20,25,76,26,24,23,17,27,2,8,5,4,5,
2_2,6,12,17,23,25,30,113,36,24,37,13,40,6,5,6,2,5,
2_3,3,9,17,23,27,29,108,32,26,36,18,40,6,8,6,4,2,
2_4,4,8,13,19,23,28,95,32,24,31,15,32,4,5,6,4,5,
2_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
2_6,2,9,17,20,25,28,101,30,26,34,16,37,7,8,3,5,3,
2_7,4,14,18,22,27,30,115,34,26,41,13,40,10,4,4,5,3,
2_8,2,7,16,21,27,28,101,30,26,34,20,37,5,9,5,6,1,
2_9,2,8,13,17,23,28,91,30,26,31,15,30,6,5,4,6,5,
2_10,2,9,17,20,24,27,99,29,25,33,15,37,7,8,3,4,3,
3_1,3,4,12,15,18,25,77,28,22,22,14,27,1,8,3,3,7,
3_2,7,11,17,21,25,29,110,36,22,36,14,38,4,6,4,4,4,
3_3,4,8,15,20,26,28,101,32,24,34,18,35,4,7,5,6,2,
3_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,
3_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
3_6,3,9,21,25,30,32,120,35,29,39,21,46,6,12,4,5,2,
3_7,3,11,21,25,30,33,123,36,30,41,19,46,8,10,4,5,3,
3_8,1,8,18,24,28,31,110,32,30,36,20,42,7,10,6,4,3,
3_9,2,8,16,23,29,31,109,33,29,37,21,39,6,8,7,6,2,
3_10,2,8,17,24,29,30,110,32,28,37,21,41,6,9,7,5,1,
4_1,4,7,12,19,24,29,95,33,25,31,17,31,3,5,7,5,5,
4_2,5,8,18,23,27,30,111,35,25,35,19,41,3,10,5,4,3,
4_3,5,9,16,22,27,29,108,34,24,36,18,38,4,7,6,5,2,
4_4,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,
4_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
4_6,6,10,17,23,26,32,114,38,26,36,16,40,4,7,6,3,6,
4_7,5,10,19,23,29,32,118,37,27,39,19,42,5,9,4,6,3,
4_8,2,5,16,22,29,31,105,33,29,34,24,38,3,11,6,7,2,
4_9,3,9,15,19,29,31,106,34,28,38,20,34,6,6,4,10,2,
4_10,3,6,14,21,28,31,103,34,28,34,22,35,3,8,7,7,3,
5_1,3,4,14,16,19,24,80,27,21,23,15,30,1,10,2,3,5,
5_2,5,12,18,23,27,30,115,35,25,39,15,41,7,6,5,4,3,
5_3,3,10,16,20,27,29,105,32,26,37,17,36,7,6,4,7,2,
5_4,4,8,14,20,25,29,100,33,25,33,17,34,4,6,6,5,4,
5_5,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,
5_6,3,5,11,21,25,30,95,33,27,30,20,32,2,6,10,4,5,
5_7,2,5,12,20,24,30,93,32,28,29,19,32,3,7,8,4,6,
5_8,2,6,13,18,24,31,94,33,29,30,18,31,4,7,5,6,7,
5_9,2,7,13,19,24,31,96,33,29,31,17,32,5,6,6,5,7,
5_10,1,5,14,21,25,29,95,30,28,30,20,35,4,9,7,4,4,
6_1,4,7,14,19,22,28,94,32,24,29,15,33,3,7,5,3,6,
6_2,6,11,17,21,24,28,107,34,22,35,13,38,5,6,4,3,4,
6_3,4,8,15,20,26,28,101,32,24,34,18,35,4,7,5,6,2,
