row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
1_1,9,15,18,24,28,30,124,39,21,43,13,42,6,3,6,4,2,
1_2,8,13,19,21,26,29,116,37,21,39,13,40,5,6,2,5,3,
1_3,4,7,12,17,24,28,92,32,24,31,17,29,3,5,5,7,4,
1_4,4,7,11,18,22,28,90,32,24,29,15,29,3,4,7,4,6,
1_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
1_6,3,8,16,19,25,28,99,31,25,33,17,35,5,8,3,6,3,
1_7,3,7,15,18,24,29,96,32,26,31,17,33,4,8,3,6,5,
1_8,2,8,16,19,25,28,98,30,26,33,17,35,6,8,3,6,3,
1_9,2,6,14,17,24,28,91,30,26,30,18,31,4,8,3,7,4,
1_10,4,9,18,20,23,29,103,33,25,32,14,38,5,9,2,3,6,
2_1,13,18,22,26,28,31,138,44,18,46,10,48,5,4,4,2,3,
2_2,5,11,20,22,27,28,113,33,23,38,16,42,6,9,2,5,1,
2_3,4,8,15,22,26,29,104,33,25,34,18,37,4,7,7,4,3,
2_4,4,7,13,18,23,29,94,33,25,30,16,31,3,6,5,5,6,
2_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
2_6,4,8,15,19,24,31,101,35,27,32,16,34,4,7,4,5,7,
2_7,4,8,17,20,23,29,101,33,25,31,15,37,4,9,3,3,6,
2_8,3,7,14,18,21,27,90,30,24,28,14,32,4,7,4,3,6,
2_9,3,8,19,22,26,28,106,31,25,34,18,41,5,11,3,4,2,
2_10,3,10,14,18,22,28,95,31,25,32,12,32,7,4,4,4,6,
3_1,7,16,18,26,29,31,127,38,24,45,13,44,9,2,8,3,2,
3_2,6,13,21,24,28,29,121,35,23,41,15,45,7,8,3,4,1,
3_3,6,9,13,21,25,28,102,34,22,34,16,34,3,4,8,4,3,
3_4,4,8,13,19,23,29,96,33,25,31,15,32,4,5,6,4,6,
3_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
3_6,4,13,17,22,28,30,114,34,26,41,15,39,9,4,5,6,2,
3_7,1,7,15,18,26,28,95,29,27,33,19,33,6,8,3,8,2,
3_8,4,10,13,17,23,28,95,32,24,33,13,30,6,3,4,6,5,
3_9,1,8,15,19,23,27,93,28,26,31,15,34,7,7,4,4,4,
3_10,3,8,12,15,20,28,86,31,25,28,12,27,5,4,3,5,8,
4_1,6,15,17,26,29,31,124,37,25,44,14,43,9,2,9,3,2,
4_2,6,10,18,23,27,28,112,34,22,37,17,41,4,8,5,4,1,
4_3,5,9,14,21,27,29,105,34,24,36,18,35,4,5,7,6,2,
4_4,4,8,13,18,23,29,95,33,25,31,15,31,4,5,5,5,6,
4_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
4_6,3,10,20,25,30,33,121,36,30,40,20,45,7,10,5,5,3,
4_7,2,7,17,24,27,30,107,32,28,34,20,41,5,10,7,3,3,
4_8,2,9,14,23,26,30,104,32,28,35,17,37,7,5,9,3,4,
4_9,2,8,15,24,27,30,106,32,28,35,19,39,6,7,9,3,3,
4_10,2,9,17,20,25,29,102,31,27,34,16,37,7,8,3,5,4,
5_1,9,12,18,24,29,30,122,39,21,41,17,42,3,6,6,5,1,
5_2,5,14,20,24,27,28,118,33,23,41,13,44,9,6,4,3,1,
5_3,5,9,13,24,28,30,109,35,25,37,19,37,4,4,11,4,2,
5_4,4,9,14,20,24,30,101,34,26,33,15,34,5,5,6,4,6,
5_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
5_6,6,11,17,23,27,31,115,37,25,38,16,40,5,6,6,4,4,
5_7,3,8,18,22,28,31,110,34,28,36,20,40,5,10,4,6,3,
5_8,4,10,14,19,29,31,107,35,27,39,19,33,6,4,5,10,2,
5_9,4,9,15,21,29,31,109,35,27,38,20,36,5,6,6,8,2,
5_10,3,8,14,18,25,30,98,33,27,33,17,32,5,6,4,7,5,
6_1,4,11,14,24,29,32,114,36,28,40,18,38,7,3,10,5,3,
6_2,4,12,19,22,27,29,113,33,25,39,15,41,8,7,3,5,2,
6_3,4,8,13,21,26,30,102,34,26,34,18,34,4,5,8,5,4,
6_4,4,7,12,19,24,29,95,33,25,31,17,31,3,5,7,5,5,
6_5,4,9,14,19,25,29,100,33,25,34,16,33,5,5,5,6,4,
6_6,3,6,13,19,23,30,94,33,27,29,17,32,3,7,6,4,7,
6_7,2,7,12,17,23,31,92,33,29,30,16,29,5,5,5,6,8,
6_8,2,9,14,20,24,29,98,31,27,33,15,34,7,5,6,4,5,
6_9,1,6,15,21,25,29,97,30,28,31,19,36,5,9,6,4,4,
6_10,2,6,13,16,19,27,83,29,25,25,13,29,4,7,3,3,8,
7_1,5,12,18,26,30,31,122,36,26,42,18,44,7,6,8,4,1,
7_2,7,13,22,24,27,28,121,35,21,40,14,46,6,9,2,3,1,
7_3,5,8,13,20,27,29,102,34,24,35,19,33,3,5,7,7,2,
7_4,5,8,14,19,23,28,97,33,23,31,15,33,3,6,5,4,5,
7_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
7_6,3,11,17,20,26,30,107,33,27,37,15,37,8,6,3,6,4,
7_7,2,8,15,21,26,30,102,32,28,34,18,36,6,7,6,5,4,
7_8,6,9,16,20,25,28,104,34,22,34,16,36,3,7,4,5,3,
7_9,2,8,16,20,26,30,102,32,28,34,18,36,6,8,4,6,4,
7_10,2,9,15,18,23,29,96,31,27,32,14,33,7,6,3,5,6,
8_1,8,16,19,24,28,31,126,39,23,44,12,43,8,3,5,4,3,
8_2,6,12,19,21,25,27,110,33,21,37,13,40,6,7,2,4,2,
8_3,5,8,13,19,26,29,100,34,24,34,18,32,3,5,6,7,3,
8_4,4,8,12,17,22,29,92,33,25,30,14,29,4,4,5,5,7,
8_5,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,
8_6,3,13,16,20,29,33,114,36,30,42,16,36,10,3,4,9,4,
8_7,1,9,17,21,30,33,111,34,32,39,21,38,8,8,4,9,3,
8_8,2,9,14,16,25,32,98,34,30,34,16,30,7,5,2,9,7,
8_9,3,8,11,19,26,32,99,35,29,34,18,30,5,3,8,7,6,
8_10,5,9,15,16,22,29,96,34,24,31,13,31,4,6,1,6,7,
9_1,5,13,16,22,28,30,114,35,25,41,15,38,8,3,6,6,2,
9_2,5,12,20,22,26,29,114,34,24,38,14,42,7,8,2,4,3,
9_3,5,9,15,22,27,30,108,35,25,36,18,37,4,6,7,5,3,
9_4,4,7,12,18,23,28,92,32,24,30,16,30,3,5,6,5,5,
9_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
9_6,3,10,16,21,27,29,106,32,26,37,17,37,7,6,5,6,2,
9_7,1,8,16,20,26,30,101,31,29,34,18,36,7,8,4,6,4,
9_8,2,8,13,16,24,28,91,30,26,32,16,29,6,5,3,8,4,
9_9,2,7,16,20,26,29,100,31,27,33,19,36,5,9,4,6,3,
9_10,2,8,12,16,22,28,88,30,26,30,14,28,6,4,4,6,6,
10_1,7,15,21,25,28,31,127,38,24,43,13,46,8,6,4,3,3,
10_2,8,16,22,23,27,29,125,37,21,43,11,45,8,6,1,4,2,
10_3,6,10,15,22,26,30,109,36,24,36,16,37,4,5,7,4,4,
10_4,4,8,12,18,24,29,95,33,25,32,16,30,4,4,6,6,5,
10_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
10_6,1,6,17,22,28,32,106,33,31,34,22,39,5,11,5,6,4,
10_7,2,7,19,22,28,32,110,34,30,35,21,41,5,12,3,6,4,
10_8,2,9,16,21,26,30,104,32,28,35,17,37,7,7,5,5,4,
10_9,4,9,18,22,26,30,109,34,26,35,17,40,5,9,4,4,4,
10_10,5,8,13,16,20,27,89,32,22,28,12,29,3,5,3,4,7,
11_1,4,12,17,25,29,30,117,34,26,41,17,42,8,5,8,4,1,
11_2,4,12,20,22,27,29,114,33,25,39,15,42,8,8,2,5,2,
11_3,5,8,11,21,27,30,102,35,25,35,19,32,3,3,10,6,3,
11_4,4,7,13,19,24,29,96,33,25,31,17,32,3,6,6,5,5,
11_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
11_6,8,15,21,23,28,31,126,39,23,43,13,44,7,6,2,5,3,
11_7,3,11,19,22,29,31,115,34,28,40,18,41,8,8,3,7,2,
11_8,4,11,17,19,25,30,106,34,26,36,14,36,7,6,2,6,5,
11_9,2,8,18,23,26,29,106,31,27,34,18,41,6,10,5,3,3,
11_10,3,10,13,16,20,29,91,32,26,30,10,29,7,3,3,4,9,
12_1,5,13,16,22,29,31,116,36,26,42,16,38,8,3,6,7,2,
12_2,3,13,19,23,27,29,114,32,26,40,14,42,10,6,4,4,2,
12_3,4,9,14,21,27,30,105,34,26,36,18,35,5,5,7,6,3,
12_4,3,6,11,18,22,28,88,31,25,28,16,29,3,5,7,4,6,
12_5,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,
12_6,3,9,18,20,25,32,107,35,29,34,16,38,6,9,2,5,7,
12_7,3,7,15,18,21,30,94,33,27,28,14,33,4,8,3,3,9,
12_8,3,8,15,15,22,29,92,32,26,30,14,30,5,7,0,7,7,
12_9,3,6,13,18,22,29,91,32,26,28,16,31,3,7,5,4,7,
12_10,3,8,11,14,19,28,83,31,25,27,11,25,5,3,3,5,9,
13_1,7,13,21,25,28,31,125,38,24,41,15,46,6,8,4,3,3,
13_2,5,13,19,23,29,29,118,34,24,42,16,42,8,6,4,6,0,
13_3,4,8,12,20,26,29,99,33,25,34,18,32,4,4,8,6,3,
13_4,4,8,13,18,22,29,94,33,25,30,14,31,4,5,5,4,7,
13_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
13_6,5,8,15,17,25,28,98,33,23,33,17,32,3,7,2,8,3,
13_7,5,8,12,17,26,29,97,34,24,34,18,29,3,4,5,9,3,
13_8,3,8,10,17,25,28,91,31,25,33,17,27,5,2,7,8,3,
13_9,3,6,13,21,27,30,100,33,27,33,21,34,3,7,8,6,3,
13_10,2,7,13,19,25,30,96,32,28,32,18,32,5,6,6,6,5,
14_1,12,14,19,23,25,30,123,42,18,39,11,42,2,5,4,2,5,
14_2,4,11,17,24,28,31,115,35,27,39,17,41,7,6,7,4,3,
14_3,3,7,11,20,25,28,94,31,25,32,18,31,4,4,9,5,3,
14_4,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5,
14_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
14_6,2,7,18,21,25,31,104,33,29,32,18,39,5,11,3,4,6,
14_7,1,5,13,18,23,30,90,31,29,28,18,31,4,8,5,5,7,
14_8,1,4,9,16,21,30,81,31,29,25,17,25,3,5,7,5,9,
14_9,1,3,12,20,24,28,88,29,27,27,21,32,2,9,8,4,4,
14_10,2,7,13,17,22,29,90,31,27,29,15,30,5,6,4,5,7,
15_1,7,15,19,23,29,30,123,37,23,44,14,42,8,4,4,6,1,
15_2,7,14,21,24,28,30,124,37,23,42,14,45,7,7,3,4,2,
15_3,5,9,15,20,27,29,105,34,24,36,18,35,4,6,5,7,2,
15_4,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5,
15_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
15_6,1,6,16,20,26,32,101,33,31,32,20,36,5,10,4,6,6,
15_7,1,5,16,22,25,30,99,31,29,30,20,38,4,11,6,3,5,
15_8,1,7,16,22,24,29,99,30,28,31,17,38,6,9,6,2,5,
15_9,2,7,14,20,24,28,95,30,26,31,17,34,5,7,6,4,4,
15_10,2,9,12,17,22,28,90,30,26,31,13,29,7,3,5,5,6,
16_1,4,12,17,23,29,31,116,35,27,41,17,40,8,5,6,6,2,
16_2,6,12,19,25,29,29,120,35,23,41,17,44,6,7,6,4,0,
16_3,4,9,13,20,25,29,100,33,25,34,16,33,5,4,7,5,4,
16_4,4,7,12,18,23,28,92,32,24,30,16,30,3,5,6,5,5,
16_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
16_6,4,8,16,15,26,30,99,34,26,34,18,31,4,8,-1,11,4,
16_7,3,8,16,18,26,30,101,33,27,34,18,34,5,8,2,8,4,
16_8,5,9,14,16,26,30,100,35,25,35,17,30,4,5,2,10,4,
16_9,2,6,15,19,24,29,95,31,27,30,18,34,4,9,4,5,5,
16_10,3,7,12,17,21,28,88,31,25,28,14,29,4,5,5,4,7,
17_1,13,17,20,25,26,28,129,41,15,43,9,45,4,3,5,1,2,
17_2,3,10,18,22,27,28,108,31,25,37,17,40,7,8,4,5,1,
17_3,4,8,12,21,25,28,98,32,24,33,17,33,4,4,9,4,3,
17_4,4,8,12,18,23,28,93,32,24,31,15,30,4,4,6,5,5,
17_5,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,
17_6,3,10,18,21,29,32,113,35,29,39,19,39,7,8,3,8,3,
17_7,2,8,14,18,27,30,99,32,28,35,19,32,6,6,4,9,3,
17_8,2,9,14,17,25,29,96,31,27,34,16,31,7,5,3,8,4,
17_9,3,10,15,19,26,30,103,33,27,36,16,34,7,5,4,7,4,
17_10,2,7,14,18,22,29,92,31,27,29,15,32,5,7,4,4,7,
18_1,3,10,17,21,27,29,107,32,26,37,17,38,7,7,4,6,2,
18_2,6,12,18,22,27,30,115,36,24,39,15,40,6,6,4,5,3,
18_3,3,8,13,19,25,28,96,31,25,33,17,32,5,5,6,6,3,
18_4,4,8,13,18,22,29,94,33,25,30,14,31,4,5,5,4,7,
18_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
18_6,2,6,17,17,25,33,100,35,31,31,19,34,4,11,0,8,8,
