red1
95:(142.1, 16.9), (62.3, -2.5), (-17.0, -22.0)
96:(142.1, 16.9), (62.3, -2.5), (-17.0, -22.0)
97:(140.3, 18.7), (62.7, -2.9), (-14.2, -24.8)
98:(132.6, 26.4), (61.4, -1.6), (-9.4, -29.6)
99:(126.5, 32.5), (61.2, -1.4), (-3.9, -35.1)
100:(115.0, 44.0), (55.7, 4.1), (-3.5, -35.5)
101:(113.4, 45.6), (57.2, 2.6), (0.8, -39.8)
102:(109.2, 49.8), (55.5, 4.3), (1.6, -40.6)
103:(104.6, 54.4), (53.8, 6.0), (3.0, -42.0)
104:(100.4, 58.6), (51.6, 8.2), (2.8, -41.8)
105:(91.0, 68.0), (47.5, 12.3), (4.0, -43.0)
106:(91.0, 68.0), (47.5, 12.3), (4.0, -43.0)
107:(91.0, 68.0), (47.5, 12.3), (4.0, -43.0)
108:(86.6, 72.4), (46.1, 13.7), (5.5, -44.5)
109:(83.3, 75.7), (45.5, 14.3), (7.5, -46.5)
110:(73.1, 85.9), (37.5, 22.3), (1.6, -40.6)
111:(66.7, 92.3), (37.5, 22.3), (8.1, -47.1)
112:(60.4, 98.6), (33.1, 26.7), (5.6, -44.6)
113:(60.4, 98.6), (33.1, 26.7), (5.6, -44.6)
114:(60.4, 98.6), (33.1, 26.7), (5.6, -44.6)
115:(56.0, 103.0), (32.9, 26.9), (9.6, -48.6)
116:(48.9, 110.1), (28.3, 31.5), (7.4, -46.4)
117:(28.0, 131.0), (16.9, 42.9), (6.1, -45.1)
118:(22.0, 137.0), (13.0, 46.8), (4.3, -43.3)
119:(22.0, 137.0), (13.0, 46.8), (4.3, -43.3)
120:(22.0, 137.0), (13.0, 46.8), (4.3, -43.3)
121:(14.3, 144.7), (7.7, 52.1), (1.5, -40.5)
122:(7.9, 151.1), (3.3, 56.5), (-1.1, -37.9)
123:(7.9, 151.1), (3.3, 56.5), (-1.1, -37.9)
124:(0.9, 158.1), (-1.4, 61.2), (-3.5, -35.5)
125:(0.9, 158.1), (-1.4, 61.2), (-3.5, -35.5)
126:(0, 159.0), (0, 59.8), (0, -39.0)

red_sum16
21:(0, 94.3), (0, -4.8), (0, -105.2)
22:(3.0, 91.3), (0.0, -4.8), (-3.0, -102.2)
23:(3.0, 91.3), (0.0, -4.8), (-3.0, -102.2)
24:(3.0, 91.3), (0.0, -4.8), (-3.0, -102.2)
25:(3.0, 91.3), (0.0, -4.8), (-3.0, -102.2)
26:(7.7, 86.6), (-0.7, -4.1), (-9.1, -96.1)
27:(13.2, 81.1), (0.4, -5.2), (-12.7, -92.5)
28:(27.1, 67.2), (2.3, -7.1), (-23.4, -81.8)
29:(51.6, 42.7), (8.6, -13.4), (-35.7, -69.5)
30:(54.0, 40.3), (-0.1, -4.7), (-55.9, -49.3)
31:(60.8, 33.5), (-3.4, -1.4), (-69.3, -35.9)
32:(64.6, 29.7), (-12.8, 8.0), (-91.4, -13.8)
33:(94.3, 0), (-4.8, 0), (-105.2, 0)
34:(22.9, 71.4), (3.4, -8.2), (-16.1, -89.1)
35:(12.6, 81.7), (0.6, -5.4), (-11.5, -93.7)
36:(12.0, 82.3), (2.3, -7.1), (-7.5, -97.7)
37:(8.3, 86.0), (3.2, -8.0), (-1.9, -103.3)
38:(0, 94.3), (0, -4.8), (0, -105.2)

red_gap16
9:(0, 76.2), (0, -15.4), (0, -106.3)
10:(1.8, 74.4), (-0.5, -14.9), (-2.7, -103.6)
11:(1.8, 74.4), (-0.5, -14.9), (-2.7, -103.6)
12:(1.8, 74.4), (-0.5, -14.9), (-2.7, -103.6)
13:(1.8, 74.4), (-0.5, -14.9), (-2.7, -103.6)
14:(1.8, 74.4), (-0.5, -14.9), (-2.7, -103.6)
15:(1.8, 74.4), (-0.5, -14.9), (-2.7, -103.6)
16:(1.8, 74.4), (-0.5, -14.9), (-2.7, -103.6)
17:(1.8, 74.4), (-0.5, -14.9), (-2.7, -103.6)
18:(4.7, 71.5), (-2.6, -12.8), (-9.6, -96.7)
19:(4.7, 71.5), (-2.6, -12.8), (-9.6, -96.7)
20:(23.7, 52.5), (4.0, -19.4), (-15.0, -91.3)
21:(31.5, 44.7), (5.7, -21.1), (-19.6, -86.7)
22:(40.1, 36.1), (3.3, -18.7), (-33.2, -73.1)
23:(49.0, 27.2), (-2.2, -13.2), (-53.5, -52.8)
24:(57.7, 18.5), (-8.0, -7.4), (-72.9, -33.4)
25:(71.0, 5.2), (-10.4, -5.0), (-91.1, -15.2)
26:(73.1, 3.1), (-10.6, -4.8), (-93.6, -12.7)
27:(72.7, 3.5), (-13.8, -1.6), (-99.6, -6.7)
28:(76.2, 0), (-15.4, 0), (-106.3, 0)
29:(76.2, 0), (-15.4, 0), (-106.3, 0)
30:(0, 76.2), (0, -15.4), (0, -106.3)

red_sum25
20:(0, 24.1), (0, -72.9), (0, -168.6)
21:(0.1, 24.0), (-2.3, -70.6), (-4.7, -163.9)
22:(0.1, 24.0), (-2.3, -70.6), (-4.7, -163.9)
23:(0.1, 24.0), (-2.3, -70.6), (-4.7, -163.9)
24:(0.1, 24.0), (-2.3, -70.6), (-4.7, -163.9)
25:(0.1, 24.0), (-2.3, -70.6), (-4.7, -163.9)
26:(0.1, 24.0), (-2.3, -70.6), (-4.7, -163.9)
27:(1.4, 22.7), (-6.0, -66.9), (-13.4, -155.2)
28:(5.2, 18.9), (-10.9, -62.0), (-27.3, -141.3)
29:(24.1, 0), (-72.9, 0), (-168.6, 0)
30:(17.8, 6.3), (-53.0, -19.9), (-122.6, -46.0)
31:(16.6, 7.5), (-48.9, -24.0), (-113.0, -55.6)
32:(14.6, 9.5), (-42.0, -30.9), (-97.3, -71.3)
33:(12.7, 11.4), (-35.3, -37.6), (-82.4, -86.2)
34:(9.9, 14.2), (-22.5, -50.4), (-53.8, -114.8)
35:(7.3, 16.8), (-14.8, -58.1), (-36.4, -132.2)
36:(3.4, 20.7), (-9.0, -63.9), (-21.2, -147.4)
37:(3.6, 20.5), (-7.0, -65.9), (-17.4, -151.2)
38:(2.4, 21.7), (-6.1, -66.8), (-14.3, -154.3)
39:(2.0, 22.1), (-4.2, -68.7), (-10.2, -158.4)
40:(1.3, 22.8), (-2.8, -70.1), (-7.0, -161.6)
41:(0.8, 23.3), (-1.2, -71.7), (-3.2, -165.4)
42:(0.8, 23.3), (-1.2, -71.7), (-3.2, -165.4)
43:(0, 24.1), (0, -72.9), (0, -168.6)

red_gap25
8:(0, 72.2), (0, -29.6), (0, -130.2)
9:(0.4, 71.8), (-2.2, -27.4), (-4.5, -125.7)
10:(0.4, 71.8), (-2.2, -27.4), (-4.5, -125.7)
11:(6.5, 65.7), (-3.2, -26.4), (-12.6, -117.6)
12:(9.9, 62.3), (-7.1, -22.5), (-24.0, -106.2)
13:(72.2, 0), (-29.6, 0), (-130.2, 0)
14:(46.7, 25.5), (-20.3, -9.3), (-86.1, -44.1)
15:(42.7, 29.5), (-16.9, -12.7), (-75.4, -54.8)
16:(25.9, 46.3), (-15.1, -14.5), (-55.4, -74.8)
17:(20.2, 52.0), (-5.7, -23.9), (-30.9, -99.3)
18:(8.3, 63.9), (-2.0, -27.6), (-12.5, -117.7)
19:(4.9, 67.3), (-2.7, -26.9), (-10.5, -119.7)
20:(1.5, 70.7), (-1.0, -28.6), (-3.4, -126.8)
21:(0, 72.2), (0, -29.6), (0, -130.2)

red_sum34
20:(0, 75.5), (0, -22.3), (0, -121.0)
21:(75.5, 0), (-22.3, 0), (-121.0, 0)
22:(75.5, 0), (-22.3, 0), (-121.0, 0)
23:(75.5, 0), (-22.3, 0), (-121.0, 0)
24:(75.5, 0), (-22.3, 0), (-121.0, 0)
25:(75.5, 0), (-22.3, 0), (-121.0, 0)
26:(71.7, 3.8), (-21.9, -0.4), (-116.4, -4.6)
27:(63.4, 12.1), (-21.9, -0.4), (-107.5, -13.5)
28:(58.2, 17.3), (-21.8, -0.5), (-102.3, -18.7)
29:(49.9, 25.6), (-19.8, -2.5), (-90.2, -30.8)
30:(42.8, 32.7), (-15.0, -7.3), (-73.6, -47.4)
31:(37.3, 38.2), (-12.5, -9.8), (-63.0, -58.0)
32:(34.1, 41.4), (-11.2, -11.1), (-57.3, -63.7)
33:(26.7, 48.8), (-8.6, -13.7), (-44.7, -76.3)
34:(21.1, 54.4), (-5.5, -16.8), (-32.8, -88.2)
35:(16.0, 59.5), (-5.9, -16.4), (-28.6, -92.4)
36:(9.5, 66.0), (-4.4, -17.9), (-18.8, -102.2)
37:(6.1, 69.4), (-3.7, -18.6), (-13.7, -107.3)
38:(3.5, 72.0), (-3.3, -19.0), (-10.2, -110.8)
39:(1.9, 73.6), (-2.5, -19.8), (-6.7, -114.3)
40:(0, 75.5), (0, -22.3), (0, -121.0)

red_gap12
0:(0, 112.3), (0, 24.0), (0, -64.3)
1:(0.8, 111.5), (-1.2, 25.2), (-3.4, -60.9)
2:(14.6, 97.7), (3.6, 20.4), (-7.5, -56.8)
3:(26.4, 85.9), (8.8, 15.2), (-8.9, -55.4)
4:(55.6, 56.7), (18.1, 5.9), (-19.7, -44.6)
5:(83.3, 29.0), (21.4, 2.6), (-40.6, -23.7)
6:(112.3, 0), (24.0, 0), (-64.3, 0)
7:(12.6, 99.7), (2.2, 21.8), (-8.3, -56.0)
8:(4.7, 107.6), (0.9, 23.1), (-3.2, -61.1)
9:(0, 112.3), (0, 24.0), (0, -64.3)

red_gap23
0:(0, 107.1), (0, 7.1), (0, -93.7)
1:(107.1, 0), (7.1, 0), (-93.7, 0)
2:(106.2, 0.9), (8.3, -1.2), (-90.3, -3.4)
3:(102.3, 4.8), (6.8, 0.3), (-89.1, -4.6)
4:(77.5, 29.6), (6.8, 0.3), (-64.4, -29.3)
5:(64.5, 42.6), (6.7, 0.4), (-51.6, -42.1)
6:(34.0, 73.1), (5.3, 1.8), (-23.4, -70.3)
7:(29.9, 77.2), (3.7, 3.4), (-22.3, -71.4)
8:(18.7, 88.4), (2.9, 4.2), (-13.0, -80.7)
9:(8.9, 98.2), (0.7, 6.4), (-7.3, -86.4)
10:(3.1, 104.0), (0.5, 6.6), (-2.0, -91.7)
11:(3.1, 104.0), (0.5, 6.6), (-2.0, -91.7)
12:(0, 107.1), (0, 7.1), (0, -93.7)

red_gap34
0:(0, 44.9), (0, -43.2), (0, -129.0)
