Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240402,24036,7,12,9,1,5,36,8,1,83,33,29,29,13,21,6,1,3,9,10,3,7,2,14
20240404,24037,3,14,9,8,2,39,9,0,42,15,13,16,8,11,3,1,1,6,2,4,13,13,4
20240404,100_1,5,14,7,1,3,31,15,1,106,34,25,35,16,35,4,7,2,6,3,2,7,7,13
20240404,100_2,6,12,8,2,2,27,19,2,111,35,22,37,16,36,4,6,4,6,2,2,6,12,14
20240404,100_3,6,14,9,1,1,31,16,1,119,39,23,42,17,39,4,4,8,6,1,2,6,11,14
20240404,100_4,6,13,9,1,0,29,18,1,130,41,21,47,17,44,5,3,8,5,0,3,7,8,11
20240404,100_5,6,15,10,1,1,31,16,0,132,42,18,48,14,45,4,3,7,3,0,3,6,6,9
20240404,200_1,4,17,7,2,3,28,14,2,110,33,26,38,14,35,9,3,3,6,3,2,8,4,10
20240404,200_2,4,14,9,3,2,21,21,4,111,33,25,38,15,38,7,4,4,5,2,2,8,10,12
20240404,200_3,4,13,10,2,1,22,21,3,125,38,24,43,16,43,6,5,4,6,1,2,11,8,10
20240404,200_4,5,11,13,3,1,21,21,4,138,44,20,47,13,46,5,3,3,5,2,3,14,7,10
20240404,200_5,6,10,12,3,1,22,21,4,145,47,18,49,11,48,4,3,3,4,2,3,14,6,9
20240404,300_1,4,15,9,0,1,25,21,2,120,37,24,40,16,41,5,6,4,5,2,4,9,5,9
20240404,300_2,5,13,10,1,0,17,28,3,113,35,23,38,12,39,7,4,3,3,4,3,6,7,9
20240404,300_3,6,11,11,1,2,17,25,3,125,38,24,44,16,43,6,4,5,5,1,3,8,7,9
20240404,300_4,3,11,12,1,2,16,27,3,130,39,23,46,16,45,7,4,6,4,0,3,7,9,8
20240404,300_5,3,11,12,1,2,17,25,4,134,40,23,47,14,47,7,3,6,4,0,3,8,8,8
