Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240627,24073,2,5,6,1,0,9,11,0,100,33,27,37,19,30,6,3,6,10,2,2,2,1,12
20240630,100_1,2,5,3,1,0,11,5,1,113,37,25,33,17,34,2,4,6,5,4,2,3,12,5
20240630,100_2,2,5,4,1,0,12,5,0,125,38,24,40,19,40,3,4,9,4,1,2,3,10,6
20240630,100_3,2,5,2,0,0,12,5,0,125,39,26,41,21,41,3,5,9,4,1,1,2,8,7
20240630,100_4,1,5,4,1,0,13,5,0,118,37,22,39,16,36,4,4,4,7,2,1,1,10,6
20240630,100_5,0,5,5,2,-1,10,8,1,120,37,25,39,18,38,4,2,9,5,2,3,5,13,3
20240630,200_1,3,4,3,1,0,10,8,0,109,35,28,36,20,38,4,7,7,5,3,2,3,5,12
20240630,200_2,2,4,4,1,0,10,9,0,118,38,26,40,17,41,5,6,6,4,3,2,3,6,10
20240630,200_3,4,5,2,0,0,11,7,0,118,39,29,38,20,40,4,8,6,4,5,2,2,10,4
20240630,200_4,1,5,5,2,0,12,8,0,122,39,23,41,16,42,4,6,6,4,3,2,2,6,11
20240630,200_5,2,5,6,2,0,9,10,0,120,42,21,39,15,39,2,3,8,3,3,3,5,9,8
20240630,300_1,3,4,3,0,0,13,6,0,125,38,24,39,21,46,2,9,8,2,1,2,4,9,9
20240630,300_2,4,4,3,0,0,11,7,0,130,39,25,40,21,50,2,11,7,1,1,2,3,8,9
20240630,300_3,5,3,1,0,1,13,3,0,121,36,27,36,21,47,3,12,7,2,2,2,1,10,5
20240630,300_4,4,4,2,0,0,12,5,0,127,38,25,39,21,48,3,11,7,2,1,2,3,8,7
20240630,300_5,2,5,4,0,0,11,7,1,138,41,23,44,18,52,4,8,8,1,0,3,4,9,5
