Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240314,24028,0,8,4,3,0,10,9,1,66,22,16,25,11,19,4,1,3,7,1,4,4,5,3
20240317,24029,4,3,3,1,0,10,10,0,139,45,21,46,10,48,6,5,2,3,5,2,2,4,4
20240317,100_1,3,4,2,0,1,9,8,0,124,35,26,41,12,40,10,2,7,3,2,1,1,8,7
20240317,100_2,1,6,5,1,0,9,9,0,129,35,24,44,9,42,11,1,6,1,1,1,2,9,8
20240317,100_3,5,2,1,0,0,11,7,0,120,37,25,41,12,37,8,2,5,5,3,1,1,5,5
20240317,100_4,1,6,4,1,0,10,9,0,121,35,22,44,9,39,10,-1,8,3,1,1,3,7,8
20240317,100_5,0,6,6,2,0,9,10,0,121,36,20,43,9,40,9,-1,8,2,1,2,4,9,10
20240317,200_1,4,4,2,0,1,10,7,0,115,35,23,40,11,37,7,1,6,3,3,0,1,3,8
20240317,200_2,3,5,3,0,0,8,10,0,120,37,18,40,12,40,4,3,4,4,1,1,1,4,9
20240317,200_3,4,5,1,0,2,11,6,0,115,39,19,39,11,35,2,0,8,2,4,1,0,0,8
20240317,200_4,3,4,3,0,1,12,5,0,130,42,17,45,11,42,4,0,7,2,2,1,1,3,9
20240317,200_5,3,4,4,0,1,12,6,0,143,46,16,50,8,48,5,2,5,1,2,1,2,8,10
20240317,300_1,1,3,4,2,1,8,9,1,113,36,25,38,10,38,8,1,6,1,6,2,3,8,9
20240317,300_2,0,5,7,1,0,9,8,1,110,34,18,37,10,37,6,2,4,2,2,2,4,8,8
20240317,300_3,1,2,4,1,1,8,9,1,120,38,23,42,13,39,7,1,8,3,3,1,2,5,9
20240317,300_4,2,3,5,0,0,9,9,0,132,40,19,46,10,43,6,1,5,3,1,1,2,9,11
20240317,300_5,1,4,7,3,0,7,10,1,128,40,19,43,11,42,4,1,8,2,2,2,4,9,11
