key,gap,pro1,pro2,pro3,range1,range2
4_1___1__,1,-0.8,1.6,4.1,2,2
3_9___1__,0,-0.9,1.0,2.9,2,5
9_10___1__,0,-0.8,1.2,3.1,2,6
10_6___1__,0,-0.6,1.2,3.1,2,8
2_1___1__,1,-1.0,1.0,3.0,2,5
3_6___1__,0,-1.1,0.8,2.8,2,4
3_7___1__,0,-0.6,1.3,3.4,2,5
4_2___1__,1,-0.9,1.1,3.2,2,5
7_6___1__,0,-0.2,1.5,3.4,2,7
7_7___1__,0,-1.0,1.2,3.2,2,5
10_9___1__,0,-1.1,0.9,2.8,2,4
11_1___1__,1,-1.0,1.0,3.0,2,5
12_6___1__,0,-0.9,1.0,2.9,2,8
14_1___1__,1,-0.8,1.5,3.6,2,4
14_6___1__,0,-0.4,1.5,3.3,2,4
16_6___1__,2,-0.7,1.0,2.8,2,2
20_6___1__,2,-0.7,1.0,2.8,2,5
20_8___1__,2,-0.5,1.5,3.6,2,3
20_9___1__,0,-0.8,1.2,3.3,2,4
4_6___1__,0,-1.0,1.0,3.0,2,3
5_7___1__,2,-1.4,1.2,4.2,2,8
19_3___1__,1,-0.9,1.5,4.1,2,4
2_3___1__,1,-1.4,1.5,4.3,2,4
3_3___1__,1,-1.1,1.9,4.9,2,5
5_3___1__,1,0.1,3.1,6.3,2,4
5_9___1__,1,-0.6,1.8,4.1,2,6
6_8___1__,2,-0.7,1.5,3.8,2,4
13_3___1__,1,-1.5,1.1,3.7,2,3
14_9___1__,1,-0.6,2.0,4.5,2,2
15_1___1__,1,-1.2,1.7,4.9,2,7
15_8___1__,2,-0.0,2.3,4.6,2,6
16_3___1__,1,-1.4,1.3,3.8,2,5
20_3___1__,1,-2.3,1.0,4.1,2,4
1_6___1__,0,0.4,3.0,5.7,2,4
5_6___1__,2,-0.6,1.8,4.1,2,5
6_3___1__,1,-0.7,2.4,5.5,2,4
7_3___1__,1,-2.1,1.5,4.8,2,5
8_3___1__,1,-0.1,2.8,5.8,2,5
8_6___1__,2,0.1,2.1,4.2,1,2
8_10___1__,1,-0.5,1.9,3.9,2,9
5_8___2__,0,-1.3,0.7,2.6,6,7
4_1___2__,0,-1.6,1.2,4.0,6,11
4_10___2__,0,-1.5,0.3,2.4,6,10
7_1___2__,0,-2.2,0.7,3.4,6,9
12_1___2__,0,-3.1,0.5,4.3,6,16
17_8___2__,0,-0.5,1.6,3.7,6,11
3_1___2__,0,-1.7,1.8,5.0,6,12
8_7___2__,0,-1.4,0.6,2.6,6,9
9_6___2__,0,-0.3,1.6,3.5,6,11
12_6___2__,0,-1.6,0.6,2.9,6,12
16_10___2__,0,-0.6,1.3,3.2,6,13
3_2___2__,0,-1.9,0.5,2.8,6,8
3_6___2__,0,-2.0,0.3,2.9,6,7
8_9___2__,0,-2.2,0.0,2.0,6,11
9_1___2__,0,-2.5,0.6,3.5,6,15
