Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240829,24100,0,10,4,0,0,11,9,0,123,43,17,41,13,39,1,5,1,7,3,2,4,5,8
20240901,24101,3,7,2,0,0,15,4,1,101,38,22,31,7,32,4,3,2,2,11,2,3,8,1
20240901,100_1,2,6,1,0,0,12,6,0,104,33,22,35,10,36,8,3,2,3,4,1,3,9,4
20240901,100_2,2,6,1,0,0,12,6,0,101,33,23,33,10,34,7,4,0,3,6,1,3,5,4
20240901,100_3,2,6,2,0,0,11,7,0,97,31,24,30,7,35,8,3,0,1,7,1,3,6,2
20240901,100_4,3,4,1,0,0,10,8,0,93,32,24,31,11,34,7,4,1,3,5,1,2,9,3
20240901,100_5,4,2,2,0,0,8,10,0,89,31,27,29,16,32,4,7,1,6,5,1,4,8,5
20240901,200_1,3,4,1,0,0,11,8,0,86,30,22,28,9,28,4,4,2,3,8,1,2,8,1
20240901,200_2,3,4,2,0,0,10,9,0,91,32,21,30,8,30,4,3,2,2,7,1,2,6,1
20240901,200_3,3,3,1,0,0,11,8,0,79,29,24,25,8,25,4,3,2,3,10,1,2,8,0
20240901,200_4,8,0,0,1,1,12,6,0,93,31,26,30,11,31,6,6,0,4,8,0,1,11,1
20240901,200_5,4,1,2,0,0,11,8,0,85,30,27,28,10,27,7,4,1,4,9,1,2,7,3
20240901,300_1,3,5,3,1,1,10,7,0,94,31,24,31,12,30,6,5,0,6,5,1,2,6,10
20240901,300_2,2,6,4,0,1,9,8,0,91,30,24,30,11,30,6,5,0,5,6,0,2,3,7
20240901,300_3,3,5,3,0,1,9,8,0,93,30,26,30,12,32,6,7,0,4,7,1,2,4,8
20240901,300_4,3,4,4,2,1,9,8,0,93,30,21,30,10,32,5,6,0,4,5,1,3,9,6
20240901,300_5,2,4,4,1,0,8,9,0,76,29,26,23,10,24,4,5,0,4,10,1,4,6,6
