Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230730,23087,8,12,8,1,2,33,12,3,35,31,37,19,32,7,6,2,11,5,3,10,16
20230801,23088,25,1,2,0,12,35,3,0,34,32,45,17,44,13,4,8,5,2,3,6,8
20230801,400_1,4,11,9,1,3,34,9,2,33,31,33,18,31,6,7,3,8,6,2,10,11
20230801,400_2,3,12,9,1,2,33,11,2,32,31,33,18,32,7,7,3,8,5,2,10,10
20230801,400_3,4,9,8,1,4,31,10,3,33,31,35,18,34,7,7,2,8,5,2,11,9
20230801,400_4,0,10,10,4,2,29,14,3,32,28,32,16,30,5,6,1,8,5,3,14,10
20230801,400_5,4,9,9,4,3,23,20,1,31,25,31,14,31,5,3,7,3,5,3,8,10
20230801,600_1,8,10,5,0,5,34,8,1,35,31,37,18,35,7,6,4,8,5,3,9,13
20230801,600_2,8,9,4,0,5,30,12,1,35,29,37,14,39,8,6,3,3,6,3,7,12
20230801,600_3,6,9,5,1,7,32,8,0,35,26,39,12,39,9,4,2,4,5,2,6,11
20230801,600_4,4,9,8,3,3,31,13,0,37,25,39,13,35,6,3,2,6,5,3,7,10
20230801,600_5,4,13,6,2,0,18,28,1,34,21,39,8,37,8,2,2,3,4,3,6,6
20230801,1000_1,13,8,2,-1,6,33,9,1,36,30,34,23,35,2,8,7,7,4,3,7,6
20230801,1000_2,13,7,8,0,3,33,12,0,34,32,33,23,36,4,9,6,6,4,3,6,8
20230801,1000_3,15,5,6,0,6,29,12,0,34,33,38,20,37,8,8,2,9,4,3,6,10
20230801,1000_4,10,6,10,2,5,29,13,1,36,29,40,20,36,6,5,5,10,2,3,8,10
20230801,1000_5,3,9,10,0,2,24,20,3,32,24,37,9,38,9,3,4,2,4,2,5,7
