bravo1.A3_13,bravo1.D4_1,bravo2.A1_4,bravo3.D1_3,bravo3.A2_4,bravo2.D2_9,bravo2.A2_4,bravo2.D3_1,bravo2.A6_2,bravo3.A6_2,bravo1.A3_16,bravo3.A2_5,bravo2.A1_1,bravo3.A1_1,bravo3.A1_4,bravo1.D3_11,bravo1.D2_9,bravo1.D3_15,bravo2.D2_10,bravo2.A5_2,bravo3.A5_1,bravo1.A2_3,bravo2.A4_2,bravo3.A4_9,bravo3.D3_8,bravo1.D4_3,bravo2.D3_6,bravo2.A4_6,bravo1.D2_2,bravo3.A5_6,bravo3.D2_6,bravo1.D3_8,bravo1.A3_6,bravo1.D3_16,bravo2.D2_3,bravo1.D4_5,bravo3.D4_5,bravo1.A1_1,bravo2.A5_6,bravo3.A4_1,bravo3.D5_8,bravo2.D1_5,bravo3.D3_5,bravo1.A2_15,bravo3.D1_1,bravo1.A4_2,bravo3.A1_5,bravo3.D1_4,bravo1.A3_14,bravo2.A2_5,bravo2.D4_6,bravo1.A2_2,bravo2.D1_4,bravo2.D4_2,bravo2.D4_10,bravo2.D6_4,bravo2.A3_2,bravo2.A1_9,bravo1.D2_11,bravo1.A3_8,bravo1.A6_2,bravo1.D3_14,bravo1.D5_6,bravo2.D1_8,bravo3.D2_8,bravo2.A4_1,bravo2.A5_1,bravo2.A3_8,bravo2.D1_1,bravo1.A1_4,bravo2.D5_4,bravo3.A5_5,bravo3.D4_4,bravo2.D4_7,bravo1.A4_5,bravo1.A5_6,bravo2.D4_1,bravo3.A6_4,bravo3.D6_5,bravo1.D2_6,bravo2.D1_7,bravo2.D1_6,bravo3.A3_8,bravo3.D4_6,bravo3.D3_2,bravo1.A4_9,bravo1.D3_13,bravo1.D4_17,bravo1.D4_18,bravo2.A3_5,bravo2.A3_10,bravo2.A6_6,bravo2.D3_7,bravo3.A2_9,bravo3.A3_7,bravo3.D3_10,bravo3.D4_2,bravo3.D6_4,bravo2.D1_3,bravo3.A5_3,bravo2.D2_6,bravo1.D3_23,bravo1.D1_3,bravo3.A1_6,bravo3.D2_1,bravo2.A1_8,bravo2.A5_8,bravo1.A1_2,bravo3.D2_11,bravo1.A2_9,bravo1.A2_12,bravo1.A5_1,bravo1.D6_1,bravo2.A3_13,bravo1.A5_4,bravo2.A3_9,bravo2.D4_4,bravo2.D5_5,bravo1.A6_1,bravo3.A4_6,bravo1.A1_6,bravo1.A2_10,bravo2.A2_9,bravo2.A2_1,bravo3.D4_7,bravo1.D3_2,bravo2.D2_2,bravo2.D5_7,bravo3.D2_7,bravo3.D4_3,bravo1.D1_1,bravo1.A5_2,bravo2.A5_4,bravo2.D5_11,bravo1.D4_9,bravo2.A6_4,bravo3.D5_10,bravo3.A3_6,bravo1.D2_3,bravo2.A1_5,bravo3.D3_4,bravo1.A5_12,bravo1.D2_8,bravo2.A3_4,bravo2.A6_1,bravo3.A6_1,bravo3.D5_7,bravo1.A4_8,bravo1.D1_6,bravo1.D4_14,bravo2.D6_5,bravo3.D3_13,bravo2.D4_3,bravo1.A3_19,bravo1.A1_5,bravo2.D1_9,bravo1.D5_2,bravo3.A3_13,bravo2.A3_6,bravo3.D3_7,bravo1.A2_14,bravo1.A4_3,bravo2.A2_10,bravo2.D6_7,bravo1.A1_3,bravo1.A3_5,bravo1.D3_20,bravo2.D2_14,bravo2.D5_2,bravo1.A4_4,bravo3.A3_9,bravo3.A5_2,bravo3.D1_6,bravo1.A3_17,bravo1.A3_26,bravo1.D3_12,bravo1.D1_2,bravo1.D5_5,bravo2.A1_6,bravo3.A4_2,bravo3.D4_8,bravo3.A2_1,bravo3.A5_4,bravo3.D3_1,bravo1.A5_3,bravo1.D5_3,bravo3.A1_3,bravo3.A3_12,bravo3.D1_2,bravo1.A4_23,bravo1.D4_19,bravo2.D3_11,bravo1.A3_3,bravo2.D6_6,bravo3.D4_1,bravo2.A1_2,bravo1.A4_6,bravo1.D2_5,bravo2.A2_12,bravo2.D3_3,bravo2.D4_5,bravo3.A3_3,bravo3.A2_3,bravo2.D3_15,bravo3.D6_3,bravo1.A4_16,bravo1.D3_6,bravo1.D4_16,bravo1.D5_12,bravo2.A2_8,bravo2.A6_3,bravo2.A5_3,bravo2.D3_4,bravo2.D3_8,bravo3.A4_4,bravo3.A2_12,bravo3.A3_1,bravo3.D5_3,bravo1.A3_21,bravo2.A6_5,bravo3.D6_1,bravo2.D5_1,bravo2.A2_7,bravo3.A1_2,bravo2.A2_6,bravo2.A4_5,bravo2.A4_10,bravo3.D6_6,bravo1.A4_11,bravo1.D3_3,bravo2.D5_3,bravo1.A2_8,bravo1.D2_13,bravo1.A3_4,bravo3.A2_8,bravo3.A6_3,bravo3.A3_2,bravo3.A3_15,bravo3.D2_3,bravo3.D2_2,bravo2.A4_9,bravo2.D3_16,bravo1.A2_13,bravo1.D3_10,bravo2.D2_8,bravo3.D5_5,bravo1.A3_12,bravo1.D3_1,bravo1.A2_4,bravo1.A3_11,bravo1.D2_12,bravo2.D3_13,bravo1.A4_24,bravo2.A4_14,bravo3.D2_10,bravo1.D5_4,bravo1.D4_6,bravo2.D3_5,bravo1.A3_10,bravo1.A4_12,bravo1.D5_9,bravo2.A5_5,bravo2.D2_7,bravo3.A3_4,bravo3.A3_5,bravo3.A4_7,bravo3.A6_6,bravo3.D1_5,bravo1.A3_18,bravo1.D4_10,bravo2.D2_4,bravo3.D6_2,bravo1.A4_10,bravo2.D2_1,bravo2.A3_3,bravo3.D5_9,bravo2.A4_7,bravo3.A4_14,bravo1.A2_1,bravo2.D2_12,bravo2.D3_10,bravo1.D1_10,bravo1.A4_14,bravo1.D3_24,bravo1.D5_1,bravo3.D2_9,bravo3.D3_6,bravo1.A2_6,bravo1.D3_9,bravo2.D5_8,bravo3.A4_10,bravo3.A4_15,bravo1.A3_24,bravo1.A3_2,bravo1.D1_11,bravo1.D2_15,bravo1.D4_4,bravo2.D3_12,bravo2.D4_12,bravo1.A3_23,bravo1.A4_7,bravo1.A4_19,bravo1.D2_16,bravo1.D3_25,bravo1.D5_10,bravo2.D6_1,bravo2.D1_12,bravo2.D4_8,bravo2.A1_7,bravo1.A3_7,bravo1.D3_21,bravo2.D3_2,bravo1.D2_1,bravo2.D3_14,bravo1.D5_8,bravo3.A5_8,bravo3.D1_7,bravo1.A1_11,bravo2.D2_13,bravo1.A2_18,bravo2.D2_11,bravo3.A1_8,bravo3.A2_7,bravo3.A4_3,bravo3.D5_1,bravo2.A2_3,bravo2.D4_13,bravo1.A2_5,bravo3.A3_10,bravo1.A4_1,bravo1.A5_7,bravo2.A4_4,bravo2.A2_11,bravo1.D1_4,bravo1.D4_7,bravo2.A1_3,bravo2.A2_13,bravo3.D2_12,bravo1.A3_15,bravo1.D5_7,bravo3.A5_7,bravo2.D4_15,bravo3.A2_10,bravo3.D5_4,bravo2.D5_10,bravo1.D2_18,bravo3.D3_15,bravo1.A5_8,bravo1.D4_20,bravo2.A4_8,bravo1.D6_2,bravo1.D2_21,bravo3.A4_12,bravo3.D1_8,bravo3.D3_12,bravo1.A2_16,bravo1.A4_22,bravo1.D4_13,bravo2.A1_10,bravo2.A3_1,bravo3.A2_2,bravo1.A5_10,bravo1.A2_20,bravo1.D2_17,bravo1.A2_11,bravo1.D3_19,bravo3.D3_3,bravo2.A4_3,bravo3.D3_14,bravo1.D2_4,bravo3.A4_8,bravo2.A5_7,bravo2.D6_8,bravo1.D3_17,bravo3.D5_2,bravo1.A1_7,bravo1.D2_10,bravo2.A3_7,bravo2.D4_14,bravo1.A1_10,bravo1.D1_7,bravo3.A6_5,bravo1.D3_5,bravo3.D2_4,bravo1.A3_20,bravo1.D3_7,bravo2.A3_15,bravo2.A3_11,bravo3.D6_7,bravo1.A2_21,bravo1.D3_4,bravo1.D3_18,bravo1.A4_13,bravo2.A3_12,bravo2.A5_13,bravo3.D4_11,bravo2.D6_2,bravo3.D4_14,bravo3.A4_5,bravo1.A3_25,bravo1.D4_2,bravo3.A2_6,bravo2.A4_15,bravo1.A2_19,bravo1.A4_20,bravo3.D2_5,bravo2.A1_13,bravo2.A4_11,bravo2.D2_5,bravo1.A2_7,bravo1.D4_22,bravo1.D6_3,bravo1.D2_7,bravo2.D5_9,bravo1.D2_19,bravo3.D4_10,bravo2.A6_9,bravo1.D4_23,bravo3.A1_7,bravo3.D4_9,bravo1.A4_26,bravo1.A5_5,bravo1.D1_8,bravo1.D4_25,bravo1.D5_11,bravo2.D3_9,bravo3.D5_6,bravo1.A3_1,bravo1.D6_4,bravo2.A2_2,bravo2.A4_12,bravo3.D1_9,bravo3.D3_11,bravo3.D3_9,bravo1.D4_12,bravo1.A3_22,bravo1.D4_15,bravo1.D4_21,bravo3.A4_13,bravo2.A5_9,bravo1.A5_13,bravo1.A4_18,bravo1.A5_16,bravo3.A3_11,bravo1.D3_27,bravo2.A6_7,bravo3.D4_13,bravo1.A3_27,bravo1.D2_20,bravo2.A2_15,bravo2.D1_13,bravo1.D2_14,bravo2.A3_14,bravo1.D1_5,bravo1.D1_9,bravo2.A4_16,bravo1.A4_25,bravo1.D3_22,bravo1.A4_15,bravo1.D1_12,bravo1.D4_26,bravo1.A3_9,bravo2.D1_10,bravo3.A2_11,bravo3.A4_11,bravo1.D3_26,bravo2.A1_11,bravo2.D5_6,bravo1.A5_11,bravo2.A1_12,bravo2.A3_16,bravo2.D6_3,bravo3.A5_11,bravo3.D5_11,bravo3.D3_16,bravo1.A4_17,bravo3.A1_9,bravo1.D4_11,bravo3.A3_14,bravo2.A2_14,bravo2.A3_17,bravo2.D5_12,bravo3.D4_12,bravo3.A3_16,bravo1.A6_3,bravo3.D4_16,bravo1.D4_24,bravo1.D5_14,bravo1.A2_17,bravo1.A5_15,bravo2.D3_17,bravo2.D2_16,bravo2.D6_9,bravo1.A1_9,bravo1.A4_21,bravo2.A5_10,bravo3.D2_13,bravo2.D1_2,bravo1.D4_27,bravo1.D4_8,bravo1.A6_4,bravo3.A6_8,bravo3.D4_15,bravo3.A5_9,bravo2.D4_11,bravo3.A5_10,bravo3.D5_12,bravo3.D2_14,bravo2.A4_13,bravo2.D5_14,bravo2.A2_16,bravo1.D2_22,bravo1.A1_8,bravo1.D5_16,bravo3.A3_17,bravo3.D6_8,bravo1.D1_13,bravo2.A5_11,bravo2.D1_11,bravo3.A6_7,bravo1.A5_9,bravo1.A1_12,bravo2.A2_17,bravo1.A5_17,bravo3.D3_17,bravo2.A6_8,bravo2.D6_10,bravo1.A5_14,bravo2.A3_18,bravo1.D5_15,bravo1.D5_13,bravo2.D1_14,bravo1.A5_18,bravo2.D4_9,bravo3.A4_16,bravo3.A6_9,bravo2.A4_17,bravo2.A5_12,bravo3.A5_13,bravo3.A2_14,bravo1.D6_5,bravo2.D4_16,bravo2.A6_10,bravo1.D5_17,bravo3.D4_17,bravo3.A2_13,bravo2.D1_15,bravo2.A1_14,bravo1.D3_28,bravo2.D2_15,bravo1.D1_14,bravo1.A1_14,bravo2.D6_11,bravo1.D5_19,bravo3.D1_10,bravo2.A1_15,bravo1.A6_7,bravo2.D2_17,bravo2.D6_12,bravo3.A1_10,bravo2.A3_19,bravo1.A3_28,bravo3.D5_13,bravo3.A5_12,bravo1.D1_15,bravo2.D5_13,bravo1.D5_18,bravo3.A4_17,bravo1.A1_13,bravo1.A6_6,bravo1.D5_20,bravo2.D4_17,bravo2.A5_14,bravo3.D3_18,bravo1.A6_8,bravo1.D6_6,bravo1.A2_22,bravo1.A5_19,bravo1.A6_5,bravo1.D6_8,bravo2.A5_15,bravo2.A2_18,bravo2.D1_16,bravo2.D3_18,bravo2.A4_18,bravo1.A4_27,bravo3.A3_18,bravo2.A6_12,bravo3.D3_19,bravo3.A2_15,bravo3.A4_18,bravo1.A5_20,bravo2.D5_15,bravo1.D6_7,bravo1.A4_28,bravo3.D6_9,bravo3.A3_20,bravo1.A1_15,bravo2.D5_16,bravo2.D2_18,bravo2.A3_20,bravo2.A5_17,bravo3.A3_19,bravo3.A2_16,bravo2.A4_19,bravo2.A6_13,bravo2.D4_18,bravo1.A5_21,bravo1.D6_11,bravo1.A6_9,bravo1.A6_10,bravo2.D3_19,bravo3.D4_19,bravo2.A1_16,bravo1.D5_21,bravo2.D5_17,bravo3.A4_19,bravo1.A6_11,bravo1.D6_9,bravo1.D6_10,bravo2.D1_17,bravo3.D2_15,bravo1.D6_12,bravo3.D5_15,bravo3.D6_10,bravo2.A6_11,bravo2.A1_17,bravo3.A1_11,bravo2.D5_18,bravo2.D2_19,bravo2.D4_19,bravo3.D1_11,bravo1.A2_23,bravo3.D5_14,bravo2.A2_19,bravo2.D6_14,bravo2.D3_20,bravo3.D4_18,bravo2.A5_16,bravo2.A5_18,bravo2.A6_14,bravo2.A4_20,bravo3.A5_15,bravo1.D2_23,bravo1.A1_16,bravo3.A1_12,bravo3.D1_12,bravo2.A3_21,bravo1.A1_17,bravo2.A2_20,bravo2.D1_18,bravo2.D2_20,bravo2.D6_13,bravo3.A6_11,bravo3.A5_14,bravo1.D1_16,bravo1.D4_28,bravo2.A2_22,bravo3.D6_11,bravo2.D2_21,bravo2.A1_19,bravo1.D5_22,bravo2.A2_21,bravo2.A5_19,bravo2.D6_15,bravo3.D3_20,bravo2.D4_20,bravo3.D4_20,bravo1.A6_14,bravo1.A6_12,bravo3.A6_10,bravo2.D3_21,bravo2.D6_16,bravo1.D6_14,bravo3.A3_21,bravo3.D5_16,bravo3.D2_16,bravo3.A4_21,bravo1.A5_22,bravo1.D2_24,bravo1.A6_15,bravo1.D1_17,bravo1.D6_13,bravo2.A6_16,bravo2.D1_19,bravo1.D6_15,bravo1.A2_24,bravo2.A5_20,bravo2.A1_22,bravo2.A1_23,bravo3.D3_21,bravo2.D1_20,bravo2.A1_20,bravo2.A1_21,bravo2.A6_15,bravo2.A6_17,bravo2.D6_17,bravo3.D5_17,bravo2.A4_21,bravo2.A5_21,bravo3.A4_20,bravo3.A5_18,bravo3.A5_16,bravo2.D4_21,bravo1.A6_16,bravo2.D4_22,bravo3.D4_21,bravo1.A6_13,bravo2.A3_22,bravo2.D6_18
7,2,1,31,5,0,3,2,9,9,2,2,1,1,1,0,9,8,5,4,2,0,0,0,0,5,4,2,1,1,1,26,12,7,7,5,5,1,1,1,1,0,0,10,5,4,4,3,2,2,2,1,1,1,1,1,0,19,18,10,9,8,7,5,5,4,2,1,1,0,0,12,12,11,8,8,8,8,8,7,5,4,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,17,16,15,11,11,10,9,7,7,6,6,6,6,5,4,4,4,4,2,2,1,1,1,1,1,0,0,0,0,0,17,10,10,10,8,8,8,7,6,4,4,3,3,2,2,2,2,1,1,1,1,1,19,18,17,17,8,8,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,17,17,11,10,8,8,7,6,5,5,5,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12,9,8,7,7,5,5,4,3,2,2,2,1,1,0,0,0,0,0,0,24,18,17,16,11,11,9,8,8,7,6,6,6,5,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,18,16,15,12,11,8,7,7,7,6,5,5,5,4,4,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,20,19,15,15,11,11,10,9,7,6,6,5,5,5,5,5,5,4,4,3,3,1,1,1,1,0,0,0,0,28,12,10,9,8,7,7,6,5,5,2,2,2,1,1,1,1,1,0,0,0,0,0,0,26,21,19,18,14,14,12,11,10,10,9,9,8,7,6,6,6,6,5,5,4,3,3,2,2,2,2,2,1,1,1,0,0,0,0,31,14,13,12,10,9,8,7,7,6,5,5,3,0,0,0,0,18,14,10,9,6,6,6,5,1,1,1,1,1,1,0,0,0,0,0,23,19,12,6,5,5,5,4,3,3,2,2,1,1,1,0,0,0,31,25,24,18,17,14,10,9,8,7,6,5,5,5,5,1,1,1,0,0,0,0,0,0,19,18,9,8,8,6,5,4,2,1,0,0,18,12,10,10,10,7,6,5,3,0,0,17,12,11,10,9,8,6,5,2,2,1,0,0,24,23,19,18,8,6,5,2,1,1,0,30,8,7,5,2,2,10,9,6,2,1,0,0,16,12,9,8,7,5,2,2,20,12,10,6,5,1,0,0,34,21,13,10,7,5,1,1,0,0,21,14,12,8,5,2,0,0,17,10,10,10,7,0,21,21,16,12,12,12,12,8,8,0,40,33,21,0,0,24,22,12,12,3,2,0,27,18,16,28,27,24,23,18,17,12,12,10,2,0,0,0,50,37,22,22,17,16,3,0,53,41,23,23,23,21,18,18,12,5,0,82,68,38,36,29,17,15,14,12,0,23,18,16,8,54,38,36,34,34,28,28,22,18,14,8,2,155,89,75,36,28,28,23,23,17,16,16,12,3,0,163,113,112,112,111,79,74,65,63,43,34,18,12,5,3,190,188,170,170,170,155,138,132,126,125,125,125,74,74,74,74,56,50,43,43,43,42,27,-1
6,1,0,30,4,0,2,1,8,8,1,1,0,0,0,1,8,7,4,3,1,1,0,6,23,4,3,1,0,0,0,25,11,6,6,4,4,0,0,0,0,4,1,9,4,3,3,2,1,1,1,0,0,0,0,0,0,18,17,9,8,7,6,4,4,3,1,0,0,0,11,11,11,10,7,7,7,7,7,6,4,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,7,16,15,14,10,10,9,8,6,6,5,5,5,5,4,3,3,3,3,1,1,0,0,0,0,0,3,7,0,1,1,16,9,9,9,7,7,7,6,5,3,3,2,2,1,1,1,1,0,0,0,0,0,18,17,16,16,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,1,1,3,9,5,16,16,10,9,7,7,6,5,4,4,4,4,4,3,0,0,11,2,13,2,8,1,7,3,4,17,0,9,1,25,11,8,7,6,6,4,4,3,2,1,1,1,0,0,3,12,1,8,1,0,23,17,16,15,10,10,8,7,7,6,5,5,5,4,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,14,2,9,3,17,15,14,11,10,7,6,6,6,5,4,4,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,2,7,4,7,9,15,1,6,3,19,18,14,14,10,10,9,8,6,5,5,4,4,4,4,4,4,3,3,2,2,0,0,0,0,2,2,3,4,27,11,9,8,7,6,6,5,4,4,1,1,1,0,0,0,0,0,4,0,6,4,9,18,25,20,18,17,13,13,11,10,9,9,8,8,7,6,5,5,5,5,4,4,3,2,2,1,1,1,1,1,0,0,0,6,2,12,3,30,13,12,11,9,8,7,6,6,5,4,4,2,15,14,1,1,17,13,9,8,5,5,5,4,0,0,0,0,0,0,0,2,13,0,18,22,18,11,5,4,4,4,3,2,2,1,1,0,0,0,18,4,15,30,24,23,17,16,13,9,8,7,6,5,4,4,4,4,0,0,0,2,4,16,4,4,5,18,17,8,7,7,5,4,3,1,0,5,1,17,11,9,9,9,6,5,4,2,5,4,16,11,10,9,8,7,5,4,1,1,0,18,11,23,22,18,17,7,5,4,1,0,0,14,29,7,6,4,1,1,9,8,5,1,0,1,11,15,11,8,7,6,4,1,1,19,11,9,5,4,0,17,15,33,20,12,9,6,4,0,0,1,20,20,13,11,7,4,1,1,8,16,9,9,9,6,14,20,20,15,11,11,11,11,7,7,4,39,32,20,1,8,23,21,11,11,2,1,1,26,17,15,27,26,23,22,17,16,11,11,9,1,1,64,8,49,36,21,21,16,15,2,11,52,40,22,22,22,20,17,17,11,4,50,81,67,37,35,28,16,14,13,11,15,22,17,15,7,53,37,35,33,33,27,27,21,17,13,7,1,154,88,74,35,27,27,22,22,16,15,15,11,2,35,162,112,111,111,110,78,73,64,62,42,33,17,11,4,2,189,187,169,169,169,154,137,131,125,124,124,124,73,73,73,73,55,49,42,42,42,41,26,-1
5,0,1,29,3,2,1,0,7,7,0,0,3,3,1,0,7,6,3,2,0,0,0,5,22,3,2,0,2,0,3,24,10,5,5,3,3,2,0,2,15,3,0,8,3,2,2,1,0,0,0,14,1,3,0,2,3,17,16,8,7,6,5,3,3,2,0,1,5,1,10,10,10,9,6,6,6,6,6,5,3,2,2,2,1,0,0,0,0,3,2,2,3,3,3,3,6,9,0,6,15,14,13,9,9,8,7,5,5,4,4,4,4,3,2,2,2,2,0,0,1,3,3,5,14,2,6,3,0,0,15,8,8,8,6,6,6,5,4,2,2,1,1,0,0,0,0,3,3,27,0,3,17,16,15,15,6,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,12,8,0,0,0,2,8,4,15,15,9,8,6,6,5,4,3,3,3,3,3,2,3,0,10,1,12,1,7,0,6,2,3,16,15,8,0,24,10,7,6,5,5,3,3,2,1,0,0,0,6,3,2,11,0,7,0,3,22,16,15,14,9,9,7,6,6,5,4,4,4,3,3,3,2,1,0,6,0,4,10,0,0,3,4,7,12,13,1,8,2,16,14,13,10,9,6,5,5,5,4,3,3,3,2,2,1,1,0,0,0,0,3,24,4,2,0,0,1,6,3,6,8,14,0,5,2,18,17,13,13,9,9,8,7,5,4,4,3,3,3,3,3,3,2,2,1,1,0,4,7,15,1,1,2,3,26,10,8,7,6,5,5,4,3,3,0,0,0,5,5,17,3,0,3,1,5,3,8,17,24,19,17,16,12,12,10,9,8,8,7,7,6,5,4,4,4,4,3,3,2,1,1,0,0,0,0,0,4,29,4,5,1,11,2,29,12,11,10,8,7,6,5,5,4,3,3,1,14,13,0,0,16,12,8,7,4,4,4,3,9,4,8,1,17,3,0,1,12,0,17,21,17,10,4,3,3,3,2,1,1,0,0,3,3,3,17,3,14,29,23,22,16,15,12,8,7,6,5,4,3,3,3,3,0,15,7,1,3,15,3,3,4,17,16,7,6,6,4,3,2,0,18,4,0,16,10,8,8,8,5,4,3,1,4,3,15,10,9,8,7,6,4,3,0,0,6,17,10,22,21,17,16,6,4,3,0,22,0,13,28,6,5,3,0,0,8,7,4,0,31,0,10,14,10,7,6,5,3,0,0,18,10,8,4,3,4,16,14,32,19,11,8,5,3,0,3,0,19,19,12,10,6,3,0,0,7,15,8,8,8,5,13,19,19,14,10,10,10,10,6,6,3,38,31,19,0,7,22,20,10,10,1,0,0,25,16,14,26,25,22,21,16,15,10,10,8,0,0,63,7,48,35,20,20,15,14,1,10,51,39,21,21,21,19,16,16,10,3,49,80,66,36,34,27,15,13,12,10,14,21,16,14,6,52,36,34,32,32,26,26,20,16,12,6,0,153,87,73,34,26,26,21,21,15,14,14,10,1,34,161,111,110,110,109,77,72,63,61,41,32,16,10,3,1,188,186,168,168,168,153,136,130,124,123,123,123,72,72,72,72,54,48,41,41,41,40,25,-1
4,5,0,28,2,1,0,0,6,6,4,0,2,2,0,6,6,5,2,1,3,1,3,4,21,2,1,1,1,2,2,23,9,4,4,2,2,1,2,1,14,2,1,7,2,1,1,0,7,4,3,13,0,2,7,1,2,16,15,7,6,5,4,2,2,1,6,0,4,0,9,9,9,8,5,5,5,5,5,4,2,1,1,1,0,6,4,9,4,2,1,1,2,2,2,2,5,8,8,5,14,13,12,8,8,7,6,4,4,3,3,3,3,2,1,1,1,1,0,1,0,2,2,4,13,1,5,2,3,2,14,7,7,7,5,5,5,4,3,1,1,0,0,8,0,0,1,2,2,26,7,2,16,15,14,14,5,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,4,4,7,8,11,7,5,5,8,1,7,3,14,14,8,7,5,5,4,3,2,2,2,2,2,1,2,6,9,0,11,0,6,3,5,1,2,15,14,7,3,23,9,6,5,4,4,2,2,1,0,8,0,25,5,2,1,10,3,6,2,2,21,15,14,13,8,8,6,5,5,4,3,3,3,2,2,2,1,0,0,5,7,3,9,14,14,2,3,6,11,12,0,7,1,15,13,12,9,8,5,4,4,4,3,2,2,2,1,1,0,0,12,3,5,0,2,23,3,1,10,35,0,5,2,5,7,13,6,4,1,17,16,12,12,8,8,7,6,4,3,3,2,2,2,2,2,2,1,1,0,0,7,3,6,14,0,0,1,2,25,9,7,6,5,4,4,3,2,2,19,11,7,4,4,16,2,8,2,0,4,2,7,16,23,18,16,15,11,11,9,8,7,7,6,6,5,4,3,3,3,3,2,2,1,0,0,0,3,5,1,6,3,28,3,4,0,10,1,28,11,10,9,7,6,5,4,4,3,2,2,0,13,12,3,0,15,11,7,6,3,3,3,2,8,3,7,0,16,2,15,0,11,5,16,20,16,9,3,2,2,2,1,0,0,12,14,2,2,2,16,2,13,28,22,21,15,14,11,7,6,5,4,3,2,2,2,2,12,14,6,0,2,14,2,2,3,16,15,6,5,5,3,2,1,18,17,3,6,15,9,7,7,7,4,3,2,0,3,2,14,9,8,7,6,5,3,2,12,11,5,16,9,21,20,16,15,5,3,2,2,21,7,12,27,5,4,2,13,4,7,6,3,0,30,18,9,13,9,6,5,4,2,7,7,17,9,7,3,2,3,15,13,31,18,10,7,4,2,0,2,9,18,18,11,9,5,2,22,11,6,14,7,7,7,4,12,18,18,13,9,9,9,9,5,5,2,37,30,18,9,6,21,19,9,9,0,12,4,24,15,13,25,24,21,20,15,14,9,9,7,21,0,62,6,47,34,19,19,14,13,0,9,50,38,20,20,20,18,15,15,9,2,48,79,65,35,33,26,14,12,11,9,13,20,15,13,5,51,35,33,31,31,25,25,19,15,11,5,24,152,86,72,33,25,25,20,20,14,13,13,9,0,33,160,110,109,109,108,76,71,62,60,40,31,15,9,2,0,187,185,167,167,167,152,135,129,123,122,122,122,71,71,71,71,53,47,40,40,40,39,24,-1
