Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20231207,23141,10,9,4,0,7,30,13,0,24,22,29,13,23,7,3,1,9,2,3,7,12
20231210,400_1,8,11,2,0,3,27,19,0,26,23,26,12,25,5,2,7,2,5,3,10,6
20231210,400_2,9,9,4,1,3,27,19,0,25,21,24,11,23,3,1,7,1,5,3,12,6
20231210,400_3,7,11,3,0,2,23,23,0,29,24,25,13,25,3,3,6,3,7,3,11,5
20231210,400_4,6,11,3,0,2,21,24,0,30,25,27,12,28,4,3,6,2,8,3,11,6
20231210,400_5,6,10,6,2,3,24,21,1,28,24,28,12,28,5,3,7,2,6,3,12,6
20231210,600_1,5,11,8,4,2,28,19,0,32,20,26,10,26,2,3,2,3,8,4,14,4
20231210,600_2,5,11,9,4,1,26,20,1,32,20,25,9,25,1,3,2,3,9,4,14,3
20231210,600_3,7,10,8,3,2,28,17,1,33,23,26,13,27,1,5,2,4,9,4,14,4
20231210,600_4,5,13,8,5,1,25,21,2,35,22,30,12,33,2,5,3,2,7,4,15,5
20231210,600_5,5,14,7,4,1,24,22,1,31,22,27,12,28,2,4,4,3,6,4,14,4
20231210,1000_1,4,14,4,2,3,22,21,1,29,20,24,9,26,3,3,5,0,8,3,7,3
20231210,1000_2,7,14,3,0,4,21,23,1,30,22,22,8,25,2,2,6,0,11,3,6,5
20231210,1000_3,7,13,3,0,8,21,18,0,33,25,25,12,27,2,2,9,0,10,2,6,5
20231210,1000_4,4,12,4,2,2,21,22,3,32,24,29,13,35,3,5,7,0,6,2,7,4
20231210,1000_5,4,12,5,2,3,21,21,2,29,22,28,9,32,5,4,5,0,6,3,9,4
