row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,2,7,11,13,20,25,78,27,23,27,13,24,5,4,2,7,5,5
1_2,8,12,16,19,24,27,106,35,19,36,12,35,4,4,3,5,3,8
1_3,5,9,13,18,21,27,93,32,22,30,12,31,4,4,5,3,6,8
1_4,3,8,13,18,24,29,95,32,26,32,16,31,5,5,5,6,5,7
1_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,8
1_6,10,11,16,20,24,27,108,37,17,35,13,36,1,5,4,4,3,4
1_7,5,7,11,15,21,26,85,31,21,28,14,26,2,4,4,6,5,5
1_8,5,6,9,15,24,27,86,32,22,30,18,24,1,3,6,9,3,7
1_9,4,9,15,18,24,29,99,33,25,33,15,33,5,6,3,6,5,9
1_10,2,9,13,17,25,29,95,31,27,34,16,30,7,4,4,8,4,6
2_1,2,8,10,14,16,23,73,25,21,24,8,24,6,2,4,2,7,12
2_2,7,11,16,19,24,28,105,35,21,35,13,35,4,5,3,5,4,8
2_3,5,8,13,17,22,26,91,31,21,30,14,30,3,5,4,5,4,8
2_4,3,9,15,19,24,29,99,32,26,33,15,34,6,6,4,5,5,7
2_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,8
2_6,1,4,6,11,23,25,70,26,24,27,19,17,3,2,5,12,2,3
2_7,0,5,7,13,21,27,73,27,27,26,16,20,5,2,6,8,6,5
2_8,1,6,7,13,22,28,77,29,27,28,16,20,5,1,6,9,6,4
2_9,2,5,8,16,24,30,85,32,28,29,19,24,3,3,8,8,6,1
2_10,3,6,11,18,24,31,93,34,28,30,18,29,3,5,7,6,7,8
3_1,1,5,10,14,18,23,71,24,22,23,13,24,4,5,4,4,5,7
3_2,8,14,18,19,24,28,111,36,20,38,10,37,6,4,1,5,4,9
3_3,5,9,14,17,22,27,94,32,22,31,13,31,4,5,3,5,5,9
3_4,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
3_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,8
3_6,3,5,10,17,26,32,93,35,29,31,21,27,2,5,7,9,6,10
3_7,2,4,11,15,25,32,89,34,30,29,21,26,2,7,4,10,7,10
3_8,3,5,12,14,25,32,91,35,29,30,20,26,2,7,2,11,7,10
3_9,6,8,15,21,25,31,106,37,25,33,17,36,2,7,6,4,6,10
3_10,4,6,13,18,24,31,96,35,27,30,18,31,2,7,5,6,7,10
4_1,3,7,14,19,23,25,91,28,22,30,16,33,4,7,5,4,2,7
4_2,11,15,18,23,27,29,123,40,18,42,12,41,4,3,5,4,2,8
4_3,7,10,14,18,22,26,97,33,19,32,12,32,3,4,4,4,4,8
4_4,3,8,14,18,24,29,96,32,26,32,16,32,5,6,4,6,5,7
4_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,8
4_6,1,4,9,11,17,22,64,23,21,21,13,20,3,5,2,6,5,3
4_7,2,5,9,10,17,22,65,24,20,22,12,19,3,4,1,7,5,2
4_8,3,5,7,10,18,23,66,26,20,23,13,17,2,2,3,8,5,3
4_9,4,6,11,15,22,26,84,30,22,28,16,26,2,5,4,7,4,3
4_10,4,6,11,14,22,26,83,30,22,28,16,25,2,5,3,8,4,4
5_1,2,7,14,17,18,23,81,25,21,25,11,31,5,7,3,1,5,10
5_2,9,15,19,21,25,28,117,37,19,40,10,40,6,4,2,4,3,9
5_3,6,11,16,20,23,26,102,32,20,34,12,36,5,5,4,3,3,8
5_4,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
5_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,8
5_6,0,3,9,21,29,31,93,31,31,32,26,30,3,6,12,8,2,5
5_7,0,5,13,19,28,31,96,31,31,33,23,32,5,8,6,9,3,3
5_8,3,6,13,15,25,32,94,35,29,31,19,28,3,7,2,10,7,3
5_9,3,4,12,18,26,30,93,33,27,30,22,30,1,8,6,8,4,7
5_10,2,4,11,15,24,31,87,33,29,28,20,26,2,7,4,9,7,6
6_1,0,4,7,10,12,22,55,22,22,16,8,17,4,3,3,2,10,9
6_2,3,10,16,19,22,27,97,30,24,32,12,35,7,6,3,3,5,10
6_3,4,10,14,18,23,27,96,31,23,33,13,32,6,4,4,5,4,6
6_4,3,8,14,19,24,29,97,32,26,32,16,33,5,6,5,5,5,7
6_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,8
6_6,3,8,16,21,23,29,100,32,26,31,15,37,5,8,5,2,6,1
6_7,4,6,14,20,23,28,95,32,24,29,17,34,2,8,6,3,5,2
6_8,5,5,7,13,21,27,78,32,22,26,16,20,0,2,6,8,6,7
6_9,5,7,14,18,24,31,99,36,26,31,17,32,2,7,4,6,7,3
6_10,4,7,13,20,22,30,96,34,26,29,15,33,3,6,7,2,8,8
7_1,1,6,12,15,19,22,75,23,21,25,13,27,5,6,3,4,3,5
7_2,7,13,16,19,24,28,107,35,21,37,11,35,6,3,3,5,4,8
7_3,5,10,14,17,22,27,95,32,22,32,12,31,5,4,3,5,5,6
7_4,3,8,14,18,23,29,95,32,26,31,15,32,5,6,4,5,6,7
7_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,8
7_6,5,8,12,13,23,26,87,31,21,31,15,25,3,4,1,10,3,7
7_7,5,9,11,14,23,28,90,33,23,32,14,25,4,2,3,9,5,9
7_8,5,7,9,12,21,26,80,31,21,28,14,21,2,2,3,9,5,11
7_9,2,3,7,11,20,28,71,30,26,23,17,18,1,4,4,9,8,7
7_10,1,3,8,13,22,29,76,30,28,25,19,21,2,5,5,9,7,11
8_1,2,4,8,16,16,23,69,25,21,20,12,24,2,4,8,0,7,9
8_2,7,11,15,19,22,28,102,35,21,33,11,34,4,4,4,3,6,8
8_3,5,10,15,18,22,26,96,31,21,32,12,33,5,5,3,4,4,7
8_4,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,7
8_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,8
8_6,2,4,10,13,23,25,77,27,23,27,19,23,2,6,3,10,2,0
8_7,2,6,10,14,21,26,79,28,24,27,15,24,4,4,4,7,5,4
8_8,2,6,12,17,22,27,86,29,25,28,16,29,4,6,5,5,5,5
8_9,2,6,14,19,21,28,90,30,26,27,15,33,4,8,5,2,7,1
8_10,4,7,14,19,21,29,94,33,25,28,14,33,3,7,5,2,8,4
9_1,3,7,12,17,19,21,79,24,18,26,12,29,4,5,5,2,2,7
9_2,6,13,16,22,23,27,107,33,21,36,10,38,7,3,6,1,4,9
9_3,4,9,14,18,21,26,92,30,22,30,12,32,5,5,4,3,5,8
9_4,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
9_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,8
9_6,1,0,2,10,21,25,59,26,24,21,21,12,-1,2,8,11,4,7
9_7,1,2,3,10,22,25,63,26,24,24,20,13,1,1,7,12,3,7
9_8,2,3,4,9,21,25,64,27,23,24,18,13,1,1,5,12,4,7
9_9,1,3,7,12,25,26,74,27,25,28,22,19,2,4,5,13,1,5
9_10,1,3,9,13,23,26,75,27,25,26,20,22,2,6,4,10,3,5
10_1,2,5,9,16,18,20,70,22,18,23,13,25,3,4,7,2,2,7
10_2,5,11,15,19,22,25,97,30,20,33,11,34,6,4,4,3,3,9
10_3,4,8,12,16,21,26,87,30,22,29,13,28,4,4,4,5,5,8
10_4,3,8,14,19,25,29,98,32,26,33,17,33,5,6,5,6,4,7
10_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,8
10_6,3,6,10,13,21,23,76,26,20,27,15,23,3,4,3,8,2,8
10_7,3,7,10,13,23,24,80,27,21,30,16,23,4,3,3,10,1,10
10_8,4,7,12,13,21,25,82,29,21,28,14,25,3,5,1,8,4,10
10_9,2,7,11,16,23,31,90,33,29,30,16,27,5,4,5,7,8,7
10_10,2,7,10,15,21,30,85,32,28,28,14,25,5,3,5,6,9,10
