Red1_Top1_Hit,Red1_Top1_UnHit,Red1_Top2_Hit,Red1_Top2_UnHit,Red1_Top3_Hit,Red1_Top3_UnHit,Red2_Top1_Hit,Red2_Top1_UnHit,Red2_Top2_Hit,Red2_Top2_UnHit,Red2_Top3_Hit,Red2_Top3_UnHit,Red3_Top1_Hit,Red3_Top1_UnHit,Red3_Top2_Hit,Red3_Top2_UnHit,Red3_Top3_Hit,Red3_Top3_UnHit,Red4_Top1_Hit,Red4_Top1_UnHit,Red4_Top2_Hit,Red4_Top2_UnHit,Red4_Top3_Hit,Red4_Top3_UnHit,Red5_Top1_Hit,Red5_Top1_UnHit,Red5_Top2_Hit,Red5_Top2_UnHit,Red5_Top3_Hit,Red5_Top3_UnHit,Red6_Top1_Hit,Red6_Top1_UnHit,Red6_Top2_Hit,Red6_Top2_UnHit,Red6_Top3_Hit,Red6_Top3_UnHit,RedSum_Top1_Hit,RedSum_Top1_UnHit,RedSum_Top2_Hit,RedSum_Top2_UnHit,RedSum_Top3_Hit,RedSum_Top3_UnHit,RedSum16_Top1_Hit,RedSum16_Top1_UnHit,RedSum16_Top2_Hit,RedSum16_Top2_UnHit,RedSum16_Top3_Hit,RedSum16_Top3_UnHit,RedGap16_Top1_Hit,RedGap16_Top1_UnHit,RedGap16_Top2_Hit,RedGap16_Top2_UnHit,RedGap16_Top3_Hit,RedGap16_Top3_UnHit,RedSum25_Top1_Hit,RedSum25_Top1_UnHit,RedSum25_Top2_Hit,RedSum25_Top2_UnHit,RedSum25_Top3_Hit,RedSum25_Top3_UnHit,RedGap25_Top1_Hit,RedGap25_Top1_UnHit,RedGap25_Top2_Hit,RedGap25_Top2_UnHit,RedGap25_Top3_Hit,RedGap25_Top3_UnHit,RedSum34_Top1_Hit,RedSum34_Top1_UnHit,RedSum34_Top2_Hit,RedSum34_Top2_UnHit,RedSum34_Top3_Hit,RedSum34_Top3_UnHit,RedGap12_Top1_Hit,RedGap12_Top1_UnHit,RedGap12_Top2_Hit,RedGap12_Top2_UnHit,RedGap12_Top3_Hit,RedGap12_Top3_UnHit,RedGap23_Top1_Hit,RedGap23_Top1_UnHit,RedGap23_Top2_Hit,RedGap23_Top2_UnHit,RedGap23_Top3_Hit,RedGap23_Top3_UnHit,RedGap34_Top1_Hit,RedGap34_Top1_UnHit,RedGap34_Top2_Hit,RedGap34_Top2_UnHit,RedGap34_Top3_Hit,RedGap34_Top3_UnHit,RedGap45_Top1_Hit,RedGap45_Top1_UnHit,RedGap45_Top2_Hit,RedGap45_Top2_UnHit,RedGap45_Top3_Hit,RedGap45_Top3_UnHit,RedGap56_Top1_Hit,RedGap56_Top1_UnHit,RedGap56_Top2_Hit,RedGap56_Top2_UnHit,RedGap56_Top3_Hit,RedGap56_Top3_UnHit,RedBlue_Top1_Hit,RedBlue_Top1_UnHit,RedBlue_Top2_Hit,RedBlue_Top2_UnHit,RedBlue_Top3_Hit,RedBlue_Top3_UnHit
13.4,8.6,-36.6,-33.0,-86.0,-73.4,14.4,124.9,-4.0,44.0,-22.7,-38.6,1.3,75.3,-0.7,-10.6,-2.6,-94.4,1.5,14.5,-34.1,-39.6,-69.4,-93.8,66.2,1.0,-28.3,-4.1,-123.0,-9.4,5.5,118.0,1.4,31.4,-2.8,-55.4,69.7,49.6,15.3,1.3,-39.9,-47.5,59.3,115.7,25.6,53.4,-8.0,-8.7,30.3,89.4,3.5,16.4,-23.3,-57.2,68.6,58.0,9.3,17.2,-49.9,-23.5,4.7,98.3,-0.9,-4.7,-6.5,-106.5,17.7,135.0,3.5,53.6,-10.5,-29.1,18.5,108.4,3.7,37.1,-11.6,-34.8,6.6,65.1,-10.5,-16.6,-27.7,-97.5,0,116.5,0,29.3,0,-57.3,91.2,14.3,10.3,2.6,-72.1,-8.8,0,113.0,0,38.5,0,-34.9,104.6,0,17.1,0,-70.7,0
-27.4|29.1|84.9,-6.3|60.2|127.3,-48.8|-7.2|37.2,-41.8|5.3|53.7,-96.3|-35.9|22.8,-110.0|-47.6|18.7,-13.5|47.8|105.9,-0.8|58.9|122.4,-36.2|0.6|37.3,-51.5|-3.8|45.7,-104.2|-46.0|10.7,-121.2|-54.5|20.4,-10.1|45.1|99.3,-4.2|40.9|83.4,-29.3|3.9|38.1,-23.5|6.2|38.4,-89.5|-37.5|20.7,-99.7|-37.1|27.1,-33.1|28.9|91.4,41.6|91.3|136.3,-25.4|8.3|42.4,-2.2|34.5|71.7,-64.9|-18.5|23.3,-95.5|-37.2|18.9,-18.9|47.2|112.0,6.5|75.3|148.2,-21.5|21.2|63.6,-43.6|9.6|59.0,-61.0|-3.8|51.1,-137.5|-67.0|-1.7,-0.7|58.8|117.0,2.2|48.4|103.1,-17.9|16.9|48.1,-44.0|-5.1|36.3,-84.3|-29.5|23.5,-115.0|-48.8|17.8,-14.3|44.7|107.9,47.3|101.0|155.9,-19.9|16.5|53.1,-13.4|34.1|80.1,-59.6|-1.5|53.8,-117.8|-41.9|28.8,-33.4|27.9|87.8,-3.1|62.5|132.6,-40.4|-4.6|33.5,-52.0|-2.6|48.5,-92.7|-37.1|17.4,-135.7|-63.1|0.8,-36.7|22.9|81.6,14.1|74.3|139.8,-36.1|2.3|44.2,-35.8|10.1|54.3,-77.6|-27.9|24.1,-136.9|-70.4|-2.4,-9.9|45.6|103.3,-13.4|52.9|115.2,-37.3|5.2|43.3,-58.0|-6.1|44.0,-97.3|-36.8|25.0,-130.8|-60.3|9.5,-22.7|32.3|90.6,-16.4|51.5|116.6,-42.2|-7.4|29.5,-63.3|-10.6|43.4,-113.7|-55.5|-1.0,-129.8|-63.6|11.2,-29.4|30.4|92.2,1.7|53.0|109.6,-40.5|-3.0|32.8,-40.9|-1.0|38.2,-95.9|-36.2|22.3,-116.6|-43.9|29.5,-18.7|33.4|81.6,3.9|51.1|98.7,-25.6|1.6|30.7,-28.5|6.0|39.9,-86.3|-38.0|12.0,-107.9|-54.7|-2.0,-10.5|49.1|111.9,-37.7|40.5|121.1,-43.6|0.0|40.7,-61.2|-2.1|57.4,-109.7|-42.5|24.8,-123.3|-44.3|23.3,-41.6|13.8|67.6,18.2|63.4|113.1,-35.3|-2.6|30.2,-38.2|-7.7|22.8,-82.9|-23.7|29.8,-138.3|-79.4|-24.7,-23.5|25.9|77.3,8.2|62.9|116.3,-36.0|-3.3|29.1,-44.7|-2.8|37.4,-74.7|-28.0|20.3,-116.6|-60.4|-5.7,-23.2|28.2|81.8,-30.0|22.2|76.6,-33.7|2.6|34.8,-75.4|-30.2|13.4,-75.7|-30.1|10.8,-117.3|-61.8|-2.8,-39.8|24.7|83.8,9.4|69.2|132.2,-40.1|-5.8|31.0,-49.6|0.7|49.8,-83.2|-25.2|27.8,-127.9|-55.7|11.7
