Date,Game,ball_number,sum25,gap23,gap12,row3,gap25,less8,less9,gap16,sum34,row2,gap34,less5,sum16,row4,less10,gap45,gap56,row1,ball,,,,,blue_sort
20220913,22106,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0
20220915,22107,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,,,,,1
20220918,22108,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,,,,,0
20220920,22109,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,,,,,0
20220922,22110,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,,,,,0
20220925,22111,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,,,,,1
20220927,22112,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,,,,,1
20220929,22113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1
20221006,22114,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,,,,,0
20221009,22115,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,,,,,0
20221011,22116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0
20221013,22117,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,,,,1
20221016,22118,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,,,,,0
20221018,22119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,,,,,0
20221020,22120,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0
20221023,22121,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,,,,0
20221025,22122,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,,,,1
20221027,22123,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,,,0
20221030,22124,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,,,,,1
20221101,22125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,,,,,1
20221103,22126,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,,,,,0
20221106,22127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,,,,,1
20221108,22128,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,0
20221110,22129,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,,0
20221113,22130,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,,,,,1
20221115,22131,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,1
20221117,22132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,0
20221120,22133,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,,,,,0
20221122,22134,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,,,,0
20221124,22135,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,,,,,0
20221127,22136,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,,,,,0
20221129,22137,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,,,,,0
20221201,22138,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,,,,,0
20221204,22139,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,,,,,0
20221206,22140,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,,,,,0
20221208,22141,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,,,,,1
20221211,22142,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,,,,,1
20221213,22143,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,,,,,0
20221215,22144,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,,,,1
20221218,22145,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,,,,,0
20221220,22146,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,,,,,0
20221222,22147,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,0
20221225,22148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,,,,0
