Column,Red1,Red2,Red3,Red4,Red5,Red6,Red7,Red8,Red9,Red10
Red1,1,0,0,0,0,0,0,0,0,0
Red2,0,0,0,0,0,0,0,0,0,1
Red3,0,0,0,0,1,0,0,1,0,0
Red4,0,0,0,0,0,0,0,1,0,0
Red5,0,0,0,0,1,0,0,0,0,0
Red6,0,0,0,0,0,0,0,0,0,0
RedSum16,0,0,1,1,1,1,1,1,0,0
RedGap16,0,0,0,0,0,0,0,1,0,0
RedSum25,0,0,0,0,0,0,0,0,0,0
RedGap25,0,0,0,1,1,0,1,1,1,0
RedSum34,1,0,0,1,1,1,1,1,1,1
RedGap12,0,0,0,0,0,0,0,0,0,0
RedGap23,0,0,0,0,0,0,0,0,0,0
RedGap34,0,0,0,0,0,0,1,0,0,0
RedGap45,1,1,1,1,0,1,0,0,0,0
RedGap56,0,0,0,0,0,0,0,0,0,0
RedSum_,0,0,0,0,0,0,0,1,1,0
