key,gap,pro1,pro2,pro3,range1,range2
1_1___1__,0,-1.5,1.0,3.4,3,5
10_6___1__,0,-0.4,1.4,3.1,5,8
13_1___1__,0,-1.3,0.9,3.1,3,5
16_1___1__,0,-1.7,0.6,3.1,4,5
2_1___1__,0,-0.4,1.4,3.3,5,6
2_7___1__,0,-1.4,0.7,2.8,5,6
8_6___1__,0,-0.6,1.6,3.8,2,5
8_8___1__,0,-1.2,0.4,2.2,3,5
19_9___1__,0,-1.1,1.0,3.0,5,7
1_7___1__,0,-2.1,0.1,2.4,0,5
2_6___1__,0,-1.8,0.5,3.0,5,7
2_8___1__,0,-0.9,0.9,2.6,5,6
2_9___1__,0,-1.3,0.6,2.5,4,5
2_10___1__,0,-1.5,0.5,2.6,3,5
3_1___1__,0,-1.2,0.9,3.2,3,5
5_2___1__,0,-1.9,0.2,2.1,4,5
8_1___1__,0,-1.4,1.2,3.3,4,5
9_1___1__,0,-0.7,1.4,3.7,4,5
11_8___1__,0,-1.4,0.7,3.0,5,5
13_7___1__,0,-1.2,0.9,2.8,3,5
1_6___1__,6,-1.7,1.2,4.2,2,5
19_8___1__,0,-1.3,1.3,4.2,5,8
3_10___1__,5,-1.1,1.4,4.1,5,9
6_8___1__,0,-1.2,1.4,4.0,5,7
7_2___1__,0,-0.5,1.7,3.9,5,5
7_10___1__,0,-0.9,1.1,3.1,3,5
11_10___1__,0,-0.8,1.8,4.8,4,5
14_8___1__,0,-0.0,2.3,4.8,5,9
17_2___1__,2,-1.0,1.1,3.4,5,6
1_2___1__,2,-0.9,1.0,3.2,5,5
1_8___1__,2,-0.6,1.7,4.0,3,5
2_3___1__,0,-1.0,1.5,4.2,5,5
3_8___1__,0,-0.5,1.8,4.1,5,9
4_1___1__,0,-1.7,0.8,3.4,5,5
4_3___1__,0,-1.3,1.5,4.2,5,7
7_3___1__,0,-1.3,1.8,4.9,5,5
11_6___1__,0,-1.3,1.0,3.4,3,5
12_6___1__,0,-0.3,1.8,3.7,5,5
14_1___1__,0,-0.9,1.6,4.4,4,5
14_6___1__,0,-0.8,1.3,3.3,5,5
2_6___2__,0,-1.0,1.2,3.3,10,10
10_6___2__,0,-1.3,1.3,3.7,10,12
10_7___2__,0,-1.7,0.7,3.0,10,13
4_8___2__,0,-1.1,1.1,3.3,10,11
5_7___2__,2,-1.4,0.7,2.8,4,10
10_8___2__,0,-0.6,1.2,2.9,10,12
12_7___2__,0,-0.8,1.1,2.8,8,10
13_6___2__,0,-1.1,1.0,3.2,10,11
14_6___2__,0,-0.5,1.4,3.3,10,11
14_7___2__,0,-0.5,1.2,3.0,8,10
15_7___2__,0,-0.8,1.0,2.9,8,10
16_7___2__,0,-1.3,0.8,2.8,7,10
17_7___2__,0,-0.9,0.8,2.8,8,10
19_8___2__,0,-1.3,1.1,3.5,7,10
20_8___2__,0,-0.9,1.2,3.3,10,12
20_9___2__,2,-1.2,1.0,3.4,10,11
2_7___2__,0,-1.2,0.7,2.6,10,10
2_8___2__,0,-0.7,1.1,2.8,9,10
2_9___2__,0,-0.3,1.6,3.6,9,10
4_6___2__,0,-1.6,0.6,2.5,10,13
1_6___2__,5,-2.6,1.3,5.2,8,10
13_1___2__,0,1.0,4.1,7.1,8,10
2_1___2__,0,-1.2,1.7,4.6,10,10
4_1___2__,0,-1.0,1.9,5.0,10,12
6_2___2__,2,-1.2,2.2,5.2,8,10
9_3___2__,0,0.9,3.6,6.3,8,10
10_2___2__,2,-1.2,1.3,3.7,9,10
13_3___2__,0,0.6,4.0,7.0,10,10
14_2___2__,0,-0.8,2.9,6.4,7,10
14_3___2__,0,-0.7,2.8,6.1,10,10
15_2___2__,2,-2.4,1.1,4.5,9,10
17_2___2__,2,-0.7,2.1,5.1,10,10
18_1___2__,0,-0.7,2.1,5.3,10,12
1_3___2__,0,-2.0,1.6,5.0,7,10
2_2___2__,2,1.2,4.2,7.2,9,10
3_2___2__,2,-0.1,2.2,4.5,6,10
4_2___2__,0,1.0,3.5,5.9,10,13
6_3___2__,0,-0.8,2.2,5.4,9,10
7_1___2__,2,-0.8,1.9,4.5,10,12
7_3___2__,0,-2.0,1.2,4.2,9,10
8_8___3__,0,-0.3,1.6,3.4,13,16
12_7___3__,3,-2.2,-0.3,1.5,14,16
20_7___3__,2,-1.3,0.4,2.2,16,17
3_7___3__,0,-1.1,0.7,2.5,16,17
4_6___3__,0,-0.6,1.5,3.4,14,16
6_8___3__,0,-0.2,1.5,3.2,11,16
7_10___3__,0,-0.4,1.3,3.0,12,16
8_6___3__,0,-0.4,1.4,3.4,16,16
9_9___3__,0,-1.2,1.0,3.0,13,16
10_2___3__,0,0.3,2.6,4.9,15,16
13_2___3__,0,-1.2,0.5,2.2,13,16
14_2___3__,0,-1.6,0.5,2.6,13,16
16_7___3__,0,-0.8,1.3,3.2,12,16
18_8___3__,0,-0.1,1.8,3.6,16,19
1_7___3__,0,-1.5,1.2,4.0,13,16
1_10___3__,0,-0.5,1.2,2.9,12,16
2_2___3__,0,-0.5,1.4,3.1,13,16
3_6___3__,0,-1.6,1.3,4.2,16,16
3_8___3__,0,-0.4,1.2,2.5,16,17
5_7___3__,0,-1.3,1.0,3.2,14,16
1_6___3__,7,0.0,3.2,6.5,13,16
17_9___3__,4,-0.8,1.2,3.3,13,16
8_3___3__,0,0.4,2.8,5.0,16,17
9_3___3__,0,-0.3,2.4,5.0,13,16
15_3___3__,0,-0.9,1.7,4.3,14,16
19_8___3__,6,-0.2,2.0,4.1,13,16
19_10___3__,6,-1.2,0.8,2.8,13,16
1_3___3__,0,0.3,2.9,5.8,13,16
4_1___3__,0,0.1,2.4,4.8,16,17
4_3___3__,0,-0.2,2.4,5.0,16,17
6_3___3__,0,0.2,2.5,4.9,15,16
7_2___3__,0,-1.6,0.8,3.1,14,16
8_2___3__,0,-0.9,1.7,4.2,16,16
8_10___3__,0,-0.6,1.5,3.7,15,16
11_3___3__,3,-0.2,2.0,4.3,14,16
13_7___3__,0,-0.8,1.2,3.0,16,16
13_10___3__,0,0.0,1.8,3.7,16,17
14_3___3__,0,-0.1,2.5,5.0,16,17
16_3___3__,0,-0.9,1.7,4.2,16,16
17_1___3__,2,-0.3,2.1,4.3,16,17
12_1___4__,0,-1.4,1.4,4.4,19,21
15_7___4__,1,-1.1,1.1,3.2,19,25
9_9___4__,2,-0.8,1.7,4.4,19,20
9_10___4__,1,-2.1,1.6,5.0,19,21
10_6___4__,2,-1.3,1.2,3.5,19,25
10_7___4__,1,0.0,2.4,4.7,19,25
11_1___4__,1,-1.8,0.7,3.4,19,20
18_9___4__,0,-0.3,2.3,5.1,19,22
1_10___4__,1,-0.8,2.1,5.0,19,21
2_1___4__,0,-0.6,1.9,4.1,19,21
3_10___4__,2,-0.7,1.4,3.5,19,24
7_1___4__,0,-0.3,2.2,4.6,19,21
12_10___4__,2,-0.7,1.6,3.9,19,23
14_1___4__,0,-2.1,1.1,3.9,19,23
15_6___4__,2,-0.7,1.1,3.1,19,25
16_7___4__,1,-1.7,0.8,3.3,19,20
16_8___4__,0,-0.6,1.4,3.5,19,19
18_7___4__,1,0.4,2.8,5.6,19,21
18_10___4__,0,-1.4,1.5,4.3,19,21
19_1___4__,0,-2.3,1.2,4.7,19,22
10_3___4__,0,0.6,3.6,6.8,17,19
1_6___4__,2,-0.5,3.1,6.5,19,21
5_3___4__,0,-0.7,2.0,4.7,19,19
7_3___4__,1,-0.3,2.6,5.6,18,19
9_3___4__,2,-0.8,1.7,4.2,18,19
13_3___4__,0,-0.1,2.7,5.4,19,21
15_3___4__,0,0.3,2.8,5.1,18,19
18_3___4__,0,-0.5,2.3,5.4,19,20
20_3___4__,2,-0.7,1.9,4.5,19,20
2_10___4__,2,-0.2,1.8,3.9,19,23
4_2___4__,2,-1.0,1.2,3.4,19,21
4_3___4__,1,0.4,3.2,5.7,19,21
7_2___4__,1,-0.6,1.5,3.6,18,19
12_3___4__,0,-1.4,1.2,3.9,19,20
13_9___4__,1,0.1,2.3,4.6,19,24
14_3___4__,0,-1.2,1.5,4.2,19,21
