key,gap,pro1,pro2,pro3,range1,range2
4_7___1__,2,-1.3,0.6,2.6,6,7
4_8___1__,1,-1.1,1.4,3.7,6,7
6_2___1__,1,-1.7,0.4,2.5,6,7
6_6___1__,0,-0.6,1.3,3.1,3,7
9_10___1__,1,-1.9,0.0,2.0,7,7
12_7___1__,2,-0.4,1.7,3.8,4,7
17_2___1__,1,-1.3,0.9,3.1,4,7
1_3___1__,1,0.5,3.0,5.8,7,8
1_7___1__,1,-0.8,1.5,3.9,2,7
7_7___1__,0,-1.1,1.0,3.3,4,7
8_8___1__,0,-0.7,1.2,3.2,6,7
9_9___1__,1,0.1,2.1,4.5,5,7
10_2___1__,1,-1.1,0.8,2.6,4,7
14_7___1__,4,-1.6,0.7,3.1,7,8
16_7___1__,2,-0.1,1.7,3.8,7,8
17_6___1__,2,-1.5,0.7,2.8,4,7
17_9___1__,2,-1.6,0.6,3.0,2,7
19_2___1__,1,-1.0,0.7,2.2,3,7
20_2___1__,1,-0.6,1.1,3.0,4,7
20_7___1__,1,-1.5,0.5,2.6,5,7
11_1___1__,0,-0.9,1.3,3.6,1,7
7_1___1__,1,-1.5,1.3,3.8,2,7
11_6___1__,5,-1.0,1.1,3.0,3,7
16_1___1__,0,-0.8,1.9,4.4,3,7
20_1___1__,0,-0.1,2.2,4.5,5,7
1_1___1__,0,0.2,2.6,5.0,4,7
1_6___1__,4,-1.0,1.9,4.8,1,7
5_1___1__,0,-0.5,1.8,4.5,5,7
5_6___1__,4,-0.3,1.8,4.2,6,7
5_7___1__,4,-1.6,1.3,4.1,7,7
5_8___1__,4,0.2,2.0,4.1,6,7
8_1___1__,4,-1.2,1.1,3.4,3,7
8_6___1__,4,-1.1,1.0,3.1,7,7
9_1___1__,4,-0.0,2.1,4.3,4,7
14_3___1__,1,-0.8,1.8,4.7,4,7
15_6___1__,4,1.0,2.9,4.9,4,7
16_3___1__,4,1.1,3.8,6.5,5,7
18_8___1__,4,-0.9,1.1,3.1,7,11
2_8___1__,4,-0.0,1.9,3.6,7,8
3_9___1__,4,-1.5,0.6,2.7,6,7
4_7___2__,0,-0.6,1.7,3.8,10,11
12_7___2__,0,-0.8,1.4,3.4,8,11
4_9___2__,0,-0.6,1.4,3.2,7,11
8_8___2__,0,-0.8,1.3,3.0,9,11
12_9___2__,2,-1.2,1.4,4.0,9,11
4_8___2__,0,-1.1,0.8,2.7,8,11
14_7___2__,2,-1.9,0.2,2.3,11,11
14_8___2__,2,-1.6,1.1,3.7,9,11
16_10___2__,2,-0.3,1.5,3.5,8,11
17_9___2__,0,-0.7,1.1,3.1,6,11
18_7___2__,0,0.6,2.6,4.6,11,15
20_9___2__,2,-0.6,1.9,4.3,8,11
2_7___2__,2,-0.1,1.7,3.3,8,11
2_10___2__,2,-0.5,1.6,3.7,11,11
3_8___2__,0,-0.7,1.4,3.3,9,11
4_10___2__,2,-1.0,1.0,2.8,7,11
5_10___2__,1,-1.8,0.8,3.3,9,11
6_8___2__,2,-1.4,1.0,3.5,9,11
6_9___2__,2,-1.3,1.1,3.6,7,11
6_10___2__,2,-0.8,1.5,3.6,8,11
1_3___2__,6,-1.5,2.0,5.8,11,12
2_3___2__,6,-1.3,1.5,4.4,10,11
18_3___2__,6,-1.8,2.1,5.8,8,11
1_6___2__,2,-1.4,2.2,6.0,4,11
8_3___2__,6,-1.5,2.1,5.7,10,11
12_3___2__,6,-1.6,1.6,5.1,11,11
2_1___2__,0,-0.4,2.4,5.1,9,11
4_3___2__,0,-2.4,1.3,4.6,10,11
5_3___2__,3,-1.6,1.5,4.8,10,11
7_1___2__,7,-1.2,1.8,4.8,6,11
7_3___2__,6,-2.1,1.0,4.0,10,11
7_6___2__,0,-1.7,1.1,4.0,11,11
10_6___2__,0,-1.0,1.3,3.7,8,11
13_3___2__,6,-1.2,2.0,5.1,10,11
14_1___2__,1,-1.4,1.7,4.6,5,11
16_3___2__,6,-0.5,2.9,6.2,10,11
17_3___2__,6,-1.5,1.6,4.6,10,11
18_1___2__,4,-0.7,2.2,5.1,5,11
18_6___2__,0,-0.5,2.1,4.8,11,15
20_3___2__,6,-2.2,1.2,4.5,9,11
3_8___3__,0,-0.8,0.7,2.3,17,18
10_7___3__,0,-0.7,1.3,3.3,15,18
12_8___3__,0,-1.1,0.9,2.9,11,18
13_8___3__,0,-0.5,1.1,2.7,9,18
16_6___3__,0,0.0,1.8,3.5,14,18
17_7___3__,0,-1.1,0.6,2.2,9,18
17_8___3__,0,-1.5,1.0,3.3,9,18
18_2___3__,0,-1.0,1.1,3.3,11,18
19_8___3__,0,-1.1,0.8,2.7,8,18
2_2___3__,0,-1.5,0.7,2.7,16,18
2_6___3__,0,-0.2,1.6,3.3,15,18
4_7___3__,0,-0.4,1.6,3.8,14,18
6_2___3__,0,-0.8,1.1,3.0,15,18
10_8___3__,0,-0.3,1.6,3.7,17,18
11_8___3__,0,-1.8,0.5,2.7,7,18
13_7___3__,0,-1.6,0.5,2.4,13,18
14_9___3__,0,-1.5,0.7,2.8,13,18
15_6___3__,0,-1.1,1.1,3.2,11,18
15_8___3__,0,-1.6,0.7,2.9,12,18
16_7___3__,0,-0.9,1.2,3.2,13,18
1_1___3__,0,-0.8,1.5,3.9,17,18
1_6___3__,0,0.5,3.4,6.1,10,18
4_1___3__,0,0.6,3.0,5.2,11,18
16_1___3__,0,-0.5,2.1,4.7,10,18
4_10___3__,0,-0.0,1.7,3.6,15,18
5_1___3__,0,0.3,2.8,5.1,13,18
5_10___3__,0,-0.7,1.4,3.8,14,18
7_10___3__,0,0.3,2.0,3.9,12,18
9_6___3__,0,-0.1,2.1,4.4,16,18
11_6___3__,0,0.1,1.9,3.7,6,18
11_7___3__,0,-0.4,1.5,3.3,6,18
11_10___3__,0,-0.0,2.1,4.1,11,18
12_2___3__,0,0.1,2.7,5.1,12,18
12_3___3__,0,-0.2,2.4,4.9,13,18
13_1___3__,0,-1.6,0.9,3.3,14,18
14_1___3__,0,-0.9,1.3,3.4,9,18
15_10___3__,0,-0.6,1.6,3.8,13,18
18_9___3__,0,-0.1,1.8,3.9,17,18
1_3___3__,0,-0.3,2.3,5.2,17,18
1_7___3__,0,-0.0,2.6,5.3,10,18
1_2___4__,0,-0.6,1.8,4.1,19,24
11_2___4__,0,-0.3,2.3,4.8,16,24
3_2___4__,0,0.2,2.6,4.8,16,24
3_9___4__,0,-0.5,1.6,3.8,19,24
9_2___4__,0,-0.0,2.4,4.8,16,24
11_9___4__,0,-1.2,0.9,3.1,16,24
17_9___4__,0,-1.0,1.0,3.1,16,24
2_7___4__,0,-0.2,2.0,4.2,21,24
3_8___4__,0,0.4,2.3,4.1,21,24
5_8___4__,0,-0.1,2.1,4.2,17,24
6_2___4__,0,-0.2,2.0,4.1,17,24
7_2___4__,0,0.0,1.9,4.0,16,24
11_1___4__,0,-1.3,1.3,3.7,14,24
12_8___4__,0,-0.2,2.1,4.4,17,24
13_9___4__,0,0.2,2.1,4.2,20,24
15_9___4__,0,-0.1,2.0,4.0,17,24
20_2___4__,0,-1.4,1.4,4.1,14,24
2_8___4__,0,-0.3,1.9,4.1,21,24
2_9___4__,0,-1.0,1.0,3.0,20,24
3_10___4__,0,-0.6,1.4,3.6,19,24
1_6___4__,0,0.7,4.0,7.5,19,24
1_7___4__,0,0.5,3.4,6.2,18,24
3_3___4__,0,-0.5,2.0,4.5,19,24
9_10___4__,0,0.8,3.8,6.9,20,24
18_3___4__,0,-0.2,2.5,5.5,19,24
20_3___4__,0,0.5,3.1,5.6,18,24
1_10___4__,0,-1.3,1.6,4.5,18,24
4_3___4__,0,-0.4,2.3,5.0,18,24
5_3___4__,0,-0.2,2.3,4.9,18,24
6_6___4__,0,-0.7,1.8,4.6,21,24
7_3___4__,0,-0.2,2.6,5.4,20,24
7_10___4__,0,-1.4,1.4,4.1,15,24
9_3___4__,0,-0.2,2.2,4.8,20,24
9_8___4__,0,-0.2,2.3,5.1,22,24
14_1___4__,0,-0.4,2.5,5.4,13,24
15_2___4__,0,-0.4,2.0,4.4,12,24
15_3___4__,0,-0.2,2.2,4.7,17,24
18_1___4__,0,0.1,2.4,4.6,14,24
18_7___4__,0,-0.4,2.4,5.1,19,24
19_1___4__,0,-1.4,1.9,5.6,14,24
1_2___5__,1,-1.7,1.7,5.2,25,27
2_2___5__,1,-0.9,1.7,4.5,24,27
8_2___5__,1,-0.4,2.6,5.9,23,27
13_2___5__,1,0.1,2.3,4.7,21,27
15_6___5__,1,-0.5,1.7,4.0,25,27
16_2___5__,3,-0.6,2.4,5.4,24,27
2_6___5__,0,-0.3,1.9,3.9,23,27
2_7___5__,0,0.1,2.3,4.3,24,27
5_2___5__,1,-0.9,2.0,5.0,23,27
6_8___5__,2,-0.2,1.7,3.9,21,27
7_2___5__,1,0.3,3.1,5.8,23,27
8_3___5__,1,-0.6,2.6,5.6,24,27
9_2___5__,1,-0.9,2.0,4.8,20,27
10_2___5__,1,-1.5,1.2,3.9,22,27
10_3___5__,1,-0.9,2.0,5.1,24,27
11_2___5__,1,-0.3,2.6,5.6,22,27
12_6___5__,0,-1.1,1.2,3.5,22,27
17_2___5__,1,-0.7,2.0,4.8,22,27
19_2___5__,1,-1.1,2.1,4.9,22,27
20_2___5__,1,-0.8,2.0,4.7,21,27
1_8___5__,6,-0.8,3.0,6.7,25,27
1_7___5__,10,0.7,3.2,5.6,27,27
1_9___5__,2,-0.3,3.0,5.8,22,27
10_9___5__,2,0.7,2.8,5.2,22,27
11_10___5__,1,0.4,3.1,5.7,21,27
16_10___5__,6,-0.2,2.8,5.4,22,27
18_8___5__,6,0.8,2.8,4.8,25,27
20_10___5__,1,-0.1,3.1,6.3,21,27
1_6___5__,3,-1.3,2.3,5.9,27,27
5_6___5__,6,-0.9,1.4,3.6,24,27
7_6___5__,6,-0.7,1.6,3.9,27,27
7_7___5__,6,-0.5,2.0,4.3,27,28
10_8___5__,2,0.2,2.6,5.1,24,27
11_6___5__,6,-0.4,1.8,4.1,23,27
11_8___5__,6,0.1,2.6,4.7,21,27
11_9___5__,1,0.5,2.8,4.9,20,27
15_1___5__,1,-0.3,2.5,5.3,18,27
16_6___5__,10,0.3,2.6,4.9,27,28
18_9___5__,2,0.8,2.7,4.8,22,27
19_10___5__,1,-0.2,2.3,4.8,22,27
6_7___6__,1,-0.3,1.6,3.5,28,32
7_2___6__,1,-0.4,1.4,3.3,28,32
20_8___6__,1,-1.2,1.3,3.7,29,32
2_7___6__,0,-2.1,0.2,2.3,29,32
6_8___6__,1,-0.8,1.1,3.0,29,32
12_8___6__,0,-0.6,1.3,3.2,26,32
12_9___6__,1,-1.0,0.7,2.3,30,32
17_2___6__,1,-0.3,1.7,3.6,27,32
19_6___6__,1,-1.4,0.5,2.5,29,32
19_7___6__,1,-0.4,1.3,3.2,28,32
20_7___6__,1,-2.4,0.5,2.9,28,32
20_9___6__,1,-0.9,1.2,3.4,30,32
1_1___6__,1,-0.8,1.7,4.3,25,32
1_2___6__,1,-0.9,0.8,2.7,28,32
3_2___6__,1,-0.8,1.0,2.8,28,32
3_8___6__,1,-1.2,1.0,3.2,28,32
4_6___6__,1,-1.7,0.4,2.9,32,33
5_9___6__,1,-0.9,1.2,3.2,28,32
6_6___6__,1,-0.7,1.3,3.1,30,32
7_8___6__,1,-1.0,1.6,4.2,29,32
1_8___6__,3,-1.2,1.3,3.7,28,32
2_1___6__,1,-0.2,1.7,3.7,24,32
1_7___6__,3,-1.3,1.1,3.4,29,32
9_6___6__,1,-0.2,2.1,4.7,30,32
12_1___6__,1,-0.9,1.6,4.2,28,32
15_1___6__,1,-1.4,1.0,3.3,23,32
18_6___6__,1,-0.8,1.6,3.7,29,32
