Red1_Top1_Hit,Red1_Top1_UnHit,Red1_Top2_Hit,Red1_Top2_UnHit,Red1_Top3_Hit,Red1_Top3_UnHit,Red2_Top1_Hit,Red2_Top1_UnHit,Red2_Top2_Hit,Red2_Top2_UnHit,Red2_Top3_Hit,Red2_Top3_UnHit,Red3_Top1_Hit,Red3_Top1_UnHit,Red3_Top2_Hit,Red3_Top2_UnHit,Red3_Top3_Hit,Red3_Top3_UnHit,Red4_Top1_Hit,Red4_Top1_UnHit,Red4_Top2_Hit,Red4_Top2_UnHit,Red4_Top3_Hit,Red4_Top3_UnHit,Red5_Top1_Hit,Red5_Top1_UnHit,Red5_Top2_Hit,Red5_Top2_UnHit,Red5_Top3_Hit,Red5_Top3_UnHit,Red6_Top1_Hit,Red6_Top1_UnHit,Red6_Top2_Hit,Red6_Top2_UnHit,Red6_Top3_Hit,Red6_Top3_UnHit,RedSum_Top1_Hit,RedSum_Top1_UnHit,RedSum_Top2_Hit,RedSum_Top2_UnHit,RedSum_Top3_Hit,RedSum_Top3_UnHit,RedSum16_Top1_Hit,RedSum16_Top1_UnHit,RedSum16_Top2_Hit,RedSum16_Top2_UnHit,RedSum16_Top3_Hit,RedSum16_Top3_UnHit,RedGap16_Top1_Hit,RedGap16_Top1_UnHit,RedGap16_Top2_Hit,RedGap16_Top2_UnHit,RedGap16_Top3_Hit,RedGap16_Top3_UnHit,RedSum25_Top1_Hit,RedSum25_Top1_UnHit,RedSum25_Top2_Hit,RedSum25_Top2_UnHit,RedSum25_Top3_Hit,RedSum25_Top3_UnHit,RedGap25_Top1_Hit,RedGap25_Top1_UnHit,RedGap25_Top2_Hit,RedGap25_Top2_UnHit,RedGap25_Top3_Hit,RedGap25_Top3_UnHit,RedSum34_Top1_Hit,RedSum34_Top1_UnHit,RedSum34_Top2_Hit,RedSum34_Top2_UnHit,RedSum34_Top3_Hit,RedSum34_Top3_UnHit,RedGap12_Top1_Hit,RedGap12_Top1_UnHit,RedGap12_Top2_Hit,RedGap12_Top2_UnHit,RedGap12_Top3_Hit,RedGap12_Top3_UnHit,RedGap23_Top1_Hit,RedGap23_Top1_UnHit,RedGap23_Top2_Hit,RedGap23_Top2_UnHit,RedGap23_Top3_Hit,RedGap23_Top3_UnHit,RedGap34_Top1_Hit,RedGap34_Top1_UnHit,RedGap34_Top2_Hit,RedGap34_Top2_UnHit,RedGap34_Top3_Hit,RedGap34_Top3_UnHit,RedGap45_Top1_Hit,RedGap45_Top1_UnHit,RedGap45_Top2_Hit,RedGap45_Top2_UnHit,RedGap45_Top3_Hit,RedGap45_Top3_UnHit,RedGap56_Top1_Hit,RedGap56_Top1_UnHit,RedGap56_Top2_Hit,RedGap56_Top2_UnHit,RedGap56_Top3_Hit,RedGap56_Top3_UnHit,RedBlue_Top1_Hit,RedBlue_Top1_UnHit,RedBlue_Top2_Hit,RedBlue_Top2_UnHit,RedBlue_Top3_Hit,RedBlue_Top3_UnHit
8.6,82.8,-1.3,0.1,-11.1,-81.8,22.6,76.0,-8.9,5.9,-40.0,-64.1,51.7,44.4,8.3,2.7,-34.7,-39.5,3.8,87.8,1.9,-13.9,-0.1,-116.4,108.6,0,3.8,0,-101.6,0,9.6,44.2,-5.3,-19.3,-20.1,-83.3,58.7,6.8,-36.9,-3.2,-133.3,-13.2,49.0,0,-45.5,0,-140.6,0,0,98.5,0,3.6,0,-90.9,57.4,33.4,-10.3,-0.6,-78.4,-33.4,3.2,29.0,-3.2,-68.5,-9.4,-166.9,6.9,21.4,-14.5,-51.3,-35.5,-122.8,61.3,14.6,-2.2,-2.5,-65.1,-19.8,11.5,73.1,-1.8,-10.3,-15.3,-94.3,71.1,0,-20.2,0,-111.3,0,14.1,50.6,-0.3,-26.0,-14.2,-102.4,87.9,31.9,25.9,13.5,-35.8,-4.3,38.1,3.5,-46.4,-1.0,-129.8,-5.4
-15.4|39.6|92.5,-13.2|41.0|94.6,-35.7|-3.1|30.3,-43.6|-8.2|25.0,-99.0|-42.6|17.8,-112.7|-54.6|0.6,-10.2|51.0|112.4,-1.2|55.2|114.2,-27.0|4.6|36.2,-51.0|-11.6|27.7,-81.3|-32.3|18.9,-137.3|-73.9|-9.4,-28.9|24.8|79.3,-2.6|49.2|100.1,-39.5|-7.1|25.6,-50.5|-12.8|23.9,-87.8|-41.2|8.9,-130.4|-74.6|-16.7,-30.1|27.0|82.1,-34.3|35.3|102.3,-48.4|-5.8|40.0,-80.9|-29.5|26.8,-100.3|-47.1|11.1,-170.0|-105.8|-43.1,-40.7|14.5|70.6,-10.9|50.5|117.9,-44.7|-14.2|15.2,-79.0|-24.9|31.5,-93.4|-43.3|3.1,-162.2|-94.5|-20.2,-33.9|20.9|73.3,-17.1|29.1|78.3,-40.5|-11.7|17.7,-57.4|-22.7|12.9,-97.2|-48.7|1.0,-132.0|-71.7|-9.3,-46.2|17.3|81.2,-14.8|44.4|102.8,-50.7|-17.0|15.6,-81.3|-34.9|8.6,-103.7|-57.9|-12.2,-184.3|-114.5|-46.9,-18.7|35.1|87.0,-9.8|39.5|90.4,-39.9|-4.5|30.7,-53.5|-18.2|16.1,-99.4|-45.3|13.5,-133.2|-71.5|-15.6,-45.8|11.4|66.8,-14.3|33.5|78.7,-42.0|-8.8|25.9,-71.3|-35.5|0.6,-97.7|-33.0|22.9,-168.3|-101.4|-36.7,-11.4|42.8|103.5,-8.1|45.4|96.3,-29.5|-0.2|31.6,-54.1|-19.7|13.0,-94.2|-41.6|7.5,-147.7|-84.2|-19.8,-44.1|6.4|55.1,26.4|86.9|149.0,-24.5|9.1|44.9,-70.2|-20.0|28.8,-58.0|3.6|66.1,-199.2|-129.3|-52.8,-33.6|25.1|86.1,-4.4|49.2|107.3,-42.4|-4.3|32.2,-50.9|-12.0|28.7,-81.7|-37.6|6.0,-131.8|-82.7|-30.1,-15.7|37.4|83.2,-23.8|17.9|61.2,-25.8|1.3|28.5,-54.6|-22.9|14.0,-72.3|-35.3|8.5,-130.0|-74.3|-20.5,-32.5|25.2|83.5,-19.5|38.2|98.0,-41.0|-8.3|24.7,-73.1|-23.6|19.8,-97.8|-45.8|9.0,-150.6|-88.5|-22.2,-43.1|10.3|65.2,6.1|62.0|118.0,-52.3|-15.0|22.2,-48.1|-6.8|33.2,-83.6|-31.3|15.2,-120.3|-69.2|-20.0,-16.9|39.0|90.7,-22.7|31.6|80.6,-19.3|8.0|35.2,-56.6|-18.6|19.5,-77.3|-30.7|19.9,-125.7|-71.7|-11.3,-12.6|30.1|75.5,-3.6|31.5|66.5,-39.2|-13.3|14.1,-32.6|-5.1|23.1,-100.0|-58.5|-11.1,-88.4|-38.6|16.2,-34.4|34.4|101.0,1.9|68.5|132.8,-23.2|16.5|58.8,-57.9|-7.5|43.6,-59.6|-6.5|41.8,-129.2|-64.4|-2.1
