41: [3, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3, 1, 2, 0, 1]
163: [3, 0, 0, 2, 0, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 1, 1, 0, 0, 0]
183: [3, 0, 0, 2, 1, 1, 1, 1, 0, 3, 0, 0, 0, 2, 0, 0, 3, 0, 1, 2]
25: [3, 1, 0, 2, 1, 2, 0, 0, 3, 0, 1, 2, 0, 3, 2, 0, 2, 1, 0, 2]
33: [3, 1, 1, 2, 2, 4, 0, 0, 2, 2, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]
48: [3, 1, 1, 0, 1, 1, 1, 0, 2, 1, 0, 1, 0, 2, 3, 0, 0, 1, 1, 0]
56: [3, 1, 1, 0, 2, 1, 0, 0, 2, 2, 1, 0, 2, 0, 0, 1, 1, 2, 2, 0]
96: [3, 1, 0, 2, 0, 1, 0, 2, 1, 2, 0, 1, 1, 1, 0, 2, 0, 0, 2, 0]
58: [3, 0, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0]
123: [3, 2, 2, 1, 2, 3, 0, 1, 2, 0, 0, 2, 0, 1, 0, 2, 1, 2, 1, 2]
142: [3, 2, 0, 1, 2, 1, 0, 0, 0, 1, 2, 2, 1, 1, 0, 0, 2, 2, 4, 1]
180: [3, 2, 2, 0, 1, 0, 1, 1, 0, 1, 0, 1, 2, 0, 3, 2, 1, 1, 0, 1]
195: [3, 2, 1, 2, 1, 1, 0, 0, 2, 0, 1, 2, 0, 3, 1, 0, 2, 1, 1, 2]
117: [3, 1, 1, 2, 2, 1, 0, 1, 1, 0, 1, 0, 2, 2, 1, 0, 3, 2, 1, 1]
127: [3, 1, 1, 0, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 0, 0, 1, 0, 0]
143: [3, 0, 1, 1, 2, 2, 0, 0, 2, 0, 1, 1, 3, 1, 0, 2, 1, 1, 1, 1]
59: [3, 1, 0, 0, 2, 1, 0, 2, 1, 1, 1, 1, 0, 2, 1, 0, 1, 1, 1, 1]
70: [4, 2, 0, 0, 3, 4, 0, 1, 1, 3, 1, 3, 1, 1, 1, 0, 2, 1, 0, 1]
83: [3, 0, 0, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 1, 1, 2, 1, 1, 2, 1]
12: [3, 1, 1, 2, 1, 1, 0, 1, 3, 2, 1, 4, 0, 1, 2, 1, 1, 1, 1, 1]
62: [3, 2, 0, 2, 2, 1, 2, 2, 1, 1, 1, 1, 0, 1, 2, 2, 0, 1, 1, 2]
28: [3, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 1, 2, 2, 1, 1]
30: [3, 2, 2, 2, 1, 2, 1, 0, 2, 2, 3, 3, 2, 1, 3, 2, 1, 1, 1, 2]
