Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20231022,23121,15,7,1,0,4,29,17,0,33,29,42,18,41,10,4,9,5,1,3,3,8
20231024,23122,3,15,16,5,0,27,19,3,37,23,28,12,32,1,6,4,2,10,3,19,6
20231024,400_1,4,8,8,2,3,24,21,0,30,23,32,17,32,4,5,5,5,2,3,9,3
20231024,400_2,11,4,4,0,3,27,19,0,30,25,33,18,30,5,4,7,6,1,2,4,6
20231024,400_3,14,4,4,0,5,31,14,0,30,27,32,20,30,4,5,7,6,2,2,2,8
20231024,400_4,11,6,7,0,4,28,17,0,27,24,28,18,30,3,6,7,4,2,2,3,8
20231024,400_5,1,8,18,4,0,12,34,2,23,17,22,13,23,1,5,3,4,2,3,15,8
20231024,600_1,16,5,1,0,3,35,11,0,28,23,28,16,26,3,4,6,6,2,2,2,8
20231024,600_2,18,5,2,0,4,35,9,0,29,25,27,19,23,2,4,7,8,3,2,3,9
20231024,600_3,20,4,2,-1,5,37,7,0,29,25,26,19,21,1,3,7,8,4,2,3,10
20231024,600_4,21,4,0,-1,4,35,10,0,28,23,26,16,25,2,5,5,5,4,2,2,11
20231024,600_5,3,10,14,3,1,25,23,0,30,24,35,14,39,7,6,6,1,2,2,10,14
20231024,1000_1,14,6,1,0,3,27,17,0,31,27,35,17,35,7,4,6,5,2,2,3,8
20231024,1000_2,13,7,5,3,1,25,21,1,31,26,31,17,31,4,5,6,5,4,2,5,4
20231024,1000_3,17,5,2,1,3,31,15,0,31,27,29,19,30,3,6,5,6,4,1,4,3
20231024,1000_4,15,5,2,1,2,29,16,1,31,24,29,16,31,3,6,6,4,4,1,3,4
20231024,1000_5,5,8,13,2,0,11,36,1,31,22,33,14,36,5,5,7,2,2,3,10,5
