key,gap,pro1,pro2,pro3,range1,range2
1_7___1__,0,-0.7,1.7,4.2,1,3
15_1___1__,0,-1.1,1.8,4.9,1,5
16_1___1__,1,-1.4,1.3,3.9,1,1
20_7___1__,1,0.0,2.1,4.1,1,1
2_1___1__,0,-0.4,1.8,3.8,1,2
6_1___1__,0,-2.3,0.1,2.5,1,2
6_6___1__,8,-1.6,0.2,2.0,1,3
10_7___1__,0,-0.8,1.1,2.8,0,1
11_7___1__,1,-0.4,1.8,4.0,1,3
12_1___1__,1,-2.1,0.3,2.7,1,4
20_2___1__,8,-0.7,1.2,3.1,1,6
1_1___1__,0,-0.9,1.3,3.8,1,4
1_8___1__,0,-1.5,1.1,3.5,1,3
2_2___1__,0,-0.1,1.8,3.7,1,6
3_2___1__,1,-0.3,1.8,3.9,1,6
4_8___1__,0,-1.0,1.4,3.9,1,1
7_1___1__,1,-1.1,1.4,4.1,1,3
9_7___1__,0,-1.5,1.1,3.6,1,3
10_1___1__,0,-0.6,1.9,4.4,1,6
10_2___1__,0,0.3,2.4,4.5,1,2
8_3___1__,8,-1.0,1.9,4.8,1,6
7_3___1__,8,-1.1,2.1,5.2,1,5
9_3___1__,8,-0.5,1.9,4.2,1,5
12_8___1__,8,-0.4,1.5,3.6,1,2
14_3___1__,8,-1.8,0.9,3.5,1,6
17_8___1__,8,-0.2,1.5,3.4,1,2
3_6___1__,5,-0.8,1.1,2.9,1,1
3_7___1__,8,-0.4,1.6,3.5,1,2
4_3___1__,8,-0.6,1.9,4.5,1,4
13_6___1__,2,-0.2,1.8,3.7,1,4
15_3___1__,8,-1.2,1.8,5.0,1,7
15_8___1__,8,-1.0,1.4,3.9,1,2
17_3___1__,1,-2.0,0.8,3.7,1,7
18_3___1__,1,-2.0,1.0,4.2,1,5
20_10___1__,8,-1.6,0.7,2.8,1,3
1_10___1__,5,-0.8,1.5,3.6,1,4
2_3___1__,8,-2.0,0.6,3.3,1,6
2_7___1__,1,-1.3,0.7,2.8,1,1
2_10___1__,5,-0.9,1.2,3.2,1,4
3_3___1__,8,-1.4,1.4,4.2,1,7
4_7___2__,0,-1.7,0.7,2.8,4,7
4_8___2__,1,-1.3,0.7,2.7,4,7
4_9___2__,0,-1.3,0.9,2.9,4,9
11_7___2__,0,-0.7,1.6,3.9,4,5
11_8___2__,2,-1.2,1.2,3.5,4,5
20_9___2__,1,0.2,2.4,4.8,4,6
4_6___2__,0,-1.0,1.1,3.4,4,5
6_7___2__,2,-0.3,1.7,3.8,4,7
8_8___2__,1,-0.6,1.3,3.4,4,9
10_7___2__,1,-0.6,1.8,4.2,4,4
12_7___2__,2,-1.3,0.6,2.3,3,4
18_7___2__,2,-1.5,0.6,2.6,4,9
1_7___2__,2,-2.3,0.3,2.9,4,6
1_8___2__,2,-0.9,1.4,3.7,4,9
2_2___2__,0,-0.0,2.9,5.8,4,11
2_7___2__,2,-0.9,0.8,2.6,4,5
3_7___2__,1,-1.9,0.8,3.2,4,6
3_8___2__,1,-0.6,1.2,3.3,4,8
3_9___2__,1,-1.0,0.9,2.8,4,10
3_10___2__,1,-1.6,0.6,2.9,4,9
18_1___2__,10,-1.0,2.0,5.1,4,15
1_3___2__,3,-1.8,1.7,5.3,4,13
9_3___2__,8,-0.0,2.5,5.0,4,10
13_3___2__,8,-0.5,2.8,6.1,4,9
14_3___2__,4,-0.1,3.5,6.9,4,10
4_3___2__,8,-0.7,2.4,5.3,4,11
7_3___2__,4,-2.4,1.1,4.3,4,12
8_3___2__,4,-0.6,2.9,6.2,4,13
9_6___2__,2,-0.3,2.2,4.3,4,7
12_3___2__,3,-2.0,1.2,4.6,4,9
13_1___2__,10,0.9,3.7,6.4,4,8
14_1___2__,4,-1.4,1.5,4.7,4,14
14_2___2__,8,-2.2,1.6,5.3,4,9
15_3___2__,4,-1.2,1.4,3.9,4,12
17_1___2__,8,-1.3,1.7,4.6,4,12
