Date,5_1,20_3,1_6,1_10,2_1,3_2,3_8,7_8,10_8,15_6,16_9,1_9,3_1,5_7,7_1,9_7,12_7,13_9,15_7,16_8
20241203,0,1,1,1,1,0,1,0,1,2,0,0,2,1,2,1,3,1,0,2
20241205,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
20241208,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1,1,0,1,1
20241210,0,0,2,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0
20241212,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
20241215,0,1,1,2,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
20241217,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,2,1,0
20241219,1,0,1,0,0,0,1,0,1,2,0,0,1,1,1,0,1,1,0,2
20241222,2,0,2,0,2,1,1,0,2,0,0,2,2,1,1,1,0,0,0,0
20241224,0,2,0,0,3,1,0,1,1,0,2,0,0,0,1,2,0,1,0,0
20241226,0,0,1,2,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1
20241229,0,0,0,2,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,2
20241231,2,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1
20250102,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
20250105,1,1,0,3,0,0,0,0,0,2,2,1,0,1,1,0,0,0,1,0
20250107,1,1,0,1,3,2,2,0,1,0,1,1,0,1,0,3,0,2,2,2
20250109,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
20250112,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,1,2,1,0
20250114,0,1,0,1,0,0,1,1,1,0,0,2,2,0,0,0,0,0,1,0
20250116,1,1,0,0,1,1,1,0,2,0,2,0,1,1,2,1,0,0,0,1
20250119,1,1,0,2,1,0,0,0,0,3,0,1,3,2,1,2,1,2,1,0
20250121,1,1,1,1,0,2,0,0,3,0,1,0,0,1,0,1,2,2,1,1
20250123,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0
20250126,0,0,1,0,0,1,1,1,2,1,3,0,0,1,1,1,1,1,1,1
20250206,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
20250209,0,2,2,0,2,0,0,1,0,2,2,0,2,1,1,1,1,1,1,0
20250211,0,0,0,0,0,1,0,1,3,1,1,0,0,0,2,0,0,0,0,0
20250213,0,0,1,1,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,1
20250216,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,1
20250218,1,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,1,1,0,2
20250220,1,0,2,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,1
20250223,0,1,1,2,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1
20250225,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2
