bravo1.A3_13,bravo1.D4_1,bravo2.A1_4,bravo1.A3_16,bravo3.D1_2,bravo3.A2_4,bravo1.D3_11,bravo2.A1_1,bravo3.A1_1,bravo3.A5_1,bravo3.A1_4,bravo2.A6_2,bravo3.A6_2,bravo2.D2_8,bravo2.A4_6,bravo2.A5_2,bravo2.A2_4,bravo3.A2_5,bravo3.A5_6,bravo1.D4_3,bravo2.A5_6,bravo1.D4_5,bravo2.D2_2,bravo2.D2_9,bravo2.D4_9,bravo1.D3_15,bravo1.D4_18,bravo3.D2_7,bravo3.D3_7,bravo2.A4_2,bravo1.A2_3,bravo3.A4_9,bravo1.D3_16,bravo1.D5_6,bravo2.D1_4,bravo1.A2_2,bravo1.A6_2,bravo1.A1_1,bravo1.D3_8,bravo3.D4_4,bravo2.D3_5,bravo2.D4_1,bravo3.D3_9,bravo1.D3_13,bravo2.D6_3,bravo3.A4_1,bravo1.D2_2,bravo1.A3_14,bravo1.D3_14,bravo3.A1_5,bravo3.D5_7,bravo2.A3_10,bravo2.D4_5,bravo3.D2_6,bravo2.A5_1,bravo2.D1_5,bravo3.A4_6,bravo1.D2_9,bravo2.D1_7,bravo2.A3_8,bravo3.D3_4,bravo1.A1_4,bravo3.D6_4,bravo1.A1_6,bravo2.A3_5,bravo1.A2_15,bravo2.A2_5,bravo1.A3_8,bravo3.A3_6,bravo2.D5_6,bravo1.A5_4,bravo2.D1_3,bravo1.A4_5,bravo2.A1_8,bravo3.A3_8,bravo3.D3_1,bravo1.A4_2,bravo1.A4_9,bravo3.A5_3,bravo1.D1_3,bravo3.A3_7,bravo3.D5_6,bravo3.D2_5,bravo1.A5_6,bravo2.A1_5,bravo3.D4_1,bravo2.A3_2,bravo3.D4_2,bravo3.D4_5,bravo1.A2_9,bravo3.D1_3,bravo1.A3_6,bravo2.D5_4,bravo2.D1_2,bravo2.D4_3,bravo3.D3_12,bravo1.D2_3,bravo3.D4_3,bravo1.A2_10,bravo2.A4_1,bravo1.A5_1,bravo1.A3_5,bravo1.A3_26,bravo1.A5_2,bravo1.D2_8,bravo1.D3_2,bravo1.A2_12,bravo2.A2_1,bravo2.A5_8,bravo2.D4_6,bravo2.D6_4,bravo3.D6_3,bravo2.D2_5,bravo2.D3_6,bravo2.D5_3,bravo1.D2_11,bravo1.D4_16,bravo3.A3_9,bravo3.D4_6,bravo3.A5_5,bravo1.A4_8,bravo1.D1_6,bravo2.A2_9,bravo2.A3_6,bravo1.D2_6,bravo2.D1_6,bravo3.A4_4,bravo1.D5_3,bravo1.D6_1,bravo2.D5_1,bravo1.D4_14,bravo1.D4_9,bravo2.A2_8,bravo3.D1_5,bravo1.A1_3,bravo3.A5_4,bravo3.D3_3,bravo3.D5_9,bravo1.A1_2,bravo3.D1_1,bravo1.A2_8,bravo2.A2_7,bravo2.A6_3,bravo2.D3_2,bravo2.A5_4,bravo3.A6_4,bravo3.D2_10,bravo2.A3_9,bravo1.D4_17,bravo2.D2_1,bravo1.A4_16,bravo2.A1_6,bravo2.D2_13,bravo3.A2_1,bravo1.A3_17,bravo1.D1_1,bravo1.D2_13,bravo1.D3_12,bravo2.A6_6,bravo1.A4_24,bravo1.A5_3,bravo1.D1_2,bravo3.A3_12,bravo3.D3_6,bravo1.A4_11,bravo3.A6_3,bravo1.A4_3,bravo1.A6_1,bravo1.D3_6,bravo2.A5_3,bravo2.D4_4,bravo1.D3_3,bravo2.A3_4,bravo3.A5_2,bravo3.D5_2,bravo1.A5_12,bravo1.D5_9,bravo2.A4_5,bravo1.D3_20,bravo1.D3_23,bravo1.D5_2,bravo3.A1_3,bravo2.D4_2,bravo3.D4_7,bravo3.D6_2,bravo2.A1_9,bravo1.A2_4,bravo1.D5_5,bravo2.D3_3,bravo2.D3_9,bravo1.A1_5,bravo2.D3_10,bravo2.A6_4,bravo2.D6_6,bravo1.A4_4,bravo2.D3_14,bravo2.D2_6,bravo3.A2_8,bravo2.D2_3,bravo3.A2_9,bravo3.A3_4,bravo2.D3_7,bravo3.A3_2,bravo2.A2_6,bravo1.D2_12,bravo3.D6_1,bravo2.D1_11,bravo3.A2_7,bravo1.A3_11,bravo1.A3_19,bravo1.A3_21,bravo2.A6_1,bravo2.D5_2,bravo3.A6_1,bravo1.D4_19,bravo1.A3_3,bravo2.D6_5,bravo1.D3_1,bravo1.A2_14,bravo1.A4_6,bravo2.A2_12,bravo3.A4_2,bravo1.A3_18,bravo1.D5_12,bravo2.D3_11,bravo3.A1_6,bravo2.D3_4,bravo3.D2_1,bravo2.A2_10,bravo1.A4_1,bravo1.D2_5,bravo2.D2_11,bravo1.D1_11,bravo1.D4_10,bravo2.D1_8,bravo2.D3_12,bravo1.A3_4,bravo1.A2_13,bravo1.A3_10,bravo1.A3_24,bravo1.D4_4,bravo2.A1_2,bravo2.A6_5,bravo3.A1_2,bravo3.A6_6,bravo2.A4_4,bravo3.A3_1,bravo1.A4_13,bravo1.D2_15,bravo3.D6_5,bravo1.A4_23,bravo3.A2_3,bravo3.D2_8,bravo3.A3_5,bravo3.D2_2,bravo1.D2_16,bravo1.A2_6,bravo1.A3_23,bravo1.D2_1,bravo1.A1_11,bravo3.D2_3,bravo1.A3_7,bravo1.A3_12,bravo1.A4_22,bravo1.D4_7,bravo2.D3_1,bravo2.A4_10,bravo2.A5_5,bravo2.D2_12,bravo2.D5_7,bravo1.A5_7,bravo3.A3_10,bravo1.D1_4,bravo1.D3_25,bravo1.D5_4,bravo2.A3_7,bravo2.A3_13,bravo2.A4_7,bravo2.A4_9,bravo2.D2_7,bravo2.D4_11,bravo3.A4_10,bravo1.D3_10,bravo3.D5_4,bravo1.D1_10,bravo1.D5_1,bravo1.D3_9,bravo1.D5_10,bravo2.D4_7,bravo2.D5_10,bravo3.D1_4,bravo1.A4_10,bravo2.D3_13,bravo2.D3_15,bravo1.D2_21,bravo1.D3_24,bravo3.D1_7,bravo1.A2_18,bravo1.A4_7,bravo1.A2_5,bravo1.A4_19,bravo2.A1_3,bravo3.D3_13,bravo1.A2_1,bravo1.D4_13,bravo3.A3_13,bravo3.A4_7,bravo3.A5_8,bravo2.A3_12,bravo3.D2_9,bravo1.D3_5,bravo2.A4_8,bravo2.D4_12,bravo3.A4_8,bravo1.D3_21,bravo1.A3_15,bravo3.A3_3,bravo3.D3_5,bravo1.D4_20,bravo1.A4_12,bravo2.D4_14,bravo1.D6_2,bravo3.D5_1,bravo2.A3_3,bravo2.D5_9,bravo2.D6_7,bravo1.A2_16,bravo3.D3_11,bravo1.A1_7,bravo1.D2_17,bravo1.D2_18,bravo1.D3_4,bravo1.D3_19,bravo2.D6_1,bravo3.A2_2,bravo3.D2_11,bravo1.D2_10,bravo1.D3_7,bravo1.D4_2,bravo2.A4_12,bravo1.D5_7,bravo1.D5_8,bravo3.D5_3,bravo3.A4_3,bravo1.A4_14,bravo1.D4_6,bravo2.A3_11,bravo1.A3_20,bravo1.A3_2,bravo1.D3_18,bravo2.A2_13,bravo2.D2_10,bravo2.D2_4,bravo1.D6_3,bravo1.A2_21,bravo3.A4_5,bravo3.D6_6,bravo1.A5_8,bravo3.D1_6,bravo3.D3_2,bravo1.A2_7,bravo1.A3_25,bravo1.A4_20,bravo3.A4_12,bravo1.D5_11,bravo2.D3_8,bravo1.A3_1,bravo1.D3_17,bravo2.A5_7,bravo2.D4_13,bravo3.A2_6,bravo3.D4_8,bravo3.D4_10,bravo1.A5_10,bravo1.A2_11,bravo3.D5_8,bravo1.D2_4,bravo3.A5_7,bravo3.D3_14,bravo2.A2_3,bravo2.A3_1,bravo1.A2_19,bravo3.D1_8,bravo1.A1_10,bravo1.D1_7,bravo2.A1_10,bravo2.D5_8,bravo1.D2_19,bravo2.A2_2,bravo1.D1_8,bravo2.A4_14,bravo1.D2_7,bravo3.D2_4,bravo3.D4_12,bravo1.A4_26,bravo3.D3_8,bravo3.D5_5,bravo1.A2_20,bravo3.D4_9,bravo3.A4_14,bravo1.A5_13,bravo1.D4_12,bravo2.A4_3,bravo1.D4_22,bravo2.A1_7,bravo3.D3_10,bravo1.A4_15,bravo2.A2_11,bravo3.A2_10,bravo3.A2_12,bravo2.D5_5,bravo3.A3_15,bravo3.D4_13,bravo1.A3_22,bravo1.D4_21,bravo1.A5_5,bravo1.D4_25,bravo1.D2_14,bravo1.A4_18,bravo1.D3_22,bravo3.A3_11,bravo1.D1_5,bravo3.A6_5,bravo3.D5_11,bravo1.A5_11,bravo1.A5_16,bravo1.D4_23,bravo1.D3_27,bravo3.D5_10,bravo1.A3_27,bravo1.D6_4,bravo2.A6_7,bravo2.D1_9,bravo1.A6_3,bravo2.A2_14,bravo3.A4_15,bravo1.A3_9,bravo2.D1_12,bravo1.A4_17,bravo1.A4_25,bravo2.A4_11,bravo1.D4_15,bravo1.D3_26,bravo3.D4_11,bravo1.D1_12,bravo2.A5_9,bravo1.D1_9,bravo1.D4_24,bravo2.A3_14,bravo1.D4_26,bravo3.A2_11,bravo2.D5_11,bravo2.A2_15,bravo2.A5_13,bravo2.A3_15,bravo2.D5_13,bravo3.D4_14,bravo1.D5_14,bravo1.D4_11,bravo1.A1_9,bravo3.D2_12,bravo1.D4_8,bravo2.D4_10,bravo2.D1_1,bravo1.A5_15,bravo2.A1_12,bravo2.D6_2,bravo3.D4_15,bravo1.D2_20,bravo3.A1_7,bravo2.D6_8,bravo3.A4_11,bravo1.A4_21,bravo1.A5_9,bravo3.A5_11,bravo1.A1_12,bravo1.D1_13,bravo1.D5_15,bravo2.A1_11,bravo3.A1_8,bravo3.D6_7,bravo3.A3_16,bravo2.A4_15,bravo3.D3_15,bravo1.D4_27,bravo1.A6_4,bravo2.D2_15,bravo2.A5_10,bravo2.D3_16,bravo2.D4_8,bravo2.D6_9,bravo2.A6_9,bravo3.A5_9,bravo2.A1_13,bravo2.D1_10,bravo3.D2_13,bravo1.D5_16,bravo2.A3_16,bravo2.A5_11,bravo3.A3_14,bravo1.A2_17,bravo1.A5_14,bravo1.D2_22,bravo1.A1_8,bravo1.A5_18,bravo2.D1_13,bravo2.D1_14,bravo3.A5_10,bravo1.D3_28,bravo2.A2_16,bravo3.A4_13,bravo3.D3_16,bravo1.D1_14,bravo2.A4_16,bravo3.D1_9,bravo1.A5_17,bravo2.A3_17,bravo1.D6_5,bravo3.D4_16,bravo1.D5_13,bravo2.D2_14,bravo3.A3_17,bravo3.A6_7,bravo1.A6_7,bravo1.D5_19,bravo1.D5_18,bravo3.D3_17,bravo1.A1_14,bravo1.D5_17,bravo2.A6_8,bravo2.D4_15,bravo2.D2_16,bravo2.A4_13,bravo2.D5_12,bravo2.D6_11,bravo3.D5_12,bravo3.A4_16,bravo1.A3_28,bravo2.D6_10,bravo1.D1_15,bravo2.A4_17,bravo2.D1_15,bravo1.D5_20,bravo3.A1_9,bravo2.A6_10,bravo1.A1_13,bravo1.A6_6,bravo2.A1_14,bravo1.A2_22,bravo2.A2_17,bravo1.D6_8,bravo2.D4_16,bravo3.A6_8,bravo2.D3_17,bravo1.A5_19,bravo2.A3_18,bravo1.A6_5,bravo2.A5_12,bravo3.A4_17,bravo2.A1_15,bravo1.D6_6,bravo1.A4_28,bravo1.D6_7,bravo1.A4_27,bravo1.A6_8,bravo3.D6_8,bravo3.A2_14,bravo2.D5_14,bravo1.A5_20,bravo2.A5_14,bravo3.A2_13,bravo3.A1_10,bravo1.A1_15,bravo2.A4_18,bravo2.D5_15,bravo3.A5_12,bravo1.D6_11,bravo3.A4_18,bravo3.A3_18,bravo2.A2_18,bravo3.D3_18,bravo1.A6_9,bravo1.A6_10,bravo2.A6_13,bravo2.D3_18,bravo2.D5_16,bravo1.D6_10,bravo2.D2_18,bravo2.D5_17,bravo2.D4_17,bravo2.A5_17,bravo2.A6_12,bravo2.D2_17,bravo1.D5_21,bravo1.A6_11,bravo3.A6_9,bravo1.A5_21,bravo3.A5_13,bravo2.A5_15,bravo1.D6_9,bravo1.D6_12,bravo2.D1_16,bravo3.D4_18,bravo3.A2_15,bravo3.D5_14,bravo2.A6_11,bravo2.D4_18,bravo2.D6_13,bravo3.D1_10,bravo1.A2_23,bravo3.D2_14,bravo3.D5_13,bravo2.A1_16,bravo3.A3_20,bravo2.A3_19,bravo2.A3_20,bravo3.D6_9,bravo2.A4_19,bravo3.D4_17,bravo1.D4_28,bravo2.D2_19,bravo1.D2_23,bravo2.D6_12,bravo2.A2_19,bravo2.D3_19,bravo1.A1_16,bravo2.A1_17,bravo2.A4_20,bravo3.A4_19,bravo1.A6_12,bravo2.A5_16,bravo3.D1_11,bravo1.A1_17,bravo2.D1_17,bravo1.D1_16,bravo3.A2_16,bravo3.D3_19,bravo2.A5_18,bravo3.D6_10,bravo2.D2_20,bravo2.A2_20,bravo1.D5_22,bravo2.D6_14,bravo3.A1_11,bravo2.D4_19,bravo3.D4_19,bravo1.A6_14,bravo3.A6_10,bravo3.D2_15,bravo1.D2_24,bravo2.A6_14,bravo2.D3_20,bravo1.D6_14,bravo3.D5_15,bravo2.A5_19,bravo3.A3_19,bravo3.A5_15,bravo1.A5_22,bravo1.A6_15,bravo1.D1_17,bravo3.A5_14,bravo2.D1_18,bravo1.D6_15,bravo2.D4_20,bravo3.D4_20,bravo3.D5_16,bravo2.A1_22,bravo2.A2_22,bravo3.D3_20,bravo3.A4_21,bravo2.D1_19,bravo2.D6_16,bravo2.D6_15,bravo3.A3_21,bravo3.A4_20,bravo3.A5_16,bravo3.A1_12,bravo2.D4_21,bravo1.A6_16,bravo1.A6_13,bravo2.A3_21,bravo1.D6_13,bravo2.D6_17,bravo3.D2_16,bravo2.A6_17,bravo2.A5_20,bravo2.D5_21,bravo2.D6_18,bravo2.D6_20
5,1,6,5,40,4,3,0,0,0,6,4,4,9,7,5,4,4,2,0,5,1,1,1,1,0,0,0,0,9,8,7,5,5,4,1,1,0,34,14,13,6,6,5,5,5,4,3,3,3,2,1,1,1,0,0,0,17,14,10,9,7,7,6,6,4,4,3,3,2,1,1,0,0,0,0,12,10,7,6,6,6,5,4,3,2,1,1,1,0,0,20,13,8,7,7,6,6,5,5,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,0,0,0,0,21,9,7,7,7,5,5,5,4,4,4,3,3,3,3,2,2,2,2,1,1,0,0,0,0,19,17,16,13,10,9,5,4,4,3,2,2,2,2,2,1,1,1,1,1,0,0,14,10,7,7,6,5,5,5,5,4,4,4,3,3,3,3,2,2,2,1,0,0,0,0,25,20,17,15,12,10,7,7,6,5,5,4,4,3,2,2,1,1,0,0,0,0,0,0,25,18,17,16,14,14,14,11,8,8,8,7,6,6,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,0,0,0,25,13,13,10,9,8,7,7,7,6,6,4,4,4,4,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,19,18,14,13,11,8,7,7,7,6,6,6,5,5,5,4,4,3,3,3,3,2,2,2,2,2,1,1,0,0,0,0,23,20,14,13,10,9,8,7,7,5,4,4,3,3,2,2,2,2,2,2,2,2,0,0,0,0,18,18,16,14,13,11,11,10,9,9,7,7,6,5,4,4,4,3,3,3,2,2,2,2,1,1,0,0,0,0,0,0,0,34,26,21,18,18,14,13,9,6,6,5,5,5,5,3,3,2,2,1,1,1,0,0,0,29,19,17,6,6,5,4,4,4,2,1,1,1,0,0,23,14,13,9,9,5,4,4,4,3,2,2,1,0,14,9,9,8,8,5,2,1,1,1,0,0,26,18,14,13,9,6,4,4,2,0,0,14,14,13,9,9,8,8,8,7,4,3,3,2,2,1,18,9,9,9,8,8,7,7,5,5,5,2,2,1,1,0,0,41,33,28,20,18,16,5,1,0,0,23,15,14,10,10,7,6,6,6,5,5,3,2,4,3,3,2,7,6,6,6,2,1,1,0,14,10,5,3,3,3,2,1,1,1,1,29,20,11,11,10,9,5,5,5,25,22,22,13,6,5,4,1,29,25,18,15,7,6,5,5,5,4,3,3,1,24,9,5,3,1,1,0,7,7,6,2,20,16,15,9,2,2,0,0,1,1,30,17,9,8,8,6,5,5,4,3,2,1,0,0,37,30,24,21,18,16,2,1,1,62,59,33,32,5,5,2,0,76,50,47,46,45,41,36,32,26,5,4,3,2,2,45,26,16,6,6,5,4,1,47,42,37,16,6,5,1,98,84,43,36,32,27,25,25,20,9,6,2,2,172,120,120,93,88,83,73,51,42,23,14,11,5,5,0,179,179,179,168,164,134,122,121,83,65,63,52,51,50,45,26,12,6,2,0,0,0,-1
4,0,5,4,39,3,2,0,0,3,5,3,3,8,6,4,3,3,1,12,4,0,0,0,0,5,0,2,8,8,7,6,4,4,3,0,0,3,33,13,12,5,5,4,4,4,3,2,2,2,1,0,0,0,3,3,6,16,13,9,8,6,6,5,5,3,3,2,2,1,0,0,4,2,2,11,11,9,6,5,5,5,4,3,2,1,0,0,0,4,2,19,12,7,6,6,5,5,4,4,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,25,0,3,9,20,8,6,6,6,4,4,4,3,3,3,2,2,2,2,1,1,1,1,0,0,1,0,4,1,18,16,15,12,9,8,4,3,3,2,1,1,1,1,1,0,0,0,0,0,0,4,13,9,6,6,5,4,4,4,4,3,3,3,2,2,2,2,1,1,1,0,6,6,8,2,24,19,16,14,11,9,6,6,5,4,4,3,3,2,1,1,0,0,0,25,33,10,6,10,24,17,16,15,13,13,13,10,7,7,7,6,5,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,5,11,24,12,12,9,8,7,6,6,6,5,5,3,3,3,3,2,1,1,1,1,0,0,1,1,2,2,13,19,26,4,5,5,18,17,13,12,10,7,6,6,6,5,5,5,4,4,4,3,3,2,2,2,2,1,1,1,1,1,0,0,1,6,7,0,22,19,13,12,9,8,7,6,6,4,3,3,2,2,1,1,1,1,1,1,1,1,13,0,6,0,17,17,15,13,12,10,10,9,8,8,6,6,5,4,3,3,3,2,2,2,1,1,1,1,0,0,6,3,17,14,2,3,8,33,25,20,17,17,13,12,8,5,5,4,4,4,4,2,2,1,1,0,0,0,12,0,1,28,18,16,5,5,4,3,3,3,1,0,0,0,0,8,22,13,12,8,8,4,3,3,3,2,1,1,0,5,13,8,8,7,7,4,1,0,0,0,12,39,25,17,13,12,8,5,3,3,1,4,1,13,13,12,8,8,7,7,7,6,3,2,2,1,1,0,17,8,8,8,7,7,6,6,4,4,4,1,1,0,0,18,4,40,32,27,19,17,15,4,0,3,10,22,14,13,9,9,6,5,5,5,4,4,2,1,3,2,2,1,6,5,5,5,1,0,0,2,13,9,4,2,2,2,1,0,0,0,0,28,19,10,10,9,8,4,4,4,24,21,21,12,5,4,3,0,28,24,17,14,6,5,4,4,4,3,2,2,0,23,8,4,2,0,0,6,6,6,5,1,19,15,14,8,1,1,24,24,0,0,29,16,8,7,7,5,4,4,3,2,1,0,1,8,36,29,23,20,17,15,1,0,0,61,58,32,31,4,4,1,90,75,49,46,45,44,40,35,31,25,4,3,2,1,1,44,25,15,5,5,4,3,0,46,41,36,15,5,4,0,97,83,42,35,31,26,24,24,19,8,5,1,1,171,119,119,92,87,82,72,50,41,22,13,10,4,4,133,178,178,178,167,163,133,121,120,82,64,62,51,50,49,44,25,11,5,1,579,579,579,-1
3,5,4,3,38,2,1,3,3,2,4,2,2,7,5,3,2,2,0,11,3,11,14,3,4,4,1,1,7,7,6,5,3,3,2,0,1,2,32,12,11,4,4,3,3,3,2,1,1,1,0,1,9,1,2,2,5,15,12,8,7,5,5,4,4,2,2,1,1,0,4,2,3,1,1,10,10,8,5,4,4,4,3,2,1,0,2,3,5,3,1,18,11,6,5,5,4,4,3,3,2,1,1,1,1,1,0,0,0,0,0,0,5,8,7,24,3,2,8,19,7,5,5,5,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,2,0,2,3,0,17,15,14,11,8,7,3,2,2,1,0,0,0,0,0,0,6,9,7,4,1,3,12,8,5,5,4,3,3,3,3,2,2,2,1,1,1,1,0,0,0,26,5,5,7,1,23,18,15,13,10,8,5,5,4,3,3,2,2,1,0,0,1,1,12,24,32,9,5,9,23,16,15,14,12,12,12,9,6,6,6,5,4,4,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,6,7,3,4,10,23,11,11,8,7,6,5,5,5,4,4,2,2,2,2,1,0,0,0,0,7,10,0,0,1,1,12,18,25,3,4,4,17,16,12,11,9,6,5,5,5,4,4,4,3,3,3,2,2,1,1,1,1,0,0,0,0,0,2,12,0,5,6,17,21,18,12,11,8,7,6,5,5,3,2,2,1,1,0,0,0,0,0,0,0,0,12,8,5,4,16,16,14,12,11,9,9,8,7,7,5,5,4,3,2,2,2,1,1,1,0,0,0,0,3,4,5,2,16,13,1,2,7,32,24,19,16,16,12,11,7,4,4,3,3,3,3,1,1,0,0,6,2,0,11,2,0,27,17,15,4,4,3,2,2,2,0,8,14,5,0,7,21,12,11,7,7,3,2,2,2,1,0,0,3,4,12,7,7,6,6,3,0,2,5,9,11,38,24,16,12,11,7,4,2,2,0,3,0,12,12,11,7,7,6,6,6,5,2,1,1,0,0,3,16,7,7,7,6,6,5,5,3,3,3,0,0,2,8,17,3,39,31,26,18,16,14,3,17,2,9,21,13,12,8,8,5,4,4,4,3,3,1,0,2,1,1,0,5,4,4,4,0,21,0,1,12,8,3,1,1,1,0,3,1,4,2,27,18,9,9,8,7,3,3,3,23,20,20,11,4,3,2,27,27,23,16,13,5,4,3,3,3,2,1,1,18,22,7,3,1,5,5,5,5,5,4,0,18,14,13,7,0,0,23,23,2,0,28,15,7,6,6,4,3,3,2,1,0,19,0,7,35,28,22,19,16,14,0,9,29,60,57,31,30,3,3,0,89,74,48,45,44,43,39,34,30,24,3,2,1,0,0,43,24,14,4,4,3,2,0,45,40,35,14,4,3,23,96,82,41,34,30,25,23,23,18,7,4,0,0,170,118,118,91,86,81,71,49,40,21,12,9,3,3,132,177,177,177,166,162,132,120,119,81,63,61,50,49,48,43,24,10,4,0,578,578,578,-1
2,4,3,2,37,1,0,2,2,1,3,1,1,6,4,2,1,1,2,10,2,10,13,2,3,3,0,0,6,6,5,4,2,2,1,0,0,1,31,11,10,3,3,2,2,2,1,0,0,0,2,0,8,0,1,1,4,14,11,7,6,4,4,3,3,1,1,0,0,3,3,1,2,0,0,9,9,7,4,3,3,3,2,1,0,7,1,2,4,2,0,17,10,5,4,4,3,3,2,2,1,0,0,0,0,0,0,0,15,17,4,7,4,7,6,23,2,1,7,18,6,4,4,4,2,2,2,1,1,1,0,0,0,0,0,7,5,1,12,1,3,1,2,5,16,14,13,10,7,6,2,1,1,0,0,22,2,4,4,3,5,8,6,3,0,2,11,7,4,4,3,2,2,2,2,1,1,1,0,0,0,0,25,8,7,25,4,4,6,0,22,17,14,12,9,7,4,4,3,2,2,1,1,0,0,2,0,0,11,23,31,8,4,8,22,15,14,13,11,11,11,8,5,5,5,4,3,3,2,1,1,1,0,0,0,0,5,21,1,3,3,0,18,0,4,5,6,2,3,9,22,10,10,7,6,5,4,4,4,3,3,1,1,1,1,0,3,7,0,8,6,9,5,5,0,0,11,17,24,2,3,3,16,15,11,10,8,5,4,4,4,3,3,3,2,2,2,1,1,0,0,0,0,12,2,5,7,15,1,11,3,4,5,16,20,17,11,10,7,6,5,4,4,2,1,1,0,0,11,4,10,2,1,3,0,0,11,7,4,3,15,15,13,11,10,8,8,7,6,6,4,4,3,2,1,1,1,0,0,0,3,2,0,7,2,3,4,1,15,12,0,1,6,31,23,18,15,15,11,10,6,3,3,2,2,2,2,0,0,3,11,5,1,5,10,1,7,26,16,14,3,3,2,1,1,1,0,7,13,4,7,6,20,11,10,6,6,2,1,1,1,0,10,2,2,3,11,6,6,5,5,2,11,1,4,8,10,37,23,15,11,10,6,3,1,1,22,2,30,11,11,10,6,6,5,5,5,4,1,0,0,2,11,2,15,6,6,6,5,5,4,4,2,2,2,2,10,1,7,16,2,38,30,25,17,15,13,2,16,1,8,20,12,11,7,7,4,3,3,3,2,2,0,24,1,0,0,8,4,3,3,3,2,20,13,0,11,7,2,0,0,0,7,2,0,3,1,26,17,8,8,7,6,2,2,2,22,19,19,10,3,2,1,26,26,22,15,12,4,3,2,2,2,1,0,0,17,21,6,2,0,4,4,4,4,4,3,18,17,13,12,6,23,46,22,22,1,3,27,14,6,5,5,3,2,2,1,0,2,18,49,6,34,27,21,18,15,13,18,8,28,59,56,30,29,2,2,35,88,73,47,44,43,42,38,33,29,23,2,1,0,21,2,42,23,13,3,3,2,1,20,44,39,34,13,3,2,22,95,81,40,33,29,24,22,22,17,6,3,68,37,169,117,117,90,85,80,70,48,39,20,11,8,2,2,131,176,176,176,165,161,131,119,118,80,62,60,49,48,47,42,23,9,3,577,577,577,577,-1
1,3,2,1,36,0,4,1,1,0,2,0,0,5,3,1,0,0,1,9,1,9,12,1,2,2,2,0,5,5,4,3,1,1,0,1,0,0,30,10,9,2,2,1,1,1,0,2,12,0,1,0,7,0,0,0,3,13,10,6,5,3,3,2,2,0,0,14,3,2,2,0,1,4,9,8,8,6,3,2,2,2,1,0,0,6,0,1,3,1,8,16,9,4,3,3,2,2,1,1,0,1,1,0,0,4,10,2,14,16,3,6,3,6,5,22,1,0,6,17,5,3,3,3,1,1,1,0,0,0,5,2,1,9,1,6,4,0,11,0,2,0,1,4,15,13,12,9,6,5,1,0,0,2,3,21,1,3,3,2,4,7,5,2,3,1,10,6,3,3,2,1,1,1,1,0,0,0,9,20,12,2,24,7,6,24,3,3,5,0,21,16,13,11,8,6,3,3,2,1,1,0,0,10,10,1,5,0,10,22,30,7,3,7,21,14,13,12,10,10,10,7,4,4,4,3,2,2,1,0,0,0,5,4,22,3,4,20,0,2,2,12,17,12,3,4,5,1,2,8,21,9,9,6,5,4,3,3,3,2,2,0,0,0,0,20,2,6,11,7,5,8,4,4,8,2,10,16,23,1,2,2,15,14,10,9,7,4,3,3,3,2,2,2,1,1,1,0,0,7,2,2,2,11,1,4,6,14,0,10,2,3,4,15,19,16,10,9,6,5,4,3,3,1,0,0,4,6,10,3,9,1,0,2,2,33,10,6,3,2,14,14,12,10,9,7,7,6,5,5,3,3,2,1,0,0,0,6,3,19,2,1,11,6,1,2,3,0,14,11,14,0,5,30,22,17,14,14,10,9,5,2,2,1,1,1,1,3,2,2,10,4,0,4,9,0,6,25,15,13,2,2,1,0,0,0,2,6,12,3,6,5,19,10,9,5,5,1,0,0,0,1,9,1,1,2,10,5,5,4,4,1,10,0,3,7,9,36,22,14,10,9,5,2,0,0,21,1,29,10,10,9,5,5,4,4,4,3,0,9,5,1,10,1,14,5,5,5,4,4,3,3,1,1,1,1,9,0,6,15,1,37,29,24,16,14,12,1,15,0,7,19,11,10,6,6,3,2,2,2,1,1,27,23,0,6,2,7,3,2,2,2,1,19,12,11,10,6,1,6,0,14,6,1,0,2,0,25,16,7,7,6,5,1,1,1,21,18,18,9,2,1,0,25,25,21,14,11,3,2,1,1,1,0,16,14,16,20,5,1,2,3,3,3,3,3,2,17,16,12,11,5,22,45,21,21,0,2,26,13,5,4,4,2,1,1,0,2,1,17,48,5,33,26,20,17,14,12,17,7,27,58,55,29,28,1,1,34,87,72,46,43,42,41,37,32,28,22,1,0,2,20,1,41,22,12,2,2,1,0,19,43,38,33,12,2,1,21,94,80,39,32,28,23,21,21,16,5,2,67,36,168,116,116,89,84,79,69,47,38,19,10,7,1,1,130,175,175,175,164,160,130,118,117,79,61,59,48,47,46,41,22,8,2,576,576,576,576,-1
