row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,7,12,15,20,24,28,106,35,21,36,12,35,5,3,5,4,4,7
1_2,5,9,15,17,24,29,99,34,24,33,15,32,4,6,2,7,5,11
1_3,4,10,17,21,25,30,107,34,26,35,15,38,6,7,4,4,5,8
1_4,4,9,15,20,24,29,101,33,25,33,15,35,5,6,5,4,5,9
1_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
1_6,6,12,18,24,24,29,113,35,23,36,12,42,6,6,6,0,5,11
1_7,7,12,20,26,27,29,121,36,22,39,15,46,5,8,6,1,2,9
1_8,6,9,19,26,28,29,117,35,23,37,19,45,3,10,7,2,1,7
1_9,5,8,16,24,27,29,109,34,24,35,19,40,3,8,8,3,2,10
1_10,7,10,17,24,28,30,116,37,23,38,18,41,3,7,7,4,2,9
2_1,6,10,19,20,23,26,104,32,20,33,13,39,4,9,1,3,3,6
2_2,3,7,13,19,23,27,92,30,24,30,16,32,4,6,6,4,4,8
2_3,5,10,17,21,25,30,108,35,25,35,15,38,5,7,4,4,5,9
2_4,4,10,15,20,24,29,102,33,25,34,14,35,6,5,5,4,5,9
2_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
2_6,8,15,17,23,26,28,117,36,20,41,11,40,7,2,6,3,2,14
2_7,6,13,16,24,27,28,114,34,22,40,14,40,7,3,8,3,1,12
2_8,4,11,14,23,26,27,105,31,23,37,15,37,7,3,9,3,1,10
2_9,3,11,13,22,26,27,102,30,24,37,15,35,8,2,9,4,1,10
2_10,4,11,15,22,28,29,109,33,25,39,17,37,7,4,7,6,1,10
3_1,7,14,17,19,22,26,105,33,19,36,8,36,7,3,2,3,4,5
3_2,5,8,14,17,22,28,94,33,23,30,14,31,3,6,3,5,6,8
3_3,3,9,17,20,24,29,102,32,26,33,15,37,6,8,3,4,5,9
3_4,4,10,15,19,24,29,101,33,25,34,14,34,6,5,4,5,5,9
3_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
3_6,5,9,14,23,28,30,109,35,25,37,19,37,4,5,9,5,2,10
3_7,4,9,15,23,27,28,106,32,24,36,18,38,5,6,8,4,1,8
3_8,2,6,15,23,27,28,101,30,26,33,21,38,4,9,8,4,1,6
3_9,4,9,14,23,28,29,107,33,25,37,19,37,5,5,9,5,1,6
3_10,4,9,15,23,28,29,108,33,25,37,19,38,5,6,8,5,1,6
4_1,9,16,20,25,27,29,126,38,20,43,11,45,7,4,5,2,2,7
4_2,4,8,12,16,22,29,91,33,25,30,14,28,4,4,4,6,7,8
4_3,5,11,18,21,24,29,108,34,24,35,13,39,6,7,3,3,5,9
4_4,4,9,15,20,24,29,101,33,25,33,15,35,5,6,5,4,5,9
4_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
4_6,2,7,15,20,28,30,102,32,28,35,21,35,5,8,5,8,2,8
4_7,1,9,14,22,27,30,103,31,29,36,18,36,8,5,8,5,3,9
4_8,2,7,14,22,26,29,100,31,27,33,19,36,5,7,8,4,3,5
4_9,4,9,15,24,29,30,111,34,26,38,20,39,5,6,9,5,1,8
4_10,4,10,16,23,28,31,112,35,27,38,18,39,6,6,7,5,3,8
5_1,8,16,18,23,26,29,120,37,21,42,10,41,8,2,5,3,3,7
5_2,6,9,13,16,22,28,94,34,22,31,13,29,3,4,3,6,6,6
5_3,4,11,20,22,26,30,113,34,26,37,15,42,7,9,2,4,4,9
5_4,4,10,15,19,25,29,102,33,25,35,15,34,6,5,4,6,4,9
5_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
5_6,2,10,15,18,24,30,99,32,28,34,14,33,8,5,3,6,6,12
5_7,2,10,16,21,23,29,101,31,27,33,13,37,8,6,5,2,6,11
5_8,3,9,15,23,26,30,106,33,27,35,17,38,6,6,8,3,4,10
5_9,3,10,16,24,27,29,109,32,26,37,17,40,7,6,8,3,2,9
5_10,4,8,15,23,28,31,109,35,27,36,20,38,4,7,8,5,3,9
6_1,9,18,22,24,26,30,129,39,21,44,8,46,9,4,2,2,4,6
6_2,5,8,13,18,22,27,93,32,22,30,14,31,3,5,5,4,5,7
6_3,5,12,18,21,26,30,112,35,25,38,14,39,7,6,3,5,4,10
6_4,4,9,14,20,25,29,101,33,25,34,16,34,5,5,6,5,4,9
6_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
6_6,3,11,16,21,26,29,106,32,26,37,15,37,8,5,5,5,3,13
6_7,2,11,15,20,26,29,103,31,27,37,15,35,9,4,5,6,3,12
6_8,1,10,15,20,27,29,102,30,28,37,17,35,9,5,5,7,2,9
6_9,3,10,15,23,26,27,104,30,24,36,16,38,7,5,8,3,1,9
6_10,5,12,17,25,27,29,115,34,24,39,15,42,7,5,8,2,2,8
7_1,8,18,25,26,28,30,135,38,22,46,10,51,10,7,1,2,2,5
7_2,5,10,15,20,25,29,104,34,24,35,15,35,5,5,5,5,4,11
7_3,4,9,17,20,25,30,105,34,26,34,16,37,5,8,3,5,5,9
7_4,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,9
7_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
7_6,4,11,14,20,26,28,103,32,24,37,15,34,7,3,6,6,2,12
7_7,8,13,17,23,27,28,116,36,20,40,14,40,5,4,6,4,1,12
7_8,8,12,16,23,27,28,114,36,20,39,15,39,4,4,7,4,1,9
7_9,8,11,17,25,27,29,117,37,21,38,16,42,3,6,8,2,2,7
7_10,7,11,17,24,27,29,115,36,22,38,16,41,4,6,7,3,2,8
8_1,4,10,18,21,25,29,107,33,25,35,15,39,6,8,3,4,4,8
8_2,6,8,12,15,21,28,90,34,22,29,13,27,2,4,3,6,7,7
8_3,4,9,17,19,24,29,102,33,25,33,15,36,5,8,2,5,5,9
8_4,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,9
8_5,4,9,15,19,24,29,100,33,25,33,15,34,5,6,4,5,5,8
8_6,3,10,15,17,23,28,96,31,25,33,13,32,7,5,2,6,5,10
8_7,3,11,15,20,25,26,100,29,23,36,14,35,8,4,5,5,1,6
8_8,4,13,17,21,26,27,108,31,23,39,13,38,9,4,4,5,1,4
8_9,5,12,17,20,26,28,108,33,23,38,14,37,7,5,3,6,2,5
8_10,7,13,19,22,27,30,118,37,23,40,14,41,6,6,3,5,3,6
