row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
1_1,6,9,12,17,21,26,91,32,20,30,12,29,3,3,5,4,5
1_2,5,7,12,15,18,26,83,31,21,25,11,27,2,5,3,3,8
1_3,5,7,15,20,22,30,99,35,25,29,15,35,2,8,5,2,8
1_4,4,8,14,20,24,29,99,33,25,32,16,34,4,6,6,4,5
1_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
1_6,2,9,10,15,18,29,83,31,27,27,9,25,7,1,5,3,11
1_7,2,8,15,19,22,29,95,31,27,30,14,34,6,7,4,3,7
1_8,1,6,13,17,20,29,86,30,28,26,14,30,5,7,4,3,9
1_9,2,8,13,19,22,31,95,33,29,30,14,32,6,5,6,3,9
1_10,4,8,12,15,21,31,91,35,27,29,13,27,4,4,3,6,10
2_1,11,13,14,23,26,28,115,39,17,39,13,37,2,1,9,3,2
2_2,7,9,15,18,20,26,95,33,19,29,11,33,2,6,3,2,6
2_3,4,7,15,19,23,29,97,33,25,30,16,34,3,8,4,4,6
2_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4
2_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
2_6,1,5,9,16,20,27,78,28,26,25,15,25,4,4,7,4,7
2_7,1,5,10,19,22,27,84,28,26,27,17,29,4,5,9,3,5
2_8,2,6,8,16,21,28,81,30,26,27,15,24,4,2,8,5,7
2_9,3,6,8,17,21,29,84,32,26,27,15,25,3,2,9,4,8
2_10,5,8,11,15,21,29,89,34,24,29,13,26,3,3,4,6,8
3_1,5,7,9,16,22,26,85,31,21,29,15,25,2,2,7,6,4
3_2,5,5,12,16,19,27,84,32,22,24,14,28,0,7,4,3,8
3_3,4,8,17,21,23,30,103,34,26,31,15,38,4,9,4,2,7
3_4,4,9,15,21,25,30,104,34,26,34,16,36,5,6,6,4,5
3_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
3_6,6,9,15,16,22,28,96,34,22,31,13,31,3,6,1,6,6
3_7,5,7,16,18,24,29,99,34,24,31,17,34,2,9,2,6,5
3_8,4,7,15,17,22,26,91,30,22,29,15,32,3,8,2,5,4
3_9,5,8,13,18,23,27,94,32,22,31,15,31,3,5,5,5,4
3_10,3,9,13,17,22,26,90,29,23,31,13,30,6,4,4,5,4
4_1,12,13,15,21,26,28,115,40,16,39,13,36,1,2,6,5,2
4_2,6,11,16,20,24,30,107,36,24,35,13,36,5,5,4,4,6
4_3,5,8,18,23,27,31,112,36,26,35,19,41,3,10,5,4,4
4_4,5,9,15,21,25,29,104,34,24,34,16,36,4,6,6,4,4
4_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
4_6,3,8,15,16,20,27,89,30,24,28,12,31,5,7,1,4,7
4_7,2,8,18,19,23,27,97,29,25,31,15,37,6,10,1,4,4
4_8,3,9,14,16,20,26,88,29,23,29,11,30,6,5,2,4,6
4_9,3,7,11,15,20,26,82,29,23,27,13,26,4,4,4,5,6
4_10,2,6,8,13,18,25,72,27,23,24,12,21,4,2,5,5,7
5_1,11,12,13,19,24,27,106,38,16,36,12,32,1,1,6,5,3
5_2,7,8,12,15,19,28,89,35,21,27,11,27,1,4,3,4,9
5_3,4,8,14,19,24,30,99,34,26,32,16,33,4,6,5,5,6
5_4,4,8,13,18,24,29,96,33,25,32,16,31,4,5,5,6,5
5_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
5_6,3,8,14,16,21,27,89,30,24,29,13,30,5,6,2,5,6
5_7,2,6,14,18,21,25,86,27,23,27,15,32,4,8,4,3,4
5_8,3,6,12,12,20,28,81,31,25,26,14,24,3,6,0,8,8
5_9,3,9,14,17,22,27,92,30,24,31,13,31,6,5,3,5,5
5_10,3,8,13,15,21,29,89,32,26,29,13,28,5,5,2,6,8
6_1,9,11,14,20,24,26,104,35,17,35,13,34,2,3,6,4,2
6_2,5,5,12,15,18,26,81,31,21,23,13,27,0,7,3,3,8
6_3,4,7,14,19,24,29,97,33,25,31,17,33,3,7,5,5,5
6_4,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
6_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
6_6,3,8,14,21,23,30,99,33,27,31,15,35,5,6,7,2,7
6_7,2,8,15,21,24,29,99,31,27,32,16,36,6,7,6,3,5
6_8,2,8,14,18,23,28,93,30,26,31,15,32,6,6,4,5,5
6_9,3,9,14,18,23,27,94,30,24,32,14,32,6,5,4,5,4
6_10,4,9,13,19,23,28,96,32,24,32,14,32,5,4,6,4,5
7_1,8,9,10,15,21,26,89,34,18,30,12,25,1,1,5,6,5
7_2,8,13,17,21,22,28,109,36,20,35,9,38,5,4,4,1,6
7_3,4,8,15,21,24,29,101,33,25,32,16,36,4,7,6,3,5
7_4,4,8,14,20,24,29,99,33,25,32,16,34,4,6,6,4,5
7_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
7_6,4,9,14,18,24,30,99,34,26,33,15,32,5,5,4,6,6
7_7,3,7,15,21,29,30,105,33,27,36,22,36,4,8,6,8,1
7_8,0,4,11,14,22,27,78,27,27,26,18,25,4,7,3,8,5
7_9,0,5,10,13,20,25,73,25,25,25,15,23,5,5,3,7,5
7_10,2,6,11,14,19,28,80,30,26,25,13,25,4,5,3,5,9
8_1,8,9,13,20,27,29,106,37,21,36,18,33,1,4,7,7,2
8_2,5,6,12,14,17,24,78,29,19,23,11,26,1,6,2,3,7
8_3,4,7,16,20,24,30,101,34,26,31,17,36,3,9,4,4,6
8_4,4,9,14,19,25,29,100,33,25,34,16,33,5,5,5,6,4
8_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
8_6,1,5,13,18,23,31,91,32,30,28,18,31,4,8,5,5,8
8_7,2,5,13,21,23,29,93,31,27,28,18,34,3,8,8,2,6
8_8,1,4,10,12,16,26,69,27,25,20,12,22,3,6,2,4,10
8_9,3,7,12,15,19,27,83,30,24,26,12,27,4,5,3,4,8
8_10,4,10,13,18,23,29,97,33,25,33,13,31,6,3,5,5,6
9_1,9,10,12,17,21,26,95,35,17,31,11,29,1,2,5,4,5
9_2,8,11,16,20,22,27,104,35,19,33,11,36,3,5,4,2,5
9_3,5,8,16,21,23,29,102,34,24,31,15,37,3,8,5,2,6
9_4,4,9,15,20,25,29,102,33,25,34,16,35,5,6,5,5,4
9_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
