row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
1_1,1,7,10,21,24,27,90,28,26,31,17,31,6,3,11,3,3
1_2,4,4,12,18,21,27,86,31,23,25,17,30,0,8,6,3,6
1_3,6,13,16,23,27,29,114,35,23,40,14,39,7,3,7,4,2
1_4,5,10,16,21,26,29,107,34,24,36,16,37,5,6,5,5,3
1_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4
1_6,5,10,12,18,19,27,91,32,22,29,9,30,5,2,6,1,8
1_7,4,10,16,18,22,27,97,31,23,32,12,34,6,6,2,4,5
1_8,4,12,17,22,24,29,108,33,25,36,12,39,8,5,5,2,5
1_9,4,9,17,21,25,28,104,32,24,34,16,38,5,8,4,4,3
1_10,4,9,14,18,23,29,97,33,25,32,14,32,5,5,4,5,6
2_1,7,10,15,20,22,29,103,36,22,32,12,35,3,5,5,2,7
2_2,5,6,13,17,20,29,90,34,24,26,14,30,1,7,4,3,9
2_3,8,12,17,21,26,30,114,38,22,38,14,38,4,5,4,5,4
2_4,5,10,15,20,25,28,103,33,23,35,15,35,5,5,5,5,3
2_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
2_6,7,12,18,21,28,33,119,40,26,40,16,39,5,6,3,7,5
2_7,5,10,19,22,28,32,116,37,27,38,18,41,5,9,3,6,4
2_8,4,12,20,23,28,32,119,36,28,40,16,43,8,8,3,5,4
2_9,3,8,17,22,27,31,108,34,28,35,19,39,5,9,5,5,4
2_10,2,8,15,22,26,31,104,33,29,34,18,37,6,7,7,4,5
3_1,6,9,14,19,24,30,102,36,24,33,15,33,3,5,5,5,6
3_2,6,6,10,15,21,26,84,32,20,27,15,25,0,4,5,6,5
3_3,7,11,17,22,27,31,115,38,24,38,16,39,4,6,5,5,4
3_4,6,11,16,20,25,28,106,34,22,36,14,36,5,5,4,5,3
3_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
3_6,3,4,11,20,23,32,93,35,29,27,19,31,1,7,9,3,9
3_7,3,6,15,21,23,31,99,34,28,29,17,36,3,9,6,2,8
3_8,4,6,14,23,25,31,103,35,27,31,19,37,2,8,9,2,6
3_9,3,6,14,20,25,31,99,34,28,31,19,34,3,8,6,5,6
3_10,4,8,12,19,26,30,99,34,26,34,18,31,4,4,7,7,4
4_1,1,6,19,23,24,30,103,31,29,30,18,42,5,13,4,1,6
4_2,6,7,14,18,21,28,94,34,22,28,14,32,1,7,4,3,7
4_3,7,12,17,22,26,30,114,37,23,38,14,39,5,5,5,4,4
4_4,4,10,15,21,26,29,105,33,25,36,16,36,6,5,6,5,3
4_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
4_6,4,10,16,19,23,31,103,35,27,33,13,35,6,6,3,4,8
4_7,5,8,14,18,23,30,98,35,25,31,15,32,3,6,4,5,7
4_8,3,8,14,19,23,30,97,33,27,31,15,33,5,6,5,4,7
4_9,4,8,14,18,23,30,97,34,26,31,15,32,4,6,4,5,7
4_10,2,8,14,18,24,31,97,33,29,32,16,32,6,6,4,6,7
5_1,4,8,13,21,25,30,101,34,26,33,17,34,4,5,8,4,5
5_2,5,7,12,18,23,28,93,33,23,30,16,30,2,5,6,5,5
5_3,8,12,19,23,27,30,119,38,22,39,15,42,4,7,4,4,3
5_4,5,10,16,20,25,29,105,34,24,35,15,36,5,6,4,5,4
5_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
5_6,8,13,18,20,25,30,114,38,22,38,12,38,5,5,2,5,5
5_7,5,12,17,21,26,30,111,35,25,38,14,38,7,5,4,5,4
5_8,5,13,17,19,26,30,110,35,25,39,13,36,8,4,2,7,4
5_9,4,9,15,19,25,29,101,33,25,34,16,34,5,6,4,6,4
5_10,4,9,15,18,24,29,99,33,25,33,15,33,5,6,3,6,5
6_1,5,7,17,20,24,30,103,35,25,31,17,37,2,10,3,4,6
6_2,6,6,14,17,22,30,95,36,24,28,16,31,0,8,3,5,8
6_3,8,13,20,22,26,29,118,37,21,39,13,42,5,7,2,4,3
6_4,5,11,17,21,25,28,107,33,23,36,14,38,6,6,4,4,3
6_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4
6_6,2,10,19,21,24,33,109,35,31,34,14,40,8,9,2,3,9
6_7,3,9,20,23,28,33,116,36,30,37,19,43,6,11,3,5,5
6_8,4,11,20,22,27,33,117,37,29,38,16,42,7,9,2,5,6
6_9,2,8,19,21,29,32,111,34,30,37,21,40,6,11,2,8,3
6_10,2,9,15,18,25,33,102,35,31,34,16,33,7,6,3,7,8
7_1,3,6,18,20,22,28,97,31,25,28,16,38,3,12,2,2,6
7_2,6,7,12,17,22,27,91,33,21,29,15,29,1,5,5,5,5
7_3,7,11,17,21,26,30,112,37,23,37,15,38,4,6,4,5,4
7_4,5,11,16,21,25,29,107,34,24,36,14,37,6,5,5,4,4
7_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
7_6,3,6,11,18,24,33,95,36,30,30,18,29,3,5,7,6,9
7_7,3,7,15,20,25,31,101,34,28,32,18,35,4,8,5,5,6
7_8,2,7,13,20,26,31,99,33,29,33,19,33,5,6,7,6,5
7_9,3,8,14,19,25,30,99,33,27,33,17,33,5,6,5,6,5
7_10,2,7,11,17,23,29,89,31,27,30,16,28,5,4,6,6,6
8_1,4,5,14,19,22,29,93,33,25,27,17,33,1,9,5,3,7
8_2,5,7,11,16,21,28,88,33,23,28,14,27,2,4,5,5,7
8_3,6,11,18,22,27,30,114,36,24,38,16,40,5,7,4,5,3
8_4,5,11,15,21,25,29,106,34,24,36,14,36,6,4,6,4,4
8_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
8_6,4,8,12,20,24,33,101,37,29,32,16,32,4,4,8,4,9
8_7,5,10,17,21,26,33,112,38,28,36,16,38,5,7,4,5,7
8_8,4,7,15,20,26,32,104,36,28,33,19,35,3,8,5,6,6
8_9,3,7,17,19,27,31,104,34,28,34,20,36,4,10,2,8,4
8_10,2,8,15,19,26,30,100,32,28,34,18,34,6,7,4,7,4
9_1,7,8,11,19,23,31,99,38,24,31,15,30,1,3,8,4,8
9_2,7,9,11,18,22,30,97,37,23,31,13,29,2,2,7,4,8
9_3,6,12,16,22,26,30,112,36,24,38,14,38,6,4,6,4,4
9_4,5,11,16,21,25,29,107,34,24,36,14,37,6,5,5,4,4
9_5,5,10,14,19,24,29,101,34,24,34,14,33,5,4,5,5,5
9_6,3,11,16,22,26,33,111,36,30,37,15,38,8,5,6,4,7
9_7,4,12,17,22,28,32,115,36,28,40,16,39,8,5,5,6,4
9_8,3,13,18,23,27,32,116,35,29,40,14,41,10,5,5,4,5
9_9,2,10,16,21,27,31,107,33,29,37,17,37,8,6,5,6,4
9_10,2,9,14,20,25,30,100,32,28,34,16,34,7,5,6,5,5
10_1,5,6,16,22,22,31,102,36,26,28,16,38,1,10,6,0,9
10_2,6,8,12,18,22,27,93,33,21,30,14,30,2,4,6,4,5
10_3,6,10,16,20,25,30,107,36,24,35,15,36,4,6,4,5,5
10_4,5,11,15,20,25,29,105,34,24,36,14,35,6,4,5,5,4
10_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
10_6,4,9,14,15,18,31,91,35,27,27,9,29,5,5,1,3,13
10_7,4,7,17,17,20,31,96,35,27,27,13,34,3,10,0,3,11
10_8,4,8,18,18,22,31,101,35,27,30,14,36,4,10,0,4,9
10_9,3,6,16,17,22,31,95,34,28,28,16,33,3,10,1,5,9
10_10,3,6,14,15,22,30,90,33,27,28,16,29,3,8,1,7,8
11_1,3,4,17,22,25,30,101,33,27,29,21,39,1,13,5,3,5
11_2,4,7,13,18,23,27,92,31,23,30,16,31,3,6,5,5,4
11_3,6,12,18,22,26,31,115,37,25,38,14,40,6,6,4,4,5
11_4,5,10,15,21,25,29,105,34,24,35,15,36,5,5,6,4,4
11_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
11_6,7,8,16,19,24,30,104,37,23,32,16,35,1,8,3,5,6
11_7,7,10,16,19,25,29,106,36,22,35,15,35,3,6,3,6,4
11_8,6,10,15,19,24,30,104,36,24,34,14,34,4,5,4,5,6
11_9,6,9,14,19,26,30,104,36,24,35,17,33,3,5,5,7,4
11_10,4,9,13,18,24,29,97,33,25,33,15,31,5,4,5,6,5
12_1,5,8,17,26,28,30,114,35,25,36,20,43,3,9,9,2,2
12_2,4,5,10,15,20,26,80,30,22,25,15,25,1,5,5,5,6
12_3,8,12,17,22,27,30,116,38,22,39,15,39,4,5,5,5,3
12_4,5,11,15,20,25,29,105,34,24,36,14,35,6,4,5,5,4
12_5,4,9,14,19,23,29,98,33,25,32,14,33,5,5,5,4,6
12_6,4,10,16,18,23,31,102,35,27,33,13,34,6,6,2,5,8
12_7,4,7,15,18,22,30,96,34,26,29,15,33,3,8,3,4,8
12_8,3,8,17,20,26,30,104,33,27,34,18,37,5,9,3,6,4
12_9,2,7,14,18,25,30,96,32,28,32,18,32,5,7,4,7,5
12_10,2,6,13,17,23,30,91,32,28,29,17,30,4,7,4,6,7
13_1,6,10,16,20,23,28,103,34,22,33,13,36,4,6,4,3,5
13_2,6,8,16,21,25,29,105,35,23,33,17,37,2,8,5,4,4
13_3,6,12,17,21,26,31,113,37,25,38,14,38,6,5,4,5,5
13_4,6,11,15,20,25,29,106,35,23,36,14,35,5,4,5,5,4
13_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
13_6,2,6,12,15,22,32,89,34,30,28,16,27,4,6,3,7,10
13_7,1,5,14,18,25,32,95,33,31,30,20,32,4,9,4,7,7
13_8,2,8,15,17,26,33,101,35,31,34,18,32,6,7,2,9,7
13_9,2,6,15,18,26,32,99,34,30,32,20,33,4,9,3,8,6
13_10,2,6,14,18,25,30,95,32,28,31,19,32,4,8,4,7,5
14_1,2,3,8,18,22,28,81,30,26,25,19,26,1,5,10,4,6
14_2,5,6,10,18,23,27,89,32,22,29,17,28,1,4,8,5,4
14_3,6,12,17,21,26,30,112,36,24,38,14,38,6,5,4,5,4
14_4,5,10,15,20,25,28,103,33,23,35,15,35,5,5,5,5,3
14_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
14_6,3,8,16,21,26,30,104,33,27,34,18,37,5,8,5,5,4
14_7,4,9,17,20,26,30,106,34,26,35,17,37,5,8,3,6,4
14_8,5,11,17,20,28,31,112,36,26,39,17,37,6,6,3,8,3
14_9,4,9,15,18,25,30,101,34,26,34,16,33,5,6,3,7,5
14_10,4,10,14,15,24,30,97,34,26,34,14,29,6,4,1,9,6
15_1,4,4,13,20,23,29,93,33,25,27,19,33,0,9,7,3,6
15_2,4,6,11,15,20,26,82,30,22,26,14,26,2,5,4,5,6
15_3,6,12,17,21,26,30,112,36,24,38,14,38,6,5,4,5,4
15_4,4,10,15,20,25,28,102,32,24,35,15,35,6,5,5,5,3
15_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
15_6,2,8,15,17,23,31,96,33,29,31,15,32,6,7,2,6,8
15_7,3,9,15,21,27,32,107,35,29,36,18,36,6,6,6,6,5
15_8,3,8,14,19,27,32,103,35,29,35,19,33,5,6,5,8,5
15_9,3,7,14,18,25,31,98,34,28,32,18,32,4,7,4,7,6
15_10,3,8,13,17,24,30,95,33,27,32,16,30,5,5,4,7,6
16_1,4,5,11,14,18,25,77,29,21,23,13,25,1,6,3,4,7
16_2,4,6,11,14,21,27,83,31,23,27,15,25,2,5,3,7,6
16_3,5,10,15,20,25,30,105,35,25,35,15,35,5,5,5,5,5
16_4,4,9,14,20,25,29,101,33,25,34,16,34,5,5,6,5,4
16_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
16_6,2,8,19,20,25,33,107,35,31,33,17,39,6,11,1,5,8
16_7,2,10,20,20,24,31,107,33,29,34,14,40,8,10,0,4,7
16_8,2,9,19,19,25,32,106,34,30,34,16,38,7,10,0,6,7
16_9,1,8,19,20,23,29,100,30,28,31,15,39,7,11,1,3,6
16_10,1,8,17,18,25,30,99,31,29,33,17,35,7,9,1,7,5
17_1,4,7,19,23,25,30,108,34,26,32,18,42,3,12,4,2,5
17_2,3,6,13,17,20,27,86,30,24,26,14,30,3,7,4,3,7
17_3,6,12,18,22,27,31,116,37,25,39,15,40,6,6,4,5,4
17_4,4,9,15,20,25,29,102,33,25,34,16,35,5,6,5,5,4
17_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5
17_6,0,3,11,15,22,28,79,28,28,25,19,26,3,8,4,7,6
17_7,1,4,11,15,22,29,82,30,28,26,18,26,3,7,4,7,7
17_8,2,5,11,15,22,29,84,31,27,27,17,26,3,6,4,7,7
17_9,2,4,11,15,22,30,84,32,28,26,18,26,2,7,4,7,8
17_10,2,4,9,15,22,29,81,31,27,26,18,24,2,5,6,7,7
18_1,5,7,16,18,24,29,99,34,24,31,17,34,2,9,2,6,5
18_2,7,8,13,15,21,27,91,34,20,29,13,28,1,5,2,6,6
18_3,7,12,19,22,26,31,117,38,24,38,14,41,5,7,3,4,5
18_4,3,8,14,20,24,29,98,32,26,32,16,34,5,6,6,4,5
18_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5
18_6,3,6,11,15,21,32,88,35,29,27,15,26,3,5,4,6,11
18_7,3,7,12,15,22,31,90,34,28,29,15,27,4,5,3,7,9
18_8,3,7,13,17,24,31,95,34,28,31,17,30,4,6,4,7,7
18_9,2,6,12,15,23,29,87,31,27,29,17,27,4,6,3,8,6
18_10,1,5,10,16,24,30,86,31,29,29,19,26,4,5,6,8,6
19_1,3,5,17,23,25,29,102,32,26,30,20,40,2,12,6,2,4
19_2,6,7,13,17,22,29,94,35,23,29,15,30,1,6,4,5,7
19_3,6,11,17,20,26,31,111,37,25,37,15,37,5,6,3,6,5
19_4,4,9,15,20,25,29,102,33,25,34,16,35,5,6,5,5,4
19_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
19_6,3,8,17,19,24,31,102,34,28,32,16,36,5,9,2,5,7
19_7,3,9,16,19,24,29,100,32,26,33,15,35,6,7,3,5,5
19_8,3,9,17,21,25,30,105,33,27,34,16,38,6,8,4,4,5
19_9,3,8,15,19,23,29,97,32,26,31,15,34,5,7,4,4,6
19_10,3,7,15,20,25,30,100,33,27,32,18,35,4,8,5,5,5
