row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,10,13,13,18,22,29,105,39,19,35,9,31,3,0,5,4,7,0
1_2,4,8,12,17,19,25,85,29,21,27,11,29,4,4,5,2,6,10
1_3,6,9,14,19,25,30,103,36,24,34,16,33,3,5,5,6,5,5
1_4,5,10,14,19,25,30,103,35,25,35,15,33,5,4,5,6,5,6
1_5,4,9,14,18,24,28,97,32,24,33,15,32,5,5,4,6,4,8
1_6,3,4,11,18,23,27,86,30,24,27,19,29,1,7,7,5,4,8
1_7,3,5,10,21,24,30,93,33,27,29,19,31,2,5,11,3,6,4
1_8,4,7,10,21,24,31,97,35,27,31,17,31,3,3,11,3,7,3
1_9,4,6,10,19,23,31,93,35,27,29,17,29,2,4,9,4,8,3
1_10,6,8,14,21,26,32,107,38,26,34,18,35,2,6,7,5,6,7
2_1,7,11,11,15,22,31,97,38,24,33,11,26,4,0,4,7,9,4
2_2,2,9,12,15,21,24,83,26,22,30,12,27,7,3,3,6,3,8
2_3,3,10,13,17,23,27,93,30,24,33,13,30,7,3,4,6,4,6
2_4,5,10,13,18,24,28,98,33,23,34,14,31,5,3,5,6,4,7
2_5,4,9,13,18,23,28,95,32,24,32,14,31,5,4,5,5,5,8
2_6,2,8,9,18,27,32,96,34,30,35,19,27,6,1,9,9,5,9
2_7,4,7,11,18,27,33,100,37,29,34,20,29,3,4,7,9,6,5
2_8,4,9,13,22,28,33,109,37,29,37,19,35,5,4,9,6,5,5
2_9,5,7,7,19,23,30,91,35,25,30,16,26,2,0,12,4,7,5
2_10,5,7,10,17,18,30,87,35,25,25,11,27,2,3,7,1,12,5
3_1,1,4,8,10,19,31,73,32,30,23,15,18,3,4,2,9,12,4
3_2,2,9,12,13,20,25,81,27,23,29,11,25,7,3,1,7,5,9
3_3,4,10,12,16,22,27,91,31,23,32,12,28,6,2,4,6,5,4
3_4,5,10,14,19,24,29,101,34,24,34,14,33,5,4,5,5,5,6
3_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,7
3_6,3,9,12,19,25,29,97,32,26,34,16,31,6,3,7,6,4,11
3_7,5,11,13,18,26,30,103,35,25,37,15,31,6,2,5,8,4,11
3_8,6,12,14,18,27,30,107,36,24,39,15,32,6,2,4,9,3,10
3_9,6,10,13,18,27,31,105,37,25,37,17,31,4,3,5,9,4,9
3_10,4,7,12,20,25,30,98,34,26,32,18,32,3,5,8,5,5,7
4_1,8,10,12,18,21,24,93,32,16,31,11,30,2,2,6,3,3,8
4_2,4,7,11,17,24,26,89,30,22,31,17,28,3,4,6,7,2,9
4_3,7,11,13,17,24,28,100,35,21,35,13,30,4,2,4,7,4,4
4_4,6,10,14,19,24,29,102,35,23,34,14,33,4,4,5,5,5,6
4_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,8
4_6,3,10,13,20,23,27,96,30,24,33,13,33,7,3,7,3,4,11
4_7,4,12,14,21,26,28,105,32,24,38,14,35,8,2,7,5,2,12
4_8,6,12,13,19,25,28,103,34,22,37,13,32,6,1,6,6,3,8
4_9,5,11,13,18,26,30,103,35,25,37,15,31,6,2,5,8,4,6
4_10,3,6,12,17,23,27,88,30,24,29,17,29,3,6,5,6,4,7
5_1,7,9,10,17,23,30,96,37,23,32,14,27,2,1,7,6,7,0
5_2,4,8,13,14,17,24,80,28,20,25,9,27,4,5,1,3,7,6
5_3,5,8,13,17,23,28,94,33,23,31,15,30,3,5,4,6,5,3
5_4,5,10,13,18,24,29,99,34,24,34,14,31,5,3,5,6,5,5
5_5,4,9,13,18,23,28,95,32,24,32,14,31,5,4,5,5,5,7
5_6,2,10,12,16,26,30,96,32,28,36,16,28,8,2,4,10,4,6
5_7,3,9,12,18,26,31,99,34,28,35,17,30,6,3,6,8,5,5
5_8,3,8,12,18,26,31,98,34,28,34,18,30,5,4,6,8,5,6
5_9,3,7,13,19,25,30,97,33,27,32,18,32,4,6,6,6,5,6
5_10,3,5,11,19,24,29,91,32,26,29,19,30,2,6,8,5,5,5
6_1,5,11,12,16,18,27,89,32,22,29,7,28,6,1,4,2,9,11
6_2,3,7,11,13,21,24,79,27,21,28,14,24,4,4,2,8,3,5
6_3,5,8,12,17,24,28,94,33,23,32,16,29,3,4,5,7,4,4
6_4,5,11,15,20,25,29,105,34,24,36,14,35,6,4,5,5,4,7
6_5,5,9,14,18,24,28,98,33,23,33,15,32,4,5,4,6,4,8
6_6,7,10,9,18,25,30,99,37,23,35,15,27,3,-1,9,7,5,7
6_7,6,10,10,19,27,30,102,36,24,37,17,29,4,0,9,8,3,8
6_8,4,8,9,20,26,30,97,34,26,34,18,29,4,1,11,6,4,9
6_9,2,5,9,20,26,29,91,31,27,31,21,29,3,4,11,6,3,6
6_10,1,4,12,21,24,28,90,29,27,28,20,33,3,8,9,3,4,6
7_1,4,6,10,16,19,25,80,29,21,25,13,26,2,4,6,3,6,5
7_2,2,8,12,15,16,24,77,26,22,24,8,27,6,4,3,1,8,8
7_3,2,8,11,14,22,27,84,29,25,30,14,25,6,3,3,8,5,4
7_4,5,11,14,19,24,28,101,33,23,35,13,33,6,3,5,5,4,6
7_5,5,9,13,18,24,28,97,33,23,33,15,31,4,4,5,6,4,7
7_6,8,11,13,21,24,28,105,36,20,35,13,34,3,2,8,3,4,8
7_7,8,11,14,22,24,29,108,37,21,35,13,36,3,3,8,2,5,8
7_8,8,10,14,21,24,30,107,38,22,34,14,35,2,4,7,3,6,8
7_9,7,8,13,20,23,28,99,35,21,31,15,33,1,5,7,3,5,6
7_10,4,6,11,18,22,28,89,32,24,28,16,29,2,5,7,4,6,7
8_1,2,7,9,14,21,28,81,30,26,28,14,23,5,2,5,7,7,7
8_2,3,7,12,15,20,26,83,29,23,27,13,27,4,5,3,5,6,8
8_3,5,8,12,16,22,28,91,33,23,30,14,28,3,4,4,6,6,5
8_4,5,10,14,19,24,29,101,34,24,34,14,33,5,4,5,5,5,7
8_5,5,9,13,18,23,28,96,33,23,32,14,31,4,4,5,5,5,7
8_6,5,11,12,19,26,29,102,34,24,37,15,31,6,1,7,7,3,8
8_7,7,14,15,21,29,31,117,38,24,43,15,36,7,1,6,8,2,10
8_8,7,13,14,20,30,32,116,39,25,43,17,34,6,1,6,10,2,9
8_9,4,8,12,20,27,31,102,35,27,35,19,32,4,4,8,7,4,6
8_10,4,8,14,20,26,31,103,35,27,34,18,34,4,6,6,6,5,9
9_1,3,8,10,15,20,29,85,32,26,28,12,25,5,2,5,5,9,7
9_2,3,7,10,15,17,27,79,30,24,24,10,25,4,3,5,2,10,9
9_3,4,7,12,16,21,28,88,32,24,28,14,28,3,5,4,5,7,5
9_4,4,9,13,18,23,29,96,33,25,32,14,31,5,4,5,5,6,6
9_5,4,9,13,18,23,28,95,32,24,32,14,31,5,4,5,5,5,7
9_6,5,10,12,17,23,29,96,34,24,33,13,29,5,2,5,6,6,3
9_7,5,11,14,19,25,30,104,35,25,36,14,33,6,3,5,6,5,4
9_8,5,10,13,18,24,28,98,33,23,34,14,31,5,3,5,6,4,6
9_9,4,10,15,19,25,31,104,35,27,35,15,34,6,5,4,6,6,7
9_10,3,4,12,15,22,28,84,31,25,26,18,27,1,8,3,7,6,6
10_1,8,10,12,15,17,26,88,34,18,27,7,27,2,2,3,2,9,8
10_2,3,7,11,15,18,28,82,31,25,25,11,26,4,4,4,3,10,7
10_3,4,7,12,16,22,28,89,32,24,29,15,28,3,5,4,6,6,5
10_4,4,8,12,18,23,27,92,31,23,31,15,30,4,4,6,5,4,6
10_5,4,9,13,18,23,28,95,32,24,32,14,31,5,4,5,5,5,8
10_6,4,11,15,23,27,27,107,31,23,38,16,38,7,4,8,4,0,4
10_7,4,11,14,22,27,29,107,33,25,38,16,36,7,3,8,5,2,5
10_8,3,9,12,19,24,27,94,30,24,33,15,31,6,3,7,5,3,7
10_9,4,9,14,20,23,27,97,31,23,32,14,34,5,5,6,3,4,6
10_10,3,6,11,18,21,26,85,29,23,27,15,29,3,5,7,3,5,5
11_1,8,13,15,18,26,29,109,37,21,39,13,33,5,2,3,8,3,8
11_2,2,6,14,16,25,27,90,29,25,31,19,30,4,8,2,9,2,8
