row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
4_6,2,8,16,21,25,27,99,29,25,33,17,37,6,8,5,4,2,
4_7,3,9,14,18,24,28,96,31,25,33,15,32,6,5,4,6,4,
4_8,2,9,16,19,23,27,96,29,25,32,14,35,7,7,3,4,4,
4_9,3,9,14,16,21,29,92,32,26,30,12,30,6,5,2,5,8,
4_10,4,12,16,20,24,28,104,32,24,36,12,36,8,4,4,4,4,
5_1,5,8,16,24,27,28,108,33,23,35,19,40,3,8,8,3,1,
5_2,6,9,14,22,26,29,106,35,23,35,17,36,3,5,8,4,3,
5_3,3,7,12,18,22,29,91,32,26,29,15,30,4,5,6,4,7,
5_4,4,9,14,20,24,29,100,33,25,33,15,34,5,5,6,4,5,
5_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
5_6,2,7,17,23,26,30,105,32,28,33,19,40,5,10,6,3,4,
5_7,3,9,15,24,26,30,107,33,27,35,17,39,6,6,9,2,4,
5_8,2,8,15,23,27,30,105,32,28,35,19,38,6,7,8,4,3,
5_9,2,9,15,19,24,28,97,30,26,33,15,34,7,6,4,5,4,
5_10,3,9,14,20,24,28,98,31,25,33,15,34,6,5,6,4,4,
6_1,4,12,17,25,28,29,115,33,25,40,16,42,8,5,8,3,1,
6_2,5,9,13,25,29,30,111,35,25,38,20,38,4,4,12,4,1,
6_3,4,8,13,21,25,30,101,34,26,33,17,34,4,5,8,4,5,
6_4,4,9,15,20,25,29,102,33,25,34,16,35,5,6,5,5,4,
6_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5,
6_6,6,9,17,21,27,31,111,37,25,36,18,38,3,8,4,6,4,
6_7,6,13,19,21,28,30,117,36,24,41,15,40,7,6,2,7,2,
6_8,5,10,17,21,28,31,112,36,26,38,18,38,5,7,4,7,3,
6_9,3,8,16,19,25,29,100,32,26,33,17,35,5,8,3,6,4,
6_10,4,9,14,18,24,27,96,31,23,33,15,32,5,5,4,6,3,
7_1,4,11,19,24,29,30,117,34,26,40,18,43,7,8,5,5,1,
7_2,5,7,14,24,27,30,107,35,25,34,20,38,2,7,10,3,3,
7_3,4,6,13,21,25,29,98,33,25,31,19,34,2,7,8,4,4,
7_4,4,8,13,20,26,29,100,33,25,34,18,33,4,5,7,6,3,
7_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
7_6,1,4,12,18,25,30,90,31,29,29,21,30,3,8,6,7,5,
7_7,0,6,14,21,25,30,96,30,30,31,19,35,6,8,7,4,5,
7_8,0,4,12,21,25,29,91,29,29,29,21,33,4,8,9,4,4,
7_9,1,5,12,15,20,27,80,28,26,25,15,27,4,7,3,5,7,
7_10,3,8,12,18,21,27,89,30,24,29,13,30,5,4,6,3,6,
8_1,8,14,22,24,27,28,123,36,20,41,13,46,6,8,2,3,1,
8_2,6,8,14,21,25,28,102,34,22,33,17,35,2,6,7,4,3,
8_3,6,9,16,21,25,30,107,36,24,34,16,37,3,7,5,4,5,
8_4,5,9,14,20,24,28,100,33,23,33,15,34,4,5,6,4,4,
8_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
8_6,2,8,15,21,25,29,100,31,27,33,17,36,6,7,6,4,4,
8_7,3,8,15,19,23,27,95,30,24,31,15,34,5,7,4,4,4,
8_8,1,8,15,19,26,29,98,30,28,34,18,34,7,7,4,7,3,
8_9,0,8,16,19,22,29,94,29,29,30,14,35,8,8,3,3,7,
8_10,2,9,15,19,23,29,97,31,27,32,14,34,7,6,4,4,6,
9_1,6,11,18,20,24,28,107,34,22,35,13,38,5,7,2,4,4,
9_2,6,8,13,20,24,28,99,34,22,32,16,33,2,5,7,4,4,
9_3,4,7,13,18,24,29,95,33,25,31,17,31,3,6,5,6,5,
9_4,3,7,13,20,25,29,97,32,26,32,18,33,4,6,7,5,4,
9_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
9_6,1,10,18,22,29,32,112,33,31,39,19,40,9,8,4,7,3,
9_7,2,13,16,19,27,32,109,34,30,40,14,35,11,3,3,8,5,
9_8,2,12,15,21,27,32,109,34,30,39,15,36,10,3,6,6,5,
9_9,4,11,18,18,23,28,102,32,24,34,12,36,7,7,0,5,5,
9_10,3,11,16,18,23,27,98,30,24,34,12,34,8,5,2,5,4,
10_1,7,12,19,23,27,29,117,36,22,39,15,42,5,7,4,4,2,
10_2,4,9,14,22,26,29,104,33,25,35,17,36,5,5,8,4,3,
10_3,3,7,13,20,24,29,96,32,26,31,17,33,4,6,7,4,5,
10_4,4,9,15,20,25,29,102,33,25,34,16,35,5,6,5,5,4,
10_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
10_6,1,7,14,21,26,30,99,31,29,33,19,35,6,7,7,5,4,
10_7,3,9,14,18,24,27,95,30,24,33,15,32,6,5,4,6,3,
10_8,2,6,16,21,26,29,100,31,27,32,20,37,4,10,5,5,3,
10_9,1,6,14,19,23,29,92,30,28,29,17,33,5,8,5,4,6,
10_10,2,8,13,19,23,28,93,30,26,31,15,32,6,5,6,4,5,
11_1,8,17,22,24,28,30,129,38,22,45,11,46,9,5,2,4,2,
11_2,8,11,16,26,28,31,120,39,23,39,17,42,3,5,10,2,3,
11_3,4,6,12,19,24,29,94,33,25,30,18,31,2,6,7,5,5,
11_4,3,8,13,20,24,29,97,32,26,32,16,33,5,5,7,4,5,
11_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
11_6,2,6,21,24,28,30,111,32,28,34,22,45,4,15,3,4,2,
11_7,4,10,20,24,27,29,114,33,25,37,17,44,6,10,4,3,2,
11_8,3,6,19,23,25,28,104,31,25,31,19,42,3,13,4,2,3,
11_9,3,8,16,19,21,28,95,31,25,29,13,35,5,8,3,2,7,
11_10,4,10,16,20,22,28,100,32,24,32,12,36,6,6,4,2,6,
12_1,5,14,19,24,28,30,120,35,25,42,14,43,9,5,5,4,2,
12_2,9,11,14,23,28,30,115,39,21,39,17,37,2,3,9,5,2,
12_3,5,6,13,19,23,28,94,33,23,29,17,32,1,7,6,4,5,
12_4,5,8,14,20,25,29,101,34,24,33,17,34,3,6,6,5,4,
12_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
12_6,3,11,20,24,28,31,117,34,28,39,17,44,8,9,4,4,3,
12_7,4,12,18,21,25,29,109,33,25,37,13,39,8,6,3,4,4,
12_8,2,8,18,22,24,27,101,29,25,32,16,40,6,10,4,2,3,
12_9,2,9,14,17,21,28,91,30,26,30,12,31,7,5,3,4,7,
12_10,4,9,12,16,20,27,88,31,23,29,11,28,5,3,4,4,7,
13_1,6,13,21,25,30,31,126,37,25,43,17,46,7,8,4,5,1,
13_2,7,11,16,22,27,29,112,36,22,38,16,38,4,5,6,5,2,
13_3,2,6,11,19,23,28,89,30,26,29,17,30,4,5,8,4,5,
13_4,4,8,14,20,24,29,99,33,25,32,16,34,4,6,6,4,5,
13_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
13_6,3,7,15,21,23,30,99,33,27,30,16,36,4,8,6,2,7,
13_7,2,8,15,18,23,29,95,31,27,31,15,33,6,7,3,5,6,
13_8,2,5,12,19,22,28,88,30,26,27,17,31,3,7,7,3,6,
13_9,3,7,9,14,17,28,78,31,25,24,10,23,4,2,5,3,11,
13_10,3,7,10,16,21,29,86,32,26,28,14,26,4,3,6,5,8,
14_1,4,12,17,25,29,29,116,33,25,41,17,42,8,5,8,4,0,
14_2,5,9,13,22,27,29,105,34,24,36,18,35,4,4,9,5,2,
14_3,4,7,13,18,23,29,94,33,25,30,16,31,3,6,5,5,6,
14_4,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5,
14_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
14_6,5,7,14,19,26,28,99,33,23,33,19,33,2,7,5,7,2,
14_7,5,9,12,19,25,27,97,32,22,34,16,31,4,3,7,6,2,
14_8,3,5,13,19,24,28,92,31,25,29,19,32,2,8,6,5,4,
14_9,3,7,14,18,24,28,94,31,25,31,17,32,4,7,4,6,4,
14_10,3,8,13,20,26,28,98,31,25,34,18,33,5,5,7,6,2,
15_1,3,8,16,26,30,32,115,35,29,38,22,42,5,8,10,4,2,
15_2,3,6,11,24,27,29,100,32,26,33,21,35,3,5,13,3,2,
15_3,4,8,12,20,25,30,99,34,26,33,17,32,4,4,8,5,5,
15_4,4,8,14,21,25,29,101,33,25,33,17,35,4,6,7,4,4,
15_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
15_6,3,6,13,18,23,28,91,31,25,29,17,31,3,7,5,5,5,
15_7,2,5,12,17,20,27,83,29,25,25,15,29,3,7,5,3,7,
15_8,2,6,13,19,24,27,91,29,25,30,18,32,4,7,6,5,3,
15_9,2,5,13,16,21,28,85,30,26,26,16,29,3,8,3,5,7,
15_10,4,8,13,20,24,28,97,32,24,32,16,33,4,5,7,4,4,
16_1,9,15,22,25,29,31,131,40,22,44,14,47,6,7,3,4,2,
16_2,6,10,16,22,27,28,109,34,22,37,17,38,4,6,6,5,1,
16_3,5,8,14,21,25,29,102,34,24,33,17,35,3,6,7,4,4,
16_4,5,9,14,20,24,28,100,33,23,33,15,34,4,5,6,4,4,
16_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
16_6,1,6,15,20,25,29,96,30,28,31,19,35,5,9,5,5,4,
16_7,0,7,15,20,24,29,95,29,29,31,17,35,7,8,5,4,5,
16_8,0,8,14,17,24,28,91,28,28,32,16,31,8,6,3,7,4,
16_9,2,9,12,16,23,28,90,30,26,32,14,28,7,3,4,7,5,
16_10,3,8,11,16,22,26,86,29,23,30,14,27,5,3,5,6,4,
17_1,7,11,20,26,30,30,124,37,23,41,19,46,4,9,6,4,0,
17_2,6,11,15,21,25,29,107,35,23,36,14,36,5,4,6,4,4,
17_3,4,7,12,19,23,27,92,31,23,30,16,31,3,5,7,4,4,
17_4,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5,
17_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
17_6,3,7,14,16,24,29,93,32,26,31,17,30,4,7,2,8,5,
17_7,4,9,14,16,28,31,102,35,27,37,19,30,5,5,2,12,3,
17_8,3,8,15,17,24,29,96,32,26,32,16,32,5,7,2,7,5,
17_9,3,7,12,18,21,29,90,32,26,28,14,30,4,5,6,3,8,
17_10,4,8,12,19,24,28,95,32,24,32,16,31,4,4,7,5,4,
18_1,2,7,15,24,29,30,107,32,28,36,22,39,5,8,9,5,1,
18_2,4,6,11,21,25,28,95,32,24,31,19,32,2,5,10,4,3,
18_3,4,7,12,19,23,28,93,32,24,30,16,31,3,5,7,4,5,
18_4,4,8,14,21,25,29,101,33,25,33,17,35,4,6,7,4,4,
18_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
18_6,3,7,13,16,26,29,94,32,26,33,19,29,4,6,3,10,3,
18_7,3,8,13,17,25,30,96,33,27,33,17,30,5,5,4,8,5,
18_8,3,9,13,17,24,29,95,32,26,33,15,30,6,4,4,7,5,
18_9,2,8,13,16,21,28,88,30,26,29,13,29,6,5,3,5,7,
18_10,3,8,12,15,21,27,86,30,24,29,13,27,5,4,3,6,6,
19_1,7,12,18,21,27,30,115,37,23,39,15,39,5,6,3,6,3,
19_2,3,8,13,20,25,28,97,31,25,33,17,33,5,5,7,5,3,
19_3,4,8,14,18,21,29,94,33,25,29,13,32,4,6,4,3,8,
19_4,4,8,14,20,24,28,98,32,24,32,16,34,4,6,6,4,4,
19_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
19_6,1,7,17,19,22,29,95,30,28,29,15,36,6,10,2,3,7,
19_7,2,6,16,16,22,29,91,31,27,28,16,32,4,10,0,6,7,
19_8,2,7,14,16,20,28,87,30,26,27,13,30,5,7,2,4,8,
19_9,2,5,11,16,20,27,81,29,25,25,15,27,3,6,5,4,7,
19_10,3,7,13,17,22,29,91,32,26,29,15,30,4,6,4,5,7,
20_1,7,9,17,24,27,30,114,37,23,36,18,41,2,8,7,3,3,
20_2,7,8,13,20,23,27,98,34,20,31,15,33,1,5,7,3,4,
20_3,5,7,13,17,22,29,93,34,24,29,15,30,2,6,4,5,7,
20_4,5,8,13,20,25,29,100,34,24,33,17,33,3,5,7,5,4,
20_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
20_6,1,4,11,16,22,29,83,30,28,26,18,27,3,7,5,6,7,
20_7,2,4,12,16,21,27,82,29,25,25,17,28,2,8,4,5,6,
20_8,1,5,13,19,24,29,91,30,28,29,19,32,4,8,6,5,5,
20_9,3,7,14,19,22,29,94,32,26,29,15,33,4,7,5,3,7,
20_10,2,5,12,18,22,28,87,30,26,27,17,30,3,7,6,4,6,
21_1,2,10,14,21,26,28,101,30,26,36,16,35,8,4,7,5,2,
21_2,3,5,13,19,26,29,95,32,26,31,21,32,2,8,6,7,3,
21_3,3,6,12,19,24,29,93,32,26,30,18,31,3,6,7,5,5,
21_4,4,8,14,20,24,28,98,32,24,32,16,34,4,6,6,4,4,
21_5,4,9,15,19,24,28,99,32,24,33,15,34,5,6,4,5,4,
21_6,2,7,12,15,23,28,87,30,26,30,16,27,5,5,3,8,5,
21_7,1,6,11,20,26,29,93,30,28,32,20,31,5,5,9,6,3,
21_8,1,5,9,18,25,29,87,30,28,30,20,27,4,4,9,7,4,
21_9,2,5,11,18,24,30,90,32,28,29,19,29,3,6,7,6,6,
21_10,2,6,11,19,24,29,91,31,27,30,18,30,4,5,8,5,5,
22_1,5,11,19,22,29,30,116,35,25,40,18,41,6,8,3,7,1,
22_2,4,8,12,22,27,29,102,33,25,35,19,34,4,4,10,5,2,
22_3,3,7,13,19,24,29,95,32,26,31,17,32,4,6,6,5,5,
22_4,4,8,14,20,25,29,100,33,25,33,17,34,4,6,6,5,4,
22_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
22_6,3,8,14,20,25,29,99,32,26,33,17,34,5,6,6,5,4,
22_7,2,9,18,23,26,31,109,33,29,35,17,41,7,9,5,3,5,
22_8,2,6,13,22,25,29,97,31,27,31,19,35,4,7,9,3,4,
22_9,3,8,13,17,22,29,92,32,26,30,14,30,5,5,4,5,7,
22_10,4,9,11,19,21,29,93,33,25,30,12,30,5,2,8,2,8,
23_1,5,9,17,24,28,30,113,35,25,37,19,41,4,8,7,4,2,
23_2,7,11,15,22,26,29,110,36,22,37,15,37,4,4,7,4,3,
23_3,5,9,13,20,24,29,100,34,24,33,15,33,4,4,7,4,5,
23_4,5,9,14,20,25,29,102,34,24,34,16,34,4,5,6,5,4,
23_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
23_6,3,8,11,15,16,30,83,33,27,24,8,26,5,3,4,1,14,
23_7,2,8,10,16,18,30,84,32,28,26,10,26,6,2,6,2,12,
23_8,3,6,9,15,18,28,79,31,25,24,12,24,3,3,6,3,10,
23_9,4,9,10,16,20,28,87,32,24,29,11,26,5,1,6,4,8,
23_10,4,9,12,16,21,29,91,33,25,30,12,28,5,3,4,5,8,
24_1,4,10,16,23,29,30,112,34,26,39,19,39,6,6,7,6,1,
24_2,2,4,9,20,25,28,88,30,26,29,21,29,2,5,11,5,3,
24_3,3,7,12,18,22,29,91,32,26,29,15,30,4,5,6,4,7,
24_4,4,7,13,20,25,29,98,33,25,32,18,33,3,6,7,5,4,
24_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
24_6,6,11,17,21,24,31,110,37,25,35,13,38,5,6,4,3,7,
24_7,7,13,19,21,22,29,111,36,22,35,9,40,6,6,2,1,7,
24_8,4,9,17,21,24,31,106,35,27,33,15,38,5,8,4,3,7,
24_9,6,9,16,18,22,28,99,34,22,31,13,34,3,7,2,4,6,
24_10,5,11,16,20,22,29,103,34,24,33,11,36,6,5,4,2,7,
25_1,4,8,18,22,29,29,110,33,25,37,21,40,4,10,4,7,0,
25_2,5,8,14,23,28,29,107,34,24,36,20,37,3,6,9,5,1,
25_3,4,7,13,19,24,29,96,33,25,31,17,32,3,6,6,5,5,
25_4,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5,
25_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
25_6,5,8,15,20,25,29,102,34,24,33,17,35,3,7,5,5,4,
25_7,3,6,12,17,23,28,89,31,25,29,17,29,3,6,5,6,5,
25_8,3,7,14,21,24,28,97,31,25,31,17,35,4,7,7,3,4,
25_9,3,7,11,16,20,30,87,33,27,27,13,27,4,4,5,4,10,
25_10,4,8,12,18,21,30,93,34,26,29,13,30,4,4,6,3,9,
26_1,5,10,17,22,28,30,112,35,25,38,18,39,5,7,5,6,2,
26_2,4,7,9,21,26,29,96,33,25,33,19,30,3,2,12,5,3,
26_3,3,6,10,19,24,29,91,32,26,30,18,29,3,4,9,5,5,
26_4,4,8,13,20,25,29,99,33,25,33,17,33,4,5,7,5,4,
26_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
26_6,5,11,19,23,26,30,114,35,25,37,15,42,6,8,4,3,4,
26_7,5,13,19,20,22,27,106,32,22,35,9,39,8,6,1,2,5,
26_8,4,8,13,21,25,29,100,33,25,33,17,34,4,5,8,4,4,
26_9,5,12,15,20,22,28,102,33,23,34,10,35,7,3,5,2,6,
26_10,5,12,15,21,24,28,105,33,23,36,12,36,7,3,6,3,4,
27_1,3,10,16,19,26,28,102,31,25,36,16,35,7,6,3,7,2,
27_2,4,7,11,22,28,30,102,34,26,35,21,33,3,4,11,6,2,
27_3,4,7,13,19,24,29,96,33,25,31,17,32,3,6,6,5,5,
27_4,5,8,14,20,25,29,101,34,24,33,17,34,3,6,6,5,4,
27_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
27_6,5,9,16,22,25,28,105,33,23,34,16,38,4,7,6,3,3,
27_7,5,10,15,19,23,26,98,31,21,33,13,34,5,5,4,4,3,
27_8,3,9,18,21,24,27,102,30,24,33,15,39,6,9,3,3,3,
27_9,3,8,15,20,23,27,96,30,24,31,15,35,5,7,5,3,4,
27_10,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
28_1,7,14,20,27,31,32,131,39,25,45,17,47,7,6,7,4,1,
28_2,8,11,15,27,30,32,123,40,24,41,19,42,3,4,12,3,2,
28_3,5,9,15,20,24,29,102,34,24,33,15,35,4,6,5,4,5,
28_4,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5,
28_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
28_6,2,5,20,22,26,31,106,33,29,31,21,42,3,15,2,4,5,
28_7,2,9,18,21,25,29,104,31,27,34,16,39,7,9,3,4,4,
28_8,1,5,16,20,24,28,94,29,27,29,19,36,4,11,4,4,4,
28_9,2,8,15,17,19,28,89,30,26,27,11,32,6,7,2,2,9,
28_10,4,10,14,19,22,28,97,32,24,32,12,33,6,4,5,3,6,
29_1,5,9,19,25,27,28,113,33,23,36,18,44,4,10,6,2,1,
29_2,9,11,16,23,25,28,112,37,19,36,14,39,2,5,7,2,3,
29_3,3,6,11,20,25,29,94,32,26,31,19,31,3,5,9,5,4,
29_4,5,8,14,20,24,29,100,34,24,32,16,34,3,6,6,4,5,
29_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
29_6,2,5,13,20,24,29,93,31,27,29,19,33,3,8,7,4,5,
29_7,4,8,15,20,24,30,101,34,26,32,16,35,4,7,5,4,6,
29_8,3,6,16,20,22,28,95,31,25,28,16,36,3,10,4,2,6,
29_9,3,8,15,20,23,29,98,32,26,31,15,35,5,7,5,3,6,
29_10,4,8,13,20,23,29,97,33,25,31,15,33,4,5,7,3,6,
30_1,3,7,14,20,28,31,103,34,28,35,21,34,4,7,6,8,3,
30_2,6,9,13,20,25,29,102,35,23,34,16,33,3,4,7,5,4,
30_3,3,6,12,18,23,29,91,32,26,29,17,30,3,6,6,5,6,
30_4,4,8,14,20,25,29,100,33,25,33,17,34,4,6,6,5,4,
30_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
30_6,2,8,15,18,22,30,95,32,28,30,14,33,6,7,3,4,8,
30_7,5,10,16,20,24,29,104,34,24,34,14,36,5,6,4,4,5,
30_8,4,10,15,20,24,28,101,32,24,34,14,35,6,5,5,4,4,
30_9,3,9,14,16,19,28,89,31,25,28,10,30,6,5,2,3,9,
30_10,5,10,13,17,21,28,94,33,23,31,11,30,5,3,4,4,7,
31_1,6,9,17,25,30,31,118,37,25,39,21,42,3,8,8,5,1,
31_2,4,6,10,22,27,28,97,32,24,33,21,32,2,4,12,5,1,
31_3,4,6,11,17,21,27,86,31,23,27,15,28,2,5,6,4,6,
31_4,5,8,13,19,24,29,98,34,24,32,16,32,3,5,6,5,5,
31_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
31_6,5,11,18,19,26,27,106,32,22,37,15,37,6,7,1,7,1,
31_7,3,9,13,15,21,25,86,28,22,30,12,28,6,4,2,6,4,
31_8,3,9,17,17,26,28,100,31,25,35,17,34,6,8,0,9,2,
31_9,3,10,13,16,22,29,93,32,26,32,12,29,7,3,3,6,7,
31_10,3,10,12,16,21,29,91,32,26,31,11,28,7,2,4,5,8,
32_1,3,6,16,22,27,28,102,31,25,33,21,38,3,10,6,5,1,
32_2,4,7,10,23,27,29,100,33,25,34,20,33,3,3,13,4,2,
32_3,5,8,13,19,23,29,97,34,24,31,15,32,3,5,6,4,6,
32_4,5,8,14,20,24,28,99,33,23,32,16,34,3,6,6,4,4,
32_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
32_6,3,6,18,22,25,29,103,32,26,31,19,40,3,12,4,3,4,
32_7,3,12,20,20,25,28,108,31,25,37,13,40,9,8,0,5,3,
32_8,3,9,17,21,23,28,101,31,25,32,14,38,6,8,4,2,5,
32_9,2,7,11,15,18,25,78,27,23,25,11,26,5,4,4,3,7,
32_10,3,9,14,17,21,28,92,31,25,30,12,31,6,5,3,4,7,
33_1,3,5,13,20,26,29,96,32,26,31,21,33,2,8,7,6,3,
33_2,7,7,13,23,26,28,104,35,21,33,19,36,0,6,10,3,2,
33_3,5,8,14,21,24,29,101,34,24,32,16,35,3,6,7,3,5,
33_4,5,8,14,20,24,29,100,34,24,32,16,34,3,6,6,4,5,
33_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
33_6,2,6,15,21,25,30,99,32,28,31,19,36,4,9,6,4,5,
33_7,1,8,15,21,24,31,100,32,30,32,16,36,7,7,6,3,7,
33_8,1,4,13,21,24,28,91,29,27,28,20,34,3,9,8,3,4,
33_9,1,8,14,18,21,28,90,29,27,29,13,32,7,6,4,3,7,
33_10,2,8,15,18,21,29,93,31,27,29,13,33,6,7,3,3,8,
34_1,9,15,22,26,30,30,132,39,21,45,15,48,6,7,4,4,0,
34_2,8,11,16,24,27,29,115,37,21,38,16,40,3,5,8,3,2,
34_3,3,6,11,19,23,28,90,31,25,29,17,30,3,5,8,4,5,
34_4,4,8,13,19,25,29,98,33,25,33,17,32,4,5,6,6,4,
34_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
34_6,3,6,19,23,28,31,110,34,28,34,22,42,3,13,4,5,3,
34_7,2,10,18,20,26,29,105,31,27,36,16,38,8,8,2,6,3,
34_8,1,7,17,18,26,29,98,30,28,33,19,35,6,10,1,8,3,
34_9,1,7,13,15,20,27,83,28,26,27,13,28,6,6,2,5,7,
34_10,3,9,14,17,22,27,92,30,24,31,13,31,6,5,3,5,5,
35_1,3,10,16,21,26,30,106,33,27,36,16,37,7,6,5,5,4,
35_2,7,10,13,20,25,29,104,36,22,35,15,33,3,3,7,5,4,
35_3,4,6,11,18,22,28,89,32,24,28,16,29,2,5,7,4,6,
35_4,4,8,14,20,25,29,100,33,25,33,17,34,4,6,6,5,4,
35_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
35_6,1,8,15,20,25,30,99,31,29,33,17,35,7,7,5,5,5,
35_7,2,11,14,18,22,30,97,32,28,33,11,32,9,3,4,4,8,
35_8,1,8,15,20,25,30,99,31,29,33,17,35,7,7,5,5,5,
35_9,4,10,14,17,23,29,97,33,25,33,13,31,6,4,3,6,6,
35_10,3,11,13,16,22,28,93,31,25,33,11,29,8,2,3,6,6,
36_1,4,7,17,22,27,28,105,32,24,34,20,39,3,10,5,5,1,
36_2,7,12,17,21,26,28,111,35,21,38,14,38,5,5,4,5,2,
36_3,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,
36_4,4,8,15,19,24,29,99,33,25,32,16,34,4,7,4,5,5,
