bravo3.A1_4,bravo3.D1_3,bravo3.D3_8,bravo2.A1_4,bravo1.D3_8,bravo1.D3_15,bravo2.A6_2,bravo3.A6_2,bravo3.D2_6,bravo1.A3_13,bravo1.A3_16,bravo2.A2_5,bravo2.D3_1,bravo3.A2_4,bravo3.A4_9,bravo3.D1_1,bravo1.D3_11,bravo2.D4_6,bravo3.A5_1,bravo1.D4_1,bravo1.A3_6,bravo1.D4_3,bravo3.A2_5,bravo2.A1_1,bravo2.D3_6,bravo3.A1_1,bravo1.A2_15,bravo2.A4_6,bravo1.A2_12,bravo1.D2_11,bravo2.D2_6,bravo2.A4_9,bravo2.D1_4,bravo2.D2_3,bravo3.A3_8,bravo3.D3_5,bravo3.D4_4,bravo1.A4_2,bravo3.A6_4,bravo2.D1_3,bravo2.D4_7,bravo3.D4_2,bravo2.D2_2,bravo2.D4_10,bravo1.A2_2,bravo1.A5_6,bravo1.A3_14,bravo2.D2_9,bravo1.D2_9,bravo2.A5_2,bravo2.D2_10,bravo2.D3_7,bravo1.A3_8,bravo2.A2_4,bravo2.D1_6,bravo1.A1_4,bravo2.A3_9,bravo2.A4_2,bravo2.A6_6,bravo1.D6_1,bravo1.D1_2,bravo3.D1_6,bravo3.D4_3,bravo1.D4_14,bravo1.A5_4,bravo1.D2_8,bravo3.A5_3,bravo3.D4_7,bravo1.D4_5,bravo2.D4_3,bravo1.A6_2,bravo1.A4_14,bravo1.D2_2,bravo2.A1_2,bravo3.A1_2,bravo3.A5_5,bravo1.A1_6,bravo2.A1_9,bravo2.D4_5,bravo2.D5_4,bravo1.A4_3,bravo2.D4_2,bravo2.D1_5,bravo3.A2_8,bravo1.A4_5,bravo1.D3_20,bravo2.A3_4,bravo3.A3_6,bravo1.A6_1,bravo3.D6_5,bravo1.D3_13,bravo2.A5_6,bravo2.A5_1,bravo1.D3_2,bravo3.A3_7,bravo3.D3_2,bravo2.A3_6,bravo2.A5_4,bravo2.A3_8,bravo3.D4_5,bravo1.A1_1,bravo2.A1_8,bravo2.D1_8,bravo3.A4_6,bravo1.A1_2,bravo1.A1_5,bravo1.A2_14,bravo1.A4_4,bravo1.D3_14,bravo1.D5_6,bravo2.D1_9,bravo1.D3_16,bravo2.A6_4,bravo2.A2_1,bravo3.D5_8,bravo2.A2_12,bravo1.D1_1,bravo2.D3_4,bravo2.D4_1,bravo3.A5_4,bravo1.A3_21,bravo1.D4_16,bravo1.D4_18,bravo3.A1_5,bravo3.D1_4,bravo1.A2_9,bravo1.A4_16,bravo1.D3_23,bravo3.D4_6,bravo1.A5_3,bravo2.A3_13,bravo3.A5_6,bravo3.D2_1,bravo3.A2_12,bravo3.D6_3,bravo2.D5_5,bravo3.A3_12,bravo2.A3_5,bravo2.D4_4,bravo2.D6_7,bravo3.A4_8,bravo3.D5_7,bravo1.D4_17,bravo3.D3_6,bravo3.D3_10,bravo3.D5_5,bravo1.A4_9,bravo2.A3_10,bravo2.A2_8,bravo2.D5_3,bravo2.D1_1,bravo1.D2_3,bravo2.A6_1,bravo3.A6_1,bravo3.D3_4,bravo1.A3_19,bravo2.A1_6,bravo1.D2_5,bravo1.A5_2,bravo2.A2_13,bravo2.D5_2,bravo1.D4_9,bravo1.D5_10,bravo2.D2_14,bravo2.A5_8,bravo2.D5_7,bravo3.A4_2,bravo3.A5_8,bravo1.A2_4,bravo1.D3_4,bravo2.A2_10,bravo3.D6_4,bravo1.A2_8,bravo2.A1_5,bravo2.D2_4,bravo2.D2_7,bravo3.A4_1,bravo3.D2_7,bravo1.D1_3,bravo1.D2_13,bravo1.D5_4,bravo2.D1_7,bravo2.D3_11,bravo1.A5_12,bravo2.A5_3,bravo1.A5_1,bravo2.A3_2,bravo3.A3_2,bravo3.A4_4,bravo1.A4_8,bravo2.A4_14,bravo3.D6_1,bravo1.A3_17,bravo2.A4_5,bravo2.D3_10,bravo3.D2_8,bravo1.A2_3,bravo1.D3_6,bravo2.D6_4,bravo3.A2_3,bravo3.D4_8,bravo3.D5_9,bravo3.D2_9,bravo3.D3_1,bravo2.A2_9,bravo1.D2_15,bravo2.A4_7,bravo2.A2_11,bravo2.D3_13,bravo3.A3_3,bravo3.A3_9,bravo3.D3_7,bravo3.D3_12,bravo1.A4_12,bravo3.A2_1,bravo3.D2_11,bravo1.A4_6,bravo1.D1_10,bravo2.D6_5,bravo1.D3_21,bravo3.D2_4,bravo3.A1_6,bravo1.A2_1,bravo1.A2_10,bravo1.D5_12,bravo3.A3_5,bravo3.D2_12,bravo1.A3_10,bravo1.A1_3,bravo1.A3_25,bravo1.A4_7,bravo1.D3_1,bravo1.D4_19,bravo1.D5_7,bravo2.A4_10,bravo2.A5_5,bravo2.D3_3,bravo2.D3_5,bravo3.A3_13,bravo3.A2_9,bravo3.D6_2,bravo1.D1_7,bravo2.A2_6,bravo2.A2_7,bravo2.A3_3,bravo2.D3_12,bravo3.D2_2,bravo3.D5_3,bravo1.D4_10,bravo3.A1_3,bravo1.A3_18,bravo1.D4_12,bravo2.D5_11,bravo1.A3_12,bravo1.A3_7,bravo3.A2_2,bravo3.A4_7,bravo1.D2_6,bravo1.D2_10,bravo2.A6_5,bravo2.D3_14,bravo3.D1_2,bravo2.D2_12,bravo1.A3_26,bravo2.A1_10,bravo2.D6_2,bravo3.D4_1,bravo3.D5_10,bravo1.A2_7,bravo1.A4_11,bravo1.D2_16,bravo1.D3_25,bravo2.A4_1,bravo1.D1_6,bravo3.A4_10,bravo3.D2_3,bravo1.A2_11,bravo2.D4_12,bravo2.D5_8,bravo3.D1_8,bravo1.A4_23,bravo3.D1_5,bravo1.A3_3,bravo1.D5_2,bravo2.D2_1,bravo3.A1_8,bravo3.D3_14,bravo1.D3_9,bravo1.D3_12,bravo3.A4_3,bravo1.D1_11,bravo2.A6_3,bravo2.D3_2,bravo2.D3_15,bravo1.D3_3,bravo1.D5_8,bravo2.A3_14,bravo3.A3_11,bravo1.D5_3,bravo1.D2_1,bravo2.D1_12,bravo2.D2_8,bravo2.D5_1,bravo3.A4_12,bravo3.D2_5,bravo3.D3_13,bravo3.D4_9,bravo1.A3_5,bravo1.A3_2,bravo1.A3_11,bravo1.A5_7,bravo3.A5_2,bravo3.D1_7,bravo3.A2_10,bravo3.A3_1,bravo1.A4_1,bravo2.D3_9,bravo2.D6_1,bravo1.A3_24,bravo1.D3_17,bravo2.A4_8,bravo2.D6_6,bravo1.D4_20,bravo2.D6_8,bravo1.A2_6,bravo2.A3_7,bravo2.D2_13,bravo2.A4_4,bravo3.D5_2,bravo1.A4_19,bravo1.D4_4,bravo1.D6_2,bravo2.A2_3,bravo3.D3_3,bravo1.D3_19,bravo2.D2_11,bravo2.D3_8,bravo3.D2_10,bravo1.A3_4,bravo1.A5_10,bravo1.D5_9,bravo2.D4_8,bravo3.A2_7,bravo1.A2_5,bravo1.A5_5,bravo1.D3_10,bravo2.A4_3,bravo3.D6_6,bravo3.A3_10,bravo3.A6_5,bravo3.A5_7,bravo3.D4_11,bravo1.D4_13,bravo1.D2_17,bravo1.D1_5,bravo3.A4_14,bravo1.A3_20,bravo1.A3_15,bravo3.D4_10,bravo1.A4_10,bravo1.D2_21,bravo1.D3_7,bravo3.A6_3,bravo1.A5_8,bravo1.D4_8,bravo2.A1_7,bravo3.A6_6,bravo1.A1_7,bravo1.A3_9,bravo1.D2_18,bravo3.A2_6,bravo3.D5_1,bravo2.A1_3,bravo2.D2_5,bravo2.A3_1,bravo3.D5_6,bravo1.D5_1,bravo2.A3_15,bravo3.A4_5,bravo1.D5_5,bravo1.D3_22,bravo1.A4_24,bravo3.A4_15,bravo2.A5_9,bravo2.D4_13,bravo2.D5_10,bravo2.D6_3,bravo3.A3_15,bravo1.A3_1,bravo1.A2_21,bravo1.D4_6,bravo1.D1_12,bravo2.D5_9,bravo1.A1_9,bravo1.A1_10,bravo2.A3_11,bravo2.D3_16,bravo2.D1_13,bravo3.A3_14,bravo1.D4_2,bravo3.A3_4,bravo3.A1_7,bravo1.D2_4,bravo1.A2_18,bravo1.D5_11,bravo2.D5_6,bravo3.D5_4,bravo1.D2_7,bravo1.A1_11,bravo2.A2_15,bravo2.A4_15,bravo2.A5_7,bravo3.D3_15,bravo2.A6_9,bravo1.A2_13,bravo1.A2_20,bravo1.A3_22,bravo1.A3_23,bravo1.D2_12,bravo1.D3_18,bravo1.D4_25,bravo1.D1_9,bravo3.A2_11,bravo1.D4_22,bravo2.A2_2,bravo1.A4_18,bravo1.A2_16,bravo1.D3_5,bravo1.D6_3,bravo2.A1_11,bravo1.D2_14,bravo1.A4_20,bravo1.D2_20,bravo1.D6_4,bravo3.D3_11,bravo1.D3_24,bravo3.D4_14,bravo3.D3_9,bravo3.D6_7,bravo1.D1_8,bravo1.D4_7,bravo1.A4_15,bravo1.D1_4,bravo2.A1_13,bravo1.A2_19,bravo2.A3_12,bravo2.A4_12,bravo3.D4_12,bravo1.D2_19,bravo2.D2_16,bravo3.A3_16,bravo2.A3_16,bravo2.A5_13,bravo3.A5_9,bravo1.D4_21,bravo1.A4_26,bravo2.D1_2,bravo1.A2_17,bravo1.A3_27,bravo1.A4_22,bravo2.D1_10,bravo2.D4_15,bravo1.D3_27,bravo3.A4_13,bravo1.A4_25,bravo1.A5_13,bravo2.A4_13,bravo1.D4_26,bravo1.A4_17,bravo3.D5_11,bravo1.A4_13,bravo2.D4_11,bravo3.D3_16,bravo1.A6_4,bravo1.D4_23,bravo2.D6_9,bravo3.A1_9,bravo3.A6_8,bravo3.D1_9,bravo1.D4_11,bravo1.D4_24,bravo2.A1_12,bravo2.A5_10,bravo2.D4_14,bravo1.A4_21,bravo2.D3_17,bravo2.A4_16,bravo2.D4_9,bravo1.D5_16,bravo2.D1_11,bravo2.A2_16,bravo2.A3_17,bravo3.A4_11,bravo1.A5_16,bravo1.A6_3,bravo1.A5_15,bravo1.D5_14,bravo3.D4_13,bravo3.D2_14,bravo1.D4_15,bravo1.A5_11,bravo1.A5_9,bravo3.D6_8,bravo1.D5_15,bravo1.A1_8,bravo2.A4_11,bravo3.D2_13,bravo1.D2_22,bravo2.A2_14,bravo2.A6_7,bravo2.D5_12,bravo1.A1_12,bravo3.A5_10,bravo3.A6_7,bravo1.D3_26,bravo2.D1_14,bravo3.D4_16,bravo1.D4_27,bravo2.D5_14,bravo2.A2_17,bravo3.A1_10,bravo1.D1_14,bravo2.A5_11,bravo2.A1_14,bravo2.A3_18,bravo1.A5_14,bravo1.D5_13,bravo2.D2_15,bravo3.A5_11,bravo1.A1_14,bravo2.A6_8,bravo3.D4_15,bravo1.D1_13,bravo2.A1_15,bravo3.A3_17,bravo3.A5_13,bravo3.A2_14,bravo1.A3_28,bravo3.A4_16,bravo2.A5_12,bravo3.D3_17,bravo1.A5_18,bravo1.A5_17,bravo3.D5_12,bravo1.D6_5,bravo2.A6_10,bravo2.D6_11,bravo1.A1_13,bravo3.A6_9,bravo1.A2_22,bravo2.D6_10,bravo1.D5_19,bravo1.D5_17,bravo2.D1_15,bravo1.D3_28,bravo1.D1_15,bravo3.A2_13,bravo1.A6_5,bravo1.D6_8,bravo2.D2_17,bravo2.D4_16,bravo2.D5_13,bravo3.D5_13,bravo1.A6_7,bravo2.A5_14,bravo1.A6_6,bravo3.D1_10,bravo1.A6_8,bravo1.D6_6,bravo1.D5_18,bravo2.A4_18,bravo2.A2_18,bravo1.A4_27,bravo2.A3_19,bravo2.A4_17,bravo3.A5_12,bravo2.D1_16,bravo1.D6_7,bravo2.D6_12,bravo3.A4_17,bravo3.D6_9,bravo3.D4_17,bravo3.A4_18,bravo3.A3_18,bravo3.D3_18,bravo1.A1_15,bravo2.D1_17,bravo3.D4_19,bravo1.D5_20,bravo2.D5_15,bravo2.A1_16,bravo2.A5_15,bravo2.D3_18,bravo3.A2_15,bravo2.D4_17,bravo1.A6_10,bravo3.A2_16,bravo1.A5_20,bravo2.D4_18,bravo2.D2_18,bravo3.A3_20,bravo3.D1_11,bravo3.A3_19,bravo2.A4_19,bravo2.A6_13,bravo2.D5_16,bravo3.A4_19,bravo2.A5_17,bravo3.D2_15,bravo3.D3_19,bravo3.A1_11,bravo2.A6_11,bravo1.A4_28,bravo2.D2_19,bravo2.A3_20,bravo1.A5_19,bravo1.A6_11,bravo2.A6_12,bravo3.D5_14,bravo2.A1_17,bravo2.A2_19,bravo1.D6_11,bravo1.D6_10,bravo1.A2_23,bravo2.D4_19,bravo1.A5_21,bravo1.D6_9,bravo1.A1_17,bravo1.A1_16,bravo2.D5_17,bravo2.D6_14,bravo1.D5_21,bravo2.A5_16,bravo2.D5_18,bravo3.D1_12,bravo3.D6_10,bravo3.D5_15,bravo3.D6_11,bravo1.D2_23,bravo3.A5_15,bravo2.D3_20,bravo2.D2_20,bravo3.A1_12,bravo2.A4_20,bravo2.A5_18,bravo1.D6_12,bravo1.A6_9,bravo2.D3_19,bravo3.D4_18,bravo1.D1_16,bravo2.A3_21,bravo2.D1_18,bravo2.A2_20,bravo2.A6_14,bravo2.A2_22,bravo1.D4_28,bravo1.D6_14,bravo2.D2_21,bravo3.A5_14,bravo1.D2_24,bravo2.A1_19,bravo1.D1_17,bravo2.A2_21,bravo3.A6_11,bravo2.D6_13,bravo3.D1_13,bravo1.A2_24,bravo2.D3_21,bravo2.A1_21,bravo2.D6_16,bravo3.A3_21,bravo3.D5_16,bravo1.D5_22,bravo2.A5_19,bravo3.D2_16,bravo3.A4_21,bravo1.A5_22,bravo1.A6_14,bravo1.A6_15,bravo1.A6_13,bravo3.A6_10,bravo2.D1_21,bravo2.D1_22,bravo3.A1_14,bravo3.D1_14,bravo2.A6_16,bravo1.D6_13,bravo2.A5_20,bravo1.A6_12,bravo2.A1_22,bravo2.A1_23,bravo3.D3_21,bravo3.D3_20,bravo2.D1_20,bravo2.A1_20,bravo2.A6_15,bravo2.A6_17,bravo2.D6_15,bravo2.D6_17,bravo3.D5_17,bravo1.D6_15,bravo2.D4_20,bravo3.D4_20,bravo2.D1_19,bravo2.A4_21,bravo2.A5_21,bravo3.A4_20,bravo3.A5_18,bravo3.A5_16,bravo2.D4_21,bravo1.A6_16,bravo2.D4_22,bravo3.D4_21
3,2,2,3,1,1,0,0,1,12,9,6,5,4,3,2,15,14,7,3,2,2,2,1,1,1,0,7,5,4,4,3,2,2,2,2,2,10,10,8,6,6,5,3,2,2,1,1,0,0,0,9,6,4,4,3,3,3,3,1,1,1,1,0,16,12,10,10,8,8,6,6,6,4,4,4,3,2,2,2,1,1,1,1,0,0,0,0,16,10,9,8,7,6,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,0,16,12,10,9,9,4,3,3,2,2,1,1,1,1,1,0,0,0,14,11,11,8,8,5,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,21,17,14,10,6,5,5,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,13,10,8,6,6,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,19,7,7,6,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,22,13,12,10,9,9,9,7,7,7,7,4,3,2,2,2,2,2,1,1,1,1,1,0,16,11,9,9,9,8,7,6,5,5,5,5,5,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,19,16,15,11,11,10,10,10,10,9,7,6,6,6,5,5,4,3,3,3,3,2,2,2,2,1,1,1,1,1,0,18,18,10,10,9,7,7,7,6,6,5,5,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,0,21,17,17,12,12,12,10,9,8,8,7,7,7,7,7,5,4,4,3,3,2,2,2,2,2,2,1,1,1,0,24,18,16,12,11,10,9,8,7,6,5,4,4,3,3,3,3,3,2,1,0,0,24,11,10,10,5,3,2,2,2,2,1,1,0,0,24,15,14,11,11,10,7,6,5,3,3,3,2,2,2,0,13,8,7,6,4,3,3,2,2,1,1,1,20,19,12,10,5,3,2,2,2,2,2,2,1,1,1,1,1,17,14,13,12,6,6,3,3,17,14,11,10,10,10,9,6,5,0,0,34,17,17,9,2,2,2,2,1,1,20,5,4,2,10,9,7,7,5,5,5,5,3,13,9,5,4,3,3,1,24,10,8,5,2,2,1,23,17,14,12,8,7,7,5,5,1,14,13,8,6,5,3,3,17,11,8,8,7,7,2,2,1,1,44,38,11,11,8,4,3,2,1,33,20,17,14,9,7,14,3,3,24,24,21,20,19,8,8,8,7,2,36,21,12,11,9,3,53,27,21,21,20,19,14,12,11,8,5,3,33,31,30,12,11,9,8,7,79,79,39,22,19,11,5,3,0,0,79,27,14,9,7,0,60,50,45,37,28,25,14,14,13,11,11,11,8,7,6,5,2,126,108,83,46,38,34,7,5,5,5,0,177,161,134,103,84,83,82,59,55,50,45,36,14,14,13,7,182,182,182,182,166,165,159,158,141,141,141,134,126,109,97,96,96,96,96,91,82,82,51,45,45,45,45,27,21,14,14,14
2,1,1,2,0,0,6,6,0,11,8,5,4,3,2,1,14,13,6,2,1,1,1,0,0,0,3,6,4,3,3,2,1,1,1,1,1,9,9,7,5,5,4,2,1,1,0,0,3,2,5,8,5,3,3,2,2,2,2,0,0,0,0,12,15,11,9,9,7,7,5,5,5,3,3,3,2,1,1,1,0,0,0,0,1,0,0,7,15,9,8,7,6,5,3,3,2,2,1,1,0,0,0,0,2,2,8,2,3,0,15,11,9,8,8,3,2,2,1,1,0,0,0,0,0,1,0,1,13,10,10,7,7,4,4,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0,3,23,23,20,16,13,9,5,4,4,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,11,2,1,1,12,9,7,5,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,5,3,5,18,6,6,5,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,6,9,21,12,11,9,8,8,8,6,6,6,6,3,2,1,1,1,1,1,0,0,0,0,0,11,15,10,8,8,8,7,6,5,4,4,4,4,4,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,18,15,14,10,10,9,9,9,9,8,6,5,5,5,4,4,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,17,17,9,9,8,6,6,6,5,5,4,4,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,9,20,16,16,11,11,11,9,8,7,7,6,6,6,6,6,4,3,3,2,2,1,1,1,1,1,1,0,0,0,3,23,17,15,11,10,9,8,7,6,5,4,3,3,2,2,2,2,2,1,0,4,3,23,10,9,9,4,2,1,1,1,1,0,0,8,2,23,14,13,10,10,9,6,5,4,2,2,2,1,1,1,1,12,7,6,5,3,2,2,1,1,0,0,0,19,18,11,9,4,2,1,1,1,1,1,1,0,0,0,0,0,16,13,12,11,5,5,2,2,16,13,10,9,9,9,8,5,4,6,11,33,16,16,8,1,1,1,1,0,0,19,4,3,1,9,8,6,6,4,4,4,4,2,12,8,4,3,2,2,0,23,9,7,4,1,1,0,22,16,13,11,7,6,6,4,4,0,13,12,7,5,4,2,2,16,10,7,7,6,6,1,1,0,0,43,37,10,10,7,3,2,1,0,32,19,16,13,8,6,13,2,2,23,23,20,19,18,7,7,7,6,1,35,20,11,10,8,2,52,26,20,20,19,18,13,11,10,7,4,2,32,30,29,11,10,8,7,6,78,78,38,21,18,10,4,2,13,44,78,26,13,8,6,21,59,49,44,36,27,24,13,13,12,10,10,10,7,6,5,4,1,125,107,82,45,37,33,6,4,4,4,13,176,160,133,102,83,82,81,58,54,49,44,35,13,13,12,6,181,181,181,181,165,164,158,157,140,140,140,133,125,108,96,95,95,95,95,90,81,81,50,44,44,44,44,26,20,13,13,13
1,0,0,1,1,6,5,5,0,10,7,4,3,2,1,0,13,12,5,1,0,0,0,0,2,0,2,5,3,2,2,1,0,0,0,0,0,8,8,6,4,4,3,1,0,0,6,2,2,1,4,7,4,2,2,1,1,1,1,0,0,6,6,11,14,10,8,8,6,6,4,4,4,2,2,2,1,0,0,0,3,4,0,0,0,10,23,6,14,8,7,6,5,4,2,2,1,1,0,0,3,2,2,11,1,1,7,1,2,0,14,10,8,7,7,2,1,1,0,0,1,7,4,7,1,0,3,0,12,9,9,6,6,3,3,2,2,1,1,1,1,1,0,0,0,0,0,2,4,0,5,2,22,22,19,15,12,8,4,3,3,2,2,2,1,1,1,1,0,0,0,0,1,7,5,0,0,0,0,10,1,0,0,11,8,6,4,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,1,11,2,1,0,2,4,4,2,4,17,5,5,4,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,5,8,20,11,10,8,7,7,7,5,5,5,5,2,1,0,0,0,0,0,18,0,12,3,0,10,14,9,7,7,7,6,5,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,12,17,7,0,6,0,10,6,1,2,0,1,0,1,2,17,14,13,9,9,8,8,8,8,7,5,4,4,4,3,3,2,1,1,1,1,0,0,0,0,3,2,9,0,11,6,16,16,8,8,7,5,5,5,4,4,3,3,2,2,2,1,1,1,1,0,0,0,0,5,10,1,1,18,8,19,15,15,10,10,10,8,7,6,6,5,5,5,5,5,3,2,2,1,1,0,0,0,0,0,0,6,2,0,2,22,16,14,10,9,8,7,6,5,4,3,2,2,1,1,1,1,1,0,10,3,2,22,9,8,8,3,1,0,0,0,0,2,7,7,1,22,13,12,9,9,8,5,4,3,1,1,1,0,0,0,0,11,6,5,4,2,1,1,0,0,0,8,0,18,17,10,8,3,1,0,0,0,0,0,0,12,4,5,9,16,15,12,11,10,4,4,1,1,15,12,9,8,8,8,7,4,3,5,10,32,15,15,7,0,0,0,0,15,9,18,3,2,0,8,7,5,5,3,3,3,3,1,11,7,3,2,1,1,1,22,8,6,3,0,0,19,21,15,12,10,6,5,5,3,3,20,12,11,6,4,3,1,1,15,9,6,6,5,5,0,0,2,4,42,36,9,9,6,2,1,0,19,31,18,15,12,7,5,12,1,1,22,22,19,18,17,6,6,6,5,0,34,19,10,9,7,1,51,25,19,19,18,17,12,10,9,6,3,1,31,29,28,10,9,7,6,5,77,77,37,20,17,9,3,1,12,43,77,25,12,7,5,20,58,48,43,35,26,23,12,12,11,9,9,9,6,5,4,3,0,124,106,81,44,36,32,5,3,3,3,12,175,159,132,101,82,81,80,57,53,48,43,34,12,12,11,5,180,180,180,180,164,163,157,156,139,139,139,132,124,107,95,94,94,94,94,89,80,80,49,43,43,43,43,25,19,12,12,12
0,1,4,0,0,5,4,4,13,9,6,3,2,1,0,5,12,11,4,0,5,6,1,3,1,3,1,4,2,1,1,0,11,0,4,0,0,7,7,5,3,3,2,0,2,0,5,1,1,0,3,6,3,1,1,0,0,0,0,10,9,5,5,10,13,9,7,7,5,5,3,3,3,1,1,1,0,1,18,8,2,3,2,8,23,9,22,5,13,7,6,5,4,3,1,1,0,0,4,8,2,1,1,10,0,0,6,0,1,2,13,9,7,6,6,1,0,0,2,0,0,6,3,6,0,1,2,5,11,8,8,5,5,2,2,1,1,0,0,0,0,0,1,8,1,1,1,1,3,0,4,1,21,21,18,14,11,7,3,2,2,1,1,1,0,0,0,0,0,4,2,0,0,6,4,4,5,8,1,9,0,0,4,10,7,5,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,10,1,0,10,1,3,3,1,3,16,4,4,3,2,1,0,0,0,0,0,15,5,4,1,8,0,3,13,1,3,11,11,15,0,1,3,0,1,0,0,0,4,7,19,10,9,7,6,6,6,4,4,4,4,1,0,2,1,0,2,4,17,1,11,2,11,9,13,8,6,6,6,5,4,3,2,2,2,2,2,1,1,1,0,0,0,0,2,1,3,16,11,16,6,12,5,3,9,5,0,1,0,0,2,0,1,16,13,12,8,8,7,7,7,7,6,4,3,3,3,2,2,1,0,0,0,0,20,1,13,1,2,1,8,0,10,5,15,15,7,7,6,4,4,4,3,3,2,2,1,1,1,0,0,0,0,1,15,0,0,4,9,0,0,17,7,18,14,14,9,9,9,7,6,5,5,4,4,4,4,4,2,1,1,0,0,6,1,8,0,6,10,5,1,1,1,21,15,13,9,8,7,6,5,4,3,2,1,1,0,0,0,0,0,6,9,2,1,21,8,7,7,2,0,5,10,1,4,1,6,6,0,21,12,11,8,8,7,4,3,2,0,0,0,8,8,4,1,10,5,4,3,1,0,0,0,0,0,7,0,17,16,9,7,2,0,8,17,6,13,0,6,11,3,4,8,15,14,11,10,9,3,3,0,0,14,11,8,7,7,7,6,3,2,4,9,31,14,14,6,2,4,6,9,14,8,17,2,1,4,7,6,4,4,2,2,2,2,0,10,6,2,1,0,0,0,21,7,5,2,8,8,18,20,14,11,9,5,4,4,2,2,19,11,10,5,3,2,0,0,14,8,5,5,4,4,0,14,1,3,41,35,8,8,5,1,0,5,18,30,17,14,11,6,4,11,0,0,21,21,18,17,16,5,5,5,4,4,33,18,9,8,6,0,50,24,18,18,17,16,11,9,8,5,2,0,30,28,27,9,8,6,5,4,76,76,36,19,16,8,2,0,11,42,76,24,11,6,4,19,57,47,42,34,25,22,11,11,10,8,8,8,5,4,3,2,57,123,105,80,43,35,31,4,2,2,2,11,174,158,131,100,81,80,79,56,52,47,42,33,11,11,10,4,179,179,179,179,163,162,156,155,138,138,138,131,123,106,94,93,93,93,93,88,79,79,48,42,42,42,42,24,18,11,11,11
