30
red1
more
6_6___1__, 16, 1, [-0.9, 0.9, 2.9], [1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 4, 1, 1, 0, 0, 2, 1, 0, 5, 2, 2, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 2, 1, 4, 0, 2, 0, 0] (2, 10)
1_7___1__, 15, 1, [-0.5, 1.9, 4.3], [1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1, 3, 2, 0, 0, 2, 2, 2, 2, 5, 1, 3, 1, 0, 0, 2, 3, 0, 0, 4, 0, 0, 1, 4, 8, 4, 1, 1, 1] (2, 7)
4_7___1__, 15, 1, [-0.5, 1.4, 3.2], [4, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 2, 1, 1, 0, 0, 2, 1, 0, 2, 2, 0, 1, 1, 2, 2, 0, 1, 0, 0, 0, 1, 3, 1, 4, 0, 0, 1, 1, 5] (2, 7)
4_8___1__, 15, 1, [-1.8, 0.6, 3.1], [3, 2, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 1, 0, 0, 2, 1, 0, 5, 0, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 2, 3, 1, 3, 0, 0, 2, 0, 0] (2, 7)
12_7___1__, 15, 1, [-0.5, 1.4, 3.5], [4, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 2, 1, 1, 0, 0, 2, 1, 0, 5, 7, 4, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 1, 7, 1, 1, 1, 1] (2, 7)
17_9___1__, 15, 1, [-2.1, 0.2, 2.4], [1, 2, 1, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 2, 0, 2, 1, 0, 0, 1, 2, 0, 1, 2, 1, 3, 1, 0, 0, 2, 3, 1, 0, 3, 0, 1, 0, 0, 12] (2, 6)
3_7___1__, 14, 1, [-1.2, 1.2, 3.6], [1, 1, 3, 0, 1, 1, 2, 1, 0, 0, 2, 1, 1, 0, 0, 2, 2, 5, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3, 6, 0, 0, 0, 0, 4, 6, 1, 1] (2, 9)
6_2___1__, 14, 1, [-0.7, 1.5, 3.6], [3, 0, 1, 0, 0, 1, 0, 0, 2, 2, 0, 2, 1, 2, 0, 0, 1, 1, 0, 3, 1, 0, 1, 4, 3, 1, 0, 0, 2, 3, 1, 4, 0, 1, 0, 2, 3, 6, 3, 2] (2, 3)
7_7___1__, 14, 1, [0.0, 2.1, 4.3], [2, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 4, 0, 2, 1, 0, 1, 3, 0, 1, 4, 5, 0, 0, 6, 0, 5, 0, 0, 0, 0, 8, 5, 0, 1, 0, 0, 1] (2, 7)
7_9___1__, 14, 1, [-1.1, 1.2, 3.6], [1, 0, 3, 0, 0, 1, 1, 2, 1, 1, 3, 0, 1, 0, 0, 2, 1, 0, 5, 0, 1, 2, 1, 3, 0, 0, 0, 0, 3, 2, 0, 4, 0, 0, 1, 0, 0, 12, 1, 2] (2, 6)
7_10___1__, 14, 1, [-1.0, 1.1, 3.4], [1, 1, 2, 0, 0, 1, 1, 2, 1, 1, 3, 0, 1, 0, 0, 2, 1, 0, 5, 0, 1, 4, 3, 1, 0, 0, 3, 2, 0, 0, 3, 0, 0, 1, 0, 0, 5, 8, 3, 1] (2, 5)
8_2___1__, 14, 1, [-0.7, 1.4, 3.6], [1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 2, 0, 4, 2, 0, 2, 1, 0, 3, 1, 2, 3, 0, 3, 1, 0, 0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 3, 0] (2, 7)
9_10___1__, 14, 1, [-0.6, 1.5, 3.8], [3, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 3, 1, 0, 1, 2, 0, 0, 3, 1, 0, 0, 6, 1, 3, 0, 0, 0, 0, 0, 2, 3] (2, 4)
11_7___1__, 14, 1, [-0.4, 1.7, 3.9], [1, 1, 0, 2, 0, 1, 0, 0, 2, 1, 1, 4, 1, 0, 0, 2, 2, 2, 1, 0, 0, 1, 4, 4, 0, 0, 0, 6, 6, 0, 2, 0, 8, 3, 1, 1, 2, 1, 3, 0] (2, 12)
14_7___1__, 14, 1, [-1.8, 0.7, 3.0], [6, 0, 0, 1, 0, 0, 2, 0, 0, 1, 2, 1, 1, 0, 0, 2, 2, 2, 0, 1, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 5, 0, 6, 0, 0, 1, 13, 0, 0, 1] (2, 6)
16_7___1__, 14, 1, [-0.1, 1.7, 3.6], [4, 1, 0, 0, 1, 0, 0, 2, 0, 0, 1, 2, 3, 0, 0, 2, 2, 5, 0, 1, 4, 2, 0, 0, 0, 0, 0, 5, 0, 6, 0, 2, 4, 2, 0, 4, 0, 0, 1, 0] (2, 9)
17_2___1__, 14, 1, [-1.2, 1.1, 3.3], [3, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4, 2, 0, 0, 1, 2, 1, 0, 2, 0, 1, 4, 2, 0, 1, 0, 0, 2, 1, 1, 1, 4, 0, 1, 0, 0, 12, 3] (2, 8)
17_6___1__, 14, 1, [-0.7, 1.3, 3.3], [4, 1, 0, 0, 2, 0, 2, 0, 0, 1, 2, 1, 1, 0, 0, 2, 2, 5, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 1, 4, 0, 0, 1, 0, 5, 8, 5] (2, 7)
19_2___1__, 14, 1, [-0.8, 0.8, 2.4], [1, 1, 0, 2, 0, 1, 0, 0, 2, 2, 0, 2, 1, 2, 0, 0, 1, 1, 0, 1, 0, 2, 2, 3, 0, 2, 0, 1, 0, 0, 2, 1, 1, 0, 3, 1, 0, 1, 0, 2] (2, 5)
20_2___1__, 14, 0, [-0.3, 1.4, 3.2], [0, 3, 0, 1, 0, 0, 1, 0, 0, 2, 2, 0, 4, 2, 0, 0, 1, 1, 0, 1, 3, 2, 4, 3, 1, 0, 0, 4, 1, 1, 2, 1, 0, 1, 0, 0, 1, 3, 6, 3] (2, 6)
less
9_1___1__, 8, 8, [-0.1, 2.1, 4.3], [0, 0, 1, 1, 2, 1, 4, 4, 0, 2, 1, 0, 5, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 1, 0, 0, 1, 4, 7, 1, 2, 1, 3, 0] (2, 7)
16_3___1__, 8, 1, [-0.2, 2.4, 5.2], [6, 0, 0, 1, 1, 2, 3, 7, 0, 0, 1, 1, 0, 5, 2, 2, 1, 3, 1, 0, 0, 2, 3, 1, 4, 0, 1, 0, 15, 1, 4, 1, 1, 0, 0, 1, 3, 5, 3, 2] (2, 5)
