bravo1.A3_13,bravo1.D4_1,bravo3.D1_3,bravo1.A3_16,bravo2.A1_4,bravo3.A2_4,bravo2.D2_9,bravo1.D3_11,bravo2.A6_2,bravo3.A5_1,bravo3.A6_2,bravo3.A1_4,bravo2.A1_1,bravo3.A1_1,bravo2.A2_4,bravo3.A2_5,bravo2.D3_1,bravo2.A4_6,bravo2.A5_2,bravo2.A5_6,bravo2.D2_10,bravo3.A5_6,bravo1.D4_3,bravo3.D3_8,bravo1.D3_15,bravo3.A4_9,bravo1.D3_16,bravo2.D1_5,bravo2.D2_3,bravo1.D4_5,bravo2.D3_6,bravo1.A2_3,bravo2.A4_2,bravo1.D5_6,bravo2.D4_2,bravo2.D4_10,bravo1.A6_2,bravo1.A3_14,bravo1.A2_2,bravo3.A1_5,bravo3.D2_8,bravo1.D3_8,bravo1.D2_9,bravo3.D4_5,bravo2.D4_6,bravo3.D3_5,bravo3.D6_5,bravo1.D3_13,bravo3.D3_10,bravo1.A1_1,bravo1.D2_2,bravo2.D6_4,bravo3.A4_1,bravo3.D5_8,bravo1.A3_8,bravo1.D4_18,bravo1.D3_14,bravo2.A2_5,bravo2.A5_1,bravo2.A3_10,bravo2.D1_8,bravo1.A4_2,bravo2.A3_8,bravo1.A1_4,bravo1.A1_6,bravo3.A4_6,bravo2.A3_5,bravo3.D4_4,bravo1.A2_15,bravo3.D2_6,bravo2.A3_2,bravo2.D1_4,bravo2.D1_6,bravo3.D1_1,bravo2.A1_8,bravo3.A3_6,bravo3.A3_8,bravo3.D1_4,bravo3.D2_7,bravo2.A1_9,bravo3.D3_2,bravo1.A4_9,bravo2.D1_1,bravo1.A5_4,bravo1.D1_3,bravo2.A2_9,bravo3.A5_3,bravo1.A2_10,bravo1.A4_5,bravo2.D5_7,bravo3.A3_7,bravo3.D5_7,bravo1.A5_1,bravo1.A5_6,bravo2.D1_7,bravo3.D2_1,bravo3.D4_3,bravo1.A5_2,bravo3.A1_6,bravo1.A2_12,bravo2.A1_5,bravo1.D2_11,bravo1.A3_6,bravo3.A5_5,bravo2.A5_8,bravo3.A6_4,bravo2.A3_13,bravo2.D5_5,bravo2.D3_7,bravo3.D4_2,bravo2.D5_4,bravo2.D1_3,bravo1.D2_3,bravo2.A6_6,bravo2.D6_5,bravo2.D4_4,bravo3.D3_13,bravo3.D4_6,bravo1.A2_9,bravo1.D5_3,bravo1.D6_1,bravo2.A4_1,bravo2.D4_1,bravo3.A2_9,bravo1.A3_5,bravo1.A3_26,bravo1.D2_8,bravo1.D3_2,bravo1.D4_9,bravo1.D4_14,bravo2.A2_1,bravo2.A2_8,bravo2.D4_7,bravo2.A6_4,bravo3.D2_11,bravo1.A4_8,bravo3.D6_4,bravo3.D4_7,bravo2.D2_2,bravo1.D1_6,bravo3.D3_4,bravo2.A3_6,bravo2.D2_6,bravo1.D4_16,bravo1.D2_6,bravo3.A4_4,bravo2.A1_6,bravo2.D2_14,bravo2.D5_2,bravo3.A3_9,bravo3.D5_10,bravo3.D1_2,bravo1.A1_2,bravo1.A1_3,bravo1.A3_17,bravo1.D3_12,bravo3.A1_3,bravo3.A2_1,bravo3.D1_6,bravo2.A5_4,bravo2.A3_9,bravo1.D1_2,bravo1.A6_1,bravo1.D4_17,bravo3.A5_4,bravo1.A5_3,bravo3.A3_12,bravo3.A3_13,bravo1.A4_16,bravo3.D3_7,bravo1.A5_12,bravo2.A6_3,bravo2.D3_8,bravo1.A2_8,bravo1.D1_1,bravo1.D2_13,bravo2.D4_3,bravo1.A1_5,bravo1.A4_3,bravo2.D6_7,bravo2.A2_12,bravo1.A4_4,bravo3.D4_8,bravo3.D3_1,bravo1.D3_6,bravo1.D5_5,bravo2.D3_3,bravo2.A5_3,bravo3.A2_8,bravo3.A2_12,bravo1.D3_3,bravo2.D4_5,bravo3.D4_1,bravo1.D5_9,bravo2.A2_10,bravo2.A3_4,bravo3.A5_2,bravo3.A6_3,bravo3.D5_3,bravo1.A4_11,bravo1.D3_20,bravo1.D3_23,bravo1.D5_2,bravo2.A2_7,bravo2.A4_5,bravo3.A3_2,bravo1.A4_24,bravo1.A3_24,bravo1.D2_12,bravo2.D1_9,bravo1.A3_19,bravo2.D3_11,bravo2.D6_6,bravo1.A2_14,bravo3.A2_3,bravo2.A6_1,bravo3.A4_2,bravo3.A6_1,bravo2.D3_15,bravo3.D6_3,bravo2.D3_4,bravo1.A2_4,bravo3.D6_1,bravo2.D2_7,bravo2.D5_3,bravo3.A6_6,bravo2.A4_10,bravo2.D2_4,bravo2.D3_5,bravo3.D2_2,bravo2.D5_1,bravo3.A3_4,bravo1.A3_10,bravo2.A2_6,bravo2.D3_10,bravo1.A3_21,bravo1.D4_19,bravo1.A3_3,bravo1.D3_1,bravo1.A4_6,bravo3.D6_6,bravo1.A3_18,bravo1.D5_12,bravo3.A3_1,bravo3.D2_3,bravo1.A2_6,bravo2.D3_12,bravo2.D5_11,bravo2.D3_16,bravo3.A4_10,bravo1.A4_1,bravo1.D2_5,bravo1.D4_7,bravo3.D6_2,bravo1.D1_11,bravo1.D4_10,bravo2.D2_12,bravo1.A2_13,bravo1.A3_4,bravo1.D4_4,bravo2.A1_2,bravo2.A1_3,bravo2.D1_12,bravo2.D3_13,bravo3.A1_2,bravo3.A2_7,bravo2.A4_9,bravo1.A4_23,bravo2.D2_1,bravo2.A6_5,bravo1.D3_10,bravo1.A3_11,bravo2.A4_14,bravo3.A3_3,bravo3.D2_10,bravo3.D2_9,bravo3.A4_15,bravo2.A5_5,bravo3.A3_5,bravo1.D2_16,bravo3.A3_15,bravo1.A3_23,bravo1.D2_1,bravo2.A4_4,bravo2.D6_1,bravo1.A1_11,bravo1.D2_15,bravo2.A2_13,bravo2.D4_8,bravo3.D1_5,bravo3.D2_4,bravo1.A3_7,bravo1.A3_12,bravo1.A4_22,bravo1.A4_19,bravo1.D5_4,bravo1.D3_5,bravo1.D4_13,bravo2.D3_2,bravo1.D3_21,bravo2.A4_7,bravo3.D5_5,bravo1.D1_10,bravo1.D5_1,bravo3.D3_6,bravo1.D3_9,bravo3.A3_10,bravo2.D5_8,bravo1.A5_7,bravo1.D5_10,bravo1.D6_2,bravo2.D4_13,bravo1.A4_10,bravo2.D2_11,bravo1.A4_13,bravo1.D2_21,bravo1.D3_24,bravo2.D3_14,bravo2.D4_12,bravo1.A2_18,bravo1.A4_7,bravo2.A3_3,bravo2.D2_8,bravo3.D1_8,bravo1.A2_5,bravo2.A3_12,bravo3.D5_1,bravo1.A2_1,bravo1.D1_4,bravo1.D2_17,bravo1.D3_4,bravo1.D3_19,bravo1.D3_25,bravo2.A3_7,bravo2.D2_13,bravo3.D3_14,bravo1.A3_15,bravo1.D5_8,bravo3.A5_8,bravo3.D5_4,bravo1.A4_14,bravo3.A4_3,bravo2.A2_3,bravo1.D4_20,bravo1.A4_12,bravo3.A4_7,bravo3.A4_12,bravo2.D4_15,bravo2.A4_8,bravo3.D5_2,bravo1.D6_3,bravo2.A1_10,bravo1.A2_16,bravo2.A1_7,bravo2.D5_10,bravo2.D6_8,bravo1.A1_7,bravo1.A3_25,bravo1.D2_18,bravo3.D2_12,bravo3.D1_7,bravo3.D3_12,bravo1.D2_4,bravo1.D5_7,bravo3.A4_8,bravo2.A5_7,bravo3.A5_7,bravo3.A4_14,bravo1.D2_10,bravo2.D4_14,bravo3.A1_8,bravo3.D3_15,bravo1.D4_6,bravo1.A3_20,bravo2.A3_11,bravo1.A3_2,bravo1.D3_18,bravo2.A3_1,bravo2.A5_13,bravo1.D4_2,bravo1.A2_19,bravo1.D1_7,bravo2.D6_2,bravo2.D2_5,bravo1.A2_21,bravo2.A4_3,bravo1.A5_8,bravo3.A4_5,bravo3.D6_7,bravo1.A2_7,bravo1.A4_20,bravo1.D1_8,bravo3.A2_2,bravo3.D3_3,bravo1.A5_10,bravo1.A2_11,bravo3.D4_14,bravo3.D5_9,bravo3.A2_10,bravo2.A4_11,bravo1.D3_7,bravo2.A2_11,bravo3.D4_11,bravo1.A3_1,bravo2.A3_15,bravo1.A1_10,bravo1.D5_11,bravo2.A4_12,bravo2.D3_9,bravo3.D1_9,bravo1.D3_17,bravo2.D5_9,bravo1.D2_19,bravo3.D4_9,bravo1.A4_15,bravo2.A2_2,bravo3.A2_6,bravo1.A2_20,bravo3.D4_10,bravo1.A4_26,bravo3.A6_5,bravo1.D2_7,bravo3.A1_7,bravo1.A5_13,bravo1.D4_12,bravo1.D4_22,bravo2.A6_7,bravo3.A5_11,bravo3.D2_5,bravo3.D3_11,bravo2.A6_9,bravo2.A4_15,bravo1.A3_22,bravo1.D4_23,bravo1.D4_21,bravo2.A1_13,bravo1.A5_5,bravo1.D4_25,bravo3.D5_6,bravo1.D6_4,bravo2.A2_15,bravo3.D4_13,bravo1.A5_11,bravo1.D2_14,bravo2.A3_16,bravo1.A4_18,bravo1.D3_22,bravo1.D1_5,bravo3.A3_11,bravo3.D3_9,bravo2.D1_10,bravo3.A2_11,bravo1.D3_27,bravo1.A3_27,bravo2.A1_12,bravo3.D5_11,bravo1.A5_16,bravo2.A2_14,bravo3.A4_11,bravo3.A4_13,bravo1.A6_3,bravo3.D5_12,bravo2.A5_9,bravo2.D1_13,bravo2.A3_14,bravo1.A4_17,bravo2.A4_16,bravo1.A4_25,bravo3.A1_9,bravo1.D4_26,bravo1.A3_9,bravo1.D4_15,bravo2.A3_17,bravo1.D3_26,bravo2.A1_11,bravo2.D5_6,bravo3.A3_16,bravo1.D5_14,bravo3.A3_14,bravo3.D4_12,bravo1.D1_12,bravo1.D1_9,bravo1.A5_15,bravo2.D5_12,bravo1.D2_20,bravo2.D5_14,bravo3.D4_15,bravo1.A4_21,bravo1.D4_24,bravo1.D4_11,bravo2.A5_10,bravo2.D1_2,bravo3.A6_8,bravo1.A1_9,bravo1.D4_8,bravo3.D2_13,bravo3.D3_16,bravo1.A6_4,bravo2.D2_16,bravo2.D4_11,bravo2.A4_13,bravo2.D6_3,bravo3.D4_16,bravo2.D6_9,bravo1.A5_9,bravo3.A5_10,bravo1.A1_12,bravo1.D1_13,bravo3.A3_17,bravo1.D4_27,bravo2.D3_17,bravo3.A5_9,bravo3.D2_14,bravo3.A6_7,bravo2.A2_16,bravo2.A2_17,bravo2.A5_11,bravo1.D5_15,bravo3.D6_8,bravo1.A1_8,bravo2.A6_8,bravo2.D6_10,bravo2.D1_11,bravo1.D5_16,bravo1.A2_17,bravo1.A5_14,bravo3.A2_14,bravo1.D2_22,bravo2.D4_9,bravo2.A4_17,bravo3.D3_17,bravo1.A5_18,bravo2.A3_18,bravo2.D1_14,bravo2.D1_15,bravo3.A4_16,bravo3.A6_9,bravo1.D3_28,bravo2.A1_15,bravo1.A5_17,bravo1.D5_13,bravo1.D1_14,bravo2.A6_10,bravo1.D5_17,bravo3.A2_13,bravo1.D6_5,bravo2.A1_14,bravo3.D4_17,bravo2.D2_15,bravo1.A1_14,bravo2.A5_12,bravo3.A5_13,bravo3.D1_10,bravo2.D4_16,bravo2.D2_17,bravo3.A1_10,bravo1.D5_18,bravo1.A6_7,bravo2.D5_13,bravo2.D6_12,bravo3.D5_13,bravo1.D5_19,bravo3.D3_18,bravo1.A3_28,bravo2.D6_11,bravo3.A5_12,bravo1.D1_15,bravo3.A4_17,bravo1.D5_20,bravo2.D1_16,bravo2.A3_19,bravo1.A1_13,bravo1.A6_6,bravo1.A2_22,bravo1.D6_8,bravo2.D4_17,bravo1.A5_19,bravo2.D3_18,bravo1.A6_5,bravo2.A5_15,bravo2.A2_18,bravo2.A5_14,bravo1.A4_27,bravo1.D6_6,bravo3.A3_18,bravo1.A4_28,bravo1.A6_8,bravo1.D6_7,bravo3.D6_9,bravo2.A4_18,bravo3.A2_15,bravo1.A5_20,bravo2.D5_15,bravo2.A6_12,bravo3.A4_18,bravo1.A1_15,bravo3.A3_20,bravo2.D5_16,bravo3.D3_19,bravo2.A5_17,bravo2.A6_13,bravo3.A2_16,bravo2.D2_18,bravo2.A3_20,bravo2.A4_19,bravo1.A6_9,bravo1.A6_10,bravo1.D6_11,bravo1.D6_10,bravo2.A6_11,bravo2.D3_19,bravo2.D5_17,bravo3.A4_19,bravo2.D2_19,bravo2.A1_16,bravo3.A3_19,bravo1.D5_21,bravo1.A6_11,bravo2.D4_18,bravo1.A5_21,bravo2.A1_17,bravo2.D5_18,bravo2.D1_17,bravo3.D4_19,bravo1.D6_12,bravo3.D5_15,bravo3.A1_11,bravo1.D6_9,bravo2.A5_18,bravo2.D4_19,bravo3.D1_11,bravo1.A2_23,bravo3.D2_15,bravo3.D5_14,bravo2.A2_19,bravo2.D6_14,bravo3.D6_10,bravo2.D3_20,bravo2.A4_20,bravo1.D4_28,bravo3.D4_18,bravo1.D2_23,bravo2.D2_20,bravo3.A5_15,bravo2.A5_16,bravo1.A1_16,bravo2.A6_14,bravo1.A6_12,bravo2.D6_13,bravo3.A1_12,bravo3.D1_12,bravo2.A3_21,bravo1.A1_17,bravo2.A2_20,bravo2.D1_18,bravo3.A6_11,bravo3.A5_14,bravo1.D1_16,bravo3.D3_20,bravo2.A2_22,bravo3.D6_11,bravo2.D2_21,bravo2.A1_19,bravo1.D5_22,bravo2.A2_21,bravo2.A5_19,bravo2.D6_15,bravo2.D4_20,bravo3.D4_20,bravo1.A6_14,bravo3.A6_10,bravo3.A4_21,bravo3.D2_16,bravo1.D2_24,bravo2.D3_21,bravo1.D6_14,bravo3.A3_21,bravo3.D5_16,bravo1.A5_22,bravo1.A6_15,bravo1.D1_17,bravo2.D1_19,bravo1.D6_15,bravo2.A4_21,bravo2.D4_21,bravo3.D4_21,bravo1.A2_24,bravo2.A5_20,bravo2.A1_22,bravo2.A1_23,bravo3.D3_21,bravo2.D1_20,bravo2.A1_20,bravo2.A1_21,bravo2.A6_15,bravo2.A6_17,bravo2.D6_17,bravo3.D5_17,bravo2.D6_16,bravo2.A5_21,bravo3.A4_20,bravo3.A5_18,bravo3.A5_16,bravo1.A6_16,bravo2.D4_22,bravo1.A6_13,bravo2.A3_22,bravo1.D6_13,bravo2.A6_16,bravo3.A5_17,bravo3.D2_17,bravo2.D6_18
3,5,37,3,3,1,6,1,1,1,1,3,2,2,1,1,8,4,2,2,2,2,11,6,4,4,3,1,13,11,10,6,6,3,3,3,1,1,0,0,0,32,15,11,8,6,4,3,3,2,2,2,2,2,1,1,1,1,1,0,11,10,7,5,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,25,9,8,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,0,0,24,18,18,15,14,11,10,7,7,6,5,4,4,4,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1,0,0,17,14,13,7,7,7,6,5,5,4,4,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,16,10,9,8,8,7,6,6,5,3,3,2,2,1,0,0,0,25,23,12,12,11,10,8,7,5,5,5,4,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,24,17,14,12,10,8,8,8,7,7,6,5,5,4,4,4,3,3,3,3,2,2,0,0,0,32,23,16,14,12,9,6,6,6,6,5,5,4,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,24,23,22,18,17,12,11,11,11,10,8,7,7,6,6,5,5,5,5,4,4,4,4,4,3,2,2,2,1,1,0,0,0,21,17,15,12,11,10,9,9,8,7,6,5,5,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,18,16,15,13,11,11,10,8,7,7,7,5,4,4,3,2,1,1,1,1,0,0,0,0,0,0,16,16,16,15,15,14,12,12,11,11,9,8,8,7,7,6,6,5,4,3,3,3,2,2,1,1,1,0,0,0,0,0,32,24,20,18,13,11,8,7,6,5,5,3,3,3,3,3,2,2,1,1,0,0,0,27,16,11,10,6,5,4,4,2,2,2,1,1,15,14,12,12,11,11,7,7,7,6,6,5,3,3,3,2,2,1,1,1,11,11,7,6,6,6,4,4,4,3,2,2,1,37,30,24,20,16,15,12,11,11,11,7,7,7,7,5,3,3,2,0,16,10,6,5,5,3,3,2,2,2,2,1,0,0,25,16,13,11,6,6,6,4,3,1,0,0,0,18,16,12,7,5,3,3,3,2,2,0,8,8,7,5,3,3,2,1,1,3,3,2,0,0,0,22,18,5,2,1,1,0,26,18,12,8,7,2,0,27,14,13,13,8,7,6,4,3,2,2,2,1,1,20,19,14,11,6,2,2,27,23,16,5,3,2,1,1,18,18,14,13,5,1,27,5,5,5,4,46,30,18,18,6,3,0,33,22,6,3,3,3,34,33,23,6,6,2,2,2,2,2,2,0,43,29,28,22,18,16,3,2,59,56,29,29,24,9,2,2,88,74,47,44,42,35,29,23,3,2,2,0,0,24,20,14,6,2,2,60,44,42,40,40,34,24,20,14,2,161,95,81,42,34,34,29,29,22,22,18,6,3,3,0,169,118,118,117,71,49,40,11,9,2,2,2,196,194,176,176,176,161,144,138,132,131,131,131,119,80,80,80,62,49,49,48,33,24,18,3,3,-1
2,4,36,2,2,0,5,0,0,0,0,2,1,1,0,0,7,3,1,1,1,1,10,5,3,3,2,0,12,10,9,5,5,2,2,2,0,0,0,0,0,31,14,10,7,5,3,2,2,1,1,1,1,1,0,0,0,0,0,0,10,9,6,4,3,3,2,2,1,1,0,0,0,0,4,3,9,8,0,24,8,7,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,23,17,17,14,13,10,9,6,6,5,4,3,3,3,3,3,3,2,1,1,1,1,1,0,0,0,0,0,0,2,1,16,13,12,6,6,6,5,4,4,3,3,2,2,1,0,0,0,0,0,0,12,0,0,4,2,2,9,15,9,8,7,7,6,5,5,4,2,2,1,1,0,3,22,2,24,22,11,11,10,9,7,6,4,4,4,3,3,3,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,0,22,23,16,13,11,9,7,7,7,6,6,5,4,4,3,3,3,2,2,2,2,1,1,1,10,0,31,22,15,13,11,8,5,5,5,5,4,4,3,2,2,1,1,1,1,0,0,0,21,5,3,12,2,5,3,12,0,23,22,21,17,16,11,10,10,10,9,7,6,6,5,5,4,4,4,4,3,3,3,3,3,2,1,1,1,0,0,3,2,20,20,16,14,11,10,9,8,8,7,6,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,12,5,4,2,1,5,2,11,2,17,15,14,12,10,10,9,7,6,6,6,4,3,3,2,1,0,0,0,0,11,2,10,33,3,6,15,15,15,14,14,13,11,11,10,10,8,7,7,6,6,5,5,4,3,2,2,2,1,1,0,0,0,3,0,3,2,19,31,23,19,17,12,10,7,6,5,4,4,2,2,2,2,2,1,1,0,0,0,2,14,26,15,10,9,5,4,3,3,1,1,1,0,0,14,13,11,11,10,10,6,6,6,5,5,4,2,2,2,1,1,0,0,0,10,10,6,5,5,5,3,3,3,2,1,1,0,36,29,23,19,15,14,11,10,10,10,6,6,6,6,4,2,2,1,22,15,9,5,4,4,2,2,1,1,1,1,0,2,5,24,15,12,10,5,5,5,3,2,0,2,10,13,17,15,11,6,4,2,2,2,1,1,24,7,7,6,4,2,2,1,0,0,2,2,1,14,6,2,21,17,4,1,0,0,2,25,17,11,7,6,1,0,26,13,12,12,7,6,5,3,2,1,1,1,0,0,19,18,13,10,5,1,1,26,22,15,4,2,1,0,0,17,17,13,12,4,0,26,4,4,4,3,45,29,17,17,5,2,23,32,21,5,2,2,2,33,32,22,5,5,1,1,1,1,1,1,2,42,28,27,21,17,15,2,1,58,55,28,28,23,8,1,1,87,73,46,43,41,34,28,22,2,1,1,21,2,23,19,13,5,1,1,59,43,41,39,39,33,23,19,13,1,160,94,80,41,33,33,28,28,21,21,17,5,2,2,68,168,117,117,116,70,48,39,10,8,1,1,1,195,193,175,175,175,160,143,137,131,130,130,130,118,79,79,79,61,48,48,47,32,23,17,2,2,-1
1,3,35,1,1,9,4,4,0,0,0,1,0,0,7,6,6,2,0,0,0,0,9,4,2,2,1,4,11,9,8,4,4,1,1,1,0,2,1,8,2,30,13,9,6,4,2,1,1,0,0,0,0,0,14,2,12,6,0,2,9,8,5,3,2,2,1,1,0,0,4,1,2,9,3,2,8,7,2,23,7,6,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,2,10,8,22,16,16,13,12,9,8,5,5,4,3,2,2,2,2,2,2,1,0,0,0,0,0,1,1,0,4,2,5,1,0,15,12,11,5,5,5,4,3,3,2,2,1,1,0,2,9,9,2,2,3,11,1,3,3,1,1,8,14,8,7,6,6,5,4,4,3,1,1,0,0,4,2,21,1,23,21,10,10,9,8,6,5,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,3,9,20,12,11,0,0,2,2,10,21,22,15,12,10,8,6,6,6,5,5,4,3,3,2,2,2,1,1,1,1,0,0,0,9,11,30,21,14,12,10,7,4,4,4,4,3,3,2,1,1,0,0,0,0,5,4,2,20,4,2,11,1,4,2,11,9,22,21,20,16,15,10,9,9,9,8,6,5,5,4,4,3,3,3,3,2,2,2,2,2,1,0,0,0,2,8,2,1,19,19,15,13,10,9,8,7,7,6,5,4,3,3,2,2,1,1,1,1,1,0,0,0,0,0,7,1,1,11,4,3,1,0,4,1,10,1,16,14,13,11,9,9,8,6,5,5,5,3,2,2,1,0,4,2,3,0,10,1,9,32,2,5,14,14,14,13,13,12,10,10,9,9,7,6,6,5,5,4,4,3,2,1,1,1,0,0,6,0,0,2,11,2,1,18,30,22,18,16,11,9,6,5,4,3,3,1,1,1,1,1,0,0,3,1,2,1,13,25,14,9,8,4,3,2,2,0,0,0,10,3,13,12,10,10,9,9,5,5,5,4,4,3,1,1,1,0,0,1,1,23,9,9,5,4,4,4,2,2,2,1,0,0,8,35,28,22,18,14,13,10,9,9,9,5,5,5,5,3,1,1,0,21,14,8,4,3,3,1,1,0,0,0,0,9,1,4,23,14,11,9,4,4,4,2,1,6,1,9,12,16,14,10,5,3,1,1,1,0,0,23,6,6,5,3,1,1,0,27,4,1,1,0,13,5,1,20,16,3,0,11,6,1,24,16,10,6,5,0,4,25,12,11,11,6,5,4,2,1,0,0,0,0,0,18,17,12,9,4,0,0,25,21,14,3,1,0,16,0,16,16,12,11,3,2,25,3,3,3,2,44,28,16,16,4,1,22,31,20,4,1,1,1,32,31,21,4,4,0,0,0,0,0,0,1,41,27,26,20,16,14,1,0,57,54,27,27,22,7,0,0,86,72,45,42,40,33,27,21,1,0,0,20,1,22,18,12,4,0,0,58,42,40,38,38,32,22,18,12,0,159,93,79,40,32,32,27,27,20,20,16,4,1,1,67,167,116,116,115,69,47,38,9,7,0,0,0,194,192,174,174,174,159,142,136,130,129,129,129,117,78,78,78,60,47,47,46,31,22,16,1,1,-1
0,2,34,0,0,8,3,3,1,1,1,0,4,4,6,5,5,1,2,2,8,2,8,3,1,1,0,3,10,8,7,3,3,0,0,0,1,1,0,7,1,29,12,8,5,3,1,0,0,4,4,4,4,4,13,1,11,5,1,1,8,7,4,2,1,1,0,0,13,4,3,0,1,8,2,1,7,6,1,22,6,5,2,1,1,1,1,0,0,0,0,0,1,11,1,14,3,2,1,9,7,21,15,15,12,11,8,7,4,4,3,2,1,1,1,1,1,1,0,1,9,7,11,1,0,0,6,3,1,4,0,1,14,11,10,4,4,4,3,2,2,1,1,0,0,2,1,8,8,1,1,2,10,0,2,2,0,0,7,13,7,6,5,5,4,3,3,2,0,0,6,2,3,1,20,0,22,20,9,9,8,7,5,4,2,2,2,1,1,1,0,0,0,0,9,5,7,2,3,2,8,19,11,10,8,3,1,1,9,20,21,14,11,9,7,5,5,5,4,4,3,2,2,1,1,1,0,0,0,0,0,0,0,8,10,29,20,13,11,9,6,3,3,3,3,2,2,1,0,0,2,8,0,3,4,3,1,19,3,1,10,0,3,1,10,8,21,20,19,15,14,9,8,8,8,7,5,4,4,3,3,2,2,2,2,1,1,1,1,1,0,22,11,0,1,7,1,0,18,18,14,12,9,8,7,6,6,5,4,3,2,2,1,1,0,0,0,0,0,8,2,18,14,0,6,0,0,10,3,2,0,0,3,0,9,0,15,13,12,10,8,8,7,5,4,4,4,2,1,1,0,2,3,1,2,12,9,0,8,31,1,4,13,13,13,12,12,11,9,9,8,8,6,5,5,4,4,3,3,2,1,0,0,0,4,15,5,16,5,1,10,1,0,17,29,21,17,15,10,8,5,4,3,2,2,0,0,0,0,0,11,21,2,0,1,0,12,24,13,8,7,3,2,1,1,2,2,0,9,2,12,11,9,9,8,8,4,4,4,3,3,2,0,0,0,6,12,0,0,22,8,8,4,3,3,3,1,1,1,0,2,1,7,34,27,21,17,13,12,9,8,8,8,4,4,4,4,2,0,0,10,20,13,7,3,2,2,0,0,11,3,0,12,8,0,3,22,13,10,8,3,3,3,1,0,5,0,8,11,15,13,9,4,2,0,0,0,1,9,22,5,5,4,2,0,0,0,26,3,0,0,3,12,4,0,19,15,2,0,10,5,0,23,15,9,5,4,13,3,24,11,10,10,5,4,3,1,0,1,3,15,13,3,17,16,11,8,3,13,0,24,20,13,2,0,13,15,3,15,15,11,10,2,1,24,2,2,2,1,43,27,15,15,3,0,21,30,19,3,0,0,0,31,30,20,3,3,5,3,2,3,25,20,0,40,26,25,19,15,13,0,15,56,53,26,26,21,6,15,3,85,71,44,41,39,32,26,20,0,2,18,19,0,21,17,11,3,0,25,57,41,39,37,37,31,21,17,11,20,158,92,78,39,31,31,26,26,19,19,15,3,0,0,66,166,115,115,114,68,46,37,8,6,77,53,46,193,191,173,173,173,158,141,135,129,128,128,128,116,77,77,77,59,46,46,45,30,21,15,0,0,-1
