Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
23061,20230530,1,5,1,1,11,1,1,4,2,1,15
23061,20230530,0,3,2,1,4,4,2,3,7,2,8
23061,20230530,1,3,2,1,3,4,1,3,7,2,9
23061,20230530,1,2,2,0,2,4,2,3,6,2,7
23061,20230530,1,1,2,0,2,3,2,3,5,0,6
23061,20230530,2,4,2,0,3,2,1,3,5,0,6
