Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230806,23090,10,7,9,1,6,35,9,0,32,30,32,28,35,1,7,17,4,1,3,7,2
20230808,23091,24,5,0,0,8,35,7,0,48,16,50,10,48,4,2,4,4,2,2,2,16
20230808,400_1,7,9,10,1,3,33,12,0,30,24,29,21,27,0,4,10,6,1,3,8,3
20230808,400_2,3,12,14,2,0,21,26,1,27,23,27,13,24,4,2,5,4,5,3,13,9
20230808,400_3,2,13,16,3,0,21,26,1,29,23,27,15,25,3,4,4,5,4,3,11,10
20230808,400_4,5,12,12,2,0,23,24,1,26,22,28,17,26,3,4,6,6,1,3,12,5
20230808,400_5,6,11,12,2,0,25,23,1,23,20,27,15,27,4,5,4,5,0,2,11,6
20230808,600_1,3,12,12,2,2,22,24,0,30,23,29,19,34,1,6,10,2,1,2,6,6
20230808,600_2,1,14,14,4,0,20,27,1,24,21,25,10,25,5,3,3,3,5,3,11,9
20230808,600_3,2,15,12,4,1,17,29,2,24,21,25,11,26,5,4,4,3,4,2,11,8
20230808,600_4,3,13,11,3,0,20,27,2,27,23,27,14,29,4,6,3,4,4,2,10,5
20230808,600_5,2,14,12,4,0,23,24,1,27,21,30,12,31,6,5,2,4,2,2,9,5
20230808,1000_1,5,9,8,0,2,29,16,1,28,21,28,19,31,1,4,13,1,1,1,6,5
20230808,1000_2,2,16,11,2,0,20,24,3,24,17,22,9,24,2,3,3,2,4,2,9,8
20230808,1000_3,2,16,10,2,0,20,24,4,24,19,21,11,22,2,4,4,3,5,2,12,10
20230808,1000_4,5,12,8,0,0,22,23,2,29,17,27,11,28,2,4,4,3,4,2,6,6
20230808,1000_5,4,13,8,1,0,21,26,2,30,17,29,10,30,2,3,4,2,4,2,5,5
