Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
23057,20230521,2,7,1,1,7,6,4,6,3,4,10
23057,20230521,5,2,4,5,7,2,5,5,3,4,5
23057,20230521,5,1,4,4,7,2,6,5,4,5,6
23057,20230521,5,2,4,4,6,3,6,6,3,7,6
23057,20230521,5,1,4,4,6,3,5,6,3,7,6
23057,20230521,6,1,3,4,7,2,5,7,4,6,7
