Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240206,24016,12,11,3,0,3,39,7,1,128,40,26,44,20,44,5,8,4,8,1,2,8,4,8
20240218,24017,3,14,15,5,0,29,20,1,117,36,28,42,8,39,13,2,1,5,7,2,16,4,4
20240218,100_1,12,8,3,-1,7,33,7,0,111,35,26,36,15,37,5,8,4,4,3,2,4,8,6
20240218,100_2,7,12,6,0,5,29,12,1,111,34,24,35,15,38,3,6,9,2,3,2,6,9,10
20240218,100_3,9,9,3,1,4,29,15,1,121,37,25,40,14,44,6,7,6,1,4,2,6,7,10
20240218,100_4,9,11,4,0,3,28,17,2,103,34,22,33,12,36,3,4,9,0,5,2,5,9,12
20240218,100_5,7,13,6,0,4,28,15,2,100,33,23,32,13,35,3,3,8,1,5,2,4,13,14
20240218,200_1,11,10,4,4,2,37,9,1,88,33,26,30,16,22,3,1,5,9,6,3,9,4,10
20240218,200_2,9,12,5,1,1,36,10,2,110,35,27,37,16,34,6,2,8,5,4,3,6,5,11
20240218,200_3,11,9,5,1,3,36,8,1,123,37,26,43,15,41,9,3,6,5,1,1,3,7,6
20240218,200_4,8,10,9,3,2,32,14,1,107,33,27,36,15,35,7,4,5,5,4,2,6,6,7
20240218,200_5,5,12,11,4,3,26,16,3,88,29,22,26,12,28,3,4,4,3,5,2,3,10,8
20240218,300_1,7,11,6,4,3,34,11,0,100,34,25,34,15,30,5,4,2,8,4,3,5,10,11
20240218,300_2,7,13,4,1,1,34,12,0,100,32,26,32,13,34,6,5,5,3,6,3,6,11,13
20240218,300_3,7,13,6,5,2,35,11,0,114,38,27,35,17,39,3,9,2,5,6,3,10,9,9
20240218,300_4,9,10,5,3,3,34,11,0,92,34,29,29,15,28,3,5,4,5,9,2,10,10,11
20240218,300_5,7,10,6,2,4,34,10,0,88,34,27,25,10,27,4,5,3,2,12,2,8,15,12
