Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240604,24063,1,4,4,2,0,6,12,2,120,39,25,42,14,39,7,2,7,5,4,4,5,4,5
20240606,100_1,2,4,3,0,0,9,9,1,121,39,26,42,12,39,9,1,3,4,5,2,3,6,7
20240606,100_2,1,6,3,1,0,8,10,0,123,41,25,40,14,37,5,2,5,4,5,2,3,9,9
20240606,100_3,1,5,3,2,0,6,11,1,122,40,24,42,13,38,6,2,2,7,4,2,4,9,5
20240606,100_4,1,4,3,2,0,7,10,1,124,40,25,44,13,39,7,2,3,7,4,2,4,8,6
20240606,100_5,0,6,4,2,0,7,10,1,122,40,24,41,13,39,6,4,2,6,5,2,4,11,8
20240606,200_1,4,2,2,0,1,9,8,1,106,34,26,35,12,35,7,4,4,4,6,1,1,8,3
20240606,200_2,3,3,4,1,0,10,7,1,111,35,27,37,13,37,8,3,4,4,5,2,3,3,2
20240606,200_3,3,5,2,1,0,8,9,1,111,34,24,37,14,38,7,5,5,4,3,2,3,4,7
20240606,200_4,5,4,1,1,0,9,9,0,100,32,23,33,12,34,6,4,4,3,4,1,2,3,10
20240606,200_5,1,5,4,2,0,8,10,0,117,34,25,39,13,41,8,5,3,3,3,3,5,2,6
20240606,300_1,1,4,3,1,0,8,9,2,104,32,26,35,14,34,7,4,4,5,5,3,4,7,4
20240606,300_2,2,4,3,1,0,9,9,1,120,38,25,39,14,40,6,4,5,3,5,2,3,8,6
20240606,300_3,2,5,4,1,0,9,9,1,109,34,25,36,12,36,8,3,4,3,5,2,3,8,7
20240606,300_4,2,5,3,1,0,11,8,0,99,32,24,33,9,32,8,2,3,3,6,1,2,9,6
20240606,300_5,1,5,5,1,0,8,10,0,120,36,24,40,11,41,9,4,3,3,4,2,4,6,6
