Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20230530,23061,4,14,10,2,3,24,21,2,23,21,16,8,17,3,2,5,1,10,3,14,15
20230601,23062,11,10,7,2,0,43,7,0,44,22,45,7,47,8,4,1,2,7,4,6,15
20230601,400_1,2,13,9,6,1,29,18,0,35,25,36,15,26,5,1,3,10,4,4,15,5
20230601,400_2,3,10,9,4,0,26,21,1,36,25,38,18,28,4,2,4,11,2,4,17,4
20230601,400_3,1,12,14,8,0,27,19,1,34,23,36,16,26,4,1,4,10,2,4,16,6
20230601,400_4,2,11,11,7,0,22,25,1,35,25,36,17,27,4,1,3,11,3,4,17,5
20230601,400_5,2,12,12,7,0,21,27,0,38,25,41,14,32,6,1,2,9,4,4,13,6
20230601,600_1,7,12,6,5,3,33,12,0,35,22,30,13,25,2,1,5,6,6,3,15,3
20230601,600_2,8,10,6,2,1,31,14,1,37,22,33,13,26,2,0,5,7,6,2,12,1
20230601,600_3,5,12,10,4,2,31,13,3,38,23,36,15,30,2,1,6,8,4,2,7,5
20230601,600_4,6,10,8,3,1,29,16,2,38,23,38,13,29,5,0,2,10,5,2,8,3
20230601,600_5,5,12,11,5,1,29,16,2,40,23,41,13,33,5,0,3,9,4,2,7,4
20230601,1000_1,2,14,13,4,3,29,15,0,37,26,31,16,29,1,3,6,6,8,3,20,3
20230601,1000_2,2,14,11,3,2,30,15,1,37,25,32,16,32,2,5,5,5,7,3,18,4
20230601,1000_3,1,16,13,4,1,26,19,2,35,21,33,16,31,1,3,5,6,3,3,16,3
20230601,1000_4,1,14,12,3,1,28,18,1,33,25,31,15,27,3,3,5,7,6,3,13,4
20230601,1000_5,4,13,12,2,1,29,17,0,35,27,38,15,30,7,2,3,10,4,3,11,6
