bravo1.A3_13,bravo1.D4_1,bravo1.A3_16,bravo3.D1_3,bravo2.D2_9,bravo2.A1_4,bravo3.A2_4,bravo2.D3_1,bravo2.A2_4,bravo3.A2_5,bravo1.D3_11,bravo2.A6_2,bravo3.A5_1,bravo3.A6_2,bravo3.A1_4,bravo2.A1_1,bravo3.A1_1,bravo3.D3_8,bravo2.A5_2,bravo1.D3_15,bravo2.A4_6,bravo3.A4_9,bravo1.D2_9,bravo1.D4_3,bravo2.D2_10,bravo2.A4_2,bravo2.A5_6,bravo3.A5_6,bravo1.D3_16,bravo2.D2_3,bravo1.D4_5,bravo2.D3_6,bravo1.D2_2,bravo1.A2_3,bravo2.D1_5,bravo1.A3_14,bravo1.D3_13,bravo1.D5_6,bravo2.D4_2,bravo2.D4_10,bravo1.D3_8,bravo1.A3_6,bravo1.A2_15,bravo3.D4_5,bravo1.A4_2,bravo2.A2_5,bravo2.D4_6,bravo1.A1_1,bravo2.D6_4,bravo3.A4_1,bravo2.A3_2,bravo3.D3_5,bravo1.A6_2,bravo3.D2_8,bravo3.D6_5,bravo1.A2_2,bravo2.D1_4,bravo3.D3_10,bravo2.A1_9,bravo1.A3_8,bravo1.D3_14,bravo2.D1_8,bravo3.A1_5,bravo2.A3_8,bravo3.D2_6,bravo3.D5_8,bravo2.D5_4,bravo1.A1_4,bravo2.D1_1,bravo1.A1_6,bravo1.A5_4,bravo1.D4_18,bravo2.A5_1,bravo2.A2_9,bravo2.A3_10,bravo2.D1_6,bravo3.A4_6,bravo3.D4_6,bravo1.A4_5,bravo2.A3_5,bravo3.A3_7,bravo3.D4_4,bravo1.D2_11,bravo3.A5_5,bravo2.D4_7,bravo3.A6_4,bravo3.D1_1,bravo2.A4_1,bravo3.A3_8,bravo3.D1_4,bravo3.D3_2,bravo1.A4_9,bravo2.A1_8,bravo2.D1_3,bravo1.A5_1,bravo1.D1_3,bravo2.A6_6,bravo2.D4_4,bravo2.D6_5,bravo3.A1_6,bravo3.A3_6,bravo3.A5_3,bravo3.D2_7,bravo1.A2_9,bravo1.A2_10,bravo2.D5_7,bravo3.D5_7,bravo3.D2_1,bravo2.A5_8,bravo1.A5_6,bravo2.D4_1,bravo2.A3_13,bravo2.D5_5,bravo1.D4_17,bravo2.D3_7,bravo3.D4_2,bravo3.D4_7,bravo1.D3_2,bravo2.D2_2,bravo3.D4_3,bravo3.D3_4,bravo1.D2_3,bravo2.A3_6,bravo2.D1_7,bravo3.A2_9,bravo3.D3_13,bravo1.D2_6,bravo1.D1_1,bravo2.A6_4,bravo3.D2_11,bravo1.A2_12,bravo1.D6_1,bravo2.A1_5,bravo1.D2_8,bravo1.A6_1,bravo1.A4_8,bravo1.D4_14,bravo3.D6_4,bravo1.A5_2,bravo1.D1_6,bravo3.D1_2,bravo1.D5_3,bravo1.D4_9,bravo2.A2_8,bravo2.D2_6,bravo3.D5_10,bravo1.A3_5,bravo1.A3_26,bravo1.A4_16,bravo1.D4_16,bravo2.A2_1,bravo3.A1_3,bravo1.A3_19,bravo1.D3_23,bravo2.A5_4,bravo1.A1_2,bravo1.A4_3,bravo1.D3_20,bravo2.D2_14,bravo2.D5_2,bravo1.A4_4,bravo2.A3_9,bravo3.D1_6,bravo1.A5_12,bravo1.D1_2,bravo2.A3_4,bravo2.A6_1,bravo3.A6_1,bravo3.D4_8,bravo3.A5_4,bravo3.D3_1,bravo1.A5_3,bravo3.A3_12,bravo1.D3_12,bravo1.D5_5,bravo3.A4_4,bravo3.A3_13,bravo2.A1_6,bravo2.D5_11,bravo3.A2_8,bravo3.A2_12,bravo3.A3_9,bravo1.A1_3,bravo2.D4_5,bravo3.A2_1,bravo3.D3_7,bravo3.D4_1,bravo2.D4_3,bravo1.A1_5,bravo2.D1_9,bravo1.D5_2,bravo1.A2_14,bravo2.A2_10,bravo2.D6_7,bravo2.A2_12,bravo3.A5_2,bravo3.A4_2,bravo2.D3_15,bravo3.D6_3,bravo1.D5_12,bravo2.D3_4,bravo2.D3_8,bravo3.D5_3,bravo1.A3_17,bravo1.D3_6,bravo2.A6_3,bravo2.D3_3,bravo3.D6_1,bravo1.A2_8,bravo2.A5_3,bravo2.D2_7,bravo1.D5_9,bravo1.D2_13,bravo1.D3_3,bravo1.A4_23,bravo1.D4_19,bravo2.D3_11,bravo1.A3_3,bravo2.D6_6,bravo2.A2_7,bravo3.A3_3,bravo3.A2_3,bravo3.D6_6,bravo3.A3_2,bravo3.A3_1,bravo3.A3_15,bravo3.D2_3,bravo1.A2_4,bravo1.A4_11,bravo3.A6_3,bravo1.A3_24,bravo1.A4_24,bravo2.D5_3,bravo3.A6_6,bravo2.A4_10,bravo2.D5_1,bravo2.D2_4,bravo2.D3_5,bravo2.D3_16,bravo3.D2_2,bravo1.A3_21,bravo2.A4_9,bravo1.A2_13,bravo2.A6_5,bravo1.D3_10,bravo2.D2_8,bravo3.D5_5,bravo1.D3_1,bravo2.A1_2,bravo1.A4_6,bravo1.D2_12,bravo1.D2_5,bravo2.A4_5,bravo2.A2_6,bravo2.A4_14,bravo2.A5_5,bravo1.A3_4,bravo1.A3_18,bravo1.D4_10,bravo1.A2_6,bravo2.D3_12,bravo2.D6_1,bravo1.D2_15,bravo2.D3_13,bravo3.D1_5,bravo1.A3_10,bravo3.A3_4,bravo3.A4_10,bravo2.D2_1,bravo2.A4_7,bravo1.A3_12,bravo2.D3_10,bravo3.A1_2,bravo1.A3_11,bravo1.D5_1,bravo3.D2_10,bravo1.D5_4,bravo3.D2_9,bravo2.D5_8,bravo3.A4_15,bravo1.A4_12,bravo1.D1_11,bravo3.A3_5,bravo3.A4_7,bravo1.D2_16,bravo1.D5_10,bravo2.D1_12,bravo3.D6_2,bravo1.A4_1,bravo1.A3_23,bravo1.D2_1,bravo2.A4_4,bravo1.A1_11,bravo1.A4_10,bravo1.A4_19,bravo1.D4_4,bravo2.A2_13,bravo2.D2_11,bravo2.D2_12,bravo2.D4_8,bravo1.D4_7,bravo1.D3_24,bravo1.D4_13,bravo2.A1_3,bravo2.D4_12,bravo3.D2_4,bravo1.A3_7,bravo1.D3_21,bravo2.D3_2,bravo3.D5_9,bravo1.D5_8,bravo1.D1_10,bravo1.A4_14,bravo3.A2_7,bravo3.A4_3,bravo3.D3_6,bravo1.D3_9,bravo1.D4_6,bravo3.A3_10,bravo1.A5_7,bravo1.D3_25,bravo1.A4_7,bravo1.D6_2,bravo2.D4_13,bravo2.D4_15,bravo2.D5_10,bravo1.D3_5,bravo2.A1_7,bravo1.A4_22,bravo1.A4_13,bravo1.D2_21,bravo2.D3_14,bravo3.D1_8,bravo3.D5_1,bravo2.A3_3,bravo1.A3_15,bravo3.A5_7,bravo3.A5_8,bravo3.A4_14,bravo1.A2_1,bravo3.A2_10,bravo3.D5_4,bravo2.D2_13,bravo1.A2_18,bravo3.A1_8,bravo2.A2_3,bravo1.A2_5,bravo1.A5_8,bravo1.D4_20,bravo1.A3_2,bravo2.A2_11,bravo3.A4_12,bravo3.D3_12,bravo1.D1_4,bravo1.D2_17,bravo2.A1_10,bravo2.A4_8,bravo3.D5_2,bravo1.D3_19,bravo1.D1_7,bravo1.D3_4,bravo1.D6_3,bravo2.A3_7,bravo2.A3_12,bravo3.D3_14,bravo3.D2_12,bravo1.A5_10,bravo1.A2_11,bravo3.D3_3,bravo2.A4_3,bravo1.D2_4,bravo1.D5_7,bravo3.A4_8,bravo2.A5_7,bravo2.D6_8,bravo1.A1_7,bravo1.D2_10,bravo2.D4_14,bravo1.D2_18,bravo3.D3_15,bravo1.A3_20,bravo1.D3_7,bravo2.A3_11,bravo3.D6_7,bravo1.A2_21,bravo1.D3_18,bravo1.A2_16,bravo2.A3_1,bravo2.A5_13,bravo1.D4_2,bravo2.A3_15,bravo1.A2_7,bravo1.A2_19,bravo3.D1_7,bravo1.A1_10,bravo1.A3_25,bravo2.A4_12,bravo2.D2_5,bravo2.D3_9,bravo2.D6_2,bravo3.A2_2,bravo1.A2_20,bravo3.D4_14,bravo1.D3_17,bravo3.D2_5,bravo2.A4_11,bravo3.A6_5,bravo1.D2_7,bravo3.D4_11,bravo1.A3_1,bravo1.A5_13,bravo1.D1_8,bravo1.D5_11,bravo3.D1_9,bravo3.D4_9,bravo2.D5_9,bravo3.A4_5,bravo3.D4_10,bravo3.A2_6,bravo1.A4_20,bravo1.A4_26,bravo2.A1_13,bravo1.D4_25,bravo1.D6_4,bravo1.D4_22,bravo1.D2_19,bravo2.A6_7,bravo3.A1_7,bravo1.D4_12,bravo1.D2_14,bravo2.A2_2,bravo3.A5_11,bravo2.A6_9,bravo2.A4_15,bravo1.A3_22,bravo1.D4_23,bravo1.D4_21,bravo1.A4_18,bravo1.A5_5,bravo3.D5_6,bravo1.A3_27,bravo2.A2_15,bravo3.D3_11,bravo3.D4_13,bravo1.A4_15,bravo1.A5_16,bravo3.A4_11,bravo1.A5_11,bravo1.D1_5,bravo2.A3_16,bravo3.A3_11,bravo3.A4_13,bravo3.D3_9,bravo2.A4_16,bravo1.D3_22,bravo1.D4_26,bravo1.A3_9,bravo1.D4_15,bravo2.D1_10,bravo3.A2_11,bravo2.A5_9,bravo1.D3_26,bravo1.D3_27,bravo2.A1_11,bravo2.A1_12,bravo3.D5_11,bravo2.A2_14,bravo3.D4_12,bravo2.D1_13,bravo2.A3_14,bravo1.A4_17,bravo1.A4_25,bravo3.A1_9,bravo2.A3_17,bravo2.D5_6,bravo3.A3_16,bravo1.D2_20,bravo2.D6_3,bravo1.A6_3,bravo1.D5_14,bravo3.D5_12,bravo1.D4_24,bravo3.A3_14,bravo3.D3_16,bravo1.D1_9,bravo1.A5_15,bravo1.D4_11,bravo1.D1_12,bravo1.A1_9,bravo2.D5_12,bravo2.A5_10,bravo3.D4_16,bravo2.D5_14,bravo3.D4_15,bravo2.D6_9,bravo1.A4_21,bravo1.A5_9,bravo1.D4_27,bravo1.A6_4,bravo2.D3_17,bravo3.A6_8,bravo2.D2_16,bravo3.A5_9,bravo2.D4_11,bravo3.A5_10,bravo2.A4_13,bravo3.D2_13,bravo3.A6_7,bravo1.A2_17,bravo1.D4_8,bravo2.A2_16,bravo2.A5_11,bravo2.D1_2,bravo3.A3_17,bravo1.D1_13,bravo3.D2_14,bravo1.D5_16,bravo1.A1_12,bravo2.A2_17,bravo3.D3_17,bravo1.A1_8,bravo3.D6_8,bravo2.A6_8,bravo2.D6_10,bravo2.D1_11,bravo1.D5_15,bravo1.A5_14,bravo1.D2_22,bravo2.A3_18,bravo2.D1_14,bravo1.A5_18,bravo2.D4_9,bravo2.A4_17,bravo3.A2_14,bravo3.A4_16,bravo3.A6_9,bravo2.A5_12,bravo1.A5_17,bravo1.D5_13,bravo1.D3_28,bravo2.D1_15,bravo2.A6_10,bravo1.D5_17,bravo3.A5_13,bravo3.A2_13,bravo1.D6_5,bravo2.D4_16,bravo2.A1_14,bravo1.A6_7,bravo1.D1_14,bravo2.A1_15,bravo1.A1_14,bravo3.D4_17,bravo3.D1_10,bravo2.D2_17,bravo2.D6_12,bravo2.D2_15,bravo3.A1_10,bravo1.D5_18,bravo2.A3_19,bravo1.A3_28,bravo2.D6_11,bravo3.D5_13,bravo1.D5_19,bravo3.A5_12,bravo1.D1_15,bravo3.A4_17,bravo2.D5_13,bravo1.A1_13,bravo1.A6_6,bravo1.D5_20,bravo3.D3_18,bravo1.A2_22,bravo1.D6_8,bravo2.D1_16,bravo1.A5_19,bravo1.A6_5,bravo2.A5_15,bravo2.D4_17,bravo2.A2_18,bravo2.A5_14,bravo2.D3_18,bravo1.A4_27,bravo1.A6_8,bravo1.D6_6,bravo2.A4_18,bravo3.A3_18,bravo2.A6_12,bravo1.A4_28,bravo1.D6_7,bravo3.D6_9,bravo3.A4_18,bravo3.A2_15,bravo1.A5_20,bravo2.D5_15,bravo3.D3_19,bravo3.A3_20,bravo1.A1_15,bravo2.D5_16,bravo2.A5_17,bravo2.A6_13,bravo3.A2_16,bravo2.D2_18,bravo2.A3_20,bravo3.A3_19,bravo2.A4_19,bravo2.D4_18,bravo1.A5_21,bravo1.A6_9,bravo1.A6_10,bravo3.D4_19,bravo2.A1_16,bravo1.D5_21,bravo2.D5_17,bravo3.A4_19,bravo1.A6_11,bravo1.D6_9,bravo1.D6_11,bravo1.D6_10,bravo2.D3_19,bravo2.A6_11,bravo2.A1_17,bravo2.D2_19,bravo2.D1_17,bravo3.D2_15,bravo1.D6_12,bravo3.D5_15,bravo3.D6_10,bravo3.A1_11,bravo2.D5_18,bravo2.D4_19,bravo3.D1_11,bravo1.A2_23,bravo3.D5_14,bravo2.A2_19,bravo2.D6_14,bravo2.D3_20,bravo3.D4_18,bravo2.A5_16,bravo2.A5_18,bravo2.A6_14,bravo2.A4_20,bravo3.A5_15,bravo1.D2_23,bravo1.A1_16,bravo1.D4_28,bravo2.D2_20,bravo3.A1_12,bravo3.D1_12,bravo2.A3_21,bravo1.A1_17,bravo2.A2_20,bravo2.D1_18,bravo2.D6_13,bravo3.A6_11,bravo3.A5_14,bravo1.D1_16,bravo1.A6_12,bravo2.A2_22,bravo3.D6_11,bravo2.D2_21,bravo2.A1_19,bravo1.D5_22,bravo2.A2_21,bravo2.A5_19,bravo2.D6_15,bravo3.D3_20,bravo2.D4_20,bravo3.D4_20,bravo1.A6_14,bravo3.A6_10,bravo3.A4_21,bravo3.D2_16,bravo2.D3_21,bravo2.D6_16,bravo1.D6_14,bravo3.A3_21,bravo3.D5_16,bravo1.A5_22,bravo1.D2_24,bravo1.A6_15,bravo1.D1_17,bravo1.D6_13,bravo2.A6_16,bravo2.D1_19,bravo1.D6_15,bravo1.A2_24,bravo2.A5_20,bravo2.A1_22,bravo2.A1_23,bravo3.D3_21,bravo2.D1_20,bravo2.A1_20,bravo2.A1_21,bravo2.A6_15,bravo2.A6_17,bravo2.D6_17,bravo3.D5_17,bravo2.A4_21,bravo2.A5_21,bravo3.A4_20,bravo3.A5_18,bravo3.A5_16,bravo2.D4_21,bravo1.A6_16,bravo2.D4_22,bravo3.D4_21,bravo1.A6_13,bravo2.A3_22,bravo2.D6_18,bravo3.A5_17,bravo3.D2_17
0,2,0,34,3,0,8,5,6,5,3,1,1,1,0,4,4,3,2,1,1,1,12,8,8,3,2,2,0,10,8,7,4,3,3,1,0,0,0,0,29,15,13,8,7,5,5,4,4,4,3,3,1,1,1,0,0,0,22,13,11,8,7,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,21,15,14,11,8,7,7,6,6,5,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,14,12,11,11,8,7,5,4,4,4,3,3,3,2,1,1,1,1,1,0,20,11,10,9,9,7,6,5,4,4,4,2,2,2,1,1,1,1,1,0,0,0,0,0,0,21,19,13,10,9,8,8,8,7,7,7,6,6,5,5,5,5,4,4,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,22,20,20,11,9,9,9,8,7,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,20,20,14,13,11,10,8,7,6,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,29,21,19,15,14,14,12,11,10,9,9,8,8,8,8,4,3,3,3,2,2,2,1,1,1,0,0,0,19,14,11,10,10,9,8,8,7,7,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,22,18,18,15,13,9,8,8,8,7,6,6,6,4,3,2,2,2,2,2,1,1,0,0,0,0,0,0,18,15,12,12,11,10,10,10,9,8,8,7,6,5,5,4,4,4,4,3,2,2,1,1,0,0,0,0,0,0,0,31,29,21,17,15,13,13,13,12,12,9,9,9,8,8,5,5,5,5,4,4,3,3,3,2,2,1,1,1,0,0,0,0,0,0,0,24,17,11,9,8,7,3,3,2,1,1,0,0,0,21,16,13,12,10,8,8,4,3,2,2,2,2,1,0,0,0,12,11,9,9,8,6,4,4,3,3,2,2,1,1,1,0,0,0,0,0,22,17,12,9,8,8,8,8,7,4,4,4,3,3,1,0,34,27,21,13,12,8,4,4,3,3,2,2,1,0,0,22,20,13,11,10,8,7,3,3,2,2,1,0,0,15,13,13,12,10,9,8,5,3,3,2,0,0,0,0,0,11,8,4,2,0,0,0,22,9,5,5,4,1,0,26,12,4,3,3,0,0,19,15,11,10,5,2,0,23,15,10,9,5,5,4,0,0,0,24,13,10,4,3,3,3,1,24,17,16,15,13,11,8,3,1,20,13,13,3,2,0,0,15,15,15,13,11,10,3,2,2,1,43,24,3,2,2,1,0,27,15,15,3,30,21,19,0,0,0,31,30,26,20,15,13,3,3,53,40,25,25,20,19,6,5,3,3,2,0,0,56,44,26,26,26,21,15,3,85,71,41,39,32,20,18,17,15,3,0,21,19,11,2,0,57,41,39,37,37,31,25,21,17,11,0,158,92,78,39,31,31,26,26,20,19,19,15,3,0,0,166,116,115,115,114,68,66,46,37,21,15,8,6,193,191,173,173,173,158,141,135,129,128,128,128,77,77,77,77,59,53,46,46,46,45,30,6,0,0
0,1,0,33,2,3,7,4,5,4,2,0,0,0,0,3,3,2,1,0,0,0,11,7,7,2,1,1,0,9,7,6,3,2,2,0,0,0,3,0,28,14,12,7,6,4,4,3,3,3,2,2,0,0,0,3,3,0,21,12,10,7,6,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,10,3,3,0,20,14,13,10,7,6,6,5,5,4,1,1,0,0,0,0,0,0,0,0,0,8,3,2,1,13,11,10,10,7,6,4,3,3,3,2,2,2,1,0,0,0,0,0,9,19,10,9,8,8,6,5,4,3,3,3,1,1,1,0,0,0,0,0,7,5,0,1,3,2,20,18,12,9,8,7,7,7,6,6,6,5,5,4,4,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,7,7,3,9,10,21,19,19,10,8,8,8,7,6,4,3,3,2,2,2,2,1,1,1,1,1,0,0,0,1,3,4,19,19,13,12,10,9,7,6,5,2,2,2,2,1,1,1,0,0,0,0,6,10,2,4,19,26,28,20,18,14,13,13,11,10,9,8,8,7,7,7,7,3,2,2,2,1,1,1,0,0,0,3,3,4,18,13,10,9,9,8,7,7,6,6,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,2,7,0,2,3,0,21,17,17,14,12,8,7,7,7,6,5,5,5,3,2,1,1,1,1,1,0,0,2,1,3,13,3,7,17,14,11,11,10,9,9,9,8,7,7,6,5,4,4,3,3,3,3,2,1,1,0,0,16,7,0,1,8,2,13,30,28,20,16,14,12,12,12,11,11,8,8,8,7,7,4,4,4,4,3,3,2,2,2,1,1,0,0,0,7,0,0,5,0,33,2,23,16,10,8,7,6,2,2,1,0,0,3,2,0,20,15,12,11,9,7,7,3,2,1,1,1,1,0,0,2,0,11,10,8,8,7,5,3,3,2,2,1,1,0,0,0,2,20,2,4,7,21,16,11,8,7,7,7,7,6,3,3,3,2,2,0,4,33,26,20,12,11,7,3,3,2,2,1,1,0,20,10,21,19,12,10,9,7,6,2,2,1,1,0,5,1,14,12,12,11,9,8,7,4,2,2,1,12,13,26,0,19,10,7,3,1,32,10,7,21,8,4,4,3,0,12,25,11,3,2,2,11,7,18,14,10,9,4,1,7,22,14,9,8,4,4,3,1,36,7,23,12,9,3,2,2,2,0,23,16,15,14,12,10,7,2,0,19,12,12,2,1,14,10,14,14,14,12,10,9,2,1,1,0,42,23,2,1,1,0,24,26,14,14,2,29,20,18,26,14,20,30,29,25,19,14,12,2,2,52,39,24,24,19,18,5,4,2,2,1,20,7,55,43,25,25,25,20,14,2,84,70,40,38,31,19,17,16,14,2,25,20,18,10,1,30,56,40,38,36,36,30,24,20,16,10,5,157,91,77,38,30,30,25,25,19,18,18,14,2,76,81,165,115,114,114,113,67,65,45,36,20,14,7,5,192,190,172,172,172,157,140,134,128,127,127,127,76,76,76,76,58,52,45,45,45,44,29,5,604,251
8,0,0,32,1,2,6,3,4,3,1,10,0,10,2,2,2,1,0,9,0,1,10,6,6,1,0,0,8,8,6,5,2,1,1,3,0,8,2,2,27,13,11,6,5,3,3,2,2,2,1,1,10,6,0,2,2,2,20,11,9,6,5,2,2,2,1,0,0,0,0,0,3,0,2,5,0,5,9,2,2,13,19,13,12,9,6,5,5,4,4,3,0,0,7,16,2,5,0,12,0,1,1,7,2,1,0,12,10,9,9,6,5,3,2,2,2,1,1,1,0,7,0,6,2,2,8,18,9,8,7,7,5,4,3,2,2,2,0,0,0,1,9,0,0,9,6,4,1,0,2,1,19,17,11,8,7,6,6,6,5,5,5,4,4,3,3,3,3,2,2,1,1,0,0,0,0,3,11,0,1,5,6,6,2,8,9,20,18,18,9,7,7,7,6,5,3,2,2,1,1,1,1,0,0,0,0,0,2,1,0,0,2,3,18,18,12,11,9,8,6,5,4,1,1,1,1,0,0,0,0,6,3,2,5,9,1,3,18,25,27,19,17,13,12,12,10,9,8,7,7,6,6,6,6,2,1,1,1,0,0,0,2,7,2,2,2,3,17,12,9,8,8,7,6,6,5,5,3,3,2,2,2,2,1,1,1,1,0,0,0,0,7,19,1,2,1,6,8,1,1,6,1,1,2,0,20,16,16,13,11,7,6,6,6,5,4,4,4,2,1,0,0,0,0,0,0,21,1,0,2,12,2,6,16,13,10,10,9,8,8,8,7,6,6,5,4,3,3,2,2,2,2,1,0,0,3,8,15,6,2,0,7,1,12,29,27,19,15,13,11,11,11,10,10,7,7,7,6,6,3,3,3,3,2,2,1,1,1,0,0,1,8,8,6,13,1,4,2,32,1,22,15,9,7,6,5,1,1,0,0,0,2,1,7,19,14,11,10,8,6,6,2,1,0,0,0,0,13,26,1,1,10,9,7,7,6,4,2,2,1,1,0,0,9,3,6,1,19,1,3,6,20,15,10,7,6,6,6,6,5,2,2,2,1,1,7,3,32,25,19,11,10,6,2,2,1,1,0,0,0,19,9,20,18,11,9,8,6,5,1,1,0,0,0,4,0,13,11,11,10,8,7,6,3,1,1,0,11,12,25,3,18,9,6,2,0,31,9,6,20,7,3,3,2,7,11,24,10,2,1,1,10,6,17,13,9,8,3,0,6,21,13,8,7,3,3,2,0,35,6,22,11,8,2,1,1,1,1,22,15,14,13,11,9,6,1,3,18,11,11,1,0,13,9,13,13,13,11,9,8,1,0,0,22,41,22,1,0,0,1,23,25,13,13,1,28,19,17,25,13,19,29,28,24,18,13,11,1,1,51,38,23,23,18,17,4,3,1,1,0,19,6,54,42,24,24,24,19,13,1,83,69,39,37,30,18,16,15,13,1,24,19,17,9,0,29,55,39,37,35,35,29,23,19,15,9,4,156,90,76,37,29,29,24,24,18,17,17,13,1,75,80,164,114,113,113,112,66,64,44,35,19,13,6,4,191,189,171,171,171,156,139,133,127,126,126,126,75,75,75,75,57,51,44,44,44,43,28,4,603,250
7,2,2,31,0,1,5,2,3,2,0,9,2,9,1,1,1,0,4,8,2,0,9,5,5,0,1,1,7,7,5,4,1,0,0,2,2,7,1,1,26,12,10,5,4,2,2,1,1,1,0,0,9,5,8,1,1,1,19,10,8,5,4,1,1,1,0,0,1,1,4,1,2,1,1,4,2,4,8,1,1,12,18,12,11,8,5,4,4,3,3,2,10,0,6,15,1,4,1,11,7,0,0,6,1,0,2,11,9,8,8,5,4,2,1,1,1,0,0,0,4,6,7,5,1,1,7,17,8,7,6,6,4,3,2,1,1,1,10,1,0,0,8,0,17,8,5,3,0,0,1,0,18,16,10,7,6,5,5,5,4,4,4,3,3,2,2,2,2,1,1,0,0,3,2,0,8,2,10,0,0,4,5,5,1,7,8,19,17,17,8,6,6,6,5,4,2,1,1,0,0,0,0,3,0,0,5,9,1,0,1,1,1,2,17,17,11,10,8,7,5,4,3,0,0,0,0,7,2,0,1,5,2,1,4,8,0,2,17,24,26,18,16,12,11,11,9,8,7,6,6,5,5,5,5,1,0,0,0,3,1,0,1,6,1,1,1,2,16,11,8,7,7,6,5,5,4,4,2,2,1,1,1,1,0,0,0,0,1,0,11,1,6,18,0,1,0,5,7,0,0,5,0,0,1,3,19,15,15,12,10,6,5,5,5,4,3,3,3,1,0,0,1,4,8,6,3,20,0,0,1,11,1,5,15,12,9,9,8,7,7,7,6,5,5,4,3,2,2,1,1,1,1,0,19,0,2,7,14,5,1,0,6,0,11,28,26,18,14,12,10,10,10,9,9,6,6,6,5,5,2,2,2,2,1,1,0,0,0,10,2,0,7,7,5,12,0,3,1,31,0,21,14,8,6,5,4,0,0,0,3,1,1,0,6,18,13,10,9,7,5,5,1,0,0,14,1,6,12,25,0,0,9,8,6,6,5,3,1,1,0,0,23,1,8,2,5,0,18,0,2,5,19,14,9,6,5,5,5,5,4,1,1,1,0,0,6,2,31,24,18,10,9,5,1,1,0,0,0,12,2,18,8,19,17,10,8,7,5,4,0,0,0,8,6,3,0,12,10,10,9,7,6,5,2,0,0,1,10,11,24,2,17,8,5,1,18,30,8,5,19,6,2,2,1,6,10,23,9,1,0,0,9,5,16,12,8,7,2,0,5,20,12,7,6,2,2,1,1,34,5,21,10,7,1,0,0,0,0,21,14,13,12,10,8,5,0,2,17,10,10,0,16,12,8,12,12,12,10,8,7,0,33,21,21,40,21,0,2,3,0,22,24,12,12,0,27,18,16,24,12,18,28,27,23,17,12,10,0,0,50,37,22,22,17,16,3,2,0,0,21,18,5,53,41,23,23,23,18,12,0,82,68,38,36,29,17,15,14,12,0,23,18,16,8,2,28,54,38,36,34,34,28,22,18,14,8,3,155,89,75,36,28,28,23,23,17,16,16,12,0,74,79,163,113,112,112,111,65,63,43,34,18,12,5,3,190,188,170,170,170,155,138,132,126,125,125,125,74,74,74,74,56,50,43,43,43,42,27,3,602,249
