16: [4.5|6.5|8.5] [5, 7, 2, 5, 7, 4, 7, 5, 7, 6, 8, 9, 5, 5, 9, 6, 8, 7, 8, 8]
6: [4.7|6.7|8.7] [4, 6, 5, 9, 7, 5, 8, 8, 7, 6, 6, 10, 5, 8, 9, 8, 10, 8, 5, 6]
17: [4.7|6.8|9.0] [6, 9, 5, 5, 10, 6, 9, 7, 6, 6, 4, 9, 4, 7, 8, 5, 9, 7, 6, 10]
7: [4.8|6.8|8.7] [6, 7, 7, 8, 5, 5, 10, 6, 4, 7, 6, 10, 3, 7, 8, 9, 10, 9, 5, 10]
13: [4.8|6.8|9.0] [4, 3, 7, 4, 10, 7, 8, 6, 6, 8, 7, 9, 4, 6, 8, 8, 6, 9, 5, 9]
4: [4.6|6.9|9.3] [8, 10, 8, 7, 8, 8, 8, 8, 4, 7, 6, 7, 4, 6, 8, 7, 9, 10, 4, 10]
15: [4.9|6.9|9.0] [8, 7, 5, 8, 7, 9, 7, 8, 7, 8, 8, 9, 5, 4, 7, 8, 8, 7, 5, 10]
10: [4.9|7.0|9.0] [4, 7, 5, 6, 9, 8, 9, 7, 6, 10, 6, 9, 6, 7, 6, 7, 3, 8, 8, 9]
11: [5.0|7.0|9.3] [5, 7, 8, 9, 9, 6, 7, 5, 7, 7, 6, 7, 4, 6, 8, 6, 7, 8, 4, 8]
18: [5.0|7.0|8.9] [5, 10, 4, 6, 7, 7, 8, 7, 6, 7, 10, 4, 5, 5, 7, 7, 8, 8, 8, 8]
1: [5.1|7.0|8.9] [7, 7, 8, 6, 7, 5, 9, 8, 6, 8, 7, 8, 2, 4, 7, 7, 6, 9, 5, 8]
8: [4.9|7.1|9.0] [5, 10, 4, 7, 8, 7, 9, 6, 4, 10, 10, 8, 6, 6, 9, 6, 9, 8, 9, 10]
14: [4.9|7.1|9.3] [3, 8, 3, 7, 6, 10, 8, 9, 7, 4, 7, 8, 5, 5, 8, 5, 6, 8, 3, 8]
19: [5.2|7.1|9.2] [8, 5, 7, 3, 8, 7, 10, 7, 6, 6, 10, 6, 5, 8, 8, 6, 9, 6, 7, 7]
12: [5.3|7.1|9.0] [4, 7, 6, 7, 8, 9, 9, 10, 7, 9, 9, 7, 5, 3, 7, 6, 6, 7, 8, 9]
9: [5.0|7.2|9.5] [8, 8, 6, 8, 8, 6, 9, 6, 4, 7, 7, 8, 6, 8, 9, 8, 6, 9, 6, 10]
2: [5.3|7.4|9.4] [6, 9, 9, 6, 10, 7, 8, 9, 7, 6, 8, 10, 6, 8, 8, 8, 6, 7, 6, 10]
3: [5.5|7.4|9.3] [4, 7, 6, 7, 6, 5, 10, 8, 5, 8, 8, 9, 5, 4, 8, 8, 6, 4, 6, 8]
20: [5.4|7.5|9.5] [5, 7, 5, 6, 9, 7, 10, 7, 8, 8, 8, 6, 5, 6, 8, 9, 6, 10, 6, 8]
5: [5.4|7.6|9.7] [6, 6, 4, 5, 8, 9, 10, 8, 8, 7, 8, 9, 4, 5, 7, 7, 5, 9, 4, 9]
