Date,p1,p2,p3,p4,p5,inter,o1_edge,o1_middle,sta
20240602,(3/20),(4/19),(4/20),(3/19),(4/20),(3/16),(6/23),(2/13),(1/11)
20240530,(2/15),(3/16),(3/17),(2/16),(3/16),(2/11),(4/24),(3/11),(1/11)
20240528,(4/22),(3/20),(4/22),(4/21),(4/23),(3/15),(4/24),(2/11),(1/10)
20240526,(2/18),(2/19),(2/19),(2/19),(2/19),(2/17),(4/24),(2/12),(3/11)
20240523,(4/16),(4/18),(4/18),(4/18),(3/17),(3/15),(5/23),(4/12),(1/12)
20240521,(3/19),(5/21),(2/18),(3/20),(2/18),(1/14),(5/25),(4/14),(0/11)
20240519,(5/21),(5/19),(6/20),(6/19),(5/20),(3/13),(3/23),(1/11),(1/11)
20240516,(3/19),(2/18),(4/20),(2/17),(3/18),(1/9),(5/25),(3/14),(3/12)
20240514,(5/21),(4/21),(4/22),(5/21),(4/21),(3/14),(2/23),(3/13),(0/11)
20240512,(2/20),(3/21),(4/19),(3/19),(3/22),(1/14),(6/23),(3/14),(3/11)
20240509,(3/17),(4/18),(4/17),(4/18),(4/17),(3/14),(6/25),(2/12),(2/12)
20240507,(5/19),(4/16),(4/18),(4/18),(4/18),(4/16),(5/17),(2/13),(2/11)
20240505,(3/18),(3/20),(2/18),(3/18),(3/18),(2/13),(5/24),(3/12),(2/11)
20240502,(4/17),(4/17),(5/18),(5/17),(5/17),(4/14),(3/22),(1/13),(2/12)
20240430,(4/17),(3/17),(3/18),(3/18),(3/19),(3/15),(4/23),(4/13),(0/11)
20240428,(3/18),(3/18),(4/19),(4/17),(3/18),(1/11),(6/24),(2/15),(1/11)
20240425,(4/20),(3/18),(4/19),(3/18),(3/18),(3/14),(2/22),(3/10),(1/11)
20240423,(3/18),(3/17),(3/18),(3/17),(5/19),(2/13),(3/24),(3/14),(3/10)
20240421,(3/18),(3/20),(3/20),(3/17),(3/17),(3/11),(5/25),(1/12),(4/10)
20240418,(4/18),(5/20),(5/19),(3/18),(3/18),(3/16),(2/20),(2/15),(3/10)
20240416,(3/19),(3/21),(3/19),(1/18),(2/18),(1/13),(4/23),(2/13),(3/9)
20240414,(3/19),(3/19),(2/17),(3/18),(3/19),(2/14),(5/25),(2/11),(4/12)
20240411,(4/19),(6/19),(6/19),(6/20),(4/17),(4/15),(6/24),(4/14),(1/11)
20240409,(2/21),(2/20),(2/20),(2/21),(2/20),(2/16),(4/22),(0/13),(2/11)
20240407,(5/21),(5/20),(3/18),(5/21),(3/16),(3/14),(4/25),(2/10),(1/11)
20240404,(3/19),(4/20),(3/20),(3/19),(3/20),(3/14),(5/24),(2/15),(1/12)
20240402,(3/19),(1/18),(2/16),(2/17),(2/18),(1/11),(4/25),(3/13),(0/11)
20240331,(4/16),(4/18),(2/18),(4/18),(4/18),(2/13),(5/24),(3/12),(1/12)
20240328,(4/15),(3/15),(4/16),(4/16),(4/15),(3/12),(6/24),(3/14),(2/11)
20240326,(3/16),(2/14),(2/16),(3/19),(3/17),(2/13),(5/26),(3/12),(1/10)
20240324,(5/20),(4/18),(4/19),(4/18),(4/18),(4/17),(6/25),(3/13),(2/11)
20240321,(4/17),(4/18),(4/19),(4/17),(3/19),(3/14),(5/23),(4/13),(1/11)
20240319,(4/18),(3/21),(3/20),(3/20),(3/20),(3/15),(3/24),(2/13),(1/11)
20240317,(4/19),(4/17),(4/17),(4/18),(3/17),(1/4),(3/15),(6/25),(1/11),(1/11)
20240314,(3/17),(3/17),(3/17),(4/18),(3/17),(2/15),(6/27),(1/12),(1/10)
20240312,(2/19),(2/21),(2/21),(2/22),(3/20),(2/17),(5/22),(2/13),(4/11)
20240310,(5/20),(4/20),(4/22),(5/22),(4/21),(2/15),(2/20),(5/13),(3/11)
20240307,(5/20),(5/19),(4/20),(5/21),(5/20),(4/15),(4/25),(3/13),(2/10)
20240305,(3/18),(3/17),(3/15),(3/17),(1/18),(1/10),(6/26),(2/13),(3/12)
20240303,(4/20),(3/18),(3/18),(4/20),(3/19),(3/14),(5/24),(2/12),(1/12)
