Date,red1,red2,red3,red4,red5,red6,sum_all,sum16,sum25,sum34,gap56,ball,row1,less10,less5,less8,gap25,gap16,gap34,gap45,gap23,gap12,less9,row2,row3,row4,ball_column,blue,blue_sort
20230709,2,2,1,2,3,2,2,3,2,2,1,2,1,3,2,1,3,2,2,2,2,1,3,2,2,2,3,2,3
20230711,2,2,3,3,2,2,3,3,3,3,1,3,1,3,2,2,2,3,2,2,2,2,1,3,3,3,3,2,1
20230713,2,3,3,3,2,2,3,2,1,3,2,2,3,2,3,3,3,2,2,3,2,1,2,2,2,1,2,2,3
20230716,1,2,2,2,2,1,2,1,2,3,2,3,2,2,3,3,3,1,3,2,2,3,3,2,2,1,2,3,3
20230718,2,2,2,3,3,2,3,2,3,3,2,1,2,3,1,3,2,2,3,2,2,3,3,3,3,1,3,3,3
20230720,3,2,2,2,2,1,3,2,3,2,3,2,1,2,2,3,2,2,2,2,1,2,2,2,2,3,2,1,1
20230723,3,2,2,2,2,2,1,2,1,1,1,3,1,1,3,3,3,3,2,1,3,2,3,3,3,2,2,2,1
20230725,3,3,3,2,3,2,3,3,3,3,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,1,1,3,1
20230727,1,2,2,1,2,1,2,1,2,2,3,1,2,1,2,2,2,1,3,2,2,2,2,1,2,1,2,1,2
20230730,2,1,2,2,3,2,1,2,3,1,2,1,2,2,2,1,2,3,2,3,2,2,2,2,2,3,2,2,3
20230801,2,3,2,3,3,1,3,1,3,3,3,1,3,2,3,3,1,3,3,2,2,3,3,2,3,2,2,2,2
20230803,3,1,2,3,1,1,1,2,1,1,2,3,1,2,1,2,2,2,3,3,2,2,1,2,2,1,3,3,2
20230806,2,3,2,1,3,1,2,2,2,2,2,2,3,3,1,3,3,3,3,2,2,2,1,3,3,2,2,2,2
20230808,3,3,3,1,1,2,3,3,3,3,2,1,3,3,3,3,2,2,2,1,2,2,3,1,3,1,3,3,3
20230810,2,1,3,1,3,3,1,1,1,3,3,1,3,1,1,3,3,3,2,3,3,3,1,1,3,1,1,1,1
20230813,3,3,1,1,1,1,3,3,3,1,3,3,1,1,1,1,3,1,1,2,2,3,1,1,1,1,3,2,3
20230815,1,2,2,2,3,1,2,1,1,2,2,2,2,2,2,2,3,2,2,3,2,2,2,1,2,3,2,2,3
20230817,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,1,1,2,2,3,1,2,3,3,3,3,1,3
20230820,2,2,2,3,3,3,3,3,3,3,2,2,3,1,3,3,3,2,3,1,1,2,3,3,3,1,2,3,3
20230822,3,2,2,2,1,2,2,2,2,2,1,3,2,3,2,3,1,3,2,3,2,2,2,3,2,3,3,1,1
20230824,1,2,2,3,2,2,2,2,2,2,2,1,2,3,3,3,3,2,1,2,2,1,3,3,2,3,2,2,2
20230827,2,2,2,2,2,3,3,3,3,3,1,1,2,3,3,3,2,2,2,2,2,3,3,3,3,2,2,2,2
20230829,2,2,2,2,2,2,3,3,2,2,3,1,1,3,2,2,2,2,2,1,2,3,3,2,2,3,2,1,2
20230831,3,2,2,1,2,1,3,2,3,3,2,1,2,2,2,1,2,2,3,3,2,3,2,1,2,1,2,1,2
20230903,1,2,2,3,2,2,2,2,2,2,1,3,2,2,2,3,2,2,2,3,2,2,1,2,2,1,2,3,2
20230905,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3
20230907,3,3,3,2,3,2,3,3,3,3,2,1,1,3,1,2,3,2,3,2,3,3,1,3,2,2,2,1,1
20230910,2,2,3,3,1,2,3,3,3,3,2,1,2,3,2,1,3,3,3,1,2,3,2,3,2,2,2,3,3
20230912,3,2,2,2,2,2,3,2,2,3,1,1,3,2,3,3,2,3,2,2,2,1,3,2,3,1,3,3,3
20230914,2,2,2,3,2,3,2,2,2,2,3,1,1,2,2,3,3,3,1,2,3,2,2,3,3,3,1,3,3
20230917,2,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,2,2,2,3,3,2,3,3,1,3,2,2,2
20230919,2,2,2,2,3,2,1,1,1,1,3,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,3,3,2
