Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20231116,23132,4,15,12,3,1,18,28,3,30,24,34,16,26,6,2,4,10,2,4,10,13
20231119,23133,1,9,19,6,0,23,26,0,29,21,27,17,24,1,5,4,8,3,4,21,16
20231119,400_1,3,15,11,3,2,22,24,0,30,20,29,13,23,2,2,3,7,4,4,9,12
20231119,400_2,4,11,9,4,1,27,19,0,38,22,34,16,34,0,5,5,5,4,4,7,12
20231119,400_3,3,13,11,3,2,26,20,0,34,20,29,12,25,1,2,3,6,6,4,9,12
20231119,400_4,2,13,13,5,2,26,20,0,35,19,30,12,28,0,2,4,4,5,4,9,12
20231119,400_5,4,14,10,2,4,26,19,0,33,21,27,12,22,1,1,4,6,7,4,9,10
20231119,600_1,4,14,10,2,2,20,24,3,30,24,30,16,22,4,1,3,10,4,4,10,13
20231119,600_2,7,9,8,2,3,29,15,2,37,26,34,18,32,2,4,7,6,5,3,6,14
20231119,600_3,6,14,7,2,3,24,19,2,33,24,28,16,23,2,2,4,8,6,4,11,14
20231119,600_4,6,14,7,1,3,26,19,1,37,25,33,18,30,1,4,6,7,5,3,7,10
20231119,600_5,4,16,9,2,3,22,22,1,32,25,26,14,21,2,3,3,7,8,3,13,12
20231119,1000_1,2,16,11,2,1,25,20,2,31,23,32,18,26,3,3,4,10,2,3,10,13
20231119,1000_2,3,13,8,3,2,34,11,1,33,25,31,19,31,2,6,6,6,3,4,11,14
20231119,1000_3,3,15,9,2,2,27,18,1,32,25,33,19,26,3,4,3,11,2,3,10,12
20231119,1000_4,1,18,9,3,2,24,20,1,31,25,31,18,27,3,5,4,8,3,3,11,14
20231119,1000_5,2,14,10,2,3,25,18,1,29,24,26,14,20,3,2,4,7,6,3,10,14
