Red1_Top1_Hit,Red1_Top1_UnHit,Red1_Top2_Hit,Red1_Top2_UnHit,Red1_Top3_Hit,Red1_Top3_UnHit,Red2_Top1_Hit,Red2_Top1_UnHit,Red2_Top2_Hit,Red2_Top2_UnHit,Red2_Top3_Hit,Red2_Top3_UnHit,Red3_Top1_Hit,Red3_Top1_UnHit,Red3_Top2_Hit,Red3_Top2_UnHit,Red3_Top3_Hit,Red3_Top3_UnHit,Red4_Top1_Hit,Red4_Top1_UnHit,Red4_Top2_Hit,Red4_Top2_UnHit,Red4_Top3_Hit,Red4_Top3_UnHit,Red5_Top1_Hit,Red5_Top1_UnHit,Red5_Top2_Hit,Red5_Top2_UnHit,Red5_Top3_Hit,Red5_Top3_UnHit,Red6_Top1_Hit,Red6_Top1_UnHit,Red6_Top2_Hit,Red6_Top2_UnHit,Red6_Top3_Hit,Red6_Top3_UnHit,RedSum_Top1_Hit,RedSum_Top1_UnHit,RedSum_Top2_Hit,RedSum_Top2_UnHit,RedSum_Top3_Hit,RedSum_Top3_UnHit,RedSum16_Top1_Hit,RedSum16_Top1_UnHit,RedSum16_Top2_Hit,RedSum16_Top2_UnHit,RedSum16_Top3_Hit,RedSum16_Top3_UnHit,RedGap16_Top1_Hit,RedGap16_Top1_UnHit,RedGap16_Top2_Hit,RedGap16_Top2_UnHit,RedGap16_Top3_Hit,RedGap16_Top3_UnHit,RedSum25_Top1_Hit,RedSum25_Top1_UnHit,RedSum25_Top2_Hit,RedSum25_Top2_UnHit,RedSum25_Top3_Hit,RedSum25_Top3_UnHit,RedGap25_Top1_Hit,RedGap25_Top1_UnHit,RedGap25_Top2_Hit,RedGap25_Top2_UnHit,RedGap25_Top3_Hit,RedGap25_Top3_UnHit,RedSum34_Top1_Hit,RedSum34_Top1_UnHit,RedSum34_Top2_Hit,RedSum34_Top2_UnHit,RedSum34_Top3_Hit,RedSum34_Top3_UnHit,RedGap12_Top1_Hit,RedGap12_Top1_UnHit,RedGap12_Top2_Hit,RedGap12_Top2_UnHit,RedGap12_Top3_Hit,RedGap12_Top3_UnHit,RedGap23_Top1_Hit,RedGap23_Top1_UnHit,RedGap23_Top2_Hit,RedGap23_Top2_UnHit,RedGap23_Top3_Hit,RedGap23_Top3_UnHit,RedGap34_Top1_Hit,RedGap34_Top1_UnHit,RedGap34_Top2_Hit,RedGap34_Top2_UnHit,RedGap34_Top3_Hit,RedGap34_Top3_UnHit,RedGap45_Top1_Hit,RedGap45_Top1_UnHit,RedGap45_Top2_Hit,RedGap45_Top2_UnHit,RedGap45_Top3_Hit,RedGap45_Top3_UnHit,RedGap56_Top1_Hit,RedGap56_Top1_UnHit,RedGap56_Top2_Hit,RedGap56_Top2_UnHit,RedGap56_Top3_Hit,RedGap56_Top3_UnHit,RedBlue_Top1_Hit,RedBlue_Top1_UnHit,RedBlue_Top2_Hit,RedBlue_Top2_UnHit,RedBlue_Top3_Hit,RedBlue_Top3_UnHit
183.1,0,154.5,0,178.2,0,5.0,46.7,3.7,63.5,12.1,150.0,3.0,105.4,1.1,89.9,0.9,123.8,38.4,147.5,19.2,101.5,24.2,98.8,13.3,146.8,6.3,88.4,4.4,96.7,102.1,0,21.9,0,80.0,0,6.4,24.7,18.2,52.8,40.7,125.8,35.6,0.9,74.1,1.3,166.0,3.9,162.9,0,71.7,0,64.0,0,32.1,2.7,62.0,10.0,135.9,22.4,0,186.0,0,130.4,0,107.7,0.2,37.8,1.6,58.0,3.6,148.1,36.9,101.5,13.5,49.9,26.9,52.1,10.4,63.1,6.4,37.1,14.1,114.1,190.0,0,107.1,0,48.8,0,0,109.2,0,55.3,0,97.5,54.0,6.2,31.9,6.7,79.3,18.7,125.0,0,47.0,0,79.9,0
-3.6|46.5|96.6,5.5|69.5|133.7,0.0|32.2|67.0,0.3|42.7|90.9,-1.5|53.4|107.3,-7.7|48.4|104.6,-0.5|52.8|103.8,-6.8|53.0|110.8,-4.8|31.7|64.6,-1.4|37.5|76.6,-4.6|57.1|116.5,4.4|66.5|130.4,-25.6|25.9|74.9,-0.5|38.2|81.3,3.4|29.1|58.5,-7.8|23.1|54.7,-1.3|55.5|116.2,-10.4|53.9|124.2,-23.0|32.5|85.4,17.2|63.1|108.1,-14.8|18.0|48.6,12.5|44.7|77.5,-29.0|21.5|72.1,22.2|80.9|139.5,-21.0|41.3|104.1,-2.0|54.9|112.2,-2.7|30.6|64.7,-6.8|31.4|67.6,2.0|51.6|103.5,-7.0|51.3|112.7,-28.9|27.4|81.4,-14.7|39.9|92.8,-16.2|18.8|52.2,0.3|33.1|67.9,-25.1|31.9|88.7,19.8|81.1|147.7,10.7|67.3|124.7,0.6|51.3|103.0,3.8|34.6|67.3,-6.0|26.7|61.0,-2.4|60.5|121.4,-29.1|43.5|114.2,11.9|68.1|125.7,-14.2|56.4|122.8,2.4|41.2|79.5,-0.3|45.7|89.4,-16.9|43.4|105.0,7.1|73.0|132.4,-25.8|32.7|90.7,16.2|81.9|143.5,-20.0|17.2|54.3,3.2|46.0|88.8,-31.1|23.0|73.5,13.3|74.2|135.0,-12.7|48.5|105.6,-28.8|36.0|95.3,-7.2|30.5|65.0,-12.4|28.8|73.7,0.2|59.2|120.6,-7.3|59.7|123.9,-21.2|35.6|96.0,-12.2|61.9|133.5,-8.3|29.1|66.7,5.8|49.6|94.2,-11.1|51.1|102.9,27.4|91.3|150.3,-18.8|44.1|104.4,-18.1|35.4|89.1,0.2|32.6|65.6,-8.3|29.0|63.3,-2.8|53.8|110.0,3.3|79.4|147.5,-23.6|30.6|81.0,-3.6|46.5|92.3,-2.4|24.6|53.9,6.2|35.0|65.0,-2.7|50.3|106.6,11.8|68.6|124.3,-66.8|2.0|69.2,-30.5|44.0|116.4,-34.0|12.7|57.1,-0.2|44.9|92.4,-29.7|36.1|96.7,35.3|101.3|167.4,-28.9|25.8|82.8,-5.5|45.0|95.2,-29.9|5.2|40.5,-5.7|22.6|49.4,-26.8|39.3|105.9,-15.2|52.0|114.7,-19.8|29.0|83.4,12.9|58.9|101.2,-3.9|22.8|51.1,12.1|41.9|71.8,-9.9|44.7|94.2,10.8|67.5|122.7,-29.6|20.9|77.0,-7.6|49.5|111.6,-15.2|20.0|54.8,2.4|39.7|77.6,-9.1|33.4|76.7,24.1|64.9|114.6,-7.0|50.7|114.2,12.4|76.6|138.2,-2.7|32.3|63.4,13.1|52.0|91.7,-31.2|25.2|75.7,28.6|91.2|154.1
