row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
1_1,6,8,18,22,25,33,112,39,27,33,17,40,2,10,4,3,8
1_2,8,13,16,24,28,32,121,40,24,41,15,40,5,3,8,4,4
1_3,4,8,12,17,23,29,93,33,25,31,15,29,4,4,5,6,6
1_4,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5
1_5,4,9,13,18,24,28,96,32,24,33,15,31,5,4,5,6,4
1_6,3,6,16,20,24,27,96,30,24,30,18,36,3,10,4,4,3
1_7,5,8,13,17,23,31,97,36,26,31,15,30,3,5,4,6,8
1_8,3,6,10,14,20,31,84,34,28,26,14,24,3,4,4,6,11
1_9,4,12,17,20,24,31,108,35,27,36,12,37,8,5,3,4,7
1_10,5,10,15,18,23,30,101,35,25,33,13,33,5,5,3,5,7
2_1,2,6,11,21,26,30,96,32,28,32,20,32,4,5,10,5,4
2_2,9,12,18,24,26,31,120,40,22,38,14,42,3,6,6,2,5
2_3,6,9,13,17,24,29,98,35,23,33,15,30,3,4,4,7,5
2_4,5,8,13,19,25,29,99,34,24,33,17,32,3,5,6,6,4
2_5,5,9,13,18,24,28,97,33,23,33,15,31,4,4,5,6,4
2_6,0,7,15,20,22,27,91,27,27,29,15,35,7,8,5,2,5
2_7,2,9,13,19,21,27,91,29,25,30,12,32,7,4,6,2,6
2_8,2,8,14,18,21,30,93,32,28,29,13,32,6,6,4,3,9
2_9,2,8,12,16,19,28,85,30,26,27,11,28,6,4,4,3,9
2_10,2,8,12,17,20,28,87,30,26,28,12,29,6,4,5,3,8
3_1,4,6,10,17,21,31,89,35,27,27,15,27,2,4,7,4,10
3_2,6,10,14,21,26,29,106,35,23,36,16,35,4,4,7,5,3
3_3,5,8,10,16,23,29,91,34,24,31,15,26,3,2,6,7,6
3_4,5,8,12,17,25,29,96,34,24,33,17,29,3,4,5,8,4
3_5,4,9,13,18,24,28,96,32,24,33,15,31,5,4,5,6,4
3_6,2,4,10,15,18,29,78,31,27,22,14,25,2,6,5,3,11
3_7,4,6,10,17,20,32,89,36,28,26,14,27,2,4,7,3,12
3_8,6,10,13,17,20,32,98,38,26,30,10,30,4,3,4,3,12
3_9,5,12,17,20,24,32,110,37,27,36,12,37,7,5,3,4,8
3_10,5,11,16,19,23,31,105,36,26,34,12,35,6,5,3,4,8
4_1,3,7,11,19,24,30,94,33,27,31,17,30,4,4,8,5,6
4_2,5,11,17,23,27,30,113,35,25,38,16,40,6,6,6,4,3
4_3,4,8,11,16,23,28,90,32,24,31,15,27,4,3,5,7,5
4_4,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4
4_5,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5
4_6,2,5,9,16,21,29,82,31,27,26,16,25,3,4,7,5,8
4_7,2,6,8,17,22,29,84,31,27,28,16,25,4,2,9,5,7
4_8,3,7,10,13,18,28,79,31,25,25,11,23,4,3,3,5,10
4_9,7,11,14,18,24,29,103,36,22,35,13,32,4,3,4,6,5
4_10,5,10,12,17,24,29,97,34,24,34,14,29,5,2,5,7,5
5_1,5,11,16,18,23,33,106,38,28,34,12,34,6,5,2,5,10
5_2,5,11,15,21,26,29,107,34,24,37,15,36,6,4,6,5,3
5_3,5,8,11,17,24,28,93,33,23,32,16,28,3,3,6,7,4
5_4,5,9,14,19,25,28,100,33,23,34,16,33,4,5,5,6,3
5_5,5,8,13,18,24,28,96,33,23,32,16,31,3,5,5,6,4
5_6,0,2,14,20,24,27,87,27,27,26,22,34,2,12,6,4,3
5_7,2,5,12,19,25,28,91,30,26,30,20,31,3,7,7,6,3
5_8,1,5,10,19,24,27,86,28,26,29,19,29,4,5,9,5,3
5_9,2,5,12,19,23,25,86,27,23,28,18,31,3,7,7,4,2
5_10,3,7,13,19,23,27,92,30,24,30,16,32,4,6,6,4,4
6_1,10,15,19,20,25,33,122,43,23,40,10,39,5,4,1,5,8
6_2,7,13,17,21,25,28,111,35,21,38,12,38,6,4,4,4,3
6_3,5,8,12,17,24,28,94,33,23,32,16,29,3,4,5,7,4
6_4,4,10,14,17,24,28,97,32,24,34,14,31,6,4,3,7,4
6_5,4,8,13,18,24,28,95,32,24,32,16,31,4,5,5,6,4
6_6,2,6,10,14,18,24,74,26,22,24,12,24,4,4,4,4,6
6_7,1,5,8,11,17,25,67,26,24,22,12,19,4,3,3,6,8
6_8,0,4,6,10,15,25,60,25,25,19,11,16,4,2,4,5,10
6_9,2,7,9,14,21,26,79,28,24,28,14,23,5,2,5,7,5
6_10,3,7,10,13,21,27,81,30,24,28,14,23,4,3,3,8,6
7_1,4,6,12,17,22,31,92,35,27,28,16,29,2,6,5,5,9
7_2,8,12,16,19,27,30,112,38,22,39,15,35,4,4,3,8,3
7_3,6,9,14,17,25,30,101,36,24,34,16,31,3,5,3,8,5
7_4,5,9,13,18,25,29,99,34,24,34,16,31,4,4,5,7,4
7_5,4,9,13,18,23,28,95,32,24,32,14,31,5,4,5,5,5
7_6,1,5,15,18,24,29,92,30,28,29,19,33,4,10,3,6,5
7_7,2,8,14,19,24,29,96,31,27,32,16,33,6,6,5,5,5
