Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20240808,24091,1,6,4,0,5,9,6,0,107,37,11,35,5,35,2,1,3,1,4,2,2,10,7
20240811,24092,1,6,5,1,0,8,11,1,81,32,26,26,10,23,5,3,1,6,11,3,6,5,4
20240811,100_1,5,4,2,0,3,14,1,0,109,37,25,38,16,32,5,3,4,9,2,1,2,9,2
20240811,100_2,7,2,1,0,3,14,1,0,111,36,28,38,19,31,4,6,3,10,3,0,0,11,1
20240811,100_3,9,1,0,0,4,15,0,0,107,34,31,39,20,30,6,6,2,13,2,0,0,10,2
20240811,100_4,8,2,0,0,3,16,0,0,106,36,31,39,21,29,5,5,4,13,2,0,0,10,1
20240811,100_5,8,2,0,0,3,15,0,0,104,34,31,37,21,29,5,6,3,12,4,0,0,9,1
20240811,200_1,8,3,0,0,2,12,4,0,105,34,27,35,18,35,4,6,4,7,3,1,0,7,1
20240811,200_2,7,3,1,0,1,12,5,0,104,34,27,35,18,33,4,5,3,8,2,1,0,8,1
20240811,200_3,9,2,0,0,1,12,5,0,105,33,29,34,20,37,4,8,3,7,3,1,1,6,2
20240811,200_4,10,1,0,0,1,13,4,0,108,34,30,36,22,35,4,8,3,10,2,0,1,8,2
20240811,200_5,9,2,0,0,1,13,4,0,102,33,29,34,20,33,5,7,3,9,2,1,1,7,4
20240811,300_1,2,3,2,0,1,12,5,0,102,33,23,36,17,32,4,4,4,7,1,1,1,10,6
20240811,300_2,3,4,1,0,1,12,5,0,101,33,23,35,19,31,3,5,5,8,1,1,1,11,5
20240811,300_3,5,4,0,0,1,13,4,0,94,31,24,32,19,29,2,6,3,8,2,1,1,11,6
20240811,300_4,3,4,0,0,0,12,5,0,90,30,24,31,21,28,2,7,5,8,1,1,1,7,10
20240811,300_5,3,4,0,0,1,13,4,0,93,30,24,31,20,31,2,7,6,6,1,1,1,7,9
