row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,4,14,21,25,28,26,118,30,22,42,14,46,10,7,4,3,-2,8
1_2,2,11,15,23,28,31,110,33,29,39,17,38,9,4,8,5,3,10
1_3,3,9,12,19,25,30,98,33,27,34,16,31,6,3,7,6,5,9
1_4,3,9,13,19,25,29,98,32,26,34,16,32,6,4,6,6,4,8
1_5,4,9,13,19,24,28,97,32,24,33,15,32,5,4,6,5,4,8
1_6,2,10,14,19,29,28,102,30,26,39,19,33,8,4,5,10,-1,10
1_7,2,8,14,18,27,28,97,30,26,35,19,32,6,6,4,9,1,5
1_8,2,7,12,17,27,28,93,30,26,34,20,29,5,5,5,10,1,5
1_9,2,6,11,16,27,30,92,32,28,33,21,27,4,5,5,11,3,6
1_10,3,7,12,18,23,28,91,31,25,30,16,30,4,5,6,5,5,10
2_1,7,10,15,23,28,28,111,35,21,38,18,38,3,5,8,5,0,10
2_2,3,8,17,21,26,29,104,32,26,34,18,38,5,9,4,5,3,7
2_3,3,8,14,19,24,28,96,31,25,32,16,33,5,6,5,5,4,10
2_4,3,9,15,19,25,29,100,32,26,34,16,34,6,6,4,6,4,9
2_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
2_6,5,11,15,17,23,32,103,37,27,34,12,32,6,4,2,6,9,5
2_7,6,12,15,18,23,31,105,37,25,35,11,33,6,3,3,5,8,4
2_8,5,11,15,17,22,31,101,36,26,33,11,32,6,4,2,5,9,2
2_9,3,10,11,19,24,31,98,34,28,34,14,30,7,1,8,5,7,6
2_10,4,6,10,18,27,30,95,34,26,33,21,28,2,4,8,9,3,6
3_1,5,12,15,22,25,25,104,30,20,37,13,37,7,3,7,3,0,13
3_2,3,11,17,22,28,31,112,34,28,39,17,39,8,6,5,6,3,8
3_3,3,10,14,21,27,30,105,33,27,37,17,35,7,4,7,6,3,9
3_4,3,10,15,19,25,29,101,32,26,35,15,34,7,5,4,6,4,8
3_5,4,9,14,18,24,29,98,33,25,33,15,32,5,5,4,6,5,8
3_6,4,6,10,18,26,29,93,33,25,32,20,28,2,4,8,8,3,7
3_7,4,8,11,17,24,28,92,32,24,32,16,28,4,3,6,7,4,4
3_8,5,8,11,18,24,29,95,34,24,32,16,29,3,3,7,6,5,6
3_9,4,8,10,16,24,29,91,33,25,32,16,26,4,2,6,8,5,6
3_10,4,7,12,18,25,30,96,34,26,32,18,30,3,5,6,7,5,7
4_1,6,14,18,23,25,24,110,30,18,39,11,41,8,4,5,2,-1,13
4_2,3,11,16,23,28,30,111,33,27,39,17,39,8,5,7,5,2,12
4_3,3,9,14,20,26,30,102,33,27,35,17,34,6,5,6,6,4,9
4_4,4,10,14,19,25,29,101,33,25,35,15,33,6,4,5,6,4,8
4_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,8
4_6,0,3,5,12,24,32,76,32,32,27,21,17,3,2,7,12,8,8
4_7,1,5,7,14,23,30,80,31,29,28,18,21,4,2,7,9,7,7
4_8,2,5,7,14,22,29,79,31,27,27,17,21,3,2,7,8,7,7
4_9,2,4,7,14,21,28,76,30,26,25,17,21,2,3,7,7,7,6
4_10,3,6,10,16,24,29,88,32,26,30,18,26,3,4,6,8,5,8
5_1,7,12,15,21,22,21,98,28,14,34,10,36,5,3,6,1,-1,8
5_2,4,11,18,23,27,30,113,34,26,38,16,41,7,7,5,4,3,6
