Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue_sort
20240201,24014,1,10,16,7,3,33,13,1,26,24,26,22,32,1,8,12,2,1,5,11,9
20240204,24015,8,15,3,2,2,27,18,2,33,27,28,12,35,5,9,1,2,10,4,9,15
20240204,400_1,0,10,18,6,2,28,17,1,34,23,34,16,40,3,8,6,1,3,5,9,7
20240204,400_2,4,11,12,3,1,24,21,2,37,25,39,15,47,6,9,3,1,4,4,7,5
20240204,400_3,0,9,15,4,1,33,13,0,37,26,38,18,46,4,10,5,2,3,4,8,9
20240204,400_4,1,11,10,3,1,32,15,1,40,27,40,17,46,5,8,6,2,4,4,7,12
20240204,400_5,3,10,9,4,0,29,17,2,43,22,43,15,49,3,8,4,2,3,3,7,10
20240204,600_1,1,13,14,5,0,26,19,2,33,23,34,14,36,4,6,3,4,4,3,8,7
20240204,600_2,3,16,11,3,0,21,26,1,37,20,37,11,39,4,5,2,3,4,3,8,7
20240204,600_3,3,15,12,3,0,21,25,2,34,22,33,14,35,3,5,4,4,4,3,8,9
20240204,600_4,1,17,9,3,0,20,26,3,37,22,37,13,39,4,5,4,3,4,3,9,10
20240204,600_5,4,14,5,1,1,28,18,1,39,24,37,7,40,7,4,2,1,9,3,6,12
20240204,1000_1,1,11,11,5,2,24,21,1,33,20,34,13,37,4,4,5,2,3,3,7,6
20240204,1000_2,3,13,9,3,1,21,25,2,38,22,39,12,42,5,5,5,1,4,4,8,5
20240204,1000_3,1,13,10,4,1,25,21,1,32,22,33,14,35,4,5,6,3,3,4,8,6
20240204,1000_4,4,14,7,1,1,27,18,1,34,22,37,13,38,6,4,5,3,3,3,4,9
20240204,1000_5,4,12,5,3,2,23,20,3,35,25,32,12,33,4,4,4,3,7,3,8,9
