1_1: 2, [2, 6, 11, 14, 19, 28] [3, 2, 1, 1, 1, 0, 0, 0, 2, 1, 3, 1, 1, 1, 0, 1, 1, 0, 0, 0]
1_9: 2, [4, 10, 11, 14, 24, 30] [3, 2, 1, 3, 2, 0, 0, 0, 1, 1, 2, 0, 3, 1, 2, 1, 0, 1, 0, 1]
9_9: 2, [3, 12, 18, 21, 29, 31] [3, 1, 1, 2, 2, 1, 1, 0, 1, 2, 0, 0, 1, 0, 3, 2, 0, 1, 1, 1]
11_7: 2, [5, 8, 12, 15, 19, 29] [4, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1]
14_8: 0, [5, 8, 13, 17, 21, 25] [3, 1, 1, 1, 0, 0, 2, 0, 1, 2, 0, 1, 1, 2, 1, 2, 1, 0, 1, 0]
15_7: 2, [4, 8, 11, 15, 18, 27] [3, 0, 2, 1, 1, 0, 3, 1, 2, 1, 0, 1, 3, 0, 0, 0, 2, 1, 1, 1]
15_9: 3, [6, 12, 20, 22, 25, 29] [3, 3, 1, 1, 1, 1, 2, 0, 0, 1, 2, 2, 2, 1, 2, 0, 1, 1, 0, 0]
17_1: 1, [4, 7, 10, 17, 19, 27] [3, 2, 0, 0, 1, 1, 0, 0, 2, 0, 1, 2, 2, 2, 4, 0, 2, 1, 1, 0]
18_1: 2, [1, 6, 11, 16, 19, 25] [3, 1, 0, 1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 2, 1, 1, 3, 0, 1, 0]
2_7: 1, [3, 4, 7, 11, 13, 26] [4, 1, 1, 2, 0, 2, 1, 2, 0, 1, 2, 0, 2, 0, 1, 1, 1, 1, 0, 1]
12_8: 1, [9, 10, 15, 19, 25, 30] [4, 3, 1, 1, 3, 0, 2, 1, 1, 1, 1, 0, 2, 2, 0, 1, 1, 0, 2, 1]
19_1: 2, [4, 6, 10, 12, 19, 23] [4, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 2]
7_2: 3, [5, 6, 11, 17, 22, 29] [3, 0, 2, 1, 0, 2, 2, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 2, 1]
8_1: 1, [2, 4, 9, 11, 20, 28] [3, 2, 2, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 2, 1, 1, 2]
12_9: 1, [2, 12, 16, 19, 25, 31] [3, 0, 1, 1, 2, 0, 2, 1, 1, 1, 2, 1, 3, 1, 1, 0, 3, 3, 2, 0]
18_9: 1, [1, 13, 15, 18, 24, 30] [3, 1, 0, 1, 2, 2, 1, 2, 0, 2, 1, 1, 1, 0, 2, 1, 2, 0, 1, 2]
19_7: 1, [6, 8, 10, 15, 15, 25] [3, 2, 3, 2, 1, 0, 1, 0, 1, 0, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]
2_8: 2, [4, 6, 11, 15, 17, 28] [3, 1, 1, 0, 0, 2, 0, 0, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2]
12_3: 1, [4, 8, 13, 17, 21, 27] [3, 2, 1, 2, 0, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0, 1]
