5_1: 0, [8, 14, 21, 26, 29, 31] [3, 1, 1, 1, 1, 3, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]
4_2: 1, [4, 7, 13, 17, 25, 28] [3, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 2, 2, 1, 1, 1, 0, 1, 0]
11_3: 0, [2, 9, 15, 21, 25, 30] [3, 0, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 2, 2, 1]
9_3: 1, [4, 10, 15, 20, 25, 29] [3, 0, 1, 0, 1, 3, 0, 0, 2, 2, 2, 0, 1, 1, 2, 0, 0, 2, 1, 1]
11_1: 1, [4, 10, 15, 21, 28, 30] [3, 1, 2, 1, 1, 0, 2, 1, 2, 1, 1, 2, 0, 2, 2, 1, 0, 0, 0, 1]
18_6: 2, [7, 9, 15, 15, 16, 29] [3, 1, 0, 3, 2, 1, 0, 2, 0, 2, 3, 1, 0, 1, 0, 1, 3, 1, 2, 0]
18_10: 1, [8, 16, 20, 25, 28, 30] [3, 3, 1, 0, 1, 3, 2, 2, 0, 1, 0, 1, 1, 0, 1, 0, 1, 2, 0, 3]
9_1: 1, [6, 11, 17, 21, 27, 30] [3, 0, 1, 1, 1, 2, 2, 1, 0, 4, 0, 2, 2, 1, 2, 0, 2, 1, 2, 0]
20_1: 0, [6, 11, 17, 25, 28, 31] [3, 1, 1, 2, 1, 1, 3, 1, 1, 0, 0, 0, 0, 1, 1, 2, 1, 2, 1, 1]
5_2: 1, [4, 8, 12, 18, 24, 28] [3, 1, 2, 3, 0, 2, 1, 1, 0, 0, 1, 2, 0, 1, 1, 1, 2, 2, 1, 2]
20_6: 1, [6, 18, 23, 24, 25, 29] [3, 0, 0, 2, 1, 1, 2, 2, 1, 1, 4, 1, 2, 0, 1, 0, 1, 0, 1, 2]
4_10: 1, [6, 16, 20, 24, 28, 29] [3, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 3, 3]
