key,gap,pro1,pro2,pro3,range1,range2
16_1___1__,1,-1.4,1.2,3.8,2,4
1_7___1__,0,-1.1,1.2,3.5,2,3
1_1___1__,1,-0.2,2.1,4.6,2,5
2_1___1__,1,-0.4,1.5,3.5,2,3
7_1___1__,0,-1.3,1.4,4.1,2,2
8_8___1__,0,-0.3,1.6,3.5,2,2
12_1___1__,1,-1.2,1.1,3.5,2,8
15_1___1__,1,-0.7,1.9,4.8,2,2
19_9___1__,0,-1.1,1.2,3.3,2,4
2_2___1__,1,-0.9,1.1,3.2,2,4
3_1___1__,1,-0.7,1.3,3.6,2,3
3_2___1__,1,-1.9,0.3,2.5,2,5
4_8___1__,0,-1.3,1.3,3.5,2,3
5_1___1__,1,-0.7,1.8,4.2,2,6
5_2___1__,1,-1.5,0.5,2.6,2,3
6_6___1__,0,-1.3,0.7,2.8,2,2
8_1___1__,1,-0.8,1.7,4.1,2,6
10_6___1__,0,-1.5,0.4,2.4,2,5
10_7___1__,0,-1.5,0.5,2.4,2,7
11_1___1__,1,-1.3,1.2,3.5,2,4
3_8___1__,2,-1.2,1.0,3.4,2,2
6_8___1__,2,-0.1,2.5,5.1,2,2
14_7___1__,2,-1.5,1.0,3.4,2,2
17_3___1__,1,-1.3,1.6,4.2,2,5
17_8___1__,2,-0.8,1.2,3.2,2,4
1_6___1__,0,-1.7,1.2,4.2,2,3
2_3___1__,1,0.2,2.9,5.7,2,4
3_10___1__,2,-1.1,1.5,4.1,2,3
4_3___1__,1,-1.3,1.5,4.1,2,4
4_6___1__,2,-0.6,1.4,3.6,2,3
4_9___1__,0,-1.2,1.0,3.2,2,6
4_10___1__,2,-0.3,2.2,4.5,2,7
8_3___1__,1,-0.9,2.0,5.4,2,3
8_10___1__,2,-0.5,1.7,4.0,2,6
9_3___1__,1,-1.5,1.0,3.3,2,3
11_6___1__,4,-0.1,2.1,4.4,1,2
12_6___1__,0,-1.5,0.4,2.4,2,3
12_8___1__,0,-1.0,1.1,3.2,2,3
13_3___1__,1,-1.6,1.1,3.7,2,3
13_10___1__,0,-0.6,1.6,3.9,2,3
11_7___2__,0,-1.8,0.6,2.8,7,8
4_7___2__,0,-0.6,1.6,3.9,7,15
4_8___2__,0,-1.5,0.7,2.6,7,8
6_7___2__,0,-1.2,0.8,2.7,7,7
8_8___2__,0,-0.5,1.4,3.3,3,7
10_6___2__,0,-2.0,0.7,3.3,7,10
10_7___2__,0,-1.4,1.1,3.4,7,13
12_7___2__,0,-0.9,1.1,2.9,7,15
20_9___2__,0,-1.3,1.2,3.6,7,12
2_7___2__,0,-1.0,0.8,2.6,7,7
3_7___2__,0,-2.1,0.6,3.3,7,9
4_9___2__,0,-0.4,1.4,3.3,7,11
5_7___2__,0,-1.7,0.6,2.9,7,7
5_10___2__,0,-0.0,2.4,4.7,7,12
6_9___2__,0,-1.8,0.5,2.8,6,7
7_9___2__,0,-1.4,1.0,3.4,7,8
10_9___2__,0,-0.3,1.7,3.5,7,11
11_8___2__,1,-0.2,2.4,4.7,5,7
11_9___2__,0,-1.4,1.3,3.8,7,7
12_8___2__,0,-0.6,1.6,3.9,7,8
12_3___2__,2,0.0,3.0,6.1,7,10
14_3___2__,2,-0.8,2.9,6.5,7,11
1_3___2__,2,-2.6,1.0,4.3,7,11
9_3___2__,0,-0.3,2.3,5.2,7,9
13_1___2__,1,-1.4,1.9,5.0,5,7
18_1___2__,2,-0.9,2.2,5.3,0,7
6_3___2__,1,-1.8,1.5,4.9,7,11
7_3___2__,2,-1.9,1.4,4.6,7,11
9_6___2__,0,-1.3,0.9,3.1,7,7
13_3___2__,0,-0.8,2.4,5.7,7,10
14_2___2__,2,-2.1,1.8,5.5,7,8
5_1___2__,1,-1.6,1.7,5.0,7,7
6_2___2__,2,-1.6,1.8,5.3,7,7
7_1___2__,1,-0.2,2.3,4.8,7,7
8_2___2__,2,0.0,2.5,5.1,7,8
8_3___2__,1,0.8,3.6,6.6,7,10
10_3___2__,2,-0.5,2.2,4.8,7,10
11_3___2__,1,-0.2,2.9,6.0,7,10
15_3___2__,1,-1.7,1.1,3.9,7,12
17_2___2__,0,0.0,2.8,5.6,7,7
20_7___3__,0,-0.5,1.4,3.1,11,13
9_10___3__,0,-0.9,0.8,2.6,11,19
12_7___3__,0,-1.0,0.8,2.7,11,19
13_8___3__,1,-1.0,0.7,2.3,11,12
1_7___3__,1,-0.8,2.1,4.8,11,14
1_10___3__,1,-1.1,0.7,2.5,11,15
9_8___3__,0,-0.9,1.0,3.0,11,13
9_9___3__,0,-0.2,2.0,4.0,11,17
12_8___3__,0,-1.5,0.1,1.8,11,13
13_2___3__,0,-1.3,0.6,2.5,11,12
14_2___3__,0,-0.4,1.9,4.1,11,12
15_6___3__,0,-1.4,0.5,2.5,11,16
16_7___3__,1,-0.7,1.3,3.2,11,13
20_8___3__,0,-1.6,0.4,2.7,11,11
2_2___3__,0,-0.5,1.6,3.6,11,14
2_7___3__,1,-1.2,1.1,3.5,11,12
3_7___3__,2,-0.7,1.4,3.5,11,12
3_8___3__,0,-0.4,1.0,2.4,11,13
6_8___3__,0,-0.5,1.2,2.9,10,11
9_7___3__,0,-0.3,2.0,4.0,11,13
5_1___3__,0,0.0,2.5,5.0,9,11
8_3___3__,0,-0.6,1.7,3.7,11,17
1_6___3__,2,-0.2,2.8,5.9,10,11
8_1___3__,0,0.5,3.2,5.7,10,11
13_1___3__,0,1.2,3.5,5.9,11,11
15_3___3__,0,-0.6,2.0,4.5,11,17
2_1___3__,0,-0.9,1.2,3.5,11,12
2_3___3__,0,0.3,2.8,5.3,11,15
4_1___3__,0,-0.7,1.8,4.4,11,13
4_3___3__,0,0.3,2.8,5.4,11,17
4_9___3__,1,-0.1,2.2,4.4,11,14
6_1___3__,0,-0.2,2.0,4.2,8,11
6_3___3__,0,-1.2,1.2,3.6,11,17
8_2___3__,0,-1.6,1.2,3.9,11,13
9_3___3__,0,0.0,2.6,5.0,11,16
12_1___3__,0,-0.5,1.7,4.0,11,17
17_3___3__,0,-1.0,1.8,4.8,11,16
20_1___3__,0,-0.3,2.5,5.1,11,14
1_1___3__,0,-0.3,2.1,4.5,11,12
1_3___3__,0,-1.5,1.3,4.3,11,17
6_1___4__,0,-1.4,1.2,3.8,14,21
1_10___4__,1,-2.2,0.8,3.5,18,21
7_1___4__,0,-0.3,2.5,5.0,21,23
12_10___4__,1,-0.8,1.4,3.8,21,23
15_7___4__,1,-0.6,1.7,3.8,21,24
1_2___4__,2,-1.0,1.3,3.8,15,21
9_9___4__,1,-0.5,2.2,4.7,21,25
11_1___4__,0,-1.7,1.0,3.4,21,22
17_1___4__,0,-0.9,1.5,3.7,20,21
18_7___4__,1,0.6,3.0,5.5,20,21
18_10___4__,1,-1.6,1.5,4.5,20,21
19_1___4__,0,-1.9,1.4,5.1,20,21
19_2___4__,0,-1.3,1.3,3.7,21,21
19_7___4__,1,-0.6,1.3,3.3,21,25
19_8___4__,1,-0.9,1.2,3.3,21,21
1_1___4__,0,-1.3,1.3,4.1,17,21
1_8___4__,1,0.1,2.4,4.9,18,21
2_7___4__,1,-1.2,1.0,3.3,17,21
3_8___4__,1,-0.3,1.3,3.3,20,21
3_10___4__,1,-0.7,1.5,3.8,21,22
13_9___4__,5,-0.3,1.9,4.0,20,21
7_3___4__,5,-0.1,2.8,5.4,21,21
13_3___4__,5,-1.2,1.6,4.2,21,21
1_6___4__,3,0.1,3.7,7.1,13,21
2_9___4__,1,-0.2,1.9,3.9,20,21
6_6___4__,3,-0.5,2.5,5.2,15,21
6_9___4__,1,0.0,2.2,4.3,17,21
9_3___4__,3,0.2,2.7,5.3,20,21
10_3___4__,5,-0.6,2.2,5.1,20,21
12_3___4__,5,-0.7,2.5,5.3,18,21
18_3___4__,5,-0.7,2.3,5.2,20,21
2_3___4__,3,-0.7,1.6,3.7,18,21
2_10___4__,1,-0.8,1.2,3.1,19,21
4_1___4__,0,0.2,2.7,5.1,20,21
4_3___4__,1,-0.9,2.0,4.9,20,21
5_3___4__,3,-0.4,2.3,5.0,21,21
6_7___4__,1,0.4,2.7,4.9,17,21
8_2___4__,2,-0.8,2.0,4.3,17,21
8_3___4__,1,-0.8,1.6,4.1,21,21
10_9___4__,3,0.4,2.4,4.6,21,27
3_8___5__,2,-0.8,1.6,3.8,26,27
6_2___5__,0,-0.3,2.1,4.4,22,27
12_1___5__,0,-0.2,2.4,5.2,24,27
17_7___5__,2,-0.4,1.9,4.1,21,27
18_2___5__,1,-1.4,1.8,4.7,23,27
1_3___5__,1,-1.2,2.1,5.2,25,27
2_2___5__,0,-1.2,1.6,4.7,23,27
2_7___5__,2,-0.5,1.8,4.1,23,27
3_6___5__,2,0.1,2.2,4.3,24,27
6_1___5__,0,-0.9,1.6,4.3,25,27
8_7___5__,2,0.1,2.3,4.5,23,27
9_7___5__,2,-0.0,1.7,3.6,26,27
9_9___5__,2,-0.3,1.8,4.1,27,27
10_1___5__,0,-0.9,1.6,4.1,23,27
11_2___5__,1,-0.7,2.0,4.4,25,27
14_2___5__,1,-0.5,2.0,4.4,21,27
19_7___5__,2,-0.3,1.8,3.9,25,27
3_7___5__,2,0.4,2.6,4.8,24,27
4_2___5__,1,-0.5,2.1,4.8,24,27
5_3___5__,1,-0.5,2.3,5.2,25,27
1_6___5__,2,-0.3,3.0,6.8,22,27
1_8___5__,2,-0.4,3.3,6.8,26,27
4_6___5__,7,-0.7,1.7,4.4,21,27
4_10___5__,2,0.7,2.9,5.0,23,27
7_6___5__,2,0.5,2.8,5.1,26,27
11_6___5__,2,0.4,2.7,4.7,19,27
11_8___5__,2,1.1,3.3,5.8,20,27
11_9___5__,2,1.4,3.5,5.7,22,27
12_2___5__,2,-1.0,2.1,5.1,24,27
15_8___5__,2,0.4,3.0,5.6,24,27
1_7___5__,2,-0.1,2.8,5.5,23,27
2_8___5__,2,1.0,3.3,5.6,22,27
2_9___5__,2,0.5,2.7,4.7,24,27
2_10___5__,2,-0.1,1.8,3.8,25,27
4_7___5__,2,0.4,2.9,5.1,23,27
4_9___5__,2,-0.8,1.5,3.6,22,27
7_8___5__,2,1.1,3.0,5.2,27,27
7_9___5__,1,-0.1,1.9,3.9,27,28
7_10___5__,2,0.8,3.0,5.4,26,27
11_7___5__,2,-0.3,1.8,3.8,23,27
19_7___6__,0,-0.6,0.9,2.7,27,28
1_10___6__,0,-1.4,0.8,3.0,28,28
12_7___6__,0,-0.9,1.2,3.4,28,31
12_8___6__,0,-1.3,0.5,2.4,28,30
12_9___6__,0,-0.5,1.2,2.9,28,30
5_7___6__,1,-1.6,0.3,2.4,28,30
10_7___6__,0,-1.3,0.4,2.1,28,30
10_9___6__,0,-1.9,0.1,2.1,28,30
13_10___6__,0,-1.7,0.2,2.2,28,28
18_8___6__,0,-1.1,1.3,3.6,28,28
19_6___6__,0,-0.9,0.8,2.3,26,28
19_8___6__,0,-0.8,1.0,2.9,27,28
20_9___6__,0,-1.5,0.7,2.8,28,30
20_10___6__,0,-1.6,0.6,2.8,28,30
3_2___6__,0,-0.9,0.8,2.5,26,28
3_8___6__,0,-0.9,1.4,3.6,28,30
5_8___6__,0,-1.2,0.9,2.9,28,30
5_9___6__,1,-1.2,0.8,2.9,28,29
5_10___6__,0,-1.8,0.7,3.1,28,31
6_7___6__,0,-0.7,1.2,3.2,26,28
2_9___6__,0,-0.9,1.5,4.1,28,29
2_10___6__,0,-0.6,1.3,3.3,28,31
4_10___6__,1,-0.4,1.5,3.5,28,28
9_2___6__,1,0.1,2.2,4.2,24,28
16_2___6__,0,-0.5,1.6,3.5,27,28
16_10___6__,0,-0.0,2.2,4.5,28,30
1_8___6__,2,-0.9,1.4,3.7,28,29
2_8___6__,1,-0.8,1.3,3.5,28,28
6_2___6__,0,-0.7,1.6,3.8,28,28
7_3___6__,0,-0.7,1.7,4.2,28,29
9_10___6__,0,-0.4,1.7,3.8,28,31
10_2___6__,0,-0.8,1.1,3.0,22,28
11_1___6__,0,-1.1,1.4,3.7,25,28
17_3___6__,0,-0.6,1.6,3.5,28,29
1_7___6__,2,-1.2,1.2,3.5,26,28
2_7___6__,5,-1.8,0.5,2.6,28,28
4_1___6__,0,-1.4,1.2,3.8,27,28
4_2___6__,1,-0.3,1.6,3.5,27,28
4_3___6__,0,0.4,2.4,4.4,28,29
6_3___6__,0,-0.3,1.8,4.0,28,29
6_8___7__,0,-1.1,1.0,3.4,88,96
9_9___7__,1,-1.2,1.2,3.5,96,125
9_10___7__,1,-1.7,1.3,4.1,96,130
11_2___7__,0,-1.3,1.1,3.4,96,100
14_2___7__,0,-1.4,1.3,4.4,96,97
16_7___7__,1,-0.9,1.6,3.9,96,99
16_8___7__,1,-1.1,1.3,3.9,96,96
17_7___7__,1,-1.3,1.2,3.6,96,96
17_8___7__,1,-1.8,1.2,3.9,96,114
17_10___7__,1,-1.3,1.2,3.9,96,123
19_6___7__,0,-0.7,1.3,3.2,96,112
19_7___7__,1,0.0,2.2,4.5,96,128
19_8___7__,1,-1.3,1.1,3.2,96,111
1_1___7__,0,-2.1,2.1,6.3,96,100
3_2___7__,0,0.5,3.4,6.5,96,100
7_10___7__,1,-0.8,1.5,4.0,96,117
8_7___7__,0,-0.7,1.5,3.6,96,105
9_8___7__,1,-2.2,0.5,3.2,96,113
11_7___7__,1,0.3,2.6,4.9,96,99
11_8___7__,0,-0.8,1.7,4.2,87,96
5_6___7__,2,-1.2,1.4,3.9,96,102
7_3___7__,5,-0.9,2.4,5.7,96,112
8_3___7__,1,-1.6,1.6,4.8,96,113
9_2___7__,3,-1.0,2.0,5.0,93,96
17_3___7__,0,0.3,3.1,5.9,96,115
1_6___7__,2,0.7,4.0,7.1,91,96
4_9___7__,1,-1.0,1.2,3.1,96,112
13_3___7__,5,-0.9,2.2,5.0,96,116
1_3___7__,0,-0.6,2.5,5.8,96,118
2_3___7__,0,1.2,4.1,7.2,96,105
2_10___7__,1,-0.4,2.3,4.9,96,116
3_3___7__,5,-1.4,1.6,4.5,96,116
3_6___7__,2,-1.8,1.3,4.4,96,110
3_9___7__,1,-0.7,1.7,4.1,96,111
4_2___7__,2,-0.7,1.9,4.4,96,104
4_3___7__,5,-0.3,2.9,6.6,96,113
6_3___7__,0,-0.5,2.1,4.7,96,114
6_6___7__,2,-0.8,1.1,3.1,74,96
8_8___7__,0,-0.3,2.1,4.6,94,96
8_9___7__,2,-0.1,2.4,4.5,96,101
5_9___8__,0,-0.5,1.4,3.5,30,33
10_10___8__,0,-1.7,0.7,3.0,30,34
13_8___8__,0,-1.1,1.0,3.1,30,30
16_7___8__,0,-0.2,1.8,3.9,29,30
17_9___8__,0,-1.1,1.2,3.7,30,34
1_10___8__,1,-2.2,0.6,3.2,30,33
4_8___8__,0,-0.0,2.4,4.7,30,31
5_7___8__,0,-1.9,0.4,2.6,30,32
5_8___8__,0,-1.4,0.5,2.6,30,32
5_10___8__,0,-1.3,1.4,4.5,30,38
8_1___8__,1,-1.1,1.3,3.6,30,33
9_9___8__,2,-1.8,0.7,3.1,30,36
10_7___8__,0,-0.9,1.1,3.1,30,37
10_9___8__,0,-0.7,1.3,3.3,30,34
12_6___8__,0,-1.1,1.2,3.3,30,32
12_9___8__,0,-1.1,0.9,3.3,30,35
12_10___8__,1,-1.3,1.1,3.5,30,38
15_2___8__,1,-0.6,1.6,3.7,28,30
15_8___8__,0,-1.1,1.1,3.4,30,34
16_8___8__,0,-0.7,1.5,3.9,28,30
1_2___8__,1,-0.6,1.8,4.5,30,30
1_3___8__,1,-1.4,1.5,4.5,30,34
8_3___8__,1,-0.7,1.7,3.9,30,32
9_7___8__,5,-1.3,1.3,4.0,30,33
11_10___8__,2,-0.6,2.1,5.0,30,33
13_1___8__,5,-1.2,1.7,4.4,29,30
14_1___8__,1,-0.8,2.0,4.7,27,30
14_6___8__,2,0.2,2.5,4.7,25,30
16_2___8__,1,-0.3,1.7,3.8,30,30
3_3___8__,1,-0.5,2.3,4.9,30,35
4_3___8__,1,0.5,2.9,5.3,30,33
6_9___8__,2,-0.8,1.8,4.2,29,30
6_10___8__,2,-0.5,1.8,4.3,30,30
8_9___8__,1,0.3,2.4,4.4,30,31
9_8___8__,2,-0.8,1.4,3.6,30,32
10_2___8__,1,-0.1,2.0,3.9,26,30
10_3___8__,1,-0.5,2.2,4.8,30,34
11_1___8__,1,0.4,2.4,4.5,29,30
11_3___8__,1,-2.8,0.1,2.8,30,33
11_9___8__,1,-0.2,2.3,4.7,30,31
6_6___9__,0,-1.2,0.9,3.2,20,26
6_7___9__,0,-1.6,0.2,2.0,24,26
8_7___9__,0,-1.4,0.8,2.8,26,26
16_6___9__,0,-1.7,0.7,2.7,22,26
8_6___9__,0,-1.5,1.0,3.6,26,26
9_6___9__,1,-1.2,1.1,3.1,26,26
11_8___9__,0,-1.7,0.7,3.2,26,27
11_10___9__,0,-0.5,1.5,3.4,25,26
12_9___9__,0,-1.3,0.6,2.5,25,26
15_6___9__,1,0.1,2.3,4.6,23,26
1_9___9__,0,-1.1,1.4,3.8,26,27
2_1___9__,0,-1.2,0.9,3.3,21,26
3_9___9__,0,-1.3,0.9,2.8,26,28
4_2___9__,1,-2.0,0.3,2.8,22,26
4_8___9__,0,-1.5,0.9,2.9,25,26
5_1___9__,0,-1.0,1.7,3.9,16,26
5_8___9__,0,-1.3,0.9,2.9,26,28
7_1___9__,0,-1.1,1.3,3.8,26,28
7_6___9__,0,-1.2,1.0,3.0,26,30
7_9___9__,0,-1.5,0.7,2.7,26,28
2_8___9__,1,-1.1,1.3,3.8,25,26
11_3___9__,1,-0.8,1.9,4.3,25,26
1_1___9__,1,-0.0,2.6,5.2,21,26
1_3___9__,1,-1.0,2.1,4.9,24,26
2_2___9__,1,-0.2,2.0,4.3,23,26
2_6___9__,1,-1.5,1.0,3.7,23,26
2_7___9__,1,-1.1,0.9,3.0,26,26
3_7___9__,1,-0.9,1.5,3.9,25,26
5_6___9__,1,-0.2,1.8,4.0,26,29
5_9___9__,1,-0.6,1.5,3.7,25,26
5_10___9__,0,-0.3,1.7,3.9,24,26
6_3___9__,1,-1.1,1.9,5.0,25,26
10_1___9__,0,-0.2,2.7,5.4,26,26
11_2___9__,1,0.4,2.6,5.1,22,26
12_3___9__,1,-0.6,2.0,4.3,26,26
14_1___9__,1,-0.9,1.6,4.2,19,26
17_1___9__,1,-0.9,1.7,4.2,24,26
20_7___9__,1,-1.2,1.2,3.4,23,26
1_2___9__,1,-0.9,1.7,4.4,24,26
3_1___9__,1,-1.8,1.1,4.1,25,26
3_8___10__,0,-1.4,1.2,3.6,33,34
9_10___10__,0,-1.6,1.2,3.7,34,40
15_6___10__,0,-1.7,1.0,4.0,34,39
15_7___10__,0,-1.9,0.2,2.1,34,43
16_6___10__,0,-0.1,2.2,4.7,23,34
17_6___10__,0,-1.3,0.9,3.4,29,34
17_7___10__,0,-0.9,0.9,2.5,29,34
17_9___10__,0,-1.5,0.6,2.7,34,36
2_6___10__,0,-1.0,1.0,2.9,31,34
2_7___10__,0,-1.1,1.1,3.3,30,34
6_8___10__,0,-1.3,0.8,3.0,23,34
7_9___10__,0,-1.7,0.1,2.1,34,36
10_6___10__,0,-1.9,0.8,3.5,34,36
12_1___10__,1,-1.6,1.5,4.5,34,35
12_2___10__,0,-0.5,1.8,4.2,32,34
12_7___10__,0,-1.1,1.5,4.0,34,44
12_8___10__,0,-1.3,0.9,3.3,31,34
12_10___10__,0,-0.6,1.7,3.8,34,40
