row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,2,5,10,10,20,25,72,27,23,25,15,20,3,5,0,10,5,2
1_2,2,6,8,14,20,24,74,26,22,26,14,22,4,2,6,6,4,8
1_3,3,8,11,17,20,27,86,30,24,28,12,28,5,3,6,3,7,5
1_4,4,7,12,18,23,28,92,32,24,30,16,30,3,5,6,5,5,7
1_5,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5,8
1_6,5,12,14,21,26,27,105,32,22,38,14,35,7,2,7,5,1,8
1_7,5,11,13,19,24,26,98,31,21,35,13,32,6,2,6,5,2,11
1_8,4,10,13,20,24,26,97,30,22,34,14,33,6,3,7,4,2,9
1_9,3,7,12,20,22,26,90,29,23,29,15,32,4,5,8,2,4,8
1_10,4,8,12,18,22,28,92,32,24,30,14,30,4,4,6,4,6,12
2_1,1,5,8,16,21,27,78,28,26,26,16,24,4,3,8,5,6,5
2_2,1,5,7,15,20,27,75,28,26,25,15,22,4,2,8,5,7,7
2_3,4,8,12,19,21,28,92,32,24,29,13,31,4,4,7,2,7,7
2_4,3,7,12,18,22,28,90,31,25,29,15,30,4,5,6,4,6,7
2_5,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,8
2_6,8,11,15,21,24,27,106,35,19,35,13,36,3,4,6,3,3,7
2_7,9,10,13,18,22,30,102,39,21,32,12,31,1,3,5,4,8,7
2_8,7,8,12,16,19,27,89,34,20,27,11,28,1,4,4,3,8,6
2_9,6,7,10,14,18,27,82,33,21,25,11,24,1,3,4,4,9,6
2_10,5,8,13,16,22,30,94,35,25,30,14,29,3,5,3,6,8,5
3_1,5,9,11,14,18,29,86,34,24,27,9,25,4,2,3,4,11,8
3_2,3,8,14,19,20,28,92,31,25,28,12,33,5,6,5,1,8,8
3_3,6,10,15,20,23,28,102,34,22,33,13,35,4,5,5,3,5,8
3_4,4,8,12,18,23,28,93,32,24,31,15,30,4,4,6,5,5,7
3_5,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4,8
3_6,6,9,16,19,21,25,96,31,19,30,12,35,3,7,3,2,4,8
3_7,6,10,14,17,20,25,92,31,19,30,10,31,4,4,3,3,5,11
3_8,4,9,13,16,19,23,84,27,19,28,10,29,5,4,3,3,4,9
3_9,4,9,12,18,21,24,88,28,20,30,12,30,5,3,6,3,3,9
3_10,6,8,10,17,22,28,91,34,22,30,14,27,2,2,7,5,6,7
4_1,2,2,8,12,20,30,74,32,28,22,18,20,0,6,4,8,10,10
4_2,3,7,11,17,24,28,90,31,25,31,17,28,4,4,6,7,4,10
4_3,4,7,11,15,22,27,86,31,23,29,15,26,3,4,4,7,5,9
4_4,3,7,12,18,23,28,91,31,25,30,16,30,4,5,6,5,5,8
4_5,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4,8
4_6,3,5,10,19,22,28,87,31,25,27,17,29,2,5,9,3,6,12
4_7,5,5,11,18,22,29,90,34,24,27,17,29,0,6,7,4,7,10
4_8,4,5,10,19,21,27,86,31,23,26,16,29,1,5,9,2,6,10
4_9,4,4,11,19,21,28,87,32,24,25,17,30,0,7,8,2,7,10
4_10,4,8,13,19,22,28,94,32,24,30,14,32,4,5,6,3,6,14
5_1,6,9,17,18,20,29,99,35,23,29,11,35,3,8,1,2,9,4
5_2,3,7,13,21,24,28,96,31,25,31,17,34,4,6,8,3,4,4
5_3,5,8,14,20,23,29,99,34,24,31,15,34,3,6,6,3,6,5
5_4,4,7,13,19,23,28,94,32,24,30,16,32,3,6,6,4,5,7
5_5,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,8
5_6,8,12,15,23,27,31,116,39,23,39,15,38,4,3,8,4,4,8
5_7,9,12,15,21,24,29,110,38,20,36,12,36,3,3,6,3,5,9
5_8,9,13,17,21,24,29,113,38,20,37,11,38,4,4,4,3,5,7
5_9,8,10,16,21,24,29,108,37,21,34,14,37,2,6,5,3,5,8
5_10,5,9,13,18,24,30,99,35,25,33,15,31,4,4,5,6,6,11
6_1,2,5,10,11,19,26,73,28,24,24,14,21,3,5,1,8,7,4
6_2,3,7,10,13,20,25,78,28,22,27,13,23,4,3,3,7,5,5
6_3,4,8,12,15,21,27,87,31,23,29,13,27,4,4,3,6,6,5
6_4,5,8,13,18,23,28,95,33,23,31,15,31,3,5,5,5,5,6
6_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,7
6_6,4,7,12,15,17,25,80,29,21,24,10,27,3,5,3,2,8,9
6_7,9,10,12,16,18,27,92,36,18,28,8,28,1,2,4,2,9,10
6_8,7,8,11,16,18,27,87,34,20,26,10,27,1,3,5,2,9,8
6_9,5,5,9,16,20,27,82,32,22,25,15,25,0,4,7,4,7,8
6_10,7,9,13,19,24,29,101,36,22,33,15,32,2,4,6,5,5,8
7_1,1,4,8,10,19,28,70,29,27,23,15,18,3,4,2,9,9,9
7_2,3,9,13,19,22,29,95,32,26,31,13,32,6,4,6,3,7,5
7_3,4,8,11,17,22,28,90,32,24,30,14,28,4,3,6,5,6,7
7_4,4,7,12,18,23,28,92,32,24,30,16,30,3,5,6,5,5,7
7_5,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,8
7_6,8,12,15,20,23,26,104,34,18,35,11,35,4,3,5,3,3,12
7_7,6,10,13,18,18,28,93,34,22,28,8,31,4,3,5,0,10,10
7_8,5,9,10,18,20,27,89,32,22,29,11,28,4,1,8,2,7,8
7_9,4,6,8,15,19,27,79,31,23,25,13,23,2,2,7,4,8,9
7_10,5,10,12,18,21,28,94,33,23,31,11,30,5,2,6,3,7,9
8_1,4,6,6,9,14,21,60,25,17,20,8,15,2,0,3,5,7,9
8_2,3,6,6,16,20,23,74,26,20,26,14,22,3,0,10,4,3,5
8_3,3,8,11,18,20,26,86,29,23,28,12,29,5,3,7,2,6,7
8_4,3,7,12,19,22,27,90,30,24,29,15,31,4,5,7,3,5,7
8_5,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,8
8_6,8,8,14,20,22,26,98,34,18,30,14,34,0,6,6,2,4,7
8_7,8,9,12,19,23,27,98,35,19,32,14,31,1,3,7,4,4,7
8_8,8,10,14,19,23,26,100,34,18,33,13,33,2,4,5,4,3,6
8_9,7,9,13,19,24,26,98,33,19,33,15,32,2,4,6,5,2,6
8_10,6,7,10,15,23,29,90,35,23,30,16,25,1,3,5,8,6,10
9_1,6,9,14,16,24,31,100,37,25,33,15,30,3,5,2,8,7,8
9_2,3,8,14,19,24,29,97,32,26,32,16,33,5,6,5,5,5,4
9_3,4,9,14,19,22,29,97,33,25,31,13,33,5,5,5,3,7,6
9_4,3,7,13,19,23,28,93,31,25,30,16,32,4,6,6,4,5,8
9_5,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,8
