row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
1_1,8,10,12,16,27,31,104,39,23,37,17,28,2,2,4,11,4,12
1_2,4,7,11,14,24,30,90,34,26,31,17,25,3,4,3,10,6,9
1_3,5,8,13,17,23,27,93,32,22,31,15,30,3,5,4,6,4,9
1_4,4,8,13,18,25,29,97,33,25,33,17,31,4,5,5,7,4,9
1_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,9
1_6,7,16,23,25,27,29,127,36,22,43,11,48,9,7,2,2,2,8
1_7,3,7,17,21,24,28,100,31,25,31,17,38,4,10,4,3,4,6
1_8,6,8,17,21,26,31,109,37,25,34,18,38,2,9,4,5,5,10
1_9,2,9,15,20,24,29,99,31,27,33,15,35,7,6,5,4,5,7
1_10,3,6,11,16,22,29,87,32,26,28,16,27,3,5,5,6,7,6
2_1,15,19,23,25,26,30,138,45,15,45,7,48,4,4,2,1,4,12
2_2,8,11,16,19,21,28,103,36,20,32,10,35,3,5,3,2,7,10
2_3,5,10,15,19,23,27,99,32,22,33,13,34,5,5,4,4,4,10
2_4,4,9,13,18,24,28,96,32,24,33,15,31,5,4,5,6,4,9
2_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,9
2_6,4,13,20,24,27,27,115,31,23,40,14,44,9,7,4,3,0,6
2_7,7,12,21,24,27,29,120,36,22,39,15,45,5,9,3,3,2,8
2_8,9,16,21,25,29,31,131,40,22,45,13,46,7,5,4,4,2,7
2_9,9,15,21,24,28,31,128,40,22,43,13,45,6,6,3,4,3,6
2_10,9,13,20,22,26,31,121,40,22,39,13,42,4,7,2,4,5,8
3_1,6,14,20,26,29,31,126,37,25,43,15,46,8,6,6,3,2,1
3_2,8,11,15,19,23,29,105,37,21,34,12,34,3,4,4,4,6,9
3_3,6,8,14,18,24,28,98,34,22,32,16,32,2,6,4,6,4,10
3_4,4,8,13,17,24,28,94,32,24,32,16,30,4,5,4,7,4,8
3_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
3_6,9,18,23,27,28,30,135,39,21,46,10,50,9,5,4,1,2,6
3_7,10,16,21,24,28,30,129,40,20,44,12,45,6,5,3,4,2,7
3_8,6,14,16,18,24,28,106,34,22,38,10,34,8,2,2,6,4,7
3_9,8,14,18,20,23,27,110,35,19,37,9,38,6,4,2,3,4,5
3_10,8,13,16,17,22,27,103,35,19,35,9,33,5,3,1,5,5,6
4_1,16,16,21,26,28,33,140,49,17,44,12,47,0,5,5,2,5,12
4_2,9,10,13,17,24,29,102,38,20,34,14,30,1,3,4,7,5,11
4_3,6,9,15,20,25,29,104,35,23,34,16,35,3,6,5,5,4,10
4_4,3,8,13,18,25,28,95,31,25,33,17,31,5,5,5,7,3,10
4_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
4_6,7,15,18,22,28,28,118,35,21,43,13,40,8,3,4,6,0,11
4_7,10,15,18,22,28,30,123,40,20,43,13,40,5,3,4,6,2,11
4_8,8,11,16,17,23,28,103,36,20,34,12,33,3,5,1,6,5,11
4_9,10,14,18,20,24,29,115,39,19,38,10,38,4,4,2,4,5,10
4_10,10,13,18,20,24,29,114,39,19,37,11,38,3,5,2,4,5,9
5_1,14,15,18,21,27,30,125,44,16,42,12,39,1,3,3,6,3,12
5_2,10,12,16,19,26,30,113,40,20,38,14,35,2,4,3,7,4,10
5_3,5,7,14,18,23,27,94,32,22,30,16,32,2,7,4,5,4,9
5_4,4,9,13,18,25,29,98,33,25,34,16,31,5,4,5,7,4,9
5_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,9
5_6,6,12,20,23,28,30,119,36,24,40,16,43,6,8,3,5,2,11
5_7,4,10,15,21,23,30,103,34,26,33,13,36,6,5,6,2,7,12
5_8,4,8,15,21,24,28,100,32,24,32,16,36,4,7,6,3,4,12
5_9,2,10,15,21,24,29,101,31,27,34,14,36,8,5,6,3,5,9
5_10,3,8,13,19,24,28,95,31,25,32,16,32,5,5,6,5,4,6
6_1,12,16,18,23,26,35,130,47,23,42,10,41,4,2,5,3,9,10
6_2,8,11,18,21,25,33,116,41,25,36,14,39,3,7,3,4,8,9
6_3,5,8,12,17,25,27,94,32,22,33,17,29,3,4,5,8,2,9
6_4,4,9,13,18,25,29,98,33,25,34,16,31,5,4,5,7,4,9
6_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
6_6,10,11,16,19,25,29,110,39,19,36,14,35,1,5,3,6,4,9
6_7,10,12,18,20,23,29,112,39,19,35,11,38,2,6,2,3,6,11
6_8,6,10,13,16,19,28,92,34,22,29,9,29,4,3,3,3,9,11
6_9,6,11,16,20,20,28,101,34,22,31,9,36,5,5,4,0,8,8
6_10,9,13,18,21,22,28,111,37,19,35,9,39,4,5,3,1,6,10
7_1,10,13,17,23,28,31,122,41,21,41,15,40,3,4,6,5,3,10
7_2,9,9,19,22,27,32,118,41,23,36,18,41,0,10,3,5,5,9
7_3,7,10,15,19,25,28,104,35,21,35,15,34,3,5,4,6,3,9
7_4,4,8,13,19,25,29,98,33,25,33,17,32,4,5,6,6,4,9
