Date,Game,less5,less8,less9,less10,row1,row2,row3,row4,sum_all,sum16,gap16,sum25,gap25,sum34,gap12,gap23,gap34,gap45,gap56,ball,ball_column,blue,blue_sort
20250121,25009,0,8,3,2,0,9,10,1,77,27,23,27,19,23,2,7,1,11,2,3,4,6,5
20250123,100_1,5,4,0,0,1,10,8,0,74,28,28,20,15,20,2,6,1,6,9,1,2,8,7
20250123,100_2,5,5,0,0,1,11,6,0,86,31,28,23,15,24,2,6,2,4,9,2,2,7,8
20250123,100_3,6,5,0,0,2,11,5,0,87,32,29,23,15,26,2,6,3,2,11,1,1,7,8
20250123,100_4,5,5,0,0,2,11,6,0,80,31,28,20,13,22,1,5,4,2,12,1,1,7,9
20250123,100_5,5,5,0,0,2,12,5,0,79,33,30,20,12,22,3,4,4,2,14,1,1,8,10
20250123,200_1,3,5,0,0,1,12,5,0,83,31,22,26,12,27,1,5,2,4,7,2,3,9,13
20250123,200_2,4,5,0,0,1,13,4,0,87,32,24,26,10,28,3,4,3,2,9,2,3,10,13
20250123,200_3,6,4,0,0,2,10,6,0,88,33,26,25,12,30,2,6,4,2,10,2,2,11,12
20250123,200_4,6,4,0,0,2,9,6,0,97,34,25,28,13,34,2,6,4,2,8,2,2,11,10
20250123,200_5,7,3,1,0,2,9,7,0,98,35,27,28,14,34,3,8,3,2,9,2,2,7,8
20250123,300_1,6,5,0,0,1,11,7,0,99,35,28,32,19,30,3,6,6,7,6,2,2,4,11
20250123,300_2,6,5,0,0,1,11,6,0,102,36,28,33,18,32,3,6,6,6,6,2,2,3,12
20250123,300_3,6,5,0,0,1,12,5,0,100,35,28,32,18,30,3,3,8,5,6,2,3,2,12
20250123,300_4,5,5,0,0,1,11,6,1,95,34,27,31,19,28,2,3,8,6,5,2,4,4,12
20250123,300_5,7,5,0,0,1,11,6,0,92,35,29,30,17,26,3,2,8,6,8,2,4,5,9
