Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
23054,20230514,1,12,3,2,2,1,7,2,7,1,8
23054,20230514,6,6,7,5,6,6,5,4,5,3,13
23054,20230514,6,5,6,5,5,6,4,4,5,3,14
23054,20230514,8,4,7,6,7,8,3,5,3,1,13
23054,20230514,8,4,8,5,8,8,3,5,2,0,13
23054,20230514,8,4,7,5,8,8,3,5,2,0,12
