Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
23055,20230516,4,2,1,3,10,6,4,2,6,2,9
23055,20230516,2,8,2,3,3,3,6,4,6,1,8
23055,20230516,4,7,2,4,5,3,5,3,4,0,7
23055,20230516,5,7,3,4,6,3,4,3,4,0,7
23055,20230516,4,6,2,6,5,3,3,2,3,2,6
23055,20230516,4,6,1,8,5,4,3,2,2,3,7
