key,gap,pro1,pro2,pro3,range1,range2
3_1___1__,0,-1.9,0.5,2.7,3,5
15_9___1__,0,-1.2,1.1,3.4,1,3
2_6___1__,0,-0.9,1.3,3.5,3,3
16_8___1__,0,-0.5,1.2,3.2,3,4
16_9___1__,0,-0.5,1.3,3.1,3,3
1_1___1__,0,-1.3,1.1,3.4,3,3
2_7___1__,0,0.1,2.0,3.7,3,3
5_8___1__,0,0.2,2.2,4.2,3,5
8_7___1__,0,-0.3,1.8,3.9,2,3
10_8___1__,0,0.3,1.9,3.6,1,3
12_1___1__,0,-1.3,1.1,3.8,3,6
12_9___1__,0,-2.1,0.7,3.6,3,4
13_9___1__,0,-1.7,0.7,2.9,3,4
14_1___1__,0,-0.3,1.7,4.2,3,5
15_10___1__,0,-0.7,1.5,3.9,1,3
17_7___1__,0,-0.3,1.3,3.0,2,3
18_2___1__,0,-0.9,1.4,3.7,2,3
19_1___1__,0,-1.2,1.0,3.1,3,5
2_9___1__,0,-0.9,1.2,3.4,3,3
4_8___1__,0,-1.3,1.1,3.6,3,5
18_7___1__,0,-0.5,1.7,3.7,3,4
3_10___1__,0,-0.6,1.9,4.3,3,4
7_7___1__,0,0.1,2.3,4.3,3,3
11_7___1__,0,0.1,2.1,4.2,0,3
14_10___1__,0,-1.1,1.5,4.2,3,3
19_7___1__,0,-0.5,1.9,4.3,1,3
1_6___1__,0,-0.4,2.9,5.7,3,5
1_8___1__,0,-0.4,2.1,4.6,3,5
7_2___1__,0,0.3,2.2,4.0,3,4
7_3___1__,0,-0.9,2.4,5.8,3,6
9_7___1__,0,0.7,3.0,5.6,3,4
11_3___1__,0,-0.9,1.5,4.1,3,5
12_3___1__,0,0.6,3.2,5.8,3,5
13_10___1__,0,-0.1,1.8,4.1,3,3
18_6___1__,0,-0.7,1.6,3.7,3,5
1_2___1__,0,-0.9,1.1,3.3,2,3
1_3___1__,0,-1.3,1.6,4.8,3,5
1_7___1__,0,-0.7,1.7,4.1,3,6
2_3___1__,0,0.1,2.7,5.3,3,5
2_10___1__,0,-0.9,1.2,3.3,3,3
14_7___2__,1,-0.6,1.7,3.9,3,22
17_10___2__,1,-0.9,1.5,3.7,3,22
3_8___2__,1,-1.0,1.1,3.0,5,22
6_8___2__,2,-0.3,2.2,5.0,6,22
8_9___2__,1,-0.9,1.2,3.3,5,22
14_8___2__,1,-1.9,0.7,3.1,4,22
18_9___2__,1,-1.7,0.5,2.6,7,22
2_9___2__,2,-0.1,1.9,3.9,5,22
3_7___2__,2,-1.7,0.7,3.0,5,22
5_7___2__,1,-0.8,1.5,3.6,5,22
6_6___2__,1,-1.3,0.9,3.0,4,22
6_7___2__,1,-0.4,1.4,3.4,5,22
6_9___2__,2,-1.1,1.1,3.5,5,22
8_7___2__,1,-0.4,1.5,3.2,4,22
8_8___2__,1,-1.1,0.7,2.6,5,22
9_8___2__,1,-1.8,0.5,2.9,3,22
9_9___2__,1,-1.5,1.0,3.5,4,22
10_8___2__,1,-0.2,1.3,2.8,5,22
10_9___2__,1,-0.5,1.2,3.1,5,22
12_8___2__,1,-1.3,1.3,3.8,4,22
14_3___2__,5,-0.2,3.3,6.9,11,22
1_2___2__,2,-1.7,2.2,5.7,8,22
2_2___2__,2,-1.4,1.7,5.0,9,22
4_2___2__,6,-0.2,2.5,5.2,12,22
5_2___2__,6,-1.5,1.5,4.5,11,22
6_1___2__,6,-1.5,1.9,5.2,6,22
9_2___2__,3,-1.1,1.7,4.6,13,22
15_1___2__,5,-1.6,1.3,4.1,9,22
17_3___2__,3,-1.3,1.7,5.0,8,22
1_1___2__,6,-1.8,1.2,4.5,8,22
1_7___2__,6,-0.1,2.3,4.9,11,22
1_8___2__,2,-1.5,1.2,3.8,8,22
2_3___2__,6,-1.7,1.4,4.1,11,22
4_1___2__,6,-1.9,1.0,3.8,14,22
5_3___2__,5,-1.5,1.6,4.9,9,22
7_1___2__,5,-2.5,0.4,3.5,17,22
9_1___2__,6,-2.0,1.2,4.4,13,22
11_2___2__,6,-2.4,1.6,5.5,9,22
11_6___2__,1,-0.6,2.0,4.4,2,22
12_7___2__,2,-0.3,2.0,4.1,4,22
7_8___3__,1,-0.2,1.5,3.1,8,24
20_8___3__,2,-1.3,0.9,3.1,9,24
3_8___3__,1,-0.7,1.1,2.9,10,24
3_7___3__,6,-1.1,0.7,2.5,10,24
7_6___3__,1,-0.8,1.0,2.9,9,24
