bravo3.D1_4,bravo1.A3_13,bravo1.D4_1,bravo2.D3_6,bravo1.A4_9,bravo1.D3_11,bravo3.D2_1,bravo2.A1_4,bravo2.D4_10,bravo1.D3_15,bravo2.D2_3,bravo3.A2_5,bravo1.A2_2,bravo1.A2_3,bravo3.A2_4,bravo3.D3_5,bravo2.A2_4,bravo2.D1_5,bravo2.A5_6,bravo2.D3_11,bravo1.A2_9,bravo1.A3_14,bravo2.A3_5,bravo2.D2_10,bravo2.D3_3,bravo3.A5_6,bravo3.D3_8,bravo3.A1_4,bravo2.A3_2,bravo2.A4_6,bravo1.D4_5,bravo1.D2_6,bravo3.D2_8,bravo1.D4_3,bravo2.A5_2,bravo2.A6_2,bravo1.A2_10,bravo2.A1_9,bravo3.D4_3,bravo3.A3_6,bravo2.D6_7,bravo3.A4_4,bravo3.A3_2,bravo2.D5_4,bravo3.A3_13,bravo1.D4_16,bravo1.A1_2,bravo3.A1_6,bravo1.A3_6,bravo2.A2_1,bravo3.D5_3,bravo2.D4_1,bravo2.A3_6,bravo2.D6_4,bravo3.A1_5,bravo1.A5_3,bravo1.D3_16,bravo2.D4_2,bravo2.D5_2,bravo3.A3_7,bravo3.A5_1,bravo3.A1_1,bravo2.A5_8,bravo1.D5_1,bravo2.D3_1,bravo1.A4_6,bravo2.A1_2,bravo2.D1_1,bravo1.D2_2,bravo1.D5_5,bravo3.D4_1,bravo1.D3_20,bravo1.A1_6,bravo1.D1_6,bravo2.A1_6,bravo2.A2_5,bravo2.A3_9,bravo2.D4_3,bravo3.A6_2,bravo3.D1_1,bravo1.D2_12,bravo1.D4_7,bravo2.A6_6,bravo2.D3_7,bravo2.D4_5,bravo3.A2_8,bravo3.A4_1,bravo3.A4_15,bravo3.D3_3,bravo3.D4_4,bravo3.D5_2,bravo2.A5_1,bravo1.A6_2,bravo2.A1_1,bravo3.D1_2,bravo3.D3_1,bravo3.A1_2,bravo2.D2_4,bravo3.A5_8,bravo3.D5_7,bravo1.D3_6,bravo2.D5_7,bravo1.A2_15,bravo2.D1_7,bravo3.D3_10,bravo1.A4_2,bravo1.D3_12,bravo1.D3_14,bravo1.D4_18,bravo2.A4_2,bravo2.D2_1,bravo3.D2_10,bravo1.A5_12,bravo1.D2_3,bravo2.A4_1,bravo2.D2_6,bravo3.A4_7,bravo3.A5_3,bravo3.D2_4,bravo1.A5_1,bravo2.D4_8,bravo3.D4_9,bravo3.D4_5,bravo1.A5_4,bravo3.D2_2,bravo1.D2_11,bravo2.A2_9,bravo3.A4_9,bravo3.D3_13,bravo2.A4_10,bravo2.D1_4,bravo3.D6_3,bravo1.D2_1,bravo1.D4_2,bravo1.D5_3,bravo2.A2_8,bravo2.D5_10,bravo3.A3_5,bravo3.D3_2,bravo3.D5_8,bravo1.A2_12,bravo1.A3_16,bravo1.D4_19,bravo1.D5_9,bravo2.A2_7,bravo2.A3_13,bravo2.D1_6,bravo2.D1_8,bravo2.D3_10,bravo3.D2_6,bravo1.A1_1,bravo3.D2_7,bravo1.A3_8,bravo1.D3_8,bravo2.A4_5,bravo2.A4_8,bravo2.A3_8,bravo2.D3_4,bravo2.D3_2,bravo2.D1_3,bravo3.A2_3,bravo2.D2_2,bravo3.D4_7,bravo3.D6_6,bravo1.A2_8,bravo1.A3_1,bravo1.A4_1,bravo1.D3_1,bravo2.A3_10,bravo2.A4_11,bravo2.A5_3,bravo2.D2_9,bravo2.D2_12,bravo2.D3_8,bravo2.D5_1,bravo3.A4_10,bravo3.A3_8,bravo2.A2_6,bravo3.A5_2,bravo2.A6_4,bravo3.D3_4,bravo3.D2_3,bravo1.D4_9,bravo2.A3_7,bravo3.A2_12,bravo3.A3_15,bravo3.A5_5,bravo1.A3_23,bravo1.D4_14,bravo2.D4_6,bravo3.A2_1,bravo1.D5_6,bravo2.A3_3,bravo3.D4_2,bravo3.D6_2,bravo1.A4_19,bravo1.D2_8,bravo2.A1_10,bravo3.A3_9,bravo3.D3_7,bravo1.A3_4,bravo1.A4_3,bravo2.A2_10,bravo2.A5_5,bravo2.D4_7,bravo3.A2_9,bravo3.D4_8,bravo3.A6_3,bravo2.D5_3,bravo1.A3_5,bravo2.A4_4,bravo1.A3_17,bravo1.D2_7,bravo1.A6_1,bravo2.A3_14,bravo1.A3_2,bravo1.A3_11,bravo1.A4_7,bravo1.D1_3,bravo1.D2_15,bravo1.A3_24,bravo1.A4_24,bravo1.A1_4,bravo1.D5_2,bravo3.A4_11,bravo3.D4_6,bravo1.A3_7,bravo1.D3_2,bravo1.D3_23,bravo1.D6_1,bravo3.A3_3,bravo1.A3_12,bravo2.D2_7,bravo2.D4_4,bravo3.A3_12,bravo3.A5_4,bravo1.A5_7,bravo1.D1_5,bravo3.A3_11,bravo3.A6_4,bravo3.D5_6,bravo3.A4_5,bravo1.D2_5,bravo1.A4_5,bravo3.A4_6,bravo1.D4_17,bravo2.A6_1,bravo3.A6_1,bravo2.A1_7,bravo3.D4_12,bravo1.A4_16,bravo1.D2_9,bravo3.D5_10,bravo3.D6_5,bravo1.A3_18,bravo1.D3_5,bravo3.D2_11,bravo1.D1_2,bravo3.A1_3,bravo1.A2_4,bravo2.D2_8,bravo2.D4_12,bravo3.A3_4,bravo3.A6_6,bravo2.D6_8,bravo1.A3_26,bravo1.A4_15,bravo1.D3_13,bravo1.D5_4,bravo2.A5_13,bravo3.D5_1,bravo1.A5_8,bravo1.A5_6,bravo2.A6_3,bravo1.A4_23,bravo1.A3_21,bravo2.D3_5,bravo1.D2_4,bravo1.D3_7,bravo2.D6_1,bravo3.D1_8,bravo2.A2_11,bravo2.D3_13,bravo1.A2_14,bravo1.A4_11,bravo1.D2_13,bravo1.D5_8,bravo1.D2_21,bravo2.A4_12,bravo1.D3_22,bravo1.D5_10,bravo2.A2_14,bravo3.D1_5,bravo1.A2_21,bravo1.D3_3,bravo1.D3_25,bravo2.A2_13,bravo2.A3_12,bravo2.D6_6,bravo1.D4_10,bravo2.A1_5,bravo2.A3_11,bravo2.D3_14,bravo1.A2_13,bravo1.A4_13,bravo1.D3_18,bravo1.D4_23,bravo2.D5_5,bravo1.A1_7,bravo1.A4_14,bravo1.D2_18,bravo2.A5_7,bravo3.D3_15,bravo3.A2_7,bravo1.A4_4,bravo1.D1_1,bravo1.D2_16,bravo1.D4_20,bravo1.D5_12,bravo1.D6_3,bravo3.A5_11,bravo1.A1_3,bravo1.A3_3,bravo2.A4_9,bravo1.D6_2,bravo3.D1_6,bravo1.A2_6,bravo2.D3_15,bravo2.D3_16,bravo3.D1_3,bravo3.D4_10,bravo1.A3_20,bravo3.D3_6,bravo3.D3_14,bravo1.A3_19,bravo1.A3_9,bravo1.A3_10,bravo2.A5_9,bravo3.A4_12,bravo1.A5_13,bravo1.A5_16,bravo2.A1_3,bravo2.A3_15,bravo2.D2_13,bravo3.A4_3,bravo1.A1_5,bravo1.A3_25,bravo1.A4_10,bravo2.A2_3,bravo1.A4_20,bravo3.A4_2,bravo3.D6_1,bravo1.A1_11,bravo1.A4_8,bravo2.D4_15,bravo2.D5_9,bravo2.D5_11,bravo2.D6_5,bravo3.A3_1,bravo3.D6_4,bravo2.A1_8,bravo1.D1_8,bravo1.A5_2,bravo1.D4_22,bravo1.D3_24,bravo3.D2_9,bravo1.D3_9,bravo1.A2_7,bravo1.D3_10,bravo1.A4_12,bravo1.D3_4,bravo2.D1_9,bravo3.A2_2,bravo2.D2_5,bravo2.D5_6,bravo2.A4_14,bravo2.A6_5,bravo2.D1_2,bravo3.A2_10,bravo2.D1_12,bravo1.D3_21,bravo2.D4_14,bravo1.A2_16,bravo2.D4_13,bravo1.D4_4,bravo1.A2_18,bravo1.A4_22,bravo1.D3_17,bravo3.D1_7,bravo3.D5_4,bravo1.A2_11,bravo1.D2_10,bravo1.A2_17,bravo1.A3_15,bravo1.A5_10,bravo2.A6_7,bravo3.A4_8,bravo3.D4_13,bravo2.A3_1,bravo3.D2_5,bravo3.D3_12,bravo3.D4_11,bravo3.D2_12,bravo3.D1_9,bravo1.D1_11,bravo2.D2_11,bravo1.A5_5,bravo1.A2_5,bravo1.A5_11,bravo2.A4_15,bravo3.A3_10,bravo1.D4_6,bravo3.A2_11,bravo3.A6_5,bravo1.D1_7,bravo2.A3_4,bravo2.D3_12,bravo2.A4_7,bravo2.D5_8,bravo2.D5_12,bravo2.D6_3,bravo1.A4_21,bravo3.A4_14,bravo3.A5_10,bravo3.D5_9,bravo3.D5_12,bravo2.A5_10,bravo1.A2_19,bravo3.A2_6,bravo1.D4_15,bravo1.D5_7,bravo2.A2_12,bravo3.D4_14,bravo1.D3_27,bravo1.D3_19,bravo1.D4_21,bravo2.A2_2,bravo2.A3_16,bravo2.D2_14,bravo1.D1_12,bravo2.D4_9,bravo3.A5_9,bravo1.D4_12,bravo1.D5_11,bravo2.D6_2,bravo3.D3_11,bravo1.A1_9,bravo1.D2_17,bravo2.A5_4,bravo3.D5_5,bravo1.D4_13,bravo2.A4_3,bravo2.A4_13,bravo2.A6_8,bravo3.D5_11,bravo1.D1_4,bravo3.A1_8,bravo3.D6_7,bravo1.A2_1,bravo1.A2_20,bravo3.A3_14,bravo1.A4_17,bravo1.D6_4,bravo1.A6_3,bravo1.D1_9,bravo3.D3_9,bravo1.A6_4,bravo1.D2_14,bravo2.A4_16,bravo2.A5_12,bravo1.A1_8,bravo2.A2_17,bravo2.D5_14,bravo2.D4_11,bravo1.D4_11,bravo2.A1_13,bravo3.A4_13,bravo1.A5_15,bravo3.A2_14,bravo1.D5_15,bravo3.A1_7,bravo3.A1_9,bravo3.A5_7,bravo3.A6_7,bravo1.D4_27,bravo2.A1_11,bravo1.D1_10,bravo1.D4_26,bravo1.D4_8,bravo1.D5_16,bravo1.A3_22,bravo2.A6_10,bravo2.A4_17,bravo2.A6_9,bravo1.A4_26,bravo1.D3_26,bravo1.A5_9,bravo1.D4_25,bravo1.D5_17,bravo3.D3_17,bravo2.D6_10,bravo1.A4_25,bravo3.D3_16,bravo2.D1_10,bravo1.A1_10,bravo1.A5_14,bravo2.A1_12,bravo3.D4_15,bravo2.D3_17,bravo1.A5_17,bravo1.D3_28,bravo2.A3_17,bravo3.A3_16,bravo1.D4_24,bravo3.A6_8,bravo1.A4_18,bravo1.A3_27,bravo2.D1_13,bravo3.A5_12,bravo3.A2_13,bravo1.D5_14,bravo1.D2_20,bravo3.D6_8,bravo2.D6_9,bravo1.D2_19,bravo1.D5_19,bravo2.A2_16,bravo2.A5_11,bravo1.A6_6,bravo1.D2_22,bravo1.D6_6,bravo1.D1_13,bravo3.D2_13,bravo2.D1_11,bravo2.D2_15,bravo1.A1_12,bravo3.D4_16,bravo3.D2_14,bravo2.D3_9,bravo1.A3_28,bravo3.D3_18,bravo3.D1_10,bravo2.D1_14,bravo2.D5_13,bravo2.D6_12,bravo3.A6_9,bravo1.A4_27,bravo2.A2_15,bravo3.A3_17,bravo2.D3_18,bravo1.D6_5,bravo3.D5_13,bravo1.A5_18,bravo1.D5_13,bravo3.A4_16,bravo1.A6_5,bravo3.D4_17,bravo2.D2_16,bravo2.D1_15,bravo2.A5_14,bravo2.D4_16,bravo1.A5_19,bravo1.D5_18,bravo1.A6_7,bravo3.A1_10,bravo1.D6_8,bravo2.D2_17,bravo1.A2_22,bravo1.A6_8,bravo2.A1_15,bravo2.D4_17,bravo2.D1_16,bravo1.D6_10,bravo3.A5_13,bravo3.D6_9,bravo2.A3_18,bravo3.A4_17,bravo3.A4_18,bravo2.A6_11,bravo2.D6_11,bravo1.D1_14,bravo1.D5_20,bravo2.A6_12,bravo1.A4_28,bravo1.A1_15,bravo1.A5_20,bravo2.A3_19,bravo2.D5_15,bravo1.A1_13,bravo2.A1_14,bravo2.A4_18,bravo1.D1_15,bravo2.D4_18,bravo3.A2_15,bravo1.A6_10,bravo2.A5_17,bravo1.A1_14,bravo2.A2_18,bravo2.A5_18,bravo2.D3_19,bravo3.A3_18,bravo1.D6_7,bravo2.D2_18,bravo2.D5_18,bravo2.D5_16,bravo2.A5_15,bravo2.D5_17,bravo2.D6_14,bravo3.A3_20,bravo2.A6_13,bravo1.A6_11,bravo2.D2_19,bravo2.D4_19,bravo3.A4_19,bravo1.D6_11,bravo1.D5_21,bravo3.D2_15,bravo1.A6_9,bravo3.A1_11,bravo2.A5_16,bravo3.A3_19,bravo1.D4_28,bravo1.D6_12,bravo2.A1_17,bravo3.D4_18,bravo3.D5_14,bravo3.D6_10,bravo3.A2_16,bravo3.D3_19,bravo1.A5_21,bravo1.D6_9,bravo2.A3_20,bravo2.A4_19,bravo2.A4_20,bravo3.D4_19,bravo2.A1_16,bravo2.D6_13,bravo1.A6_12,bravo3.A5_14,bravo3.D5_15,bravo2.A2_19,bravo1.D2_23,bravo1.D1_16,bravo2.D1_17,bravo3.A6_10,bravo2.A6_14,bravo1.A5_22,bravo3.A5_15,bravo2.D3_20,bravo1.D5_22,bravo1.D6_13,bravo3.D1_11,bravo3.A1_12,bravo1.A2_23,bravo3.D6_11,bravo3.A4_21,bravo3.A6_11,bravo1.A1_16,bravo2.D2_20,bravo2.D6_15,bravo2.D1_18,bravo3.D3_20,bravo1.D6_14,bravo1.A1_17,bravo3.D1_12,bravo2.A6_15,bravo3.D4_20,bravo2.A6_17,bravo2.A3_21,bravo2.D4_20,bravo1.D6_15,bravo2.D4_21,bravo3.D4_21,bravo2.A1_19,bravo2.D2_21,bravo3.A3_21,bravo2.A4_21,bravo3.A5_16,bravo3.D5_16,bravo1.A6_15,bravo1.D1_17,bravo2.A2_20,bravo2.A2_21,bravo2.A5_19,bravo1.A6_14,bravo2.D1_19,bravo3.D2_16,bravo1.D2_24,bravo3.D5_17,bravo2.A5_20,bravo2.A3_22,bravo3.D1_13,bravo1.A6_13,bravo2.D5_19,bravo2.D6_17,bravo2.A1_21,bravo2.D6_16,bravo2.A5_21,bravo3.A4_20,bravo3.A5_18,bravo1.A6_16,bravo2.D4_22,bravo2.A6_16,bravo2.D6_18,bravo3.A5_17,bravo3.D2_17,bravo2.D5_22,bravo2.D6_19,bravo3.A3_22,bravo2.A1_20,bravo2.D1_21,bravo2.A6_20,bravo2.D6_20,bravo3.D5_18,bravo3.A1_13,bravo3.A6_13,bravo3.D6_12,bravo1.D1_18,bravo2.D3_22,bravo3.D3_21,bravo1.A2_24,bravo2.D6_21
4,0,2,1,0,1,1,10,1,7,5,4,3,1,1,1,10,6,1,2,1,1,1,1,0,0,0,10,8,8,7,3,3,1,1,1,0,0,0,13,9,9,8,7,7,5,4,4,3,3,3,2,1,1,1,0,0,0,0,0,23,16,8,7,7,6,6,4,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,23,18,16,8,7,6,5,5,5,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,18,11,8,7,6,5,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,16,16,12,12,9,8,7,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,13,13,9,6,5,4,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,16,14,12,10,9,9,7,7,6,6,5,5,5,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,16,12,11,8,7,7,7,6,6,5,5,5,5,4,4,4,3,3,2,2,2,2,2,1,0,0,0,0,0,0,25,17,16,15,12,11,8,7,6,6,5,4,3,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,10,8,8,8,7,7,6,6,6,5,4,4,3,3,2,1,0,0,0,0,0,0,21,15,12,11,10,9,8,8,8,8,7,7,7,6,5,5,5,5,3,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,13,12,10,10,8,8,7,6,6,5,4,4,4,2,2,1,0,0,0,21,12,10,9,6,4,3,3,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,29,24,22,16,15,11,10,10,8,6,5,4,2,2,2,1,1,1,1,0,0,0,0,24,20,17,13,9,9,9,8,6,5,5,4,4,4,3,3,3,2,2,2,2,1,1,1,1,0,0,0,16,13,11,9,7,6,4,3,2,2,1,1,1,0,0,0,0,20,15,15,11,8,7,5,4,3,2,2,1,1,1,0,0,26,20,9,8,7,6,3,3,2,2,0,0,15,12,11,10,8,6,5,5,5,5,3,0,0,0,0,15,15,10,6,3,3,1,0,25,21,15,11,7,7,6,5,1,1,32,26,21,21,15,15,3,1,0,0,22,16,8,7,5,3,12,12,10,7,7,5,5,3,2,0,35,16,11,8,3,0,49,11,5,4,3,2,0,0,41,16,14,14,11,10,7,3,27,16,10,3,2,0,11,10,7,5,3,3,43,21,17,11,11,3,3,3,0,11,6,27,26,23,22,22,22,7,6,5,3,3,49,33,22,21,11,11,7,3,2,54,45,28,22,16,15,15,10,7,7,7,7,3,26,23,11,3,84,46,45,41,26,23,19,7,7,26,24,22,16,15,11,7,3,79,69,55,50,45,26,23,16,16,11,11,7,3,77,50,49,49,46,26,26,11,7,172,104,95,95,89,84,73,66,58,55,52,49,47,41,30,11,7,193,174,135,135,135,104,104,73,64,58,58,52,52,47,45,45,30,30,26,22,22,22,16,3,3,1,-1
3,2,1,0,1,0,0,9,0,6,4,3,2,0,0,0,9,5,0,1,0,0,0,0,0,1,2,9,7,7,6,2,2,0,0,0,3,1,4,12,8,8,7,6,6,4,3,3,2,2,2,1,0,0,0,0,2,4,0,0,22,15,7,6,6,5,5,3,2,2,2,1,0,0,0,0,0,0,0,0,5,0,0,6,2,0,1,2,1,4,6,22,17,15,7,6,5,4,4,4,2,2,1,1,1,0,0,0,0,0,0,0,1,2,1,10,5,0,1,17,10,7,6,5,4,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,5,3,1,2,1,4,0,6,0,0,15,15,11,11,8,7,6,3,2,1,1,0,0,0,0,0,1,12,14,7,1,7,1,2,2,1,18,12,12,8,5,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,13,1,3,3,1,3,15,13,11,9,8,8,6,6,5,5,4,4,4,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,3,1,8,1,15,11,10,7,6,6,6,5,5,4,4,4,4,3,3,3,2,2,1,1,1,1,1,0,3,0,1,0,2,2,24,16,15,14,11,10,7,6,5,5,4,3,2,2,2,2,1,1,0,0,0,0,2,3,0,0,0,2,9,7,7,7,6,6,5,5,5,4,3,3,2,2,1,0,1,0,0,2,4,2,20,14,11,10,9,8,7,7,7,7,6,6,6,5,4,4,4,4,2,2,2,2,2,2,1,1,1,1,0,0,0,1,17,0,1,15,4,2,12,12,11,9,9,7,7,6,5,5,4,3,3,3,1,1,0,7,0,4,20,11,9,8,5,3,2,2,2,2,2,1,1,0,0,0,0,0,0,2,11,5,1,28,23,21,15,14,10,9,9,7,5,4,3,1,1,1,0,0,0,0,4,5,5,0,23,19,16,12,8,8,8,7,5,4,4,3,3,3,2,2,2,1,1,1,1,0,0,0,0,3,2,0,15,12,10,8,6,5,3,2,1,1,0,0,0,5,1,2,0,19,14,14,10,7,6,4,3,2,1,1,0,0,0,2,3,25,19,8,7,6,5,2,2,1,1,0,13,14,11,10,9,7,5,4,4,4,4,2,8,2,2,9,14,14,9,5,2,2,0,20,24,20,14,10,6,6,5,4,0,0,31,25,20,20,14,14,2,0,16,9,21,15,7,6,4,2,11,11,9,6,6,4,4,2,1,19,34,15,10,7,2,9,48,10,4,3,2,1,45,14,40,15,13,13,10,9,6,2,26,15,9,2,1,19,10,9,6,4,2,2,42,20,16,10,10,2,2,2,14,10,5,26,25,22,21,21,21,6,5,4,2,2,48,32,21,20,10,10,6,2,1,53,44,27,21,15,14,14,9,6,6,6,6,2,25,22,10,2,83,45,44,40,25,22,18,6,6,25,23,21,15,14,10,6,2,78,68,54,49,44,25,22,15,15,10,10,6,2,76,49,48,48,45,25,25,10,6,171,103,94,94,88,83,72,65,57,54,51,48,46,40,29,10,6,192,173,134,134,134,103,103,72,63,57,57,51,51,46,44,44,29,29,25,21,21,21,15,2,2,0,-1
2,1,0,1,0,2,1,8,6,5,3,2,1,2,8,2,8,4,0,0,5,0,0,2,0,0,1,8,6,6,5,1,1,0,11,16,2,0,3,11,7,7,6,5,5,3,2,2,1,1,1,0,1,1,6,0,1,3,5,1,21,14,6,5,5,4,4,2,1,1,1,0,4,3,0,2,8,0,21,0,4,1,0,5,1,10,0,1,0,3,5,21,16,14,6,5,4,3,3,3,1,1,0,0,0,1,7,1,1,6,10,0,0,1,0,9,4,0,0,16,9,6,5,4,3,2,2,2,2,0,0,0,2,1,4,10,4,0,10,4,4,2,0,1,0,3,2,5,0,0,14,14,10,10,7,6,5,2,1,0,0,0,1,7,0,0,0,11,13,6,0,6,0,1,1,0,17,11,11,7,4,3,2,2,2,2,2,1,1,1,1,0,0,0,0,2,7,0,14,6,0,12,0,2,2,0,2,14,12,10,8,7,7,5,5,4,4,3,3,3,2,2,1,1,1,1,0,0,0,0,0,1,1,1,1,6,0,2,0,7,0,14,10,9,6,5,5,5,4,4,3,3,3,3,2,2,2,1,1,0,0,0,0,0,3,2,1,0,2,1,1,23,15,14,13,10,9,6,5,4,4,3,2,1,1,1,1,0,0,8,9,9,5,1,2,19,0,0,1,8,6,6,6,5,5,4,4,4,3,2,2,1,1,0,4,0,4,0,1,3,1,19,13,10,9,8,7,6,6,6,6,5,5,5,4,3,3,3,3,1,1,1,1,1,1,0,0,0,0,15,6,29,0,16,3,0,14,3,1,11,11,10,8,8,6,6,5,4,4,3,2,2,2,0,0,3,6,1,3,19,10,8,7,4,2,1,1,1,1,1,0,0,3,1,2,0,6,9,1,10,4,0,27,22,20,14,13,9,8,8,6,4,3,2,0,0,0,4,2,1,0,3,4,4,0,22,18,15,11,7,7,7,6,4,3,3,2,2,2,1,1,1,0,0,0,0,2,0,6,19,2,1,1,14,11,9,7,5,4,2,1,0,0,8,3,0,4,0,1,1,18,13,13,9,6,5,3,2,1,0,0,3,15,0,1,2,24,18,7,6,5,4,1,1,0,0,1,12,13,10,9,8,6,4,3,3,3,3,1,7,1,1,8,13,13,8,4,1,1,5,19,23,19,13,9,5,5,4,3,1,8,30,24,19,19,13,13,1,24,15,8,20,14,6,5,3,1,10,10,8,5,5,3,3,1,0,18,33,14,9,6,1,8,47,9,3,2,1,0,44,13,39,14,12,12,9,8,5,1,25,14,8,1,0,18,9,8,5,3,1,1,41,19,15,9,9,1,1,1,13,9,4,25,24,21,20,20,20,5,4,3,1,1,47,31,20,19,9,9,5,1,0,52,43,26,20,14,13,13,8,5,5,5,5,1,24,21,9,1,82,44,43,39,24,21,17,5,5,24,22,20,14,13,9,5,1,77,67,53,48,43,24,21,14,14,9,9,5,1,75,48,47,47,44,24,24,9,5,170,102,93,93,87,82,71,64,56,53,50,47,45,39,28,9,5,191,172,133,133,133,102,102,71,62,56,56,50,50,45,43,43,28,28,24,20,20,20,14,1,1,249,-1
1,0,10,0,3,1,0,7,5,4,2,1,0,1,7,1,7,3,3,2,4,4,2,1,2,3,0,7,5,5,4,0,0,9,10,15,1,0,2,10,6,6,5,4,4,2,1,1,0,0,0,5,0,0,5,5,0,2,4,0,20,13,5,4,4,3,3,1,0,0,0,2,3,2,1,1,7,3,20,2,3,0,1,4,0,9,2,0,0,2,4,20,15,13,5,4,3,2,2,2,0,0,9,0,0,0,6,0,0,5,9,7,0,0,2,8,3,6,1,15,8,5,4,3,2,1,1,1,1,1,6,7,1,0,3,9,3,2,9,3,3,1,5,0,0,2,1,4,5,5,13,13,9,9,6,5,4,1,0,2,5,0,0,6,2,0,4,10,12,5,6,5,3,0,0,8,16,10,10,6,3,2,1,1,1,1,1,0,0,0,0,1,3,7,1,1,6,2,13,5,18,11,2,1,1,2,1,13,11,9,7,6,6,4,4,3,3,2,2,2,1,1,0,0,0,0,5,3,0,10,3,0,0,0,0,5,1,1,3,6,0,13,9,8,5,4,4,4,3,3,2,2,2,2,1,1,1,0,0,12,3,4,5,2,2,1,0,1,1,0,0,22,14,13,12,9,8,5,4,3,3,2,1,0,0,0,0,7,2,7,8,8,4,0,1,18,0,3,0,7,5,5,5,4,4,3,3,3,2,1,1,0,0,0,3,17,3,6,0,2,0,18,12,9,8,7,6,5,5,5,5,4,4,4,3,2,2,2,2,0,0,0,0,0,0,9,1,1,5,14,5,28,4,15,2,3,13,2,0,10,10,9,7,7,5,5,4,3,3,2,1,1,1,2,0,2,5,0,2,18,9,7,6,3,1,0,0,0,0,0,0,0,2,0,1,9,5,8,0,9,3,0,26,21,19,13,12,8,7,7,5,3,2,1,9,9,3,3,1,0,0,2,3,3,6,21,17,14,10,6,6,6,5,3,2,2,1,1,1,0,0,0,0,4,15,11,1,17,5,18,1,0,0,13,10,8,6,4,3,1,0,0,0,7,2,16,3,7,0,0,17,12,12,8,5,4,2,1,0,3,9,2,14,8,0,1,23,17,6,5,4,3,0,0,8,11,0,11,12,9,8,7,5,3,2,2,2,2,0,6,0,0,7,12,12,7,3,0,0,4,18,22,18,12,8,4,4,3,2,0,7,29,23,18,18,12,12,0,23,14,7,19,13,5,4,2,0,9,9,7,4,4,2,2,0,4,17,32,13,8,5,0,7,46,8,2,1,0,0,43,12,38,13,11,11,8,7,4,0,24,13,7,0,24,17,8,7,4,2,0,0,40,18,14,8,8,0,0,0,12,8,3,24,23,20,19,19,19,4,3,2,0,0,46,30,19,18,8,8,4,0,4,51,42,25,19,13,12,12,7,4,4,4,4,0,23,20,8,0,81,43,42,38,23,20,16,4,4,23,21,19,13,12,8,4,0,76,66,52,47,42,23,20,13,13,8,8,4,0,74,47,46,46,43,23,23,8,4,169,101,92,92,86,81,70,63,55,52,49,46,44,38,27,8,4,190,171,132,132,132,101,101,70,61,55,55,49,49,44,42,42,27,27,23,19,19,19,13,0,0,248,-1
