Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
23060,20230528,2,1,4,1,3,2,4,2,14,4,10
23060,20230528,2,5,4,5,7,5,3,2,5,0,6
23060,20230528,3,6,4,5,7,5,4,2,5,1,7
23060,20230528,3,6,4,4,5,5,3,3,6,2,7
23060,20230528,3,6,4,4,6,5,3,3,5,1,7
23060,20230528,3,5,4,2,7,4,2,2,5,0,7
